"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.71528848","1.54157E-4","2.499038440726398E-4","0.0050555","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","5.0E-7","x1=v2_x2=v5_x3=v4_x4=v1_x5=v5_class=class2","x1_x2_x3_x4_x5_class","NA"
"200","0.7501093600000001","1.6166150000000002E-4","2.866505942769868E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","5.0E-7","x1=v1_x2=v4_x3=v3_x4=v2_x5=v4_class=class2","x1_x2_x3_x4_x5_class","NA"
"300","0.753688346666667","1.6243283333333355E-4","2.6586161883975716E-4","0.0045895","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"400","0.77577494","1.6719287499999976E-4","3.173363356901028E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","5.0E-7","x1=v1_x2=v5_x3=v2_x4=v4_x5=v3_class=class2","x1_x2_x3_x4_x5_class","NA"
"500","0.7608092000000002","1.6396750000000006E-4","2.975990954927073E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"600","0.7419638399999998","1.5990599999999926E-4","2.7586907484362184E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"700","0.7297162285714286","1.5726642857142806E-4","2.633401954206327E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"800","0.7640374799999996","1.6466324999999974E-4","2.870178123871697E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"900","0.7296588177777776","1.5725405555555542E-4","2.527870041318116E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1000","0.7453489519999995","1.606355499999998E-4","2.7873094472116304E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"1100","0.7585963418181814","1.6349059090909075E-4","2.994259503504393E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1200","0.7420833199999997","1.5993175000000008E-4","2.6756284012306904E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1300","0.7657284923076917","1.6502769230769171E-4","3.025867575241362E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1400","0.7270870057142852","1.566997857142857E-4","2.591823067935415E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1500","0.7466785439999996","1.6092209999999922E-4","2.8923571373788546E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1600","0.7564217899999996","1.6302193749999925E-4","2.9787349222418566E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1700","0.7417031811764704","1.598498235294115E-4","2.820037842605688E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1800","0.7430541111111107","1.6014097222222205E-4","2.824539494685199E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1900","0.7424776589473682","1.600167368421061E-4","2.780907268302006E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2000","0.7484157599999995","1.6129650000000015E-4","2.832208152912871E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2100","0.7498003580952377","1.6159490476190465E-4","2.876005314436856E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2200","0.758874425454545","1.6355052272727378E-4","2.8985480847423134E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2300","0.7392156486956521","1.593137173913042E-4","2.74306291837989E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2400","0.745127643333333","1.605878541666675E-4","2.8460706550810885E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2500","0.7427374207999999","1.600727200000002E-4","2.786324641060399E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2600","0.7455400307692303","1.606767307692305E-4","2.893818813965237E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2700","0.744351635555556","1.6042061111111043E-4","2.756245042624131E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2800","0.7432238485714283","1.6017755357142859E-4","2.7975653421839666E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
