"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.4570601562500002","1.4625924999999993E-4","0.08070674696599822","0.0039035000000000003","x1=v2_x2=v2_x3=v1_x4=v4_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"200","0.48173437500000016","1.5415500000000025E-4","0.05409317585932353","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"300","0.4885377604166667","1.563320833333329E-4","0.04422283359147471","0.005041","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"400","0.5060232421875003","1.619274374999995E-4","0.06070526052033193","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"500","0.479465","1.5342879999999853E-4","0.043781090745512105","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"600","0.4889555989583335","1.5646579166666533E-4","0.03159745103395367","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"700","0.48627176339285716","1.5560696428571378E-4","0.03229434469382423","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"800","0.47791552734375","1.5293296874999894E-4","0.030879153134279646","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"900","0.49060694444444436","1.5699422222222267E-4","0.031839055005154604","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1000","0.49388640624999997","1.5804365000000084E-4","0.023182796407357997","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1100","0.49387656249999995","1.580405000000007E-4","0.02207496245227207","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
