"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.5099612139130435","1.0990543403298338E-4","0.08266081071186136","0.002883","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","0.0","x1=v5_x2=v2_x3=v1_x4=v3_x5=v3_class=class2","x1_x2_x3_x4_x5_class","*"
"200","0.5000826539130434","1.0777643403298359E-4","0.06583471838380046","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v4_x3=v2_x4=v4_x5=v2_class=class5","x1_x2_x3_x4_x5_class","*"
"300","0.512171491884058","1.10381787043978E-4","0.05070609084645197","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v3_x3=v3_x4=v2_x5=v3_class=class1","x1_x2_x3_x4_x5_class","*"
"400","0.521850931956522","1.1246787326649263E-4","0.05276439651036035","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v4_x2=v4_x3=v2_x4=v4_x5=v5_class=class1","x1_x2_x3_x4_x5_class","*"
"500","0.5251422015652174","1.1317719861319378E-4","0.029699454190251492","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v5_x2=v4_x3=v5_x4=v2_x5=v1_class=class5","x1_x2_x3_x4_x5_class","*"
"600","0.4952953849275363","1.0674469502748575E-4","0.03353478071948671","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v3_x2=v5_x3=v5_x4=v1_x5=v1_class=class1","x1_x2_x3_x4_x5_class","*"
"700","0.5242573508074535","1.1298649801884806E-4","0.03325582360396649","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v5_x2=v3_x3=v3_x4=v4_x5=v5_class=class1","x1_x2_x3_x4_x5_class","*"
"800","0.4961565271739132","1.069302860288606E-4","0.026757856207851632","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v4_x2=v4_x3=v1_x4=v5_x5=v1_class=class2","x1_x2_x3_x4_x5_class","*"
"900","0.5083415997101449","1.0955637924787603E-4","0.021886794768473362","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v5_x3=v5_x4=v1_x5=v2_class=class1","x1_x2_x3_x4_x5_class","*"
"1000","0.5092543775652174","1.097530986131934E-4","0.024246163337677366","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v5_x3=v2_x4=v1_x5=v2_class=class3","x1_x2_x3_x4_x5_class","*"
"1100","0.5053654608695654","1.0891497001499208E-4","0.02518764803401091","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v5_x3=v5_x4=v3_x5=v5_class=class2","x1_x2_x3_x4_x5_class","*"
