"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.6611303999999999","1.42485E-4","1.589034624505957E-4","0.0010485","x1=v3_x2=v2_x3=v1_x4=v4_x5=v4_class=class3","5.0E-7","x1=v1_x2=v1_x3=v3_x4=v2_x5=v5_class=class2","x1_x2_x3_x4_x5_class","NA"
"200","0.75835","1.634375E-4","2.6765438853540457E-4","0.002205","x1=v3_x2=v4_x3=v1_x4=v1_x5=v1_class=class1","5.0E-7","x1=v2_x2=v4_x3=v3_x4=v5_x5=v1_class=class5","x1_x2_x3_x4_x5_class","NA"
"300","0.7526853333333328","1.6221666666666655E-4","2.68350541455052E-4","0.0030625","x1=v2_x2=v2_x3=v1_x4=v5_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"400","0.7732211999999996","1.6664249999999992E-4","2.3059936548515343E-4","0.002205","x1=v3_x2=v4_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"500","0.64666288","1.3936700000000002E-4","1.6639727135632246E-4","0.0016285","x1=v2_x2=v3_x3=v2_x4=v3_x5=v1_class=class4","5.0E-7","x1=v2_x2=v3_x3=v4_x4=v5_x5=v3_class=class4","x1_x2_x3_x4_x5_class","NA"
"600","0.8151320000000002","1.7567500000000006E-4","3.3366452373454126E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","5.0E-7","x1=v1_x2=v5_x3=v1_x4=v2_x5=v5_class=class2","x1_x2_x3_x4_x5_class","NA"
"700","0.7803651428571428","1.6818214285714285E-4","2.8940263453154554E-4","0.004244","x1=v2_x2=v2_x3=v1_x4=v4_x5=v1_class=class1","5.0E-7","x1=v2_x2=v4_x3=v3_x4=v1_x5=v3_class=class3","x1_x2_x3_x4_x5_class","NA"
"800","0.7754861000000005","1.671306250000001E-4","3.1937306899002015E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","5.0E-7","x1=v2_x2=v1_x3=v2_x4=v2_x5=v3_class=class5","x1_x2_x3_x4_x5_class","NA"
"900","0.7595035555555559","1.636861111111112E-4","2.909191640997154E-4","0.0045895","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","5.0E-7","x1=v1_x2=v1_x3=v5_x4=v1_x5=v2_class=class2","x1_x2_x3_x4_x5_class","NA"
"1000","0.7072543199999998","1.5242549999999996E-4","2.0893395151541517E-4","0.0027665","x1=v2_x2=v2_x3=v1_x4=v2_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1100","0.7659311272727253","1.6507136363636321E-4","2.382682185955134E-4","0.002386","x1=v5_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","5.0E-7","x1=v3_x2=v1_x3=v5_x4=v4_x5=v3_class=class1","x1_x2_x3_x4_x5_class","NA"
"1200","0.7349624666666666","1.5839708333333332E-4","2.6409162934557716E-4","0.0045895","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"1300","0.750277292307692","1.6169769230769225E-4","2.6939286040209964E-4","0.0036455","x1=v1_x2=v2_x3=v1_x4=v4_x5=v1_class=class2","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"1400","0.7679614285714269","1.655089285714282E-4","3.0423969748012334E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"1500","0.7320868266666652","1.5777733333333303E-4","2.782038197612952E-4","0.0045895","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","5.0E-7","x1=v3_x2=v1_x3=v3_x4=v3_x5=v3_class=class1","x1_x2_x3_x4_x5_class","NA"
