"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Flight_Length","0.026700928099194998","0.0010680371239678006","8.854623239771797E-4","0.0036504740610550576","Flight='(-inf-566.5]'_Length='(174.5-inf)'","6.67430503798784E-5","Flight='(2431.5-4272.5]'_Length='(-inf-75.5]'"
"Airline_Flight","0.030902032325884066","6.574900494868943E-4","8.746728355382962E-4","0.005320904294173704","Airline=WN_Flight='(566.5-1306.5]'","1.85397362166331E-6","Airline=YV_Flight='(1306.5-2431.5]'"
"Flight_Time","0.03277825363100734","0.0013111301452402926","8.797835073208339E-4","0.003961941629494498","Flight='(-inf-566.5]'_Time='(1079.5-inf)'","1.1309239092146053E-4","Flight='(566.5-1306.5]'_Time='(890.5-1079.5]'"
"Time_Length","0.034502449099154224","0.0013800979639661684","0.001049885889531863","0.005102135406817435","Time='(1079.5-inf)'_Length='(174.5-inf)'","3.337152518994094E-5","Time='(519.5-700.5]'_Length='(174.5-inf)'"
"Airline_Length","0.03526628623127951","4.0075325262817674E-4","4.82327436130108E-4","0.0026085408856802786","Airline=CO_Length='(174.5-inf)'","1.8539736216632288E-6","Airline=FL_Length='(-inf-75.5]'"
"Airline_Time","0.03822522813145417","4.247247570161568E-4","4.2487635767101875E-4","0.0017965004393917482","Airline=US_Time='(1079.5-inf)'","7.415894486653132E-6","Airline=F9_Time='(890.5-1079.5]'"
"AirportTo_Length","0.042693304559662706","4.86810770349636E-5","9.024176431752358E-5","9.455265470482872E-4","AirportTo=ATL_Length='(75.5-100.5]'","0.0","AirportTo=PHF_Length='(174.5-inf)'"
"AirportFrom_Length","0.04305668338950873","4.726309922009724E-5","8.999891172660264E-5","0.0010326633072664636","AirportFrom=ATL_Length='(75.5-100.5]'","0.0","AirportFrom=MFE_Length='(-inf-75.5]'"
"Airline_AirportFrom","0.04730599093036098","3.172769344759281E-5","6.473753321576336E-5","9.510884679132794E-4","Airline=XE_AirportFrom=IAH","0.0","Airline=UA_AirportFrom=RIC"
"Flight_AirportFrom","0.047713865127126956","5.587103644862609E-5","8.882418036417945E-5","7.156338179620378E-4","Flight='(1306.5-2431.5]'_AirportFrom=BOS","0.0","Flight='(-inf-566.5]'_AirportFrom=PWM"
"Airline_AirportTo","0.04773982075783023","3.201865912664707E-5","6.722774544087172E-5","8.954692592633793E-4","Airline=DL_AirportTo=ATL","0.0","Airline=XE_AirportTo=GRK"
"Flight_AirportTo","0.047865890964103354","5.5787751706414386E-5","8.759827641042294E-5","6.989480553670682E-4","Flight='(566.5-1306.5]'_AirportTo=ATL","0.0","Flight='(566.5-1306.5]'_AirportTo=MHT"
"AirportFrom_Time","0.04789184659480668","3.9645568373184276E-5","7.934752908040965E-5","9.714821777515748E-4","AirportFrom=PHX_Time='(1079.5-inf)'","0.0","AirportFrom=ATW_Time='(1079.5-inf)'"
"AirportTo_Time","0.049875598369986354","4.074803788397552E-5","8.041410577523534E-5","0.0012588480891093882","AirportTo=PHX_Time='(1079.5-inf)'","0.0","AirportTo=CPR_Time='(890.5-1079.5]'"
"AirportFrom_AirportTo","0.055215042400376724","1.3177814415363886E-5","1.981342667725139E-5","3.8748048692763206E-4","AirportFrom=BOS_AirportTo=LGA","0.0","AirportFrom=LAX_AirportTo=BFL"
"Flight_DayOfWeek","0.07255340371017202","0.002072954391719199","0.002147135352951181","0.006577898409661427","Flight='(566.5-1306.5]'_DayOfWeek=3","3.893344605492878E-5","Flight='(1306.5-2431.5]'_DayOfWeek=1"
"DayOfWeek_Length","0.0728166679644482","0.0020804762275556644","0.0021723084165558666","0.0071544842059987155","DayOfWeek=3_Length='(75.5-100.5]'","2.7809604324949624E-5","DayOfWeek=7_Length='(-inf-75.5]'"
"Airline_DayOfWeek","0.07420714818069567","5.88945620481711E-4","8.254621074724161E-4","0.005335736083147009","Airline=WN_DayOfWeek=3","0.0","Airline=FL_DayOfWeek=6"
"AirportFrom_DayOfWeek","0.07663585362507483","3.76959437408127E-5","1.1968873017676078E-4","0.0021654411901027475","AirportFrom=ATL_DayOfWeek=3","0.0","AirportFrom=PSE_DayOfWeek=6"
"AirportTo_DayOfWeek","0.07714755034465387","3.794763912673425E-5","1.2229493191877878E-4","0.002124653770426154","AirportTo=ATL_DayOfWeek=3","0.0","AirportTo=HSV_DayOfWeek=7"
"DayOfWeek_Time","0.09880196224568116","0.002822913207019459","0.0027127857421714004","0.008068493201478729","DayOfWeek=4_Time='(1079.5-inf)'","9.26986810831712E-6","DayOfWeek=6_Time='(519.5-700.5]'"
