"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Flight_Length_Delay","0.135547719427048","0.002710954388540961","0.0010624779541905265","0.006583460330526418","Flight='(-inf-566.5]'_Length='(174.5-inf)'_Delay=1","5.302364557957069E-4","Flight='(4272.5-inf)'_Length='(174.5-inf)'_Delay=0"
"Flight_Time_Delay","0.135547719427048","0.0027109543885409627","9.071435248099876E-4","0.005752880148021253","Flight='(-inf-566.5]'_Time='(1079.5-inf)'_Delay=1","0.0010233934391581465","Flight='(566.5-1306.5]'_Time='(700.5-890.5]'_Delay=1"
"Airline_Flight_Delay","0.135547719427048","0.0014419970151813644","0.001628771658401349","0.007922029285367328","Airline=OO_Flight='(4272.5-inf)'_Delay=0","7.415894486653247E-6","Airline=HA_Flight='(566.5-1306.5]'_Delay=0"
"Time_Length_Delay","0.13554771942704802","0.0027109543885409527","9.3275789288537E-4","0.005526695366178331","Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=1","4.2455995936089945E-4","Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=0"
"Airline_Time_Delay","0.13693078374880877","7.607265763822711E-4","8.231760199440183E-4","0.004406895298693692","Airline=WN_Time='(1079.5-inf)'_Delay=1","1.8539736216633372E-6","Airline=EV_Time='(-inf-519.5]'_Delay=1"
"Airline_Length_Delay","0.13755001093844438","7.815341530593411E-4","9.31849319386189E-4","0.005802937435806164","Airline=WN_Length='(-inf-75.5]'_Delay=0","0.0","Airline=F9_Length='(-inf-75.5]'_Delay=1"
"DayOfWeek_Length_Delay","0.1442576875016222","0.0020608241071660327","0.0016965475411756436","0.0068133530596126675","DayOfWeek=3_Length='(75.5-100.5]'_Delay=0","2.7809604324949624E-5","DayOfWeek=7_Length='(174.5-inf)'_Delay=0"
"AirportTo_Length_Delay","0.14500669284477444","8.267200276212692E-5","1.5507277307528095E-4","0.0015758775784138145","AirportTo=DEN_Length='(130.5-174.5]'_Delay=0","0.0","AirportTo=MDT_Length='(130.5-174.5]'_Delay=1"
"AirportTo_Time_Delay","0.14556659287851687","5.9463477483051575E-5","1.2213663132461705E-4","0.0012199146430544585","AirportTo=ATL_Time='(-inf-519.5]'_Delay=0","0.0","AirportTo=BIL_Time='(-inf-519.5]'_Delay=1"
"Flight_AirportTo_Delay","0.14588547634144275","8.501484635282037E-5","1.5354093267807572E-4","0.001331153060354257","Flight='(2431.5-4272.5]'_AirportTo=DFW_Delay=0","0.0","Flight='(-inf-566.5]'_AirportTo=ALB_Delay=1"
"Flight_DayOfWeek_Delay","0.14609682933431226","0.0020870975619187468","0.0016846548177782675","0.006435142440793353","Flight='(4272.5-inf)'_DayOfWeek=3_Delay=0","6.118112951488883E-5","Flight='(4272.5-inf)'_DayOfWeek=3_Delay=1"
"Flight_AirportFrom_Delay","0.1463341379578855","8.567572479969622E-5","1.7234022767835457E-4","0.0016518904969020102","Flight='(2431.5-4272.5]'_AirportFrom=IAH_Delay=1","0.0","Flight='(4272.5-inf)'_AirportFrom=ICT_Delay=0"
"AirportFrom_Time_Delay","0.14656403068697182","6.0663919986326545E-5","1.3730941912613165E-4","0.0015165504225205882","AirportFrom=IAH_Time='(1079.5-inf)'_Delay=1","0.0","AirportFrom=JNU_Time='(519.5-700.5]'_Delay=1"
"AirportFrom_Length_Delay","0.14735753139704347","8.08768009863004E-5","1.6131891307046386E-4","0.0016166649980904075","AirportFrom=DEN_Length='(130.5-174.5]'_Delay=0","0.0","AirportFrom=PIE_Length='(130.5-174.5]'_Delay=0"
"Airline_AirportTo_Delay","0.1526302323770541","5.1183847208935555E-5","1.288843002889338E-4","0.0017909385185267577","Airline=DL_AirportTo=ATL_Delay=0","0.0","Airline=EV_AirportTo=CLT_Delay=1"
"DayOfWeek_Time_Delay","0.15387610265081153","0.002198230037868732","0.0020270831400907804","0.007944276968827288","DayOfWeek=4_Time='(1079.5-inf)'_Delay=1","9.269868108316513E-5","DayOfWeek=3_Time='(519.5-700.5]'_Delay=1"
"Airline_AirportFrom_Delay","0.15550018354338874","5.214627214734449E-5","1.5065045713394992E-4","0.0023786481565940282","Airline=XE_AirportFrom=IAH_Delay=1","0.0","Airline=UA_AirportFrom=PHX_Delay=1"
"Airline_DayOfWeek_Delay","0.15857777975534956","6.292769037910693E-4","7.952510843484812E-4","0.004458806560100263","Airline=WN_DayOfWeek=2_Delay=1","0.0","Airline=AA_DayOfWeek=7_Delay=0"
"AirportFrom_AirportTo_Delay","0.16655357427574533","1.9875128195192517E-5","2.423191572863473E-5","3.170294893044261E-4","AirportFrom=BOS_AirportTo=LGA_Delay=0","0.0","AirportFrom=PHX_AirportTo=GEG_Delay=0"
"AirportTo_DayOfWeek_Delay","0.1695421797538661","4.169753560104735E-5","1.0998121087460803E-4","0.001828017990960025","AirportTo=ATL_DayOfWeek=3_Delay=0","0.0","AirportTo=RST_DayOfWeek=7_Delay=1"
"AirportFrom_DayOfWeek_Delay","0.17307214552951414","4.256570229451625E-5","1.1635832240885311E-4","0.0017761067295534519","AirportFrom=ATL_DayOfWeek=3_Delay=0","0.0","AirportFrom=MMH_DayOfWeek=3_Delay=1"
