"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Flight_Length_Delay","Delay=0","0.5545605897119296","0.03192461060424243","0.0012769844241696982","9.582375342231655E-4","0.0031717623875549255","Flight='(566.5-1306.5]'_Length='(-inf-75.5]'","4.137803023043091E-5","Flight='(2431.5-4272.5]'_Length='(75.5-100.5]'"
"Flight_Length_Delay","Delay=1","0.44543941028807044","0.03239312107138505","0.0012957248428554027","0.0010717048853304914","0.0042250707805457435","Flight='(4272.5-inf)'_Length='(75.5-100.5]'","7.548527550274228E-5","Flight='(2431.5-4272.5]'_Length='(130.5-174.5]'"
"Time_Length_Delay","Delay=0","0.5545605897119296","0.02729906140849888","0.0010919624563399555","8.112628153677391E-4","0.003136960298493613","Time='(1079.5-inf)'_Length='(174.5-inf)'","3.5598763006464834E-5","Time='(519.5-700.5]'_Length='(174.5-inf)'"
"Time_Length_Delay","Delay=1","0.44543941028807044","0.038694355852949454","0.001547774234117977","0.0012263165550822105","0.005438676029046914","Time='(1079.5-inf)'_Length='(174.5-inf)'","1.3032769625645826E-4","Time='(519.5-700.5]'_Length='(130.5-174.5]'"
"Flight_Time_Delay","Delay=0","0.5545605897119296","0.027479808818055194","0.0010991923527222092","7.892773629192645E-4","0.002704649815882299","Flight='(566.5-1306.5]'_Time='(519.5-700.5]'","4.882521155706587E-6","Flight='(1306.5-2431.5]'_Time='(519.5-700.5]'"
"Flight_Time_Delay","Delay=1","0.44543941028807044","0.041840773808509486","0.0016736309523403801","0.0013342386681765874","0.0054904326973370075","Flight='(-inf-566.5]'_Time='(1079.5-inf)'","8.392195441266417E-5","Flight='(-inf-566.5]'_Time='(519.5-700.5]'"
"Airline_Flight_Delay","Delay=0","0.5545605897119296","0.05886911952130569","0.0012525344579001224","0.001662250096308643","0.009877983437249072","Airline=WN_Flight='(566.5-1306.5]'","6.521117076276775E-6","Airline=YV_Flight='(1306.5-2431.5]'"
"Airline_Flight_Delay","Delay=1","0.44543941028807044","0.06286323732765074","0.001337515687822355","0.001590568047252388","0.009014652703269961","Airline=WN_Flight='(566.5-1306.5]'","7.412800124148987E-6","Airline=YV_Flight='(1306.5-2431.5]'"
"Airline_Length_Delay","Delay=0","0.5545605897119296","0.06557725746272945","7.451961075310178E-4","0.0010331701840731401","0.0068134739943610245","Airline=WN_Length='(-inf-75.5]'","0.0","Airline=HA_Length='(130.5-174.5]'"
"Airline_Length_Delay","Delay=1","0.44543941028807044","0.05690406275717201","6.466370767860458E-4","6.685434727870964E-4","0.0029999488109552427","Airline=CO_Length='(174.5-inf)'","0.0","Airline=F9_Length='(-inf-75.5]'"
"Airline_Time_Delay","Delay=0","0.5545605897119296","0.06297929156462989","6.997699062736653E-4","9.231557599587006E-4","0.004412098670196988","Airline=WN_Time='(1079.5-inf)'","3.731578279493825E-6","Airline=F9_Time='(-inf-519.5]'"
"Airline_Time_Delay","Delay=1","0.44543941028807044","0.0631412687957994","7.015696532866597E-4","8.04074803857022E-4","0.005373155376824708","Airline=WN_Time='(700.5-890.5]'","4.107609595974983E-6","Airline=MQ_Time='(519.5-700.5]'"
