"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Time_Length_Delay","0.1316798793464847","0.0657164864956491","0.008549504179850242","0.08273905062814799","Time='(1079.5-inf)'_Length='(-inf-75.5]'_Delay=0","0.04925146242397517","Time='(-inf-519.5]'_Length='(75.5-100.5]'_Delay=1"
"Flight_Time_Delay","0.13290084852142095","0.06638670233238327","0.011016457456607245","0.08647388145913137","Flight='(-inf-566.5]'_Time='(1079.5-inf)'_Delay=1","0.035708072697626214","Flight='(4272.5-inf)'_Time='(-inf-519.5]'_Delay=0"
"Airline_Time_Delay","0.1335254955044951","0.06242617881910657","0.030240313526841277","0.13683890946626995","Airline=F9_Time='(1079.5-inf)'_Delay=0","0.0012734609262207153","Airline=OH_Time='(-inf-519.5]'_Delay=0"
"Airline_Length_Delay","0.13521846883633895","0.07009269560151363","0.056367323350306066","0.5","Airline=F9_Length='(-inf-75.5]'_Delay=0","0.0","Airline=F9_Length='(-inf-75.5]'_Delay=1"
"Flight_Length_Delay","0.13528749519964497","0.07029404128683917","0.012210802164342512","0.09590991362480616","Flight='(-inf-566.5]'_Length='(-inf-75.5]'_Delay=0","0.042616798552024715","Flight='(4272.5-inf)'_Length='(75.5-100.5]'_Delay=0"
"AirportTo_Time_Delay","0.13591019505512267","0.085401590050447","0.07409713932428452","0.5","AirportTo=FLG_Time='(700.5-890.5]'_Delay=0","0.0","AirportTo=FLG_Time='(700.5-890.5]'_Delay=1"
"Airline_Flight_Delay","0.1366194133941465","0.06789796173051184","0.025366638208146275","0.11562739740777131","Airline=F9_Flight='(566.5-1306.5]'_Delay=0","0.007508340266575042","Airline=OH_Flight='(4272.5-inf)'_Delay=0"
"AirportTo_Length_Delay","0.1367086276091662","0.08352425806318658","0.06778647177178035","0.5","AirportTo=PLN_Length='(75.5-100.5]'_Delay=0","0.0","AirportTo=PLN_Length='(75.5-100.5]'_Delay=1"
"AirportFrom_Time_Delay","0.13789368988246917","0.08097665794602413","0.06879446762918852","0.5","AirportFrom=BKG_Time='(-inf-519.5]'_Delay=0","0.0","AirportFrom=BKG_Time='(-inf-519.5]'_Delay=1"
"Flight_AirportTo_Delay","0.13798904442734147","0.08604667021184251","0.06781197927420765","0.5","Flight='(1306.5-2431.5]'_AirportTo=LCH_Delay=0","0.0","Flight='(1306.5-2431.5]'_AirportTo=LCH_Delay=1"
"AirportFrom_Length_Delay","0.13830106792244548","0.07996706139106331","0.06775476304978376","0.5","AirportFrom=BGR_Length='(100.5-130.5]'_Delay=1","0.0","AirportFrom=OAJ_Length='(100.5-130.5]'_Delay=0"
"Flight_AirportFrom_Delay","0.13843052926657817","0.0789593967845332","0.06693200354950893","0.5","Flight='(-inf-566.5]'_AirportFrom=BKG_Delay=0","0.0","Flight='(-inf-566.5]'_AirportFrom=BKG_Delay=1"
"DayOfWeek_Time_Delay","0.13917337982820469","0.06901396672140278","0.03337695121974077","0.13407171960213785","DayOfWeek=2_Time='(1079.5-inf)'_Delay=0","0.0016689105373058621","DayOfWeek=7_Time='(1079.5-inf)'_Delay=0"
"DayOfWeek_Length_Delay","0.13933173431218646","0.06852157997952503","0.032495806441745274","0.116342503525586","DayOfWeek=2_Length='(130.5-174.5]'_Delay=1","0.0011274511846154078","DayOfWeek=1_Length='(100.5-130.5]'_Delay=1"
"Flight_DayOfWeek_Delay","0.14158751097598818","0.06961090603036588","0.033381545673640024","0.13595624875925016","Flight='(566.5-1306.5]'_DayOfWeek=2_Delay=0","0.004055772763672305","Flight='(2431.5-4272.5]'_DayOfWeek=1_Delay=0"
"Airline_AirportTo_Delay","0.14164708651082675","0.09044687999731009","0.0760449472951993","0.5","Airline=YV_AirportTo=OAK_Delay=0","0.0","Airline=YV_AirportTo=OAK_Delay=1"
"Airline_AirportFrom_Delay","0.14320087427371297","0.08224864789272773","0.07801946232624536","0.5","Airline=OH_AirportFrom=TPA_Delay=0","0.0","Airline=OH_AirportFrom=TPA_Delay=1"
"Airline_DayOfWeek_Delay","0.14924411954669342","0.07230135821077929","0.043442482997138036","0.2089070048309179","Airline=HA_DayOfWeek=7_Delay=1","8.903784336645182E-4","Airline=EV_DayOfWeek=2_Delay=0"
"AirportFrom_AirportTo_Delay","0.15050508885587366","0.08626629764122976","0.0695561390595889","0.5","AirportFrom=DTW_AirportTo=HPN_Delay=1","0.0","AirportFrom=STL_AirportTo=RSW_Delay=0"
"AirportTo_DayOfWeek_Delay","0.1583657850979515","0.10147528705358136","0.08508369548920854","0.5","AirportTo=TEX_DayOfWeek=1_Delay=0","0.0","AirportTo=TEX_DayOfWeek=1_Delay=1"
"AirportFrom_DayOfWeek_Delay","0.16022571663577218","0.09598238142791313","0.080448872298594","0.5","AirportFrom=MMH_DayOfWeek=3_Delay=0","0.0","AirportFrom=MMH_DayOfWeek=3_Delay=1"
