"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Flight_Time_Length_Delay","0.04793442332445946","3.888152893885016E-4","3.541148054940821E-4","0.00262490404756739","Flight='(-inf-566.5]'_Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=1","2.9897416602003846E-6","Flight='(2431.5-4272.5]'_Time='(700.5-890.5]'_Length='(100.5-130.5]'_Delay=1"
"Airline_Flight_Length_Delay","0.07106979243753517","3.3395105512525573E-4","4.2864290323413654E-4","0.003434469138242753","Airline=WN_Flight='(566.5-1306.5]'_Length='(-inf-75.5]'_Delay=0","0.0","Airline=B6_Flight='(1306.5-2431.5]'_Length='(-inf-75.5]'_Delay=0"
"Airline_Flight_Time_Delay","0.07224144957696711","3.199584670565019E-4","3.9500898345416963E-4","0.003178712166422338","Airline=WN_Flight='(566.5-1306.5]'_Time='(700.5-890.5]'_Delay=1","2.456191974002306E-7","Airline=FL_Flight='(-inf-566.5]'_Time='(519.5-700.5]'_Delay=0"
"Airline_Time_Length_Delay","0.0777847743351666","1.7983255200961442E-4","2.2971867086374987E-4","0.0016538170493397696","Airline=WN_Time='(1079.5-inf)'_Length='(-inf-75.5]'_Delay=0","0.0","Airline=EV_Time='(890.5-1079.5]'_Length='(174.5-inf)'_Delay=0"
"Flight_DayOfWeek_Length_Delay","0.11251248548425394","6.414238989283556E-4","5.130172989515385E-4","0.0029077658841417543","Flight='(-inf-566.5]'_DayOfWeek=5_Length='(174.5-inf)'_Delay=1","1.258321852755243E-6","Flight='(2431.5-4272.5]'_DayOfWeek=6_Length='(174.5-inf)'_Delay=0"
"AirportTo_Time_Length_Delay","0.11381963343601234","3.387269914533016E-5","4.7320321322392794E-5","7.267412386783275E-4","AirportTo=ATL_Time='(700.5-890.5]'_Length='(75.5-100.5]'_Delay=1","0.0","AirportTo=BUF_Time='(890.5-1079.5]'_Length='(174.5-inf)'_Delay=0"
"Airline_Flight_AirportTo_Delay","0.11410470532306147","4.472297090332542E-5","8.595067753814595E-5","0.001968363375961754","Airline=EV_Flight='(4272.5-inf)'_AirportTo=ATL_Delay=1","0.0","Airline=DL_Flight='(566.5-1306.5]'_AirportTo=DAB_Delay=0"
"Flight_AirportTo_Length_Delay","0.11441962130694616","4.4989389142073016E-5","6.265453383949767E-5","0.0012097120760376184","Flight='(4272.5-inf)'_AirportTo=ATL_Length='(75.5-100.5]'_Delay=1","0.0","Flight='(-inf-566.5]'_AirportTo=JAX_Length='(174.5-inf)'_Delay=0"
"AirportFrom_Time_Length_Delay","0.11829854331687825","3.445873451885779E-5","5.1716743110654524E-5","7.341217632830415E-4","AirportFrom=IAH_Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=1","0.0","AirportFrom=MHT_Time='(700.5-890.5]'_Length='(130.5-174.5]'_Delay=0"
"Airline_AirportTo_Length_Delay","0.11980666593035319","3.790619183262082E-5","6.084776579248441E-5","0.0010707838405417986","Airline=EV_AirportTo=ATL_Length='(75.5-100.5]'_Delay=1","0.0","Airline=OH_AirportTo=GRB_Length='(75.5-100.5]'_Delay=0"
"Airline_Flight_AirportFrom_Delay","0.12055709757493879","4.6148319525257604E-5","9.655469194508948E-5","0.0023623338655294804","Airline=XE_Flight='(2431.5-4272.5]'_AirportFrom=IAH_Delay=1","0.0","Airline=CO_Flight='(1306.5-2431.5]'_AirportFrom=MIA_Delay=0"
"Flight_AirportFrom_Length_Delay","0.12061570616606607","4.6297384603811907E-5","7.011069367323827E-5","0.001101495345053243","Flight='(1306.5-2431.5]'_AirportFrom=IAH_Length='(130.5-174.5]'_Delay=1","0.0","Flight='(-inf-566.5]'_AirportFrom=AMA_Length='(75.5-100.5]'_Delay=0"
"Flight_AirportTo_Time_Delay","0.12206085297734118","3.597654957152275E-5","5.1314109326820516E-5","7.460108587444053E-4","Flight='(4272.5-inf)'_AirportTo=ATL_Time='(519.5-700.5]'_Delay=1","0.0","Flight='(566.5-1306.5]'_AirportTo=ALB_Time='(-inf-519.5]'_Delay=0"
"Airline_AirportFrom_Length_Delay","0.12523573964430537","3.8890411602336404E-5","6.926626350862532E-5","0.0010561826792901876","Airline=EV_AirportFrom=ATL_Length='(75.5-100.5]'_Delay=1","0.0","Airline=US_AirportFrom=STX_Length='(174.5-inf)'_Delay=0"
"Flight_AirportFrom_Time_Delay","0.1290874476242836","3.801743720741073E-5","5.679947502844948E-5","8.909245715856632E-4","Flight='(-inf-566.5]'_AirportFrom=PHX_Time='(1079.5-inf)'_Delay=1","0.0","Flight='(4272.5-inf)'_AirportFrom=LAN_Time='(700.5-890.5]'_Delay=0"
"Airline_DayOfWeek_Length_Delay","0.1314814506908796","2.164870110764738E-4","2.812274882651011E-4","0.002860557049345688","Airline=WN_DayOfWeek=3_Length='(-inf-75.5]'_Delay=1","0.0","Airline=HA_DayOfWeek=5_Length='(130.5-174.5]'_Delay=0"
"DayOfWeek_Time_Length_Delay","0.13322133329894625","7.670479634129666E-4","5.51944552060593E-4","0.0028169430689978245","DayOfWeek=4_Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=1","1.2194276080819758E-6","DayOfWeek=6_Time='(700.5-890.5]'_Length='(75.5-100.5]'_Delay=0"
"Airline_Flight_DayOfWeek_Delay","0.1346836928014874","4.0921593070364836E-4","5.095346164810542E-4","0.004632592944969383","Airline=WN_Flight='(566.5-1306.5]'_DayOfWeek=3_Delay=1","0.0","Airline=HA_Flight='(566.5-1306.5]'_DayOfWeek=3_Delay=1"
"Flight_DayOfWeek_Time_Delay","0.13539070002053896","7.786188498008818E-4","5.66739681037599E-4","0.0028801259805200214","Flight='(-inf-566.5]'_DayOfWeek=4_Time='(1079.5-inf)'_Delay=1","4.4885864488640546E-6","Flight='(566.5-1306.5]'_DayOfWeek=6_Time='(890.5-1079.5]'_Delay=0"
"Airline_AirportTo_Time_Delay","0.13681191347670804","2.5101302975075444E-5","4.3614364729005786E-5","0.0010879070676302347","Airline=DL_AirportTo=ATL_Time='(700.5-890.5]'_Delay=1","0.0","Airline=F9_AirportTo=GEG_Time='(-inf-519.5]'_Delay=0"
"AirportFrom_AirportTo_Length_Delay","0.13706380790604286","2.6402493150691414E-5","2.8596512189700444E-5","3.190689134851397E-4","AirportFrom=DEN_AirportTo=LAS_Length='(100.5-130.5]'_Delay=0","0.0","AirportFrom=AUS_AirportTo=TPA_Length='(100.5-130.5]'_Delay=0"
"Airline_AirportFrom_Time_Delay","0.14192179639350352","2.6185737534181765E-5","4.980121431161137E-5","0.0012370446883402451","Airline=CO_AirportFrom=IAH_Time='(1079.5-inf)'_Delay=1","0.0","Airline=UA_AirportFrom=MIA_Time='(-inf-519.5]'_Delay=0"
"AirportTo_DayOfWeek_Length_Delay","0.15346118234462516","2.565039259037771E-5","5.137185442222238E-5","8.578767395036348E-4","AirportTo=ATL_DayOfWeek=5_Length='(100.5-130.5]'_Delay=0","0.0","AirportTo=PSE_DayOfWeek=6_Length='(130.5-174.5]'_Delay=0"
"Airline_AirportFrom_AirportTo_Delay","0.15511271183691508","2.2720295550094546E-5","2.3970627241306728E-5","2.692480183412746E-4","Airline=EV_AirportFrom=DCA_AirportTo=BOS_Delay=0","0.0","Airline=EV_AirportFrom=MCI_AirportTo=MSP_Delay=0"
"Airline_DayOfWeek_Time_Delay","0.1562039412740466","2.4866533224057264E-4","3.0245856772235087E-4","0.0029025139477775862","Airline=WN_DayOfWeek=3_Time='(890.5-1079.5]'_Delay=1","6.437015409095528E-7","Airline=F9_DayOfWeek=6_Time='(700.5-890.5]'_Delay=1"
"Flight_AirportTo_DayOfWeek_Delay","0.15758093145644272","2.7010656289678473E-5","5.283078842278129E-5","9.726763342585547E-4","Flight='(4272.5-inf)'_AirportTo=ATL_DayOfWeek=3_Delay=1","0.0","Flight='(1306.5-2431.5]'_AirportTo=STT_DayOfWeek=3_Delay=0"
"AirportFrom_DayOfWeek_Length_Delay","0.1586792378122297","2.5354023919447032E-5","5.267045701186759E-5","8.545914518759063E-4","AirportFrom=ATL_DayOfWeek=3_Length='(75.5-100.5]'_Delay=1","0.0","AirportFrom=LSE_DayOfWeek=7_Length='(100.5-130.5]'_Delay=0"
"Flight_AirportFrom_DayOfWeek_Delay","0.16364919759054253","2.809623178508376E-5","5.625019185345735E-5","0.0010243597974144583","Flight='(4272.5-inf)'_AirportFrom=ATL_DayOfWeek=3_Delay=1","0.0","Flight='(1306.5-2431.5]'_AirportFrom=STT_DayOfWeek=2_Delay=0"
"Airline_AirportTo_DayOfWeek_Delay","0.17805067627490415","1.7639020719913512E-5","4.4784045217198336E-5","0.0011766600503263134","Airline=DL_AirportTo=ATL_DayOfWeek=5_Delay=0","0.0","Airline=CO_AirportTo=STT_DayOfWeek=3_Delay=0"
"AirportTo_DayOfWeek_Time_Delay","0.1786559337079505","2.159091845396319E-5","4.7745367233471474E-5","0.0011455983894601456","AirportTo=ATL_DayOfWeek=5_Time='(-inf-519.5]'_Delay=0","0.0","AirportTo=STT_DayOfWeek=3_Time='(-inf-519.5]'_Delay=0"
"AirportFrom_DayOfWeek_Time_Delay","0.1835961054198552","2.2315868093842855E-5","5.06996171719827E-5","9.547694859323174E-4","AirportFrom=ATL_DayOfWeek=4_Time='(1079.5-inf)'_Delay=1","0.0","AirportFrom=LNK_DayOfWeek=4_Time='(519.5-700.5]'_Delay=0"
"Airline_AirportFrom_DayOfWeek_Delay","0.18480283138904013","1.8311485837800906E-5","4.837528709440937E-5","0.0011648091963568617","Airline=DL_AirportFrom=ATL_DayOfWeek=3_Delay=0","0.0","Airline=CO_AirportFrom=STT_DayOfWeek=2_Delay=0"
"Flight_AirportFrom_AirportTo_Delay","0.19712707266504167","2.1145138470852092E-5","2.242618654642205E-5","3.609698148857916E-4","Flight='(1306.5-2431.5]'_AirportFrom=BOS_AirportTo=LGA_Delay=0","0.0","Flight='(566.5-1306.5]'_AirportFrom=HOU_AirportTo=ECP_Delay=0"
"AirportFrom_AirportTo_Time_Delay","0.20082479583481833","1.4359846636296563E-5","1.353150958409754E-5","1.305520495200238E-4","AirportFrom=LGA_AirportTo=BOS_Time='(-inf-519.5]'_Delay=0","0.0","AirportFrom=IND_AirportTo=MCI_Time='(700.5-890.5]'_Delay=0"
"AirportFrom_AirportTo_DayOfWeek_Delay","0.22990839105396604","8.081643156145723E-6","9.30202517494232E-6","1.866936905730331E-4","AirportFrom=OGG_AirportTo=HNL_DayOfWeek=5_Delay=0","0.0","AirportFrom=LAS_AirportTo=PVD_DayOfWeek=1_Delay=0"
