"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Flight_Length_Delay","0.13672022314258409","0.0027344044628516795","0.0010529972426579486","0.006855287787054212","Flight='(-inf-566.5]'_Length='(174.5-inf)'_Delay=1","4.908400741660912E-4","Flight='(4272.5-inf)'_Length='(174.5-inf)'_Delay=0"
"Flight_Time_Delay","0.1367202231425841","0.002734404462851687","6.554742737092915E-4","0.004903005079705064","Flight='(-inf-566.5]'_Time='(1079.5-inf)'_Delay=1","0.0013941197753855727","Flight='(4272.5-inf)'_Time='(-inf-519.5]'_Delay=1"
"Airline_Flight_Delay","0.1367202231425841","0.0014544704589636622","0.0015806160935389446","0.007348803111696691","Airline=OO_Flight='(4272.5-inf)'_Delay=0","5.626599219479205E-6","Airline=YV_Flight='(1306.5-2431.5]'_Delay=1"
"Time_Length_Delay","0.1367202231425841","0.002734404462851683","6.6662061288081E-4","0.0046429776626306166","Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=1","0.0013542835981167345","Time='(1079.5-inf)'_Length='(174.5-inf)'_Delay=0"
"Airline_Time_Delay","0.13756948438691222","7.642749132606252E-4","8.048766335466421E-4","0.0039579581684651335","Airline=WN_Time='(519.5-700.5]'_Delay=0","8.677115794999577E-7","Airline=OH_Time='(890.5-1079.5]'_Delay=1"
"Airline_Length_Delay","0.13807170047185394","7.844982981355337E-4","9.37308665816228E-4","0.005832784484212665","Airline=WN_Length='(-inf-75.5]'_Delay=0","0.0","Airline=F9_Length='(-inf-75.5]'_Delay=1"
"AirportTo_Length_Delay","0.14468846832795076","8.249057487340413E-5","1.5706935781373317E-4","0.0015736684212429124","AirportTo=DEN_Length='(130.5-174.5]'_Delay=0","0.0","AirportTo=PLN_Length='(75.5-100.5]'_Delay=1"
"AirportTo_Time_Delay","0.14482765634752723","5.916162432497043E-5","1.1949132553725854E-4","9.818800973867437E-4","AirportTo=ATL_Time='(519.5-700.5]'_Delay=0","0.0","AirportTo=FLG_Time='(700.5-890.5]'_Delay=1"
"Flight_AirportTo_Delay","0.1453483979293468","8.470186359519083E-5","1.5391474724018006E-4","0.0012652781875112287","Flight='(2431.5-4272.5]'_AirportTo=DFW_Delay=0","0.0","Flight='(1306.5-2431.5]'_AirportTo=LCH_Delay=1"
"Flight_AirportFrom_Delay","0.14578496933213286","8.535419750124813E-5","1.7202522415936885E-4","0.0015227144033675426","Flight='(2431.5-4272.5]'_AirportFrom=IAH_Delay=1","0.0","Flight='(-inf-566.5]'_AirportFrom=BKG_Delay=1"
"AirportFrom_Time_Delay","0.14590315774954296","6.039037986322114E-5","1.3597718667475773E-4","0.0013286441236179513","AirportFrom=ATL_Time='(1079.5-inf)'_Delay=0","0.0","AirportFrom=BKG_Time='(-inf-519.5]'_Delay=1"
"AirportFrom_Length_Delay","0.14711016991188128","8.07410372732603E-5","1.6228756694205512E-4","0.001682313930655799","AirportFrom=DEN_Length='(130.5-174.5]'_Delay=0","0.0","AirportFrom=HLN_Length='(-inf-75.5]'_Delay=1"
"DayOfWeek_Length_Delay","0.1472176996093222","0.002103109994418892","0.0014279096439103853","0.005482326045921734","DayOfWeek=4_Length='(174.5-inf)'_Delay=1","3.6214965812494775E-5","DayOfWeek=7_Length='(174.5-inf)'_Delay=1"
"Flight_DayOfWeek_Delay","0.14930300688160547","0.0021329000983086447","0.0014140105517005442","0.005492907503995632","Flight='(-inf-566.5]'_DayOfWeek=4_Delay=1","4.8013086622672105E-6","Flight='(-inf-566.5]'_DayOfWeek=1_Delay=1"
"Airline_AirportTo_Delay","0.15171079751355349","5.08755189515607E-5","1.3195054011152878E-4","0.001921825581663119","Airline=DL_AirportTo=ATL_Delay=0","0.0","Airline=YV_AirportTo=OAK_Delay=1"
"DayOfWeek_Time_Delay","0.1529600536425683","0.002185143623465264","0.0014168397811578158","0.005970227928815911","DayOfWeek=4_Time='(1079.5-inf)'_Delay=1","8.732916824972722E-6","DayOfWeek=5_Time='(-inf-519.5]'_Delay=0"
"Airline_AirportFrom_Delay","0.15464640190980355","5.185996039899439E-5","1.5107500321277163E-4","0.002192137913002871","Airline=XE_AirportFrom=IAH_Delay=1","0.0","Airline=OH_AirportFrom=TPA_Delay=1"
"Airline_DayOfWeek_Delay","0.1584582188358832","6.288024556979521E-4","7.853485155088982E-4","0.005955094583782269","Airline=WN_DayOfWeek=4_Delay=1","3.6881532203688564E-6","Airline=UA_DayOfWeek=1_Delay=1"
"AirportFrom_AirportTo_Delay","0.16509747406198744","1.9701369219807187E-5","2.3969832240880168E-5","2.9358163900932045E-4","AirportFrom=LAS_AirportTo=LAX_Delay=0","0.0","AirportFrom=STL_AirportTo=RSW_Delay=0"
"AirportTo_DayOfWeek_Delay","0.1683939638308119","4.1415141129073565E-5","1.0424545078517849E-4","0.0013317344185946988","AirportTo=ORD_DayOfWeek=2_Delay=0","0.0","AirportTo=TEX_DayOfWeek=1_Delay=1"
"AirportFrom_DayOfWeek_Delay","0.17139414325966415","4.2153011131249996E-5","1.1288106339614354E-4","0.0014087784361340803","AirportFrom=ATL_DayOfWeek=4_Delay=1","0.0","AirportFrom=MMH_DayOfWeek=3_Delay=1"
