"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Airline_Length_Delay","0.13620790046494105","0.069538452035275","0.05607708409093696","0.5","Airline=F9_Length='(-inf-75.5]'_Delay=0","0.0","Airline=F9_Length='(-inf-75.5]'_Delay=1"
"Time_Length_Delay","0.13633255193935703","0.06803524472192427","0.008606720274297772","0.08229815712419405","Time='(1079.5-inf)'_Length='(-inf-75.5]'_Delay=0","0.047009872729984636","Time='(-inf-519.5]'_Length='(75.5-100.5]'_Delay=0"
"Flight_Length_Delay","0.13647392306227787","0.07064296791251348","0.011862126035242617","0.09416567802028858","Flight='(-inf-566.5]'_Length='(-inf-75.5]'_Delay=0","0.04117775253326508","Flight='(4272.5-inf)'_Length='(75.5-100.5]'_Delay=1"
"DayOfWeek_Length_Delay","0.13657717555273408","0.0674584529189847","0.03228751527644439","0.116342503525586","DayOfWeek=2_Length='(130.5-174.5]'_Delay=1","0.0011274511846154078","DayOfWeek=1_Length='(100.5-130.5]'_Delay=1"
"Flight_Time_Delay","0.1374258393181074","0.0686619483959393","0.012209280318482429","0.08993496808066345","Flight='(-inf-566.5]'_Time='(1079.5-inf)'_Delay=0","0.03743319392498744","Flight='(4272.5-inf)'_Time='(-inf-519.5]'_Delay=1"
"Airline_Flight_Delay","0.1375267673040647","0.06752595952876847","0.02520214237023685","0.11566638670287599","Airline=F9_Flight='(566.5-1306.5]'_Delay=0","0.010370702429313483","Airline=OH_Flight='(4272.5-inf)'_Delay=1"
"AirportTo_Length_Delay","0.1378596485597969","0.08328396904272145","0.06885887068290779","0.5","AirportTo=PLN_Length='(75.5-100.5]'_Delay=0","0.0","AirportTo=PLN_Length='(75.5-100.5]'_Delay=1"
"Airline_Time_Delay","0.13792744514795147","0.06417189803347736","0.029911213001937952","0.14535880141530297","Airline=F9_Time='(1079.5-inf)'_Delay=0","6.000236861317676E-4","Airline=OH_Time='(-inf-519.5]'_Delay=0"
"Flight_DayOfWeek_Delay","0.1388362749948751","0.06853138224596506","0.033133701825358144","0.13595624875925016","Flight='(566.5-1306.5]'_DayOfWeek=2_Delay=0","0.004055772763672305","Flight='(2431.5-4272.5]'_DayOfWeek=1_Delay=0"
"Flight_AirportTo_Delay","0.13904083056099778","0.0841298428117001","0.06431050418441897","0.5","Flight='(1306.5-2431.5]'_AirportTo=BZN_Delay=0","0.0","Flight='(1306.5-2431.5]'_AirportTo=LCH_Delay=0"
"AirportFrom_Length_Delay","0.13952841406534947","0.078813523296389","0.06704919873857926","0.5","AirportFrom=BGR_Length='(100.5-130.5]'_Delay=1","0.0","AirportFrom=HLN_Length='(-inf-75.5]'_Delay=0"
"Flight_AirportFrom_Delay","0.1395802680499378","0.077797020979404","0.06383109144598603","0.5","Flight='(-inf-566.5]'_AirportFrom=BKG_Delay=0","0.0","Flight='(-inf-566.5]'_AirportFrom=BKG_Delay=1"
"DayOfWeek_Time_Delay","0.1397381280120707","0.06934771816375628","0.03353729075064151","0.13407171960213785","DayOfWeek=2_Time='(1079.5-inf)'_Delay=0","0.0016689105373058621","DayOfWeek=7_Time='(1079.5-inf)'_Delay=0"
"AirportTo_Time_Delay","0.1397538277950303","0.08356057194447099","0.07105281232292446","0.5","AirportTo=CDC_Time='(519.5-700.5]'_Delay=0","0.0","AirportTo=FLG_Time='(700.5-890.5]'_Delay=0"
"AirportFrom_Time_Delay","0.1418910933891598","0.08039402902981706","0.06654003622863675","0.5","AirportFrom=BKG_Time='(-inf-519.5]'_Delay=0","0.0","AirportFrom=BKG_Time='(-inf-519.5]'_Delay=1"
"Airline_AirportTo_Delay","0.14224997178272167","0.08911429566093469","0.07488835249581029","0.5","Airline=YV_AirportTo=OAK_Delay=0","0.0","Airline=9E_AirportTo=SAT_Delay=0"
"Airline_AirportFrom_Delay","0.14388360777517284","0.0819760010323366","0.07686531217235472","0.5","Airline=OH_AirportFrom=TPA_Delay=0","0.0","Airline=OH_AirportFrom=TPA_Delay=1"
"Airline_DayOfWeek_Delay","0.14673870549020832","0.07151113659157417","0.04273712948322069","0.2089070048309179","Airline=HA_DayOfWeek=7_Delay=1","8.903784336645182E-4","Airline=EV_DayOfWeek=2_Delay=0"
"AirportFrom_AirportTo_Delay","0.15112671588834448","0.086910120452663","0.0702773152538583","0.5","AirportFrom=IAH_AirportTo=EGE_Delay=1","0.0","AirportFrom=STL_AirportTo=RSW_Delay=0"
"AirportTo_DayOfWeek_Delay","0.15676391211475368","0.0999310929091056","0.08270464493854321","0.5","AirportTo=TEX_DayOfWeek=1_Delay=0","0.0","AirportTo=TEX_DayOfWeek=1_Delay=1"
"AirportFrom_DayOfWeek_Delay","0.15773854427115783","0.0936974293960652","0.07865783093421672","0.5","AirportFrom=MMH_DayOfWeek=3_Delay=0","0.0","AirportFrom=MMH_DayOfWeek=3_Delay=1"
