"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_DayOfWeek","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_DayOfWeek","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_DayOfWeek_Time","Airline_Flight_DayOfWeek_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_DayOfWeek","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_DayOfWeek_Time","Airline_AirportFrom_DayOfWeek_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_DayOfWeek_Time","Airline_AirportTo_DayOfWeek_Length","Airline_AirportTo_Time_Length","Airline_DayOfWeek_Time_Length","Flight_AirportFrom_AirportTo_DayOfWeek","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_DayOfWeek_Time","Flight_AirportFrom_DayOfWeek_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_DayOfWeek_Time","Flight_AirportTo_DayOfWeek_Length","Flight_AirportTo_Time_Length","Flight_DayOfWeek_Time_Length","AirportFrom_AirportTo_DayOfWeek_Time","AirportFrom_AirportTo_DayOfWeek_Length","AirportFrom_AirportTo_Time_Length","AirportFrom_DayOfWeek_Time_Length","AirportTo_DayOfWeek_Time_Length"
"10000","0.9890999999999018","0.36479999999997176","0.3308999999999867","0.727599999999966","0.24689999999999007","0.3635999999999894","0.7283999999999613","0.25399999999998957","0.9516999999999993","0.2513999999999999","0.714199999999995","0.39959999999996926","0.7471999999999298","0.26999999999998237","0.9573999999999578","0.337699999999984","0.7314999999999605","0.958999999999964","0.3545999999999892","0.7298999999999557","0.9518999999999995","0.4991999999999587","0.753199999999929","0.36319999999997227","0.953699999999971","0.3480999999999873","0.7287999999999617","0.9559999999999748","0.3604999999999905","0.7266999999999572","0.9517000000000005","0.9707999999999118","0.38169999999997495","0.7407999999999347","0.9543999999999714","0.955499999999975"
"20000","0.9743999999999027","0.3831999999999698","0.7943999999999748","0.7164999999999626","0.2638999999999883","0.7654999999999692","0.7197999999999621","0.25939999999998925","0.8792999999999987","0.7614999999999992","0.6751999999999957","0.804099999999935","0.7530999999999284","0.2887999999999805","0.9109999999999614","0.799299999999972","0.7227999999999573","0.9159999999999605","0.7693999999999662","0.7219999999999561","0.8808999999999987","0.8278999999999299","0.7628999999999279","0.37889999999997076","0.8999999999999723","0.792099999999975","0.721599999999958","0.9053999999999713","0.767299999999971","0.7173999999999585","0.8788000000000002","0.9422999999999139","0.7991999999999432","0.7414999999999342","0.8972999999999718","0.9060999999999734"
"30000","0.9686999999999035","0.3821999999999697","0.4771999999999821","0.7082999999999624","0.26609999999998857","0.49659999999998483","0.7115999999999632","0.2604999999999891","0.8427999999999995","0.4373999999999997","0.661399999999996","0.5329999999999572","0.755399999999928","0.2878999999999806","0.8824999999999641","0.48249999999998033","0.7150999999999562","0.8846999999999605","0.4900999999999823","0.7160999999999579","0.8450999999999975","0.6054999999999493","0.7666999999999264","0.3805999999999708","0.8734999999999739","0.48089999999998273","0.7101999999999592","0.8786999999999722","0.492799999999984","0.714499999999959","0.8409000000000002","0.9280999999999151","0.5119999999999649","0.7410999999999339","0.8728999999999743","0.8770999999999729"
"40000","0.9798999999999026","0.3788999999999702","0.6158999999999795","0.7450999999999622","0.264799999999988","0.5845999999999776","0.7515999999999609","0.25779999999998915","0.9274999999999997","0.5664999999999996","0.729299999999996","0.6337999999999485","0.7783999999999265","0.28969999999998014","0.9348999999999625","0.6142999999999772","0.7499999999999556","0.9399999999999638","0.5905999999999733","0.756899999999956","0.9277999999999986","0.6891999999999412","0.7826999999999252","0.3801999999999707","0.9321999999999737","0.6145999999999782","0.7484999999999582","0.9330999999999728","0.5873999999999787","0.7509999999999563","0.9275000000000003","0.9590999999999122","0.6276999999999553","0.7686999999999315","0.9335999999999728","0.9323999999999735"
"50000","0.9979999999999006","0.40069999999996825","0.6367999999999769","0.7557999999999615","0.2860999999999875","0.6585999999999783","0.7560999999999619","0.28009999999998764","0.9921999999999992","0.6215999999999994","0.7372999999999971","0.6816999999999446","0.7691999999999277","0.2965999999999804","0.9931999999999591","0.6416999999999725","0.7492999999999554","0.9929999999999598","0.656199999999975","0.748699999999958","0.9921999999999989","0.7246999999999376","0.7938999999999243","0.39889999999996917","0.9927999999999737","0.6404999999999759","0.7614999999999557","0.9923999999999719","0.6555999999999785","0.7593999999999564","0.9921999999999996","0.9948999999999084","0.6657999999999533","0.7610999999999328","0.9926999999999709","0.9924999999999738"
"60000","0.9990999999999002","0.35709999999997283","0.5092999999999795","0.6094999999999717","0.2527999999999898","0.4743999999999805","0.6033999999999706","0.24059999999998974","0.9954999999999996","0.3977999999999989","0.5833999999999963","0.5560999999999521","0.6186999999999432","0.27019999999998223","0.9961999999999593","0.5105999999999754","0.6050999999999657","0.9961999999999596","0.4829999999999758","0.6007999999999653","0.9954999999999979","0.6329999999999443","0.6456999999999395","0.3573999999999735","0.99579999999997","0.5084999999999782","0.6139999999999662","0.9955999999999681","0.4840999999999793","0.6084999999999653","0.9954999999999997","0.9978999999999074","0.5363999999999591","0.6112999999999467","0.9957999999999687","0.995599999999969"
"70000","0.9844999999999016","0.3749999999999713","0.8338999999999744","0.502999999999977","0.2706999999999893","0.8108999999999706","0.5052999999999748","0.2704999999999891","0.9098999999999993","0.8081999999999995","0.42819999999999725","0.8430999999999317","0.559899999999949","0.2744999999999824","0.9368999999999612","0.8384999999999682","0.4937999999999732","0.9376999999999601","0.8139999999999639","0.4979999999999709","0.9107999999999983","0.8598999999999268","0.6062999999999434","0.36749999999997285","0.9277999999999704","0.8326999999999725","0.5136999999999735","0.9303999999999685","0.8108999999999709","0.5133999999999708","0.9083000000000001","0.9623999999999108","0.8374999999999407","0.5322999999999553","0.9268999999999693","0.9306999999999701"
"80000","0.9703999999999033","0.3904999999999692","0.5174999999999803","0.710299999999963","0.27239999999998726","0.537699999999983","0.7016999999999644","0.2642999999999893","0.8550999999999995","0.4846999999999995","0.6540999999999968","0.5725999999999531","0.7588999999999284","0.29719999999997987","0.8918999999999642","0.5258999999999774","0.717399999999957","0.8841999999999621","0.5338999999999804","0.7122999999999593","0.8547999999999983","0.6331999999999458","0.7767999999999252","0.3890999999999702","0.8846999999999728","0.5209999999999809","0.7135999999999579","0.8791999999999714","0.5340999999999826","0.7090999999999589","0.8530000000000002","0.9320999999999147","0.5511999999999619","0.7430999999999334","0.8847999999999715","0.8781999999999726"
"90000","0.972199999999903","0.37989999999997","0.573799999999981","0.7331999999999632","0.2659999999999891","0.5423999999999801","0.7348999999999598","0.2552999999999895","0.8833999999999994","0.5198999999999995","0.6990999999999961","0.5958999999999524","0.7755999999999259","0.29109999999998054","0.9056999999999621","0.5729999999999789","0.7353999999999578","0.9095999999999628","0.5500999999999757","0.7440999999999552","0.8862999999999985","0.6588999999999434","0.7837999999999253","0.38339999999997104","0.9020999999999726","0.5747999999999801","0.7357999999999568","0.8987999999999721","0.5478999999999805","0.7352999999999569","0.8834","0.9421999999999137","0.5889999999999588","0.7625999999999318","0.9008999999999714","0.8979999999999747"
"100000","0.9910999999999014","0.36999999999997174","0.6974999999999731","0.7385999999999626","0.26569999999998833","0.7170999999999778","0.7352999999999643","0.25219999999998977","0.9572999999999997","0.6873999999999998","0.7203999999999962","0.7346999999999394","0.7572999999999288","0.2871999999999805","0.966699999999962","0.7020999999999692","0.741699999999956","0.9603999999999616","0.7164999999999725","0.7364999999999574","0.9572999999999984","0.7694999999999352","0.7605999999999279","0.3744999999999713","0.9633999999999736","0.7003999999999728","0.7389999999999585","0.9583999999999707","0.7160999999999768","0.7329999999999594","0.9573","0.9763999999999113","0.7229999999999486","0.7508999999999342","0.9637999999999721","0.9588999999999731"
