"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_DayOfWeek","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_DayOfWeek","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_DayOfWeek","AirportFrom_Time","AirportFrom_Length","AirportTo_DayOfWeek","AirportTo_Time","AirportTo_Length","DayOfWeek_Time","DayOfWeek_Length","Time_Length"
"5000","0.9423999999999156","0.058600000000000006","0.20279999999999906","0.18339999999999906","0.039599999999999996","0.7085999999999999","0.07140000000000005","0.1881999999999996","0.16379999999999958","0.026999999999999996","0.705","0.04559999999999999","0.308799999999988","0.11540000000000024","0.7389999999999953","0.17399999999999985","0.10160000000000022","0.7303999999999968","0.16000000000000017","0.7050000000000001","0.022799999999999987","0.7049999999999998"
"10000","0.9781999999999118","0.053200000000000025","0.17799999999999924","0.1689999999999998","0.037","0.9034000000000001","0.0696","0.1699999999999999","0.15340000000000015","0.01679999999999998","0.9034","0.046599999999999996","0.3161999999999872","0.09760000000000021","0.9049999999999947","0.16839999999999977","0.0802000000000002","0.905999999999994","0.15660000000000007","0.9034","0.018199999999999994","0.9034"
"15000","0.960999999999914","0.07200000000000001","0.18479999999999924","0.1773999999999993","0.4776000000000001","0.8041999999999998","0.08460000000000001","0.1669999999999999","0.16419999999999993","0.47759999999999997","0.8042","0.044600000000000015","0.30119999999998925","0.4817999999999998","0.8247999999999936","0.16040000000000024","0.5101999999999991","0.8069999999999954","0.1593999999999999","0.8042","0.47759999999999997","0.8041999999999999"
"20000","0.9487999999999158","0.061399999999999996","0.18579999999999888","0.19299999999999867","0.5224","0.7575999999999995","0.08580000000000002","0.1642000000000002","0.17219999999999994","0.5224000000000001","0.7575999999999999","0.053200000000000004","0.3107999999999882","0.5593999999999988","0.774599999999996","0.16520000000000015","0.5253999999999985","0.7911999999999947","0.16159999999999994","0.7575999999999999","0.5224000000000001","0.7576000000000003"
"25000","0.990399999999911","0.0518","0.1803999999999995","0.17439999999999947","0.04300000000000001","0.9572000000000003","0.07459999999999999","0.15439999999999998","0.15880000000000027","0.015999999999999986","0.9571999999999999","0.045200000000000004","0.3009999999999886","0.08820000000000022","0.9577999999999944","0.1584000000000002","0.08180000000000012","0.9575999999999923","0.15160000000000023","0.9572","0.028200000000000003","0.9571999999999998"
"30000","0.9373999999999162","0.05819999999999999","0.17819999999999894","0.18959999999999916","0.04680000000000001","0.6813999999999998","0.07600000000000001","0.1552000000000002","0.16919999999999985","0.021000000000000005","0.6798000000000001","0.04440000000000001","0.30879999999998775","0.08720000000000015","0.7027999999999961","0.1673999999999997","0.10320000000000015","0.7141999999999951","0.15539999999999998","0.6798","0.022999999999999993","0.6798"
"35000","0.9657999999999132","0.0688","0.21659999999999865","0.21579999999999833","0.8681999999999997","0.8682000000000002","0.0924","0.19019999999999943","0.19299999999999987","0.8682000000000001","0.8682000000000002","0.0564","0.3023999999999893","0.8681999999999981","0.8689999999999959","0.18699999999999972","0.8731999999999973","0.8765999999999963","0.17959999999999976","0.8681999999999999","0.8682000000000001","0.8682"
"40000","0.9597999999999136","0.06740000000000002","0.20119999999999838","0.19419999999999857","0.1418","0.8549999999999999","0.08380000000000001","0.17579999999999973","0.1604000000000001","0.13179999999999997","0.8549999999999999","0.042","0.3211999999999874","0.2089999999999999","0.8585999999999953","0.17419999999999972","0.17919999999999983","0.856999999999993","0.16280000000000008","0.855","0.13180000000000003","0.8550000000000001"
"45000","0.9439999999999156","0.036399999999999995","0.16339999999999982","0.1625999999999996","0.021400000000000016","0.7048","0.066","0.1619999999999998","0.14940000000000042","0.013000000000000012","0.7048","0.041000000000000016","0.30719999999998854","0.09560000000000018","0.7299999999999964","0.1615999999999999","0.06560000000000014","0.7285999999999963","0.15380000000000005","0.7048","0.016799999999999995","0.7048"
"50000","0.9959999999999111","0.08820000000000001","0.19559999999999922","0.19179999999999925","0.24180000000000001","0.9843999999999997","0.09100000000000004","0.16740000000000008","0.17080000000000004","0.2402","0.9843999999999999","0.04180000000000002","0.3093999999999883","0.2617999999999994","0.9845999999999944","0.1598000000000001","0.2919999999999994","0.984799999999994","0.15820000000000017","0.9844","0.2402","0.9844"
"55000","0.959199999999914","0.1108","0.20339999999999886","0.2159999999999989","0.7598","0.7727999999999997","0.11400000000000003","0.18699999999999958","0.19559999999999944","0.7598","0.7598","0.08620000000000001","0.31879999999998765","0.7745999999999977","0.8121999999999953","0.17759999999999954","0.760599999999997","0.7991999999999952","0.17459999999999984","0.7597999999999999","0.7598","0.7598"
