"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_DayOfWeek","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_DayOfWeek","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_DayOfWeek","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_DayOfWeek_Time","Airline_DayOfWeek_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_DayOfWeek","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_DayOfWeek","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_DayOfWeek_Time","Flight_DayOfWeek_Length","Flight_Time_Length","AirportFrom_AirportTo_DayOfWeek","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_DayOfWeek_Time","AirportFrom_DayOfWeek_Length","AirportFrom_Time_Length","AirportTo_DayOfWeek_Time","AirportTo_DayOfWeek_Length","AirportTo_Time_Length","DayOfWeek_Time_Length"
"5000","0.9613999999999127","0.4243999999999839","0.40159999999998713","0.18399999999999997","0.7216000000000002","0.2204000000000001","0.589599999999957","0.3439999999999931","0.8101999999999684","0.44979999999998227","0.33199999999999347","0.8227999999999717","0.4359999999999834","0.7132000000000002","0.20240000000000002","0.7329999999999984","0.6801999999999464","0.30279999999999735","0.7975999999999778","0.4423999999999852","0.29319999999999724","0.7981999999999793","0.42139999999998734","0.705","0.17179999999999998","0.7163999999999999","0.5023999999999706","0.9117999999999251","0.5473999999999648","0.755399999999993","0.2961999999999967","0.7965999999999767","0.7465999999999928","0.2927999999999976","0.8027999999999805","0.7050000000000001"
"10000","0.9849999999999096","0.35859999999998726","0.3429999999999882","0.07659999999999999","0.9033999999999998","0.15380000000000013","0.5643999999999585","0.26839999999999514","0.9221999999999637","0.3955999999999838","0.2587999999999956","0.9253999999999671","0.38599999999998413","0.9034000000000003","0.10720000000000009","0.9039999999999984","0.6573999999999479","0.2375999999999987","0.9157999999999742","0.3995999999999874","0.22659999999999858","0.917599999999974","0.38539999999998736","0.9034","0.0728","0.9034","0.4709999999999734","0.9577999999999185","0.5125999999999673","0.9057999999999902","0.24499999999999755","0.9159999999999713","0.9081999999999907","0.2275999999999982","0.9169999999999715","0.9033999999999999"
"15000","0.9731999999999109","0.3981999999999853","0.41459999999998676","0.4794000000000001","0.8047999999999992","0.22919999999999993","0.5853999999999573","0.5411999999999827","0.8715999999999661","0.4269999999999833","0.6183999999999849","0.8559999999999688","0.4369999999999842","0.8042","0.4854000000000003","0.8087999999999973","0.6683999999999479","0.5159999999999907","0.8541999999999755","0.4277999999999858","0.5861999999999897","0.8461999999999766","0.43259999999998683","0.8041999999999999","0.47779999999999995","0.8041999999999995","0.7005999999999498","0.9321999999999226","0.543599999999965","0.8321999999999912","0.525799999999991","0.8581999999999741","0.8143999999999917","0.5743999999999923","0.839999999999974","0.8041999999999999"
"20000","0.9609999999999127","0.38199999999998563","0.3817999999999861","0.5225999999999998","0.7643999999999989","0.1728","0.5783999999999576","0.6603999999999836","0.8451999999999723","0.4149999999999843","0.5737999999999814","0.8457999999999661","0.4073999999999841","0.7594000000000002","0.5279999999999994","0.767599999999997","0.6625999999999483","0.6231999999999891","0.8247999999999795","0.4081999999999864","0.5593999999999888","0.8299999999999748","0.4067999999999861","0.7576","0.5224000000000002","0.7605999999999993","0.7201999999999471","0.9105999999999258","0.5231999999999664","0.7857999999999927","0.6197999999999905","0.8181999999999766","0.7993999999999926","0.5609999999999904","0.8291999999999762","0.7576"
"25000","0.9939999999999088","0.36279999999998613","0.3641999999999885","0.09460000000000003","0.9571999999999989","0.15919999999999995","0.5547999999999607","0.26779999999999565","0.967999999999968","0.38279999999998504","0.2693999999999961","0.964399999999964","0.3919999999999835","0.9572","0.12700000000000003","0.9573999999999975","0.6463999999999502","0.22759999999999841","0.9619999999999728","0.3779999999999882","0.24079999999999852","0.9613999999999717","0.3963999999999866","0.9572000000000002","0.07579999999999999","0.9572000000000003","0.45739999999997294","0.9831999999999178","0.5001999999999702","0.9589999999999905","0.23959999999999831","0.9623999999999728","0.9577999999999899","0.22899999999999834","0.961999999999972","0.9572000000000004"
"30000","0.962599999999912","0.35119999999998786","0.36859999999998727","0.0808","0.6931999999999995","0.15240000000000026","0.5643999999999585","0.2641999999999951","0.793199999999972","0.387199999999985","0.27279999999999544","0.7973999999999687","0.3937999999999852","0.6857999999999995","0.11220000000000002","0.7049999999999981","0.6555999999999488","0.22919999999999796","0.7757999999999796","0.3943999999999864","0.23299999999999818","0.7835999999999776","0.3909999999999874","0.6801999999999999","0.0726","0.6895999999999999","0.4663999999999723","0.8997999999999253","0.5007999999999685","0.7261999999999941","0.23959999999999815","0.7777999999999794","0.7305999999999924","0.22959999999999814","0.7765999999999782","0.6798"
"35000","0.9771999999999114","0.4057999999999862","0.41399999999998727","0.8681999999999997","0.8683999999999998","0.2226","0.5741999999999592","0.8801999999999742","0.8893999999999643","0.4323999999999842","0.8999999999999757","0.9135999999999658","0.4323999999999842","0.8682000000000002","0.8687999999999988","0.8695999999999973","0.6655999999999497","0.8701999999999834","0.8761999999999762","0.4327999999999863","0.8873999999999842","0.8975999999999741","0.4223999999999863","0.8682000000000001","0.8681999999999995","0.8682","0.9273999999999328","0.9457999999999219","0.5355999999999672","0.8701999999999919","0.8799999999999836","0.8935999999999741","0.8813999999999906","0.890599999999986","0.9051999999999752","0.8681999999999999"
"40000","0.9695999999999119","0.3875999999999863","0.3663999999999872","0.19500000000000015","0.8551999999999985","0.1816000000000001","0.5555999999999597","0.38399999999999307","0.8769999999999669","0.4047999999999848","0.3511999999999915","0.8907999999999677","0.40259999999998397","0.8550000000000002","0.2235999999999999","0.8561999999999971","0.6439999999999503","0.3455999999999959","0.8713999999999763","0.4031999999999869","0.2995999999999959","0.8743999999999758","0.38639999999998775","0.855","0.18339999999999995","0.8549999999999996","0.517199999999967","0.9379999999999228","0.5105999999999683","0.8597999999999927","0.3403999999999957","0.8735999999999756","0.8585999999999905","0.3137999999999953","0.8733999999999758","0.855"
"45000","0.9625999999999119","0.3507999999999881","0.3431999999999884","0.08480000000000003","0.7113999999999998","0.14820000000000022","0.5511999999999598","0.25319999999999654","0.8041999999999729","0.38159999999998623","0.25299999999999606","0.8043999999999716","0.3801999999999849","0.7073999999999994","0.11400000000000007","0.7223999999999977","0.6387999999999495","0.23159999999999892","0.7869999999999802","0.38119999999998816","0.21499999999999836","0.7907999999999799","0.3825999999999872","0.7048000000000001","0.077","0.7095999999999999","0.457199999999973","0.9085999999999247","0.49699999999996874","0.7457999999999926","0.2405999999999978","0.79099999999998","0.7393999999999926","0.21999999999999884","0.7855999999999786","0.7047999999999999"
"50000","0.9975999999999088","0.3597999999999877","0.368999999999987","0.2554","0.9843999999999996","0.1632","0.5621999999999596","0.38259999999998806","0.9875999999999631","0.39459999999998463","0.4337999999999911","0.9865999999999636","0.3953999999999844","0.9843999999999996","0.2690000000000001","0.9843999999999972","0.6359999999999506","0.3551999999999946","0.986399999999971","0.3895999999999875","0.402199999999995","0.9851999999999711","0.3917999999999877","0.9843999999999998","0.24620000000000003","0.9844","0.5651999999999617","0.9925999999999181","0.5009999999999688","0.98539999999999","0.3575999999999932","0.9865999999999719","0.9847999999999907","0.39199999999999524","0.9857999999999725","0.9844000000000002"
