"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_DayOfWeek","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_DayOfWeek","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_DayOfWeek_Time","Airline_Flight_DayOfWeek_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_DayOfWeek","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_DayOfWeek_Time","Airline_AirportFrom_DayOfWeek_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_DayOfWeek_Time","Airline_AirportTo_DayOfWeek_Length","Airline_AirportTo_Time_Length","Airline_DayOfWeek_Time_Length","Flight_AirportFrom_AirportTo_DayOfWeek","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_DayOfWeek_Time","Flight_AirportFrom_DayOfWeek_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_DayOfWeek_Time","Flight_AirportTo_DayOfWeek_Length","Flight_AirportTo_Time_Length","Flight_DayOfWeek_Time_Length","AirportFrom_AirportTo_DayOfWeek_Time","AirportFrom_AirportTo_DayOfWeek_Length","AirportFrom_AirportTo_Time_Length","AirportFrom_DayOfWeek_Time_Length","AirportTo_DayOfWeek_Time_Length"
"5000","0.9613999999999127","0.7149999999999408","0.4243999999999859","0.8419999999999551","0.5537999999999678","0.4015999999999875","0.8563999999999626","0.5309999999999719","0.7215999999999998","0.22040000000000004","0.7511999999999956","0.5895999999999562","0.9405999999999161","0.6273999999999523","0.8101999999999663","0.4497999999999825","0.857399999999947","0.8227999999999722","0.43599999999998473","0.8765999999999535","0.7329999999999977","0.6801999999999458","0.9535999999999143","0.7117999999999426","0.7975999999999777","0.44239999999998575","0.858199999999949","0.7981999999999806","0.4213999999999871","0.8723999999999539","0.7163999999999996","0.9117999999999252","0.5473999999999639","0.9197999999999233","0.7965999999999782","0.8027999999999813"
"10000","0.9849999999999096","0.6927999999999428","0.358599999999989","0.932199999999951","0.5013999999999724","0.3429999999999892","0.9349999999999555","0.49419999999997427","0.903399999999999","0.1538","0.9061999999999906","0.5643999999999585","0.972199999999912","0.5973999999999547","0.9221999999999625","0.3955999999999849","0.942599999999942","0.9253999999999634","0.3859999999999853","0.9391999999999451","0.9039999999999979","0.6573999999999482","0.9803999999999112","0.6867999999999451","0.9157999999999701","0.39959999999998697","0.9387999999999446","0.917599999999972","0.38539999999998686","0.9349999999999459","0.9033999999999998","0.9577999999999182","0.5125999999999682","0.9625999999999177","0.9159999999999711","0.9169999999999732"
"15000","0.9731999999999109","0.7021999999999425","0.5805999999999734","0.8879999999999547","0.5299999999999708","0.676799999999973","0.8871999999999577","0.5369999999999716","0.8047999999999986","0.49519999999999864","0.8151999999999906","0.7585999999999377","0.9555999999999146","0.6259999999999522","0.8715999999999651","0.6123999999999671","0.9011999999999468","0.8559999999999651","0.6827999999999712","0.8975999999999491","0.8087999999999967","0.8077999999999325","0.9619999999999137","0.7069999999999427","0.8541999999999724","0.616799999999971","0.8953999999999488","0.8461999999999743","0.6779999999999726","0.8925999999999507","0.8041999999999996","0.932199999999923","0.726799999999946","0.9393999999999211","0.8581999999999748","0.8399999999999759"
"20000","0.9609999999999127","0.7001999999999426","0.7113999999999726","0.8759999999999594","0.5201999999999718","0.6171999999999704","0.8661999999999571","0.519799999999972","0.764399999999999","0.5379999999999991","0.7817999999999937","0.7841999999999351","0.9371999999999169","0.6157999999999529","0.8451999999999714","0.72099999999997","0.8841999999999532","0.8457999999999657","0.638799999999966","0.8775999999999469","0.7675999999999978","0.8255999999999303","0.9505999999999147","0.6955999999999439","0.8247999999999784","0.7059999999999705","0.8841999999999522","0.8299999999999754","0.634799999999968","0.8727999999999504","0.7605999999999995","0.9105999999999271","0.749599999999943","0.9183999999999236","0.8181999999999794","0.8291999999999766"
"25000","0.9939999999999088","0.6851999999999444","0.3627999999999863","0.9727999999999519","0.4929999999999732","0.3641999999999878","0.9699999999999509","0.5109999999999723","0.9571999999999993","0.15920000000000012","0.9583999999999918","0.5547999999999592","0.9889999999999108","0.5913999999999561","0.9679999999999656","0.3827999999999855","0.9743999999999439","0.9643999999999602","0.39199999999998336","0.9727999999999398","0.9573999999999955","0.6463999999999495","0.9915999999999103","0.6791999999999462","0.9619999999999718","0.37799999999998857","0.9705999999999447","0.9613999999999716","0.39639999999998665","0.9717999999999413","0.9572","0.9831999999999185","0.5001999999999681","0.9845999999999167","0.9623999999999724","0.961999999999971"
"30000","0.962599999999912","0.6955999999999434","0.3511999999999875","0.833999999999959","0.4989999999999741","0.3685999999999873","0.8373999999999574","0.517399999999971","0.6931999999999994","0.15240000000000006","0.7315999999999947","0.5643999999999583","0.9349999999999165","0.5905999999999552","0.7931999999999731","0.3871999999999855","0.8539999999999538","0.7973999999999705","0.3937999999999848","0.8513999999999491","0.7049999999999991","0.6555999999999486","0.9473999999999145","0.6823999999999452","0.7757999999999803","0.3943999999999868","0.8479999999999551","0.783599999999978","0.390999999999987","0.8471999999999513","0.6895999999999999","0.8997999999999252","0.5007999999999677","0.9099999999999235","0.7777999999999795","0.7765999999999778"
"35000","0.9771999999999114","0.7031999999999434","0.8855999999999615","0.8951999999999513","0.5363999999999706","0.9133999999999656","0.9299999999999566","0.5331999999999717","0.8683999999999992","0.8693999999999972","0.8737999999999918","0.9429999999999208","0.9617999999999142","0.6143999999999536","0.8893999999999682","0.8939999999999565","0.9109999999999467","0.9135999999999688","0.9211999999999608","0.9421999999999481","0.8695999999999983","0.9529999999999188","0.9705999999999133","0.6993999999999442","0.8761999999999764","0.8909999999999603","0.9105999999999463","0.8975999999999767","0.915799999999961","0.9349999999999492","0.8682","0.9457999999999233","0.9337999999999292","0.9517999999999207","0.8935999999999742","0.9051999999999751"
"40000","0.9695999999999119","0.6833999999999444","0.4685999999999862","0.8925999999999521","0.522599999999971","0.4187999999999846","0.9079999999999584","0.49999999999997263","0.8551999999999991","0.24799999999999955","0.8579999999999913","0.602999999999954","0.955999999999915","0.5963999999999549","0.8769999999999688","0.4783999999999822","0.9005999999999469","0.8907999999999698","0.4529999999999812","0.9181999999999491","0.856199999999998","0.6855999999999441","0.961799999999914","0.6787999999999461","0.8713999999999777","0.4729999999999847","0.9019999999999483","0.8743999999999786","0.4403999999999841","0.9107999999999518","0.8549999999999998","0.9379999999999238","0.5609999999999616","0.9435999999999212","0.8735999999999756","0.8733999999999771"
"45000","0.9625999999999119","0.6777999999999446","0.35079999999998895","0.8395999999999577","0.4961999999999725","0.34319999999998985","0.8411999999999588","0.4953999999999735","0.7113999999999993","0.14820000000000008","0.7403999999999943","0.5511999999999588","0.9361999999999165","0.5869999999999558","0.8041999999999726","0.3815999999999854","0.8561999999999516","0.8043999999999707","0.3801999999999859","0.8541999999999503","0.7223999999999983","0.6387999999999494","0.9523999999999146","0.6707999999999461","0.7869999999999809","0.3811999999999874","0.8555999999999526","0.7907999999999783","0.38259999999998767","0.8547999999999526","0.7095999999999998","0.9085999999999245","0.49699999999996886","0.916399999999923","0.7909999999999794","0.7855999999999801"
"50000","0.9975999999999088","0.6727999999999453","0.45119999999998134","0.9891999999999518","0.5011999999999722","0.5125999999999837","0.9873999999999532","0.501999999999973","0.9843999999999985","0.3001999999999994","0.9845999999999916","0.649599999999948","0.995599999999911","0.597199999999955","0.9875999999999621","0.48819999999997676","0.9917999999999442","0.9865999999999625","0.5247999999999788","0.9883999999999433","0.9843999999999978","0.7101999999999423","0.9969999999999105","0.6693999999999467","0.9863999999999722","0.4837999999999787","0.9897999999999452","0.9851999999999711","0.5229999999999815","0.9889999999999447","0.9843999999999998","0.9925999999999184","0.5959999999999573","0.9933999999999179","0.9865999999999706","0.9857999999999746"
