"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_DayOfWeek","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_DayOfWeek","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_DayOfWeek","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_DayOfWeek_Time","Airline_DayOfWeek_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_DayOfWeek","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_DayOfWeek","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_DayOfWeek_Time","Flight_DayOfWeek_Length","Flight_Time_Length","AirportFrom_AirportTo_DayOfWeek","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_DayOfWeek_Time","AirportFrom_DayOfWeek_Length","AirportFrom_Time_Length","AirportTo_DayOfWeek_Time","AirportTo_DayOfWeek_Length","AirportTo_Time_Length","DayOfWeek_Time_Length"
"10000","0.9926152499094174","0.25746781903444094","0.2530910168081454","0.25006180562834535","0.7132273303166374","0.10769003994808496","0.408086854979134","0.3523174058080465","0.7630855652637489","0.2835271842943161","0.37659555159928737","0.741351511898291","0.2753258653812227","0.951835047171325","0.2686475598440398","0.7162412219860239","0.48468055589903636","0.3277183790760074","0.7461634047913975","0.27667161989195016","0.3474895956642243","0.7327449617083048","0.2694796246894484","0.951835047171325","0.2599600669979508","0.7112367303784493","0.4771296298566999","0.7999112704556017","0.3656696698488596","0.9530626076505446","0.3313732289224096","0.7469727360221856","0.9542736186816314","0.34442683816718594","0.7348810517898101","0.951835047171325"
"20000","0.9822231601086271","0.290287039150254","0.28638528712534045","0.7467116823592211","0.6792950159247186","0.13129332738679989","0.45300271447989404","0.7866752871141085","0.7437437887771726","0.31366691934899876","0.7539076086155617","0.7509018744031839","0.30681744202761285","0.8847474600103038","0.7474048504725824","0.6828690232727016","0.5301217467876478","0.7734083934495306","0.7254083532983464","0.30253428144424693","0.7504024349549467","0.7322521058564049","0.296393726241046","0.8822967432936443","0.746711682359221","0.6765410066452745","0.8096818857990009","0.817055492280711","0.4060994750141903","0.8988019264464397","0.7741390244763169","0.7201590685643025","0.9039109146466757","0.7506316910098212","0.7310187115129604","0.8830868644759429"
"30000","0.9817604507380829","0.25763898831039966","0.25583024903264706","0.4344301866849579","0.6552881300839122","0.10209206810821497","0.40753888089731405","0.483589280522047","0.7160125063803665","0.277163841330651","0.49741880072568234","0.7262688417810979","0.27285059170078735","0.8435985264172166","0.4372480362211848","0.6605058400503254","0.48951678824871125","0.46681129615852857","0.7050765088941592","0.27645509934449836","0.48068208912230886","0.7134925818737533","0.2699430307041353","0.8414438820455338","0.4311813403479346","0.6517768133383512","0.5832103288828573","0.8000803053726508","0.36654569450190067","0.86391019677304","0.46553142494897537","0.7058451807485475","0.8663510529216143","0.4753384235220332","0.7092447247375409","0.8403591433120449"
"40000","0.9853254420913652","0.2648991690848857","0.2534759568711865","0.5704661055892941","0.7285191893440086","0.11006410477156581","0.41549164499132984","0.6165205754647912","0.7672597462440965","0.2817721118326987","0.592703263938839","0.7693278538813513","0.2773784245514991","0.927957247242186","0.571437744121698","0.7296645171698788","0.4956808171516389","0.6011250880961267","0.7565160506701605","0.28086430949977415","0.5809172257528921","0.755948141070349","0.272285788404741","0.9279429095756897","0.5703010747827112","0.7267977835131947","0.6688342361424059","0.8302343627947559","0.37533076618973193","0.9304025473225537","0.6005233709762359","0.7589390811258283","0.9298919642217264","0.5810658424675804","0.7535103048136305","0.9279429095756899"
"50000","0.9988306779661675","0.2819710148614611","0.2871536860084612","0.619206612966336","0.7410410320786992","0.14134299023600777","0.42512645513098535","0.6417104271831454","0.7737645878066497","0.29038465084724213","0.6618118179812217","0.7783343728387541","0.29435862338186913","0.9921717734695459","0.6193913867911957","0.7318227330808329","0.5107011168911623","0.6329423344816621","0.7719212335055514","0.29616261631790536","0.647873473987995","0.77210217596306","0.29377542694059455","0.9921717734695459","0.6181503031886075","0.7239456712661262","0.7059816865215881","0.8337831277637364","0.3817892364131036","0.9926969699256671","0.6298195156896989","0.7673884191990048","0.9923754156025109","0.6459641412584627","0.7691490067049587","0.9921717734695458"
"60000","0.9995198057963772","0.2627413669833624","0.25213255768253096","0.3938317381350004","0.5891962413238292","0.11610232221808639","0.41120289352472644","0.5204539924047755","0.6455854787092266","0.27487302836335703","0.4935946935807145","0.6417606899067783","0.2757919926163375","0.9955098090113994","0.4037121086259328","0.5859049592724628","0.4869440440259478","0.4921420151227811","0.6334609469296453","0.2785762657955617","0.46411147290158555","0.6239351012279052","0.27117100299405295","0.9955098090113991","0.3867743676796104","0.5755290269477621","0.6101312348861793","0.710019182852769","0.3679634137924847","0.9957267479847505","0.4866672514094445","0.6278048933634693","0.9956981599947632","0.4649920501332225","0.6171691110360695","0.9955098090113991"
"70000","0.9884348738918244","0.2991572688002548","0.297124081075676","0.8103569046152941","0.430594368076684","0.15643514814298157","0.4348637054609011","0.8378473895372297","0.5473192190931291","0.2924568575788784","0.8143238913040749","0.5483982083382369","0.30065440039702396","0.9084486011140214","0.8105516917698876","0.4189178245062769","0.509353386873802","0.8261819919135662","0.5258838366093167","0.2990893915474806","0.8116645242883525","0.5259267888456262","0.29696387684244696","0.9072609611000106","0.8103569046152941","0.4002301580278345","0.8554340941680222","0.6827428453669458","0.3849621226146951","0.9199456721446402","0.8264981306259327","0.512134466907372","0.9244192170364088","0.8121202460435889","0.5164481033652639","0.9072609611000106"
"80000","0.9823909468962249","0.2741435068196852","0.2729667562171836","0.48469239464079256","0.6516651269036248","0.1093006257840784","0.438861998742091","0.5321114789158451","0.7253477823118001","0.30047166061264285","0.5491873587941455","0.7245444363998588","0.294834525960878","0.8545471147124348","0.48848565167912317","0.656953351377911","0.5153804287745526","0.5135742495239071","0.7089647175331665","0.2841598039949762","0.5308177796808714","0.7044974142329905","0.28332142251822473","0.8534890261854211","0.48361923236612414","0.6473708805202941","0.6245723783491279","0.8131852905761059","0.3925140197017494","0.8773160380985786","0.5105759143763672","0.7083264122214321","0.8668414115986423","0.5258666374767804","0.7031278516325821","0.8534890261854211"
"90000","0.9830230075882245","0.2778733610325226","0.26521877161064683","0.5230148979677934","0.6932428674418709","0.11062312733089211","0.4369947756189124","0.5810311961854249","0.7563101589734159","0.2971879579274974","0.5544438654516819","0.7529768293656329","0.28828520052394646","0.8834489741291187","0.523576183379784","0.6977544496227985","0.5126382853539116","0.5600027889430993","0.742024464774505","0.2869005893600498","0.5386346615109854","0.7326500065437014","0.28202119761116257","0.8834489741291187","0.5227392729417315","0.6923118133469814","0.6415959952594555","0.8317774883545053","0.39312161889589725","0.895197065858167","0.5627654636498196","0.7413531251934815","0.8925327497611225","0.5398778651729119","0.7321734231998436","0.8834489741291185"
"100000","0.9948109542733905","0.28312749740071397","0.2725264869329529","0.6735132678099941","0.723457058144864","0.12213720124190085","0.4412334018954304","0.693094198573043","0.7743939644850506","0.30428709458019343","0.7181085609835722","0.773512923945519","0.2960710105941894","0.9575460344121973","0.6740056606177395","0.7249045891567221","0.517858304641609","0.6830560732961821","0.7620381272888261","0.29458146261258866","0.6997429250286473","0.7559431078811478","0.28658843578223137","0.9575460344121975","0.6692685022008441","0.7158564287393885","0.7594240374115604","0.8361838241656876","0.39609811160597996","0.9611868951825107","0.6801045764115935","0.7604243238076518","0.9578153986178917","0.6998807666767364","0.7602726770997585","0.9575460344121975"
