"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_DayOfWeek","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_DayOfWeek","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_DayOfWeek_Time","Airline_Flight_DayOfWeek_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_DayOfWeek","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_DayOfWeek_Time","Airline_AirportFrom_DayOfWeek_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_DayOfWeek_Time","Airline_AirportTo_DayOfWeek_Length","Airline_AirportTo_Time_Length","Airline_DayOfWeek_Time_Length","Flight_AirportFrom_AirportTo_DayOfWeek","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_DayOfWeek_Time","Flight_AirportFrom_DayOfWeek_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_DayOfWeek_Time","Flight_AirportTo_DayOfWeek_Length","Flight_AirportTo_Time_Length","Flight_DayOfWeek_Time_Length","AirportFrom_AirportTo_DayOfWeek_Time","AirportFrom_AirportTo_DayOfWeek_Length","AirportFrom_AirportTo_Time_Length","AirportFrom_DayOfWeek_Time_Length","AirportTo_DayOfWeek_Time_Length"
"10000","0.9926152499094174","0.5204601564694495","0.4122296817714449","0.7770792395729075","0.3656625166437436","0.43275942422507263","0.7549871319189649","0.3605249263845278","0.9518350471713247","0.28707527924388504","0.7222691508881989","0.5508479205837435","0.8166882923342458","0.43828391608727935","0.9614257423508099","0.436281576077337","0.787788506659212","0.9629937151597024","0.4468861288012209","0.7653141483202986","0.9521396697907919","0.6295186824458112","0.8227538965023495","0.513472393297144","0.9581758714798594","0.4324372164047564","0.7805549010257924","0.9589972033684366","0.44026073597447224","0.760688315705934","0.9518350471713249","0.9791622457240113","0.5137688590868845","0.8059928366360001","0.958253174480354","0.9586684822927631"
"20000","0.9822231601086271","0.5670293825834939","0.8130267941420115","0.769990646735071","0.4023429521735863","0.76360343948557","0.7741351079192751","0.39931531399409403","0.8876867246273672","0.7484677086333928","0.6949473359127718","0.8405476753139555","0.8434142400222319","0.48535161206464383","0.9263982192514301","0.81897904738391","0.7806487152209577","0.9267873551168694","0.7715771690709464","0.7846081967416914","0.8900429489112776","0.8681897240967313","0.8533795812167502","0.5604272899185092","0.9163616954810255","0.8110403796217309","0.7769269005258861","0.9192725100093988","0.769606162371721","0.778286412865834","0.8859307181442557","0.9586616176743968","0.8277525330573058","0.8243147203139607","0.913561907496513","0.9197320562540207"
"30000","0.9817604507380829","0.5275196098381563","0.5217709954695082","0.7450337954303526","0.37154494438149743","0.5477702249133283","0.753909297043819","0.37172823366280233","0.8482898912719257","0.44552044581541145","0.6761327024609185","0.6367390799893499","0.8252600812744532","0.43957827227513696","0.897858653570766","0.5345620126811982","0.7595124983958107","0.8999470271016324","0.5504806499617507","0.7647596145815133","0.8533768513057083","0.7021895856865914","0.8335153615150146","0.5212993457344839","0.8891596575168732","0.5362529024816776","0.7566566559345709","0.8927336826939799","0.5501278712395026","0.7603906691842638","0.8457029161310864","0.9509035869096694","0.6069744850995983","0.8075347120938954","0.8896996582917107","0.8890602989368614"
"40000","0.9853254420913652","0.5324517309365348","0.6592064715627866","0.7855624220188748","0.3791375769039034","0.6185622179358249","0.7888240209777087","0.3724918488426876","0.9281509533817616","0.5744126694139283","0.7350834129601227","0.7146365488713218","0.8480933886191095","0.4497473213793878","0.939274455119275","0.6609069889908654","0.7959798349295004","0.9460225083591232","0.6282621854288651","0.7989142696993266","0.9286426611280485","0.7648883369098092","0.853475561607014","0.5289918957196752","0.9366679736998251","0.6586545109105655","0.7926586515619226","0.9379301411671753","0.6260237364176522","0.7951890214299139","0.9279429095756896","0.9699282279566053","0.6942404983011572","0.8353252901303119","0.9376395766778853","0.9375440477748486"
"50000","0.9988306779661675","0.5480844462682535","0.6623324971068867","0.8001501677950225","0.394320473390094","0.6952633357925185","0.8061329568920859","0.3947866483528861","0.9921717734695454","0.6232763253712419","0.7570860268624273","0.7450919265141248","0.8505460742849998","0.4587537352234229","0.9938302545188654","0.6696173520258993","0.8023042724579796","0.9933085624386426","0.696440149261304","0.8095855140276625","0.9921952005896613","0.7867612168182269","0.8652029769617213","0.5429742887839004","0.9932338799418514","0.6735788086880367","0.8080991537722308","0.9926141984156533","0.6943447098171422","0.8108386684268087","0.9921717734695458","0.9963948307373702","0.72272627623069","0.837939643899276","0.993354750564792","0.9929035704913804"
"60000","0.9995198057963772","0.5170729261833411","0.5677991904616883","0.6749371988892734","0.36339030332163047","0.5398166649252021","0.6713602604646645","0.3656991439147898","0.9956039845030784","0.4214026243474427","0.6038247830580725","0.6728706017620345","0.7363527396554079","0.4381616310048694","0.9966433087600086","0.5788996120807092","0.6792392711758792","0.9966147207700149","0.5603684970375731","0.6795844073619244","0.9955098090114005","0.7310541617733974","0.7570971595419105","0.5126836390031969","0.9962150250199208","0.572221163746014","0.6841584705875252","0.9960891559564824","0.5494145076150093","0.6770717419000132","0.995509809011399","0.9990309118042762","0.6404645796628856","0.7188930781357034","0.9963321942949734","0.9959119933863494"
"70000","0.9884348738918244","0.5442522139198088","0.8564525672889725","0.6095866293111739","0.39249812329238987","0.8201438273521762","0.6045928910356531","0.3985947220953274","0.9109399644198308","0.8107867007939513","0.4703994395215262","0.87980362317342","0.7277855044986576","0.4598213635038073","0.9432720556585965","0.8602452287116163","0.6164699050104093","0.9423495947191907","0.8265926365762999","0.6135638676739623","0.912266949638922","0.8959808268196751","0.7582077439407748","0.5347613164475511","0.9342650399663671","0.8509431897408555","0.621827936368685","0.9364199236182168","0.8226798655066221","0.6137106341265339","0.9075513595401177","0.9711972194944143","0.8649478120436069","0.692825128661964","0.9349528503183495","0.9351504800493184"
"80000","0.9823909468962249","0.5545021179846166","0.565702357477643","0.7550006463333041","0.38912940158029224","0.5948015464385373","0.7542572504798092","0.38499192507980917","0.8582573077167182","0.4948373632801073","0.6686770016455335","0.6820192598139526","0.8408734571882335","0.47254259771304874","0.9107260262963843","0.5808678204108528","0.769684797930193","0.9011860790698374","0.6006410442463552","0.7686050367635135","0.8616522697762852","0.73445951030507","0.8544193992206417","0.548021264838544","0.9009421758387081","0.5741199225802592","0.7640232005016216","0.8927063919311033","0.5969453337679748","0.7634235509159919","0.8548961979152339","0.9563292813341233","0.6488058267701315","0.8223710169368974","0.8990030823280779","0.8922876434957453"
"90000","0.9830230075882245","0.5505531161963169","0.6258168620498898","0.782244536242596","0.38908058711509796","0.5828224770195269","0.779708270386625","0.3800803865486587","0.8840341805704766","0.526901685611997","0.706800091452376","0.6930465276228902","0.858584407012591","0.47065978625767696","0.9154087984433452","0.6295038806729863","0.7920903750354897","0.9210094773063386","0.6009621832738739","0.7936542718806883","0.8877883619240674","0.7480452849379526","0.8681567165887027","0.5456386175366832","0.9109238699848728","0.6226213845142596","0.7909147829739551","0.9100073788691876","0.5948394731968579","0.7869045604906202","0.883448974129118","0.9598415810425852","0.6702503756839555","0.8398575565122137","0.9117694163354799","0.9105040781237272"
"100000","0.9948109542733905","0.5551636213719602","0.7118774821498556","0.7935785992116104","0.3957929807086005","0.7472250220364223","0.7938781579501367","0.3894048677237575","0.9576706796263523","0.6784666590944337","0.736397468062884","0.7988549927007986","0.8564681774718907","0.4745963526669479","0.9701003608136267","0.7233704519833466","0.8034311721834761","0.9648319102319189","0.7515123508911512","0.8077280913203233","0.9578004196395881","0.8334499923028327","0.8605213917160964","0.5505549844952076","0.9676776959139737","0.7204584211063482","0.7991446245783346","0.9612700061442168","0.7469731030919252","0.800461961013283","0.9575460344121972","0.9835956236774495","0.7752572091692097","0.8423966362887971","0.9673266520687447","0.9623093734045365"
