"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_DayOfWeek","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_DayOfWeek","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_DayOfWeek","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_DayOfWeek_Time","Airline_DayOfWeek_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_DayOfWeek","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_DayOfWeek","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_DayOfWeek_Time","Flight_DayOfWeek_Length","Flight_Time_Length","AirportFrom_AirportTo_DayOfWeek","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_DayOfWeek_Time","AirportFrom_DayOfWeek_Length","AirportFrom_Time_Length","AirportTo_DayOfWeek_Time","AirportTo_DayOfWeek_Length","AirportTo_Time_Length","DayOfWeek_Time_Length"
"10000","0.4982749999999506","0.20185468881900442","0.1862177284799473","0.15241383498315395","0.3153927681247012","0.08480408898466764","0.3240138384532002","0.24059643906292652","0.39367046288627594","0.22335765076084052","0.23896909410747996","0.37619596111381803","0.2112405088534892","0.42368394304285284","0.16339170023454788","0.32991751392434737","0.35707022884363604","0.21280480449573694","0.38272080812393394","0.21725581203135555","0.20580996072001947","0.3732838597208949","0.2031422134268592","0.41637286205393464","0.14873422726205884","0.30757860081151195","0.34047955489960735","0.43869190476186853","0.29556900312663703","0.4498809973039992","0.2113002685879673","0.38879573777583143","0.44900946478285797","0.20757284290942954","0.3767014686281186","0.416331928747403"
"20000","0.4934333333332843","0.249155843586859","0.23341857632843388","0.27400117187105344","0.2822616433959725","0.14507529358094293","0.3495343633449739","0.3428663568949626","0.3891561252979631","0.26191353671642775","0.3488629577428953","0.3791540708269413","0.24947863331851475","0.4231175390991968","0.27960912881750877","0.29622500480760605","0.38124168998483154","0.323833317400455","0.37917112785956003","0.25645819055695457","0.332179449233852","0.36697600842260414","0.24286064154864068","0.4219465063698376","0.27053550332520837","0.27507249418355373","0.42788460232317704","0.45796184523805905","0.3276820443163965","0.44068406506649355","0.32826817715595347","0.3788404677982428","0.43115187330794236","0.33338509654351484","0.3689064339902409","0.4215096041004287"
"30000","0.4980333333332841","0.17831515104845233","0.1820963402358077","0.15706960048936489","0.2369799516405234","0.07502355755599664","0.30330586413585203","0.24152025563551682","0.3474469145015399","0.19711638135991127","0.24953889409560837","0.33689966890165207","0.2000765014412029","0.4190227439185813","0.17096731589992964","0.2552811738976962","0.3401250649350477","0.22655257955920038","0.3392332521122374","0.19880255174929498","0.22427880186030005","0.332899036334338","0.20370695247553655","0.41801209222115804","0.15137928380791815","0.23659838175282463","0.3552642360724324","0.4337235119047271","0.27641310143008047","0.4389132581990139","0.22389972526411647","0.33971910161715624","0.43648666949962883","0.2238414140838121","0.3279754682262174","0.4153454656475457"
"40000","0.49477083333328425","0.19001012730667222","0.18841440118995753","0.24197328607671914","0.30689895989035265","0.0857151541776139","0.3104302840215214","0.29638684045638153","0.38508391780673784","0.20489207811178828","0.30635639744095067","0.3900686710617844","0.2064948105840954","0.42368839910442013","0.24958504872533466","0.31489137375157367","0.3447658619158439","0.28031012563482216","0.3749482987353083","0.20286160119736155","0.28502592342953836","0.3794946897649282","0.20370457416924972","0.42023346234035547","0.24125589860450466","0.3017504636297053","0.38146163072649475","0.45524678571424815","0.2789526482362586","0.4406003605341889","0.277844930592821","0.3808664167970434","0.43916823686376244","0.2887506677427366","0.37772581804662175","0.4211020997639045"
"50000","0.4997999999999501","0.19448604718803505","0.20906367005108942","0.20414026091513107","0.3414859102090218","0.08930989231946959","0.31777251567875237","0.28704398234831446","0.4087013440795295","0.2089668427028732","0.2888638508879366","0.4092172163226727","0.224250883694681","0.4451844102275367","0.20659178589759888","0.35983171556918425","0.34981644528672023","0.2713561259178122","0.40486253240831466","0.21328828257432708","0.2697596160850837","0.406253505361411","0.21762992578865734","0.4361404380889928","0.18995267926714515","0.3334713255122088","0.3854684956559398","0.4596726190475804","0.2909354851286828","0.48550849810531277","0.26958380975951635","0.4062888397704032","0.47335843778285025","0.26052810798927256","0.4020496229924364","0.4367344544458158"
"60000","0.4999999999999499","0.1872548115991491","0.19580294145770616","0.22582651563181394","0.22697051792575015","0.08175959569260303","0.3147438972942132","0.2856061964317564","0.3425542110380341","0.2030134856684452","0.29550277467942987","0.3407186746762488","0.21343000903805823","0.4666517124196073","0.23439914216331928","0.26018420437992074","0.3452944839882159","0.26873361997047823","0.3416972429597079","0.20439257734481553","0.27446265239906265","0.33025352491998183","0.2033531884553316","0.44141275515186085","0.2268312267389151","0.2130006584051002","0.37748036423326803","0.4164430916305592","0.28671451579203994","0.49158843602108476","0.27002010119413605","0.33826293931269097","0.4939409987296046","0.27135187607430855","0.3315871133301619","0.4342380598192284"
"70000","0.4956499999999504","0.2130371100490513","0.21482144548779827","0.3240658597650123","0.18533632646682918","0.09198030200253988","0.345869018649465","0.38079950066608564","0.3282295269608491","0.22674756065218069","0.3915045780188932","0.3172020286369179","0.234429637448065","0.43934444333640926","0.325170238256192","0.2099032378255434","0.3711428456265753","0.36847163131521465","0.3132339667765545","0.2231102549375856","0.37366178317753374","0.30247995264172023","0.22569809210708694","0.4365855638991572","0.32444567580970235","0.16218575847487354","0.45384366947033844","0.4332897023809201","0.3112665752203614","0.45205133133822034","0.36623395758540883","0.307527429221553","0.4444678727443426","0.37577889759930894","0.30535437899454526","0.43628987015041437"
"80000","0.4973666666666173","0.20810298172332503","0.20963009413346764","0.2125636754203498","0.2506425629657983","0.07840055722015375","0.3474017599067444","0.29262618155993037","0.37385933919619624","0.2304032595116373","0.2961758519341293","0.3577617498452055","0.23198466221393665","0.4209011766030287","0.2211167030298495","0.26405731143362055","0.37974009948382886","0.26668376263081617","0.3535363576616066","0.2186799380228532","0.2682877335212707","0.3433480352462231","0.21868241408193878","0.42049785396888906","0.20530917368000406","0.2353127474842778","0.39661732617397877","0.4599503571428201","0.3117631251258525","0.4415499606888745","0.2593686030717133","0.35062822667713983","0.43815374423719666","0.26343394772584744","0.34527503600689646","0.4179339975787824"
"90000","0.4969541666666174","0.2071055453479106","0.21036552212320253","0.23240545940810525","0.2588277408757948","0.08837964872515652","0.34703527458650935","0.2904275205210861","0.3835458471015756","0.23179036263745373","0.3075349352068942","0.3903302303677819","0.23149159215077927","0.4217722423283935","0.23444036195645257","0.27685425060839","0.37694753300618894","0.27693254653403054","0.36890943479561866","0.22384779326470328","0.27964478247279617","0.37472037735020236","0.22413066738089632","0.41858733120012614","0.22918142351374968","0.23636236554380174","0.3945368055798054","0.4725100992063114","0.3132221577149957","0.43617951491130147","0.2768766307441414","0.37095235966199064","0.43984924866981945","0.28224237604948704","0.37535325427786287","0.41929972210672595"
"100000","0.4987749999999505","0.24449003782878811","0.25013266020095837","0.23638428060407937","0.34389602550949144","0.17107017311269188","0.35199231740480236","0.3224500980122419","0.40503745648155987","0.2615672827954713","0.3311700123347339","0.417677495685983","0.2672663327971147","0.4259928255611807","0.23661331630946486","0.3534681148057715","0.37464040826002065","0.3097617993800309","0.4025602293716427","0.25061761642746355","0.29958898169722","0.4094480833091221","0.25387467261574526","0.4219904578557701","0.2033311086120558","0.33685607658854894","0.41746086860892134","0.4618133333332952","0.32366637462209974","0.45158570729721265","0.3078537740055204","0.4072093063549398","0.45884389917112955","0.3032888517663122","0.40969796424299026","0.4237507222457976"
