"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_DayOfWeek","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_DayOfWeek","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_DayOfWeek_Time","Airline_Flight_DayOfWeek_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_DayOfWeek","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_DayOfWeek_Time","Airline_AirportFrom_DayOfWeek_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_DayOfWeek_Time","Airline_AirportTo_DayOfWeek_Length","Airline_AirportTo_Time_Length","Airline_DayOfWeek_Time_Length","Flight_AirportFrom_AirportTo_DayOfWeek","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_DayOfWeek_Time","Flight_AirportFrom_DayOfWeek_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_DayOfWeek_Time","Flight_AirportTo_DayOfWeek_Length","Flight_AirportTo_Time_Length","Flight_DayOfWeek_Time_Length","AirportFrom_AirportTo_DayOfWeek_Time","AirportFrom_AirportTo_DayOfWeek_Length","AirportFrom_AirportTo_Time_Length","AirportFrom_DayOfWeek_Time_Length","AirportTo_DayOfWeek_Time_Length"
"10000","0.4982749999999506","0.37062967865465707","0.27531148270701317","0.408802232755274","0.2725079530812985","0.26816217665781616","0.3915325458872492","0.2560584595620829","0.43113362718781917","0.17535201532767064","0.347002877939202","0.3861137185036969","0.44537999999995936","0.3386971321039917","0.4704459301236136","0.2939271077171665","0.4247280241912252","0.4740481654096247","0.2890507577783741","0.40481196028611477","0.4425826508306239","0.4119834065469867","0.44688833333329214","0.36803353921403226","0.4703066895540733","0.2879323258203625","0.42424788275447917","0.47077565812545796","0.2786360238733485","0.40702869485606147","0.42529586039933365","0.4959935714285269","0.36105068401346735","0.44125809523805776","0.47470979341853037","0.4739643377603825"
"20000","0.4934333333332843","0.3931697649572418","0.3773885669105539","0.41196497118569303","0.3046556671677609","0.36772045635893813","0.40270873988955935","0.29575846056522564","0.42680544373969864","0.29124170759533324","0.32505356169861177","0.4488417776667446","0.46757999999995775","0.364066942710051","0.46420833174713216","0.3982047120965595","0.42601781594742105","0.45163316949950055","0.38624545210522615","0.42080659915459073","0.4296883632672791","0.4578478238672722","0.46915583333329053","0.39453364482737235","0.4590394433029663","0.39476886828736735","0.4304480944356773","0.4491899729697899","0.38147625740757213","0.42317553984511286","0.4250798310810174","0.4841885714285276","0.43875050656276837","0.4601240476190094","0.4576202253351572","0.4505160133467233"
"30000","0.4980333333332841","0.35500656565654504","0.27800603992049755","0.37851102797631203","0.2510520305763274","0.2867945146910335","0.3704120120678296","0.26146854378085477","0.4236666516040331","0.18559690386163286","0.2823459310674159","0.39086250416247886","0.44545416666662646","0.31616959429458014","0.45915148799355143","0.2959534337902133","0.3995848413905811","0.458684330324751","0.30187171151092135","0.39094458205092675","0.4319482927384799","0.4187511885581429","0.4470099999999592","0.3521281890331692","0.4575613337429562","0.29984866137113897","0.4022540400738988","0.4560977343886405","0.3056314805771888","0.3939368429873114","0.4256890563656334","0.4904174999999559","0.3672566226736175","0.4374109523809158","0.45759637863566915","0.45357672662422077"
"40000","0.49477083333328425","0.3601996948884235","0.3263895540106835","0.4049099266675823","0.2627528601220048","0.33121947359211457","0.4105904423891754","0.265059090244227","0.42628485096756286","0.25605705773216697","0.3337827646605656","0.4130938750138479","0.46119583333329106","0.3237250260850116","0.45901612420374943","0.33933378002337505","0.4223694036426767","0.4678057170940505","0.3441178686331331","0.42209388820430793","0.4330174492375596","0.42933069664809104","0.46318916666662396","0.35851183774556755","0.45674114612639294","0.3391706903986242","0.4205152976871159","0.4627130565394398","0.3362209475821892","0.4241270222519939","0.42429401826853363","0.4910338095237653","0.3927032763946353","0.4576953571428186","0.45967952260598904","0.46376716175831706"
"50000","0.4997999999999501","0.3628196489621273","0.3163087907426109","0.4243963495697148","0.2654007370767266","0.32739211325031375","0.4296733069687914","0.2753376030666095","0.4650368331931901","0.2271102613608119","0.3770418651423557","0.416754964063685","0.4663008333332904","0.3322167220279566","0.4954112092196373","0.3351219739799625","0.43196197993395935","0.49083728102742386","0.3438532339184332","0.4378382063298168","0.47849606606455325","0.4325363544380128","0.4675408333332898","0.3630846489621279","0.4948415103760801","0.33689929287983483","0.4342854358794495","0.4918548916774169","0.34419968519544164","0.435978017690578","0.4610743868827949","0.49976666666662073","0.3964209800360223","0.4609046428571038","0.49598737365396606","0.4904590928561472"
"60000","0.4999999999999499","0.3584258043345333","0.3105437419206877","0.37332406735590323","0.2549348903090318","0.32254468826043514","0.36767767251658334","0.26724129820395975","0.4730640033353766","0.24113221211062008","0.29366532277569546","0.4078993334443042","0.4264974999999632","0.3256195394298537","0.49505179718458414","0.32452663304039453","0.3807353978110653","0.4982993633141385","0.33583811747823583","0.38449889362519546","0.4867249591587098","0.422486138999856","0.43298249999996175","0.35536567446440476","0.498680592031648","0.3216900856145679","0.38787316949521544","0.49723296193578126","0.3263665557532985","0.3848223126818797","0.4644702643353267","0.500420833333287","0.3905416535077165","0.4195212301586967","0.49904034962802457","0.4998914812589695"
"70000","0.4956499999999504","0.3860282677044944","0.4194536392154301","0.37063648631699453","0.2831377780086835","0.40721459961293266","0.3545607324175013","0.28948958013226694","0.4421641052049977","0.33568675168009526","0.24575149492431886","0.46820637432008894","0.44945749999996143","0.35579045984715424","0.4722169247908753","0.42617141376089984","0.37968294184382884","0.4585638456525878","0.4169209422658362","0.3716575852746455","0.4448606665476286","0.4710003371627987","0.4559433333332934","0.38127592102339936","0.46783989288487715","0.4272295509939355","0.3830358033786253","0.4586184347609635","0.40969165166920496","0.3685269230861004","0.43757539589857986","0.48887666666662133","0.45751561244394284","0.4360768452380609","0.46917582359933324","0.45928064401253116"
"80000","0.4973666666666173","0.3944080035242294","0.3181170396796029","0.40150654272883046","0.2837336509847786","0.3299040256640502","0.39307085939248426","0.28210623337059776","0.42711075241599245","0.23102847390070833","0.298137888045157","0.43348092268839467","0.46737083333329116","0.3593195972083301","0.4670808479203883","0.335748510426338","0.41544835284937925","0.4627610496246962","0.34933011473079423","0.4123875685593543","0.4294023842149817","0.44693026126647933","0.46989583333329044","0.39073273934396613","0.46023597736918725","0.33138790352837666","0.413843582922984","0.4567717724449529","0.34065446478378725","0.4104886251773224","0.42305420305753827","0.4956324999999551","0.40731033380617776","0.4622058333332945","0.4582159286626622","0.4576676878628914"
"90000","0.4969541666666174","0.3915132950382712","0.326972224495659","0.414594687923923","0.28415296842533805","0.33209774144792215","0.42123051720200166","0.28285674478188916","0.42561997954587627","0.2443699180770826","0.3135608664599972","0.42338239010986267","0.4792608333332898","0.36063176268174507","0.46092673082537594","0.33946641880019873","0.42680446484471374","0.46461881551957834","0.34481341447873026","0.43640323528039054","0.4319103518650193","0.443560945818855","0.48256249999995565","0.3892162633199904","0.4582752819372619","0.3433497268727534","0.43467070715322553","0.4618215617732149","0.3414690613071521","0.43835855562196385","0.42587891091344204","0.4917958333332889","0.40517310592440925","0.47406642857138903","0.4594984934705066","0.46222712185731957"
"100000","0.4987749999999505","0.38894087967585617","0.3522606754761815","0.4244209065820861","0.2997651855050291","0.366929543634943","0.4338384265110053","0.3068035814667917","0.43459213214692305","0.26232802255691495","0.37313717998358387","0.4451798351648043","0.4693258333332907","0.3624551547063878","0.47261375285697205","0.37123282926102136","0.4367640164920474","0.48064998307483436","0.3861171023751928","0.44483791996234984","0.4423932709320857","0.4590571423102688","0.47150833333329023","0.38541160648173173","0.47458099406930543","0.3723083588420498","0.4405668066949561","0.47987063694831467","0.3845748680978564","0.44289402695491875","0.4310522909714934","0.49566482142852647","0.4276593094287206","0.4646408333332941","0.47956967739648687","0.4770121636486024"
"110000","0.49994999999995027","0.3647629884004675","0.2510980146844468","0.4299823299192749","0.25528593054211013","0.2560010405192139","0.4479169308016439","0.2737221479233769","0.4795794514227638","0.1586992403200297","0.40478385253080207","0.3552498603479653","0.4729616666666242","0.3271409409340513","0.49597187326337905","0.2613837389708546","0.4356188365464915","0.49715004585790634","0.27695910081596753","0.4534842912928319","0.48554530489973197","0.38583323251221596","0.47212166666662386","0.3595324333754279","0.4960773569559688","0.2614919198761412","0.4350950812012663","0.49757891027820134","0.2728876013138631","0.44757019500427453","0.4742180924533095","0.5000249999999545","0.33674479247058553","0.46450738095234156","0.4957084827866389","0.49819290545272055"
"120000","0.49677499999995056","0.3566530962093266","0.4458166341666597","0.3978330734016514","0.24844389736858408","0.4719165361182898","0.411438886461771","0.2657810946726939","0.44672619029304744","0.4006495560141224","0.3421964213860273","0.488545702075663","0.451848333333293","0.3179273196941807","0.47263541949426896","0.4561622857971897","0.41040702830532244","0.4858602754188549","0.48111956947153234","0.42488716395435394","0.4518140567470473","0.49030419413915255","0.4533433333332925","0.352926674371361","0.47240222451977376","0.4633390406167564","0.4123403770547687","0.48240027758685416","0.4785164241062859","0.4207313316127866","0.43506487612049144","0.4946674999999554","0.48707909907899205","0.4484998214285338","0.4749168343240358","0.48360911666593936"
"130000","0.49792916666661724","0.347135221861452","0.2645151646647034","0.38049186760154763","0.2573538179939304","0.268522878645711","0.3754746956434373","0.2551466167530417","0.43309727793246217","0.18557168616432781","0.29823442350760293","0.3702578449328252","0.4315408333332946","0.31473325160948806","0.4686220769319036","0.28053286168168823","0.39114254998237313","0.4694190145991292","0.28269852150451613","0.3893841437925328","0.43642330594388007","0.3996481175373218","0.4340008333332939","0.34463666540973475","0.4667547171631683","0.2796773750048152","0.39513975940612095","0.46311454240968214","0.2769016028832396","0.388797823614796","0.42552808860921293","0.4948322619047178","0.34937143127295966","0.4250940873015522","0.46618457464625834","0.46610589714062284"
"140000","0.4935666666666177","0.36687315628813455","0.4065656388531124","0.3922419705240409","0.2681662176774505","0.3913377243381914","0.3814535528859677","0.26512789163263106","0.42158410782323863","0.3147270848699844","0.2790591388074912","0.4629395100732253","0.45501499999995954","0.3337545512820358","0.45828617615491524","0.4227927618819783","0.40543158646340133","0.4467959084044436","0.40314380369857317","0.3968980401821747","0.4257348230690704","0.46583443716367573","0.45988666666662487","0.36516557433577407","0.4519952191688919","0.4140266263076462","0.40903661884842285","0.4452476631579087","0.3960991315557739","0.3960771610699856","0.42119804221254004","0.4832716666666229","0.45201242486677196","0.4491913095237728","0.4533848016624811","0.4454182471595168"
"150000","0.49668749999995077","0.37235656843154613","0.3028641533594597","0.39036172685503356","0.2640875275216279","0.31767843136916246","0.380917542767397","0.2726446960700617","0.4272314773442388","0.22398166916005466","0.29080566876485897","0.4076307219169461","0.450337499999959","0.3334895400432741","0.46086596437501515","0.31436894110407376","0.4055564342308429","0.4648673786128971","0.3281189563823865","0.3984378797023523","0.431178748646966","0.4334612705276873","0.4534124999999582","0.3680174114284192","0.4606074767168792","0.31535468331926303","0.41036922907330864","0.4598651403363473","0.3244507388641006","0.40077377271982717","0.4251945027499029","0.493358333333289","0.38682460497833465","0.4456758333332961","0.4608006700376858","0.4613355488953789"
