"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"BranchNumber_ConsumerID_ConsumptionTime_Energy","Energy='(-inf-0.005]'","0.7497992974085986","0.9882427366940016","0.00898402487903639","0.0028121510100280753","0.013741088209662009","BranchNumber=3.089_ConsumerID=4613_ConsumptionTime='(-inf-13650000]'","0.0029891903526916494","BranchNumber=4.106_ConsumerID=5321_ConsumptionTime='(31050000-48150000]'"
"BranchNumber_ConsumerID_ConsumptionTime_Energy","Energy='(0.005-0.015]'","0.14728747139436696","0.9912346557725498","0.009011224143386811","0.007803323619775888","0.025512501941295233","BranchNumber=3.523_ConsumerID=756_ConsumptionTime='(48150000-65550000]'","0.0","BranchNumber=4.103_ConsumerID=480_ConsumptionTime='(-inf-13650000]'"
"BranchNumber_ConsumerID_ConsumptionTime_Energy","Energy='(0.015-0.025]'","0.05451920481192184","0.9933526710176454","0.009030478827433124","0.010753961308101405","0.05210857380620212","BranchNumber=3.102_ConsumerID=604_ConsumptionTime='(31050000-48150000]'","0.0","BranchNumber=4.103_ConsumerID=480_ConsumptionTime='(-inf-13650000]'"
"BranchNumber_ConsumerID_ConsumptionTime_Energy","Energy='(0.025-0.035]'","0.02189687327417827","0.9948044009779953","0.009043676372527242","0.01264383189389752","0.07927320682833908","BranchNumber=3.102_ConsumerID=604_ConsumptionTime='(31050000-48150000]'","0.0","BranchNumber=4.103_ConsumerID=480_ConsumptionTime='(-inf-13650000]'"
"BranchNumber_ConsumerID_ConsumptionTime_Energy","Energy='(0.035-inf)'","0.026497153110934278","0.996209265309542","0.009056447866450358","0.009734552907749518","0.05457717902937835","BranchNumber=3.102_ConsumerID=604_ConsumptionTime='(31050000-48150000]'","0.0","BranchNumber=4.103_ConsumerID=480_ConsumptionTime='(-inf-13650000]'"
"BranchNumber_ConsumerID_Date_Energy","Energy='(-inf-0.005]'","0.7497992974085986","0.9932669445895661","0.009112540776051063","0.0019383044872322479","0.013416247545648316","BranchNumber=3.557_ConsumerID=3828_Date='(-inf-1426676400000]'","0.001913606820735203","BranchNumber=4.106_ConsumerID=5321_Date='(1426676400000-1432980000000]'"
"BranchNumber_ConsumerID_Date_Energy","Energy='(0.005-0.015]'","0.14728747139436696","0.9912346557725493","0.009093895924518817","0.005733230986583022","0.03251416202724179","BranchNumber=4.106_ConsumerID=5321_Date='(1426676400000-1432980000000]'","0.0","BranchNumber=3.557_ConsumerID=3828_Date='(1432980000000-1439200800000]'"
"BranchNumber_ConsumerID_Date_Energy","Energy='(0.015-0.025]'","0.05451920481192184","0.9933526710176455","0.009113327257042619","0.00727007021726765","0.03771691509410872","BranchNumber=3.102_ConsumerID=604_Date='(-inf-1426676400000]'","0.0","BranchNumber=3.557_ConsumerID=3828_Date='(1432980000000-1439200800000]'"
"BranchNumber_ConsumerID_Date_Energy","Energy='(0.025-0.035]'","0.02189687327417827","0.9948044009779957","0.009126645880532068","0.008697695183228852","0.04425232617774196","BranchNumber=3.102_ConsumerID=604_Date='(-inf-1426676400000]'","0.0","BranchNumber=3.557_ConsumerID=3828_Date='(1432980000000-1439200800000]'"
"BranchNumber_ConsumerID_Date_Energy","Energy='(0.035-inf)'","0.026497153110934278","0.996209265309542","0.009139534544124252","0.00801792738509467","0.0438240545366012","BranchNumber=4.222_ConsumerID=955_Date='(1432980000000-1439200800000]'","0.0","BranchNumber=3.483_ConsumerID=856_Date='(1445421600000-inf)'"
"ConsumerID_Date_ConsumptionTime_Energy","Energy='(-inf-0.005]'","0.7497992974085986","0.9932669445895657","0.0018225081552102169","5.92166207978458E-4","0.0029038786631527","ConsumerID=3828_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'","1.693108915465303E-4","ConsumerID=5321_Date='(1426676400000-1432980000000]'_ConsumptionTime='(31050000-48150000]'"
"ConsumerID_Date_ConsumptionTime_Energy","Energy='(0.005-0.015]'","0.14728747139436696","0.9912346557725495","0.001818779184903755","0.0016891937974790748","0.0082022756744635","ConsumerID=5321_Date='(1426676400000-1432980000000]'_ConsumptionTime='(-inf-13650000]'","0.0","ConsumerID=480_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'"
"ConsumerID_Date_ConsumptionTime_Energy","Energy='(0.015-0.025]'","0.05451920481192184","0.9933750220950499","0.0018227064625597222","0.002225495358616713","0.011785006241280564","ConsumerID=604_Date='(-inf-1426676400000]'_ConsumptionTime='(31050000-48150000]'","0.0","ConsumerID=480_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'"
"ConsumerID_Date_ConsumptionTime_Energy","Energy='(0.025-0.035]'","0.02189687327417827","0.9948044009779953","0.0018253291761064058","0.002604894249444893","0.01732727672356949","ConsumerID=604_Date='(-inf-1426676400000]'_ConsumptionTime='(31050000-48150000]'","0.0","ConsumerID=480_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'"
"ConsumerID_Date_ConsumptionTime_Energy","Energy='(0.035-inf)'","0.026497153110934278","0.996209265309542","0.0018279069088248453","0.0021893917811123403","0.014526862522317805","ConsumerID=604_Date='(-inf-1426676400000]'_ConsumptionTime='(31050000-48150000]'","0.0","ConsumerID=480_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'"
"BranchNumber_Date_ConsumptionTime_Energy","Energy='(-inf-0.005]'","0.7497992974085986","0.9932669445895657","0.0018225081552102158","5.921662079784579E-4","0.0029038786631527","BranchNumber=3.557_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'","1.693108915465303E-4","BranchNumber=4.106_Date='(1426676400000-1432980000000]'_ConsumptionTime='(31050000-48150000]'"
"BranchNumber_Date_ConsumptionTime_Energy","Energy='(0.005-0.015]'","0.14728747139436696","0.9912346557725495","0.0018187791849037557","0.0016891937974790744","0.0082022756744635","BranchNumber=4.106_Date='(1426676400000-1432980000000]'_ConsumptionTime='(-inf-13650000]'","0.0","BranchNumber=3.104_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'"
