"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.517_ConsumerID=2814_Date='(1439200800000-1445421600000]'_ConsumptionTime='(13650000-31050000]'","0.0018420527949269444","0.5","0.10000000000000005","0.10227662575341166","0.2855603448275862","Energy='(-inf-0.005]'","0.013649425287356323","Energy='(0.025-0.035]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.104_ConsumerID=559_Date='(1445421600000-inf)'_ConsumptionTime='(48150000-65550000]'","0.0018164687283307372","0.5","0.09999999999999996","0.13833327166978104","0.3604905293831957","Energy='(-inf-0.005]'","3.642544924720738E-4","Energy='(0.035-inf)'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.566_ConsumerID=4230_Date='(1432980000000-1439200800000]'_ConsumptionTime='(31050000-48150000]'","0.001810293263979928","0.5","0.1","0.03549531023018809","0.15180311890838208","Energy='(-inf-0.005]'","0.05299707602339181","Energy='(0.025-0.035]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.692_ConsumerID=5514_Date='(1426676400000-1432980000000]'_ConsumptionTime='(48150000-65550000]'","0.0018676368615231516","0.4999999999999999","0.10000000000000005","0.10078451839870987","0.2762163438828531","Energy='(-inf-0.005]'","0.011809163911195087","Energy='(0.035-inf)'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.523_ConsumerID=756_Date='(1445421600000-inf)'_ConsumptionTime='(-inf-13650000]'","0.0018164687283307372","0.5","0.09999999999999996","0.1953211671956113","0.48664400194269064","Energy='(-inf-0.005]'","6.070908207867897E-4","Energy='(0.015-0.025]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.483_ConsumerID=856_Date='(1439200800000-1445421600000]'_ConsumptionTime='(65550000-inf)'","0.001810293263979928","0.5","0.10000000000000003","0.19749753830870392","0.4909844054580897","Energy='(-inf-0.005]'","0.0","Energy='(0.035-inf)'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=4.222_ConsumerID=955_Date='(1426676400000-1432980000000]'_ConsumptionTime='(13650000-31050000]'","0.0018676368615231516","0.4999999999999999","0.09999999999999998","0.11214857627536723","0.31353330184222955","Energy='(-inf-0.005]'","0.016414737836561173","Energy='(0.025-0.035]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.120_ConsumerID=3536_Date='(-inf-1426676400000]'_ConsumptionTime='(31050000-48150000]'","0.0019360080739785341","0.5","0.09999999999999996","0.03392084695882389","0.1529961266803372","Energy='(-inf-0.005]'","0.05570745044429255","Energy='(0.025-0.035]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=4.103_ConsumerID=480_Date='(-inf-1426676400000]'_ConsumptionTime='(-inf-13650000]'","0.0019699731279079822","0.5","0.1","0.2020305089104422","0.5","Energy='(-inf-0.005]'","0.0","Energy='(0.005-0.015]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.544_ConsumerID=637_Date='(1432980000000-1439200800000]'_ConsumptionTime='(-inf-13650000]'","0.0018420527949269444","0.5","0.1","0.2020305089104422","0.5","Energy='(-inf-0.005]'","0.0","Energy='(0.005-0.015]'"
"BranchNumber_ConsumerID_Date_ConsumptionTime_Energy","BranchNumber=3.463_ConsumerID=4251_Date='(1432980000000-1439200800000]'_ConsumptionTime='(31050000-48150000]'","0.001810293263979928","0.4999999999999999","0.1","0.10093812079088361","0.2746101364522417","Energy='(-inf-0.005]'","0.013401559454191032","Energy='(0.035-inf)'"
