"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"Date_ConsumptionTime_Energy","Energy='(-inf-0.005]'","0.7591502802347755","0.011488259472300293","4.595303788920115E-4","2.966160854805928E-4","0.001077756033097968","Date='(1426676400000-1432980000000]'_ConsumptionTime='(48150000-65550000]'","5.137052983248541E-6","Date='(1432980000000-1439200800000]'_ConsumptionTime='(13650000-31050000]'"
"Date_ConsumptionTime_Energy","Energy='(0.005-0.015]'","0.13957222207927916","0.06817893364910985","0.002727157345964392","0.0019385709387912248","0.0065510858439209365","Date='(1432980000000-1439200800000]'_ConsumptionTime='(-inf-13650000]'","1.0827091292002489E-4","Date='(1426676400000-1432980000000]'_ConsumptionTime='(48150000-65550000]'"
"Date_ConsumptionTime_Energy","Energy='(0.015-0.025]'","0.052589762983370134","0.04417588684786427","0.0017670354739145716","0.0017855088932255175","0.006101367903401704","Date='(1445421600000-inf)'_ConsumptionTime='(31050000-48150000]'","4.37197974337538E-6","Date='(1432980000000-1439200800000]'_ConsumptionTime='(65550000-inf)'"
"Date_ConsumptionTime_Energy","Energy='(0.025-0.035]'","0.021765753710048356","0.06224101991209825","0.0024896407964839305","0.002162603865340865","0.00834416798035581","Date='(1426676400000-1432980000000]'_ConsumptionTime='(48150000-65550000]'","5.973020970704342E-5","Date='(1445421600000-inf)'_ConsumptionTime='(-inf-13650000]'"
"Date_ConsumptionTime_Energy","Energy='(0.035-inf)'","0.026921980992526982","0.11760056161949847","0.004704022464779935","0.0030064257330007127","0.010681994889477946","Date='(1432980000000-1439200800000]'_ConsumptionTime='(13650000-31050000]'","2.267649319544207E-4","Date='(1426676400000-1432980000000]'_ConsumptionTime='(65550000-inf)'"
"BranchNumber_ConsumerID_Energy","Energy='(-inf-0.005]'","0.7591502802347755","0.03515178634678424","0.0015978084703083743","0.001684247099290819","0.006701042936660823","BranchNumber=4.457_ConsumerID=6455","7.446068397629069E-8","BranchNumber=3.102_ConsumerID=604"
"BranchNumber_ConsumerID_Energy","Energy='(0.005-0.015]'","0.13957222207927916","0.09375689123162646","0.0042616768741648445","0.006572471933222174","0.032004254052686046","BranchNumber=4.106_ConsumerID=5321","0.0","BranchNumber=3.557_ConsumerID=3828"
"BranchNumber_ConsumerID_Energy","Energy='(0.015-0.025]'","0.052589762983370134","0.07561448343566064","0.003437021974348214","0.004262802791062727","0.01431626299669761","BranchNumber=4.156_ConsumerID=4637","0.0","BranchNumber=3.557_ConsumerID=3828"
"BranchNumber_ConsumerID_Energy","Energy='(0.025-0.035]'","0.021765753710048356","0.07706929307017941","0.0035031496850081545","0.0054213091095567595","0.022618576220941204","BranchNumber=4.156_ConsumerID=4637","0.0","BranchNumber=3.557_ConsumerID=3828"
"BranchNumber_ConsumerID_Energy","Energy='(0.035-inf)'","0.026921980992526982","0.13378571941951664","0.006081169064523483","0.007916322875051313","0.03470314969198901","BranchNumber=3.120_ConsumerID=3536","4.6771710685083404E-6","BranchNumber=4.116_ConsumerID=1893"
"ConsumerID_ConsumptionTime_Energy","Energy='(-inf-0.005]'","0.7591502802347755","0.03870349898667202","3.518499907879277E-4","3.6837595800192865E-4","0.00185757379987792","ConsumerID=5321_ConsumptionTime='(-inf-13650000]'","6.4345426494328076E-6","ConsumerID=756_ConsumptionTime='(-inf-13650000]'"
"ConsumerID_ConsumptionTime_Energy","Energy='(0.005-0.015]'","0.13957222207927916","0.11072984334007754","0.0010066349394552523","0.0016217255770590755","0.011616459874143049","ConsumerID=5321_ConsumptionTime='(-inf-13650000]'","0.0","ConsumerID=480_ConsumptionTime='(-inf-13650000]'"
