"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","0.07350974757526775","0.002144181771345089","0.0022217897382851197","0.011944597783889304","day=1_period='(0.202128-0.414894]'_class=UP","3.0911882893183695E-5","day=4_period='(0.202128-0.414894]'_class=DOWN"
"period_nswdemand_class","0.08192357171234983","0.00334303099758342","0.00265578493918336","0.013156119018879338","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'_class=UP","1.620859995777658E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_class=UP"
"day_nswdemand_class","0.17011923303282914","0.004947524157213415","0.005381502039710245","0.027652141761377265","day=1_nswdemand='(0.276331-0.397128]'_class=UP","1.047424698838624E-5","day=6_nswdemand='(0.397128-0.481627]'_class=UP"
"day_nswprice_class","0.4307097709059303","0.012029442418555346","0.009953755269285613","0.042201548595012704","day=1_nswprice='(-inf-0.03223]'_class=DOWN","3.0195881281793076E-4","day=7_nswprice='(0.043518-0.056848]'_class=UP"
"period_nswprice_class","0.43735896285476616","0.017098921703350617","0.014531165242386769","0.07647002596192164","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_class=DOWN","8.309839510863689E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_class=UP"
"nswprice_nswdemand_class","0.46277145198931835","0.018024400322651308","0.016503653008824608","0.09713821630462811","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_class=DOWN","0.0020358594905320404","nswprice='(0.077804-inf)'_nswdemand='(0.559134-inf)'_class=DOWN"
"period_transfer_class","0.7671769549930093","0.030747308775710632","0.02707948877899545","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415131]'_class=DOWN","0.004433535806256567","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'_class=UP"
"day_transfer_class","0.7671769549930093","0.021962363411221902","0.01774323140152719","0.0677217141095468","day=1_transfer='(0.414693-0.415131]'_class=UP","7.178753030472197E-4","day=1_transfer='(-inf-0.414693]'_class=DOWN"
"nswdemand_transfer_class","0.7671769549930094","0.030747308775710618","0.02860865313489751","0.1262682425931148","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0016829704428315978","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"nswprice_transfer_class","0.7672662718003099","0.030751516201817673","0.04477594594512234","0.23088004309725665","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415131]'_class=UP","4.461584696632099E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'_class=DOWN"
"day_vicprice_class","0.7689124113726503","0.022018081875818156","0.019145187229348555","0.0677217141095468","day=1_vicprice='(0.003466-0.003468]'_class=UP","8.802258831354863E-4","day=6_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicprice_class","0.7689124113726507","0.03082531462614544","0.029697425616410304","0.1195357833655706","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0012314266280025348","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'_class=UP"
"day_vicdemand_class","0.769000826780032","0.022019891988664792","0.01878099109133741","0.0677217141095468","day=1_vicdemand='(0.422876-0.423006]'_class=UP","7.605141075366947E-5","day=1_vicdemand='(0.540782-inf)'_class=DOWN"
"period_vicdemand_class","0.7690008267800321","0.030827848784130675","0.02887034890602079","0.1195357833655706","period='(-inf-0.202128]'_vicdemand='(0.422876-0.423006]'_class=DOWN","3.7959803960939875E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"vicdemand_transfer_class","0.7690015852164365","0.03503167630079208","0.07879669259770547","0.39096701264001643","vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'_class=UP","0.0","vicdemand='(0.422876-0.423006]'_transfer='(0.415131-0.551974]'_class=UP"
"vicprice_vicdemand_class","0.7690444571822006","0.038537380089196285","0.0835795866091689","0.39096701264001643","vicprice='(0.003466-0.003468]'_vicdemand='(0.422876-0.423006]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"vicprice_transfer_class","0.7690467324914142","0.03351085125332183","0.07799200285996931","0.39096701264001643","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415131]'_class=UP","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"nswprice_vicprice_class","0.7693818124036251","0.030841629345417912","0.0559309890758171","0.2320933100400781","nswprice='(0.077804-inf)'_vicprice='(0.003466-0.003468]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"nswdemand_vicdemand_class","0.7722987805342871","0.03226068594975993","0.032725784947302515","0.12634429400386848","nswdemand='(-inf-0.276331]'_vicdemand='(0.422876-0.423006]'_class=DOWN","3.604866289998885E-5","nswdemand='(0.559134-inf)'_vicdemand='(-inf-0.335448]'_class=DOWN"
"nswprice_vicdemand_class","0.7723505830520859","0.030944274461970088","0.046571948389041454","0.2320933100400781","nswprice='(0.077804-inf)'_vicdemand='(0.422876-0.423006]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicdemand='(0.422876-0.423006]'_class=UP"
"nswdemand_vicprice_class","0.7785793092788013","0.03117274311187533","0.03133390794808028","0.12634429400386848","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'_class=DOWN","5.11006639714753E-4","nswdemand='(0.559134-inf)'_vicprice='(0.003067-0.003466]'_class=DOWN"
