"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","class=UP","0.4245674435028248","0.08523171493462346","0.002435191855274959","0.002510566849859965","0.011944597783889304","day=1_period='(0.202128-0.414894]'","1.155193782919374E-4","day=5_period='(0.202128-0.414894]'"
"day_period_class","class=DOWN","0.5754325564971751","0.06486100905953239","0.0018531716874152081","0.0018477117181875124","0.008786906447791587","day=1_period='(0.202128-0.414894]'","3.0911882893183695E-5","day=4_period='(0.202128-0.414894]'"
"period_nswdemand_class","class=UP","0.4245674435028248","0.09452730107072856","0.003781092042829146","0.0032953593130070923","0.013156119018879338","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'","1.620859995777658E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'"
"period_nswdemand_class","class=DOWN","0.5754325564971751","0.0726242488084421","0.002904969952337685","0.0016999953116149243","0.007993644632204637","period='(0.819149-inf)'_nswdemand='(0.397128-0.481627]'","3.69909943067355E-4","period='(-inf-0.202128]'_nswdemand='(0.559134-inf)'"
"day_nswdemand_class","class=UP","0.4245674435028248","0.19334105530708318","0.005524030151630951","0.006502391766161179","0.027652141761377265","day=1_nswdemand='(0.276331-0.397128]'","1.047424698838624E-5","day=6_nswdemand='(0.397128-0.481627]'"
"day_nswdemand_class","class=DOWN","0.5754325564971751","0.15298563569785556","0.004371018162795872","0.0038802562190227226","0.013799185735050127","day=1_nswdemand='(-inf-0.276331]'","1.819349803097378E-5","day=4_nswdemand='(0.481627-0.559134]'"
"day_nswprice_class","class=UP","0.4245674435028248","0.3568719388837524","0.010196341110964352","0.006614648677195277","0.03179304180747584","day=1_nswprice='(0.077804-inf)'","3.0195881281793076E-4","day=7_nswprice='(0.043518-0.056848]'"
"day_nswprice_class","class=DOWN","0.5754325564971751","0.4851890304151215","0.013862543726146327","0.012163265286744416","0.042201548595012704","day=1_nswprice='(-inf-0.03223]'","3.672738864315603E-4","day=7_nswprice='(0.077804-inf)'"
"period_nswprice_class","class=UP","0.4245674435028248","0.36194483612975725","0.014477793445190307","0.008343423865420748","0.0318313338817342","period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'","8.309839510863689E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'"
"period_nswprice_class","class=DOWN","0.5754325564971751","0.4930012490377731","0.019720049961510933","0.01843228162684819","0.07647002596192164","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","9.976915381258097E-4","period='(0.606383-0.819149]'_nswprice='(0.03223-0.043518]'"
"nswprice_nswdemand_class","class=UP","0.4245674435028248","0.3699986348889039","0.014799945395556135","0.00883358177839579","0.032153587223675666","nswprice='(-inf-0.03223]'_nswdemand='(0.276331-0.397128]'","0.0025466418272439527","nswprice='(0.043518-0.056848]'_nswdemand='(-inf-0.276331]'"
"nswprice_nswdemand_class","class=DOWN","0.5754325564971751","0.5312213812436627","0.021248855249746512","0.021140602778610622","0.09713821630462811","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","0.0020358594905320404","nswprice='(0.077804-inf)'_nswdemand='(0.559134-inf)'"
"period_transfer_class","class=UP","0.4245674435028248","0.7786635848816167","0.031146543395264615","0.027757360863763306","0.10341901256560497","period='(0.606383-0.819149]'_transfer='(0.414693-0.415131]'","0.004433535806256567","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"period_transfer_class","class=DOWN","0.5754325564971751","0.7587018539039159","0.030348074156156646","0.026433903625862065","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415131]'","0.0062670598980616886","period='(0.414894-0.606383]'_transfer='(0.415131-0.551974]'"
"day_transfer_class","class=UP","0.4245674435028248","0.7786635848816167","0.02224753099661761","0.01822231075207549","0.0677217141095468","day=1_transfer='(0.414693-0.415131]'","0.002596418821445728","day=1_transfer='(-inf-0.414693]'"
"day_transfer_class","class=DOWN","0.5754325564971751","0.758701853903916","0.02167719582582616","0.0172722573620741","0.05833721607412026","day=2_transfer='(0.414693-0.415131]'","7.178753030472197E-4","day=1_transfer='(-inf-0.414693]'"
"nswdemand_transfer_class","class=UP","0.4245674435028248","0.7786635848816168","0.031146543395264646","0.027460372992553873","0.1035229875726032","nswdemand='(0.481627-0.559134]'_transfer='(0.414693-0.415131]'","0.0016829704428315978","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
"nswdemand_transfer_class","class=DOWN","0.5754325564971751","0.7587018539039159","0.030348074156156684","0.029762474606697672","0.1262682425931148","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415131]'","0.0041366966003254175","nswdemand='(0.559134-inf)'_transfer='(0.6875-inf)'"
"nswprice_transfer_class","class=UP","0.4245674435028248","0.7788739561869705","0.03115495824747882","0.047850484764957645","0.23088004309725665","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415131]'","1.0518565267697486E-4","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'"
"nswprice_transfer_class","class=DOWN","0.5754325564971751","0.758701853903916","0.03034807415615666","0.04156713471400631","0.16444940176077402","nswprice='(0.043518-0.056848]'_transfer='(0.414693-0.415131]'","4.461584696632099E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'"
"day_vicprice_class","class=UP","0.4245674435028248","0.7820367896413521","0.022343908275467197","0.018958682553336072","0.0677217141095468","day=1_vicprice='(0.003466-0.003468]'","8.802258831354863E-4","day=6_vicprice='(0.003067-0.003466]'"
"day_vicprice_class","class=DOWN","0.5754325564971751","0.7592289416659204","0.021692255476169136","0.01935153902334359","0.05833655705996132","day=2_vicprice='(0.003466-0.003468]'","8.921874901166266E-4","day=2_vicprice='(0.003067-0.003466]'"
"period_vicprice_class","class=UP","0.4245674435028248","0.7820367896413526","0.03128147158565407","0.02989253272599439","0.10394615147466858","period='(0.606383-0.819149]'_vicprice='(0.003466-0.003468]'","0.0012314266280025348","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'"
"period_vicprice_class","class=DOWN","0.5754325564971751","0.7592289416659203","0.030369157666636816","0.02955392951985869","0.1195357833655706","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'","0.0029717390309814615","period='(0.414894-0.606383]'_vicprice='(0.003067-0.003466]'"
"day_vicdemand_class","class=UP","0.4245674435028248","0.7819340252800328","0.02234097215085806","0.018795926669942856","0.0677217141095468","day=1_vicdemand='(0.422876-0.423006]'","8.940780477542863E-4","day=1_vicdemand='(0.540782-inf)'"
"day_vicdemand_class","class=DOWN","0.5754325564971751","0.7594584139264989","0.021698811826471414","0.018787450406646894","0.05833655705996132","day=2_vicdemand='(0.422876-0.423006]'","7.605141075366947E-5","day=1_vicdemand='(0.540782-inf)'"
"period_vicdemand_class","class=UP","0.4245674435028248","0.781934025280033","0.031277361011201335","0.028495564432536234","0.10389476929400884","period='(0.606383-0.819149]'_vicdemand='(0.422876-0.423006]'","0.0012108456514639513","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'"
"period_vicdemand_class","class=DOWN","0.5754325564971751","0.7594584139264992","0.030378336557059935","0.029290587768259116","0.1195357833655706","period='(-inf-0.202128]'_vicdemand='(0.422876-0.423006]'","3.7959803960939875E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'"
"vicdemand_transfer_class","class=UP","0.4245674435028248","0.7819340252800329","0.035542455694546934","0.07949936417569013","0.39096701264001643","vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'","0.0","vicdemand='(0.422876-0.423006]'_transfer='(0.415131-0.551974]'"
"vicdemand_transfer_class","class=DOWN","0.5754325564971751","0.7594597319548171","0.03452089690703712","0.07826567368766282","0.37969052224371375","vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'","6.590141589486259E-7","vicdemand='(0.423006-0.540782]'_transfer='(0.414693-0.415131]'"
"vicprice_vicdemand_class","class=UP","0.4245674435028248","0.7820367896413523","0.03910183948206759","0.0838013599261717","0.39096701264001643","vicprice='(0.003466-0.003468]'_vicdemand='(0.422876-0.423006]'","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'"
"vicprice_vicdemand_class","class=DOWN","0.5754325564971751","0.7594584139264989","0.037972920696324984","0.08356368524561772","0.37969052224371375","vicprice='(0.003466-0.003468]'_vicdemand='(0.422876-0.423006]'","3.802570537683474E-5","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'"
"vicprice_transfer_class","class=UP","0.4245674435028248","0.7820367896413523","0.034001599549624034","0.07858760821013423","0.39096701264001643","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415131]'","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'"
"vicprice_transfer_class","class=DOWN","0.5754325564971751","0.7594623680114526","0.03302010295701969","0.07756011425295453","0.37969052224371375","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415131]'","0.0","vicprice='(0.003067-0.003466]'_transfer='(0.414693-0.415131]'"
"nswprice_vicprice_class","class=UP","0.4245674435028248","0.7820367896413523","0.03128147158565408","0.05627160567613639","0.2320933100400781","nswprice='(0.077804-inf)'_vicprice='(0.003466-0.003468]'","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'"
