"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_nswdemand","0.18767655367231645","0.0010911427539088178","0.0012615831901336143","0.0064000706214689266","day=1_period='(0.414894-0.606383]'_nswdemand='(0.276331-0.397128]'","0.0","day=2_period='(0.202128-0.414894]'_nswdemand='(0.276331-0.397128]'"
"day_period_nswprice","0.41119350282485867","0.0023496771589991937","0.0017934123003443526","0.009158721751412429","day=1_period='(0.202128-0.414894]'_nswprice='(-inf-0.03223]'","0.0","day=5_period='(-inf-0.202128]'_nswprice='(0.03223-0.043518]'"
"period_nswprice_nswdemand","0.43458686440677957","0.003504732777474031","0.004924771358664629","0.0418652895480226","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","4.4138418079096045E-5","period='(0.414894-0.606383]'_nswprice='(0.03223-0.043518]'_nswdemand='(-inf-0.276331]'"
"day_nswprice_nswdemand","0.45903954802259894","0.002623083131557709","0.002549915371756822","0.018140889830508475","day=1_nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","4.4138418079096045E-5","day=1_nswprice='(-inf-0.03223]'_nswdemand='(0.559134-inf)'"
"day_period_transfer","0.767478813559322","0.004410797779076566","0.0036162165901593183","0.011520127118644068","day=5_period='(0.606383-0.819149]'_transfer='(0.414693-0.415131]'","6.620762711864405E-5","day=1_period='(0.606383-0.819149]'_transfer='(-inf-0.414693]'"
"period_nswprice_transfer","0.7676995056497178","0.006141596045197756","0.007590515776831896","0.03396451271186441","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_transfer='(0.414693-0.415131]'","2.2069209039548023E-5","period='(0.414894-0.606383]'_nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'"
"period_nswdemand_transfer","0.7687146892655367","0.006249712920858009","0.007673157090174961","0.05534957627118644","period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415131]'","2.206920903954801E-5","period='(-inf-0.202128]'_nswdemand='(0.481627-0.559134]'_transfer='(-inf-0.414693]'"
"day_period_vicprice","0.7690236581920905","0.004394420903954809","0.0036940787022465577","0.01149805790960452","day=4_period='(0.606383-0.819149]'_vicprice='(0.003466-0.003468]'","1.7655367231638418E-4","day=4_period='(0.819149-inf)'_vicprice='(0.003067-0.003466]'"
"day_period_vicdemand","0.7691119350282483","0.004578047232311005","0.003886265763841553","0.011475988700564972","day=2_period='(0.606383-0.819149]'_vicdemand='(0.422876-0.423006]'","4.4138418079096045E-5","day=1_period='(0.819149-inf)'_vicdemand='(0.540782-inf)'"
"day_vicdemand_transfer","0.7692002118644066","0.005614600086601518","0.01197099190109795","0.05508474576271186","day=4_vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'","0.0","day=2_vicdemand='(0.540782-inf)'_transfer='(0.414693-0.415131]'"
