"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_nswdemand_class","0.12031359258934302","0.09304191392771544","0.09481983609861791","0.5","day=2_period='(0.606383-0.819149]'_nswdemand='(-inf-0.276331]'_class=UP","0.0","day=4_period='(0.414894-0.606383]'_nswdemand='(0.276331-0.397128]'_class=DOWN"
"period_nswprice_nswdemand_class","0.18092270371245103","0.11290115549046034","0.09259893583773515","0.5","period='(0.819149-inf)'_nswprice='(0.077804-inf)'_nswdemand='(-inf-0.276331]'_class=UP","0.0","period='(0.606383-0.819149]'_nswprice='(0.03223-0.043518]'_nswdemand='(-inf-0.276331]'_class=UP"
"day_period_nswprice_class","0.181076894668372","0.10237395969050034","0.09511471476866643","0.4363207547169811","day=4_period='(0.819149-inf)'_nswprice='(-inf-0.03223]'_class=DOWN","4.1050903119868587E-4","day=1_period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'_class=DOWN"
"day_nswprice_nswdemand_class","0.1897561164463612","0.11256684592997179","0.09486537091579665","0.5","day=1_nswprice='(-inf-0.03223]'_nswdemand='(0.559134-inf)'_class=DOWN","0.0","day=1_nswprice='(-inf-0.03223]'_nswdemand='(0.559134-inf)'_class=UP"
"period_nswdemand_transfer_class","0.24772297321230102","0.1361590710461009","0.10483624119811678","0.5","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP","0.0","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=DOWN"
"day_vicdemand_transfer_class","0.27165326579973437","0.12504030550734918","0.13728353680502217","0.5","day=3_vicdemand='(0.540782-inf)'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","day=2_vicdemand='(0.540782-inf)'_transfer='(0.414693-0.415131]'_class=UP"
"nswprice_nswdemand_transfer_class","0.27214626146743803","0.14731083035798487","0.14086463792611517","0.5","nswprice='(-inf-0.03223]'_nswdemand='(0.397128-0.481627]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","nswprice='(-inf-0.03223]'_nswdemand='(0.397128-0.481627]'_transfer='(0.414693-0.415131]'_class=UP"
"period_nswprice_transfer_class","0.275251331241018","0.13017313502249322","0.12652539602634205","0.5","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","period='(0.414894-0.606383]'_nswprice='(0.056848-0.077804]'_transfer='(0.551974-0.6875]'_class=UP"
"period_nswprice_vicprice_class","0.27692665442607484","0.17352558949122474","0.161997037980274","0.5","period='(0.202128-0.414894]'_nswprice='(0.03223-0.043518]'_vicprice='(0.003067-0.003466]'_class=UP","0.0","period='(0.202128-0.414894]'_nswprice='(0.03223-0.043518]'_vicprice='(0.003067-0.003466]'_class=DOWN"
"period_vicdemand_transfer_class","0.2796736351279038","0.13890976562252214","0.13306493454899387","0.5","period='(0.819149-inf)'_vicdemand='(0.335448-0.422876]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","period='(0.819149-inf)'_vicdemand='(0.335448-0.422876]'_transfer='(0.414693-0.415131]'_class=UP"
"period_nswdemand_vicdemand_class","0.2801442279245482","0.15630340753065392","0.12274705264234907","0.5","period='(0.414894-0.606383]'_nswdemand='(0.276331-0.397128]'_vicdemand='(0.423006-0.540782]'_class=UP","0.0","period='(0.414894-0.606383]'_nswdemand='(0.276331-0.397128]'_vicdemand='(0.423006-0.540782]'_class=DOWN"
"day_nswdemand_transfer_class","0.28127152280930134","0.12934168595544146","0.11000563765204498","0.5","day=3_nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=DOWN","0.0","day=3_nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"day_nswprice_vicprice_class","0.28182314575372447","0.16010503244741267","0.169836070532947","0.5","day=4_nswprice='(0.03223-0.043518]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0","day=4_nswprice='(0.03223-0.043518]'_vicprice='(0.003466-0.003468]'_class=UP"
