"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_nswdemand_class","day=1_period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","0.024607168079096044","0.04183973776910544","0.020919868884552717","5.034002729317835E-18","0.020919868884552724","class=UP","0.020919868884552717","class=DOWN"
"day_period_nswdemand_class","day=3_period='(0.819149-inf)'_nswdemand='(0.276331-0.397128]'","0.0037738347457627113","0.015515795359239627","0.007757897679619813","7.338256938293063E-18","0.0077578976796198185","class=DOWN","0.007757897679619805","class=UP"
"day_period_nswdemand_class","day=4_period='(0.414894-0.606383]'_nswdemand='(0.559134-inf)'","0.009887005649717517","0.08276110588376608","0.04138055294188304","1.591891437214844E-17","0.04138055294188306","class=DOWN","0.04138055294188303","class=UP"
"day_period_nswdemand_class","day=3_period='(0.202128-0.414894]'_nswdemand='(0.397128-0.481627]'","0.005848340395480226","0.09117882003879951","0.045589410019399756","0.0","0.045589410019399756","class=UP","0.045589410019399756","class=UP"
"day_period_nswdemand_class","day=2_period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","0.0217381709039548","0.0888959123472398","0.044447956173619886","1.5102008187953507E-17","0.04444795617361991","class=DOWN","0.044447956173619886","class=UP"
"day_period_nswdemand_class","day=4_period='(0.819149-inf)'_nswdemand='(0.276331-0.397128]'","0.0037738347457627122","0.17368421052631575","0.08684210526315787","2.251274460334831E-17","0.0868421052631579","class=UP","0.08684210526315789","class=DOWN"
"day_period_nswdemand_class","day=5_period='(0.414894-0.606383]'_nswdemand='(0.559134-inf)'","0.00968838276836158","0.05004400855023261","0.025022004275116305","0.0","0.025022004275116305","class=UP","0.025022004275116305","class=UP"
"day_period_nswdemand_class","day=4_period='(0.202128-0.414894]'_nswdemand='(0.397128-0.481627]'","0.005693855932203389","0.022923327501960522","0.011461663750980261","2.8476619731297836E-17","0.011461663750980289","class=UP","0.011461663750980233","class=DOWN"
"day_period_nswdemand_class","day=3_period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","0.01657397598870056","0.06288866172587104","0.03144433086293552","5.034002729317835E-18","0.03144433086293552","class=DOWN","0.031444330862935514","class=UP"
"day_period_nswdemand_class","day=5_period='(0.819149-inf)'_nswdemand='(0.276331-0.397128]'","0.004612464689265537","0.20843183609141053","0.10421591804570522","5.1336956296541967E-17","0.10421591804570529","class=UP","0.10421591804570524","class=DOWN"
"day_period_nswdemand_class","day=6_period='(0.414894-0.606383]'_nswdemand='(0.559134-inf)'","0.00801112288135593","0.048524875425136484","0.024262437712568242","1.4676513876586125E-17","0.024262437712568252","class=UP","0.024262437712568224","class=DOWN"
"day_period_nswdemand_class","day=5_period='(0.202128-0.414894]'_nswdemand='(0.397128-0.481627]'","0.00503177966101695","0.03518518518518521","0.017592592592592604","2.8476619731297836E-17","0.017592592592592632","class=UP","0.017592592592592576","class=DOWN"
"day_period_nswdemand_class","day=4_period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","0.016419491525423723","0.019196438251216003","0.009598219125608001","1.4238309865648918E-17","0.009598219125608015","class=UP","0.009598219125607987","class=DOWN"
"day_period_nswdemand_class","day=6_period='(0.819149-inf)'_nswdemand='(0.276331-0.397128]'","0.00858492231638418","0.16748366013071897","0.08374183006535946","2.013601091727134E-17","0.08374183006535948","class=UP","0.08374183006535946","class=DOWN"
"day_period_nswdemand_class","day=7_period='(0.414894-0.606383]'_nswdemand='(0.559134-inf)'","0.0012579449152542374","0.5498721227621485","0.2749360613810742","0.0","0.2749360613810742","class=UP","0.2749360613810742","class=UP"
"day_period_nswdemand_class","day=6_period='(0.202128-0.414894]'_nswdemand='(0.397128-0.481627]'","0.005274540960451977","0.019566441441441457","0.009783220720720728","1.4238309865648918E-17","0.009783220720720742","class=UP","0.009783220720720714","class=DOWN"
"day_period_nswdemand_class","day=5_period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","0.01633121468926554","0.09424657534246574","0.04712328767123287","7.119154932824459E-18","0.047123287671232875","class=UP","0.04712328767123286","class=DOWN"
"day_period_nswdemand_class","day=7_period='(0.819149-inf)'_nswdemand='(0.276331-0.397128]'","0.014300847457627119","0.12078925797259846","0.060394628986299236","1.591891437214844E-17","0.06039462898629924","class=UP","0.060394628986299215","class=DOWN"
"day_period_nswdemand_class","day=1_period='(0.606383-0.819149]'_nswdemand='(0.559134-inf)'","0.006091101694915253","0.0757575757575757","0.03787878787878785","1.591891437214844E-17","0.03787878787878787","class=DOWN","0.037878787878787845","class=UP"
