"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period","0.004806535945683283","1.3732959844809433E-4","9.634010859252435E-5","3.558672987177061E-4","day=2_period='(0.606383-0.819149]'","1.6280597822073556E-5","day=3_period='(0.202128-0.414894]'"
"period_nswdemand","0.13296858470054831","0.005318743388021929","0.004397329439816497","0.016480381639388565","period='(0.606383-0.819149]'_nswdemand='(0.559134-inf)'","2.982733236123643E-4","period='(0.606383-0.819149]'_nswdemand='(0.481627-0.559134]'"
"day_nswdemand","0.23801821303024884","0.006800520372292824","0.00519027906492215","0.021876255103913004","day=6_nswdemand='(0.276331-0.397128]'","7.839839851974638E-4","day=3_nswdemand='(0.481627-0.559134]'"
"day_nswprice","0.49415885249303654","0.014118824356943905","0.006008413262789233","0.03315593846930283","day=1_nswprice='(-inf-0.03223]'","0.00415107094630752","day=7_nswprice='(0.077804-inf)'"
"period_nswprice","0.4941588524930366","0.01976635409972146","0.010057615550450132","0.049529135913091694","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","0.0028391810308601023","period='(0.414894-0.606383]'_nswprice='(0.043518-0.056848]'"
"nswprice_nswdemand","0.5422016482609467","0.021688065930437875","0.013554941315644576","0.06071856144284477","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","0.0020802729443764843","nswprice='(0.03223-0.043518]'_nswdemand='(-inf-0.276331]'"
"period_transfer","0.9918239244290499","0.039672956977161965","0.030782439147213698","0.10350698368039774","period='(-inf-0.202128]'_transfer='(0.414693-0.415131]'","0.006479714892544728","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"nswdemand_transfer","0.9918239244290499","0.039672956977161944","0.03276605698055639","0.11448994704191948","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415131]'","0.002933870909679974","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
"day_transfer","0.9918239244290501","0.028337826412258533","0.02229024427495659","0.07111212363329525","day=3_transfer='(0.414693-0.415131]'","0.002051909715972497","day=1_transfer='(-inf-0.414693]'"
"nswprice_transfer","0.9918239244290501","0.039672956977162","0.04327924700165332","0.16381777969736477","nswprice='(0.056848-0.077804]'_transfer='(0.414693-0.415131]'","8.720150194294944E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'"
"nswprice_vicprice","0.9937318404807434","0.039749273619229815","0.05528723682914267","0.16387177732146932","nswprice='(0.056848-0.077804]'_vicprice='(0.003466-0.003468]'","1.7999208034846465E-5","nswprice='(-inf-0.03223]'_vicprice='(0.003067-0.003466]'"
"nswdemand_vicprice","0.9937318404807437","0.03974927361922972","0.034760000411356934","0.11456194387405887","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'","0.0019768719498723985","nswdemand='(-inf-0.276331]'_vicprice='(0.003468-inf)'"
"period_vicprice","0.9937318404807437","0.03974927361922974","0.032083942620887075","0.10352498288843258","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'","0.0052316876702188965","period='(0.819149-inf)'_vicprice='(0.003067-0.003466]'"
"day_vicprice","0.9937318404807438","0.028392338299449815","0.022778449943998986","0.07118412046543464","day=5_vicprice='(0.003466-0.003468]'","0.0026771973983863396","day=1_vicprice='(0.003067-0.003466]'"
"nswprice_vicdemand","0.993803837312883","0.03975215349251535","0.0447178696576871","0.16387177732146932","nswprice='(0.056848-0.077804]'_vicdemand='(0.422876-0.423006]'","2.851927903262606E-4","nswprice='(-inf-0.03223]'_vicdemand='(0.422876-0.423006]'"
"nswdemand_vicdemand","0.9938038373128831","0.04140849322137014","0.037673534394941324","0.11456194387405887","nswdemand='(-inf-0.276331]'_vicdemand='(0.422876-0.423006]'","1.619928723136182E-4","nswdemand='(0.276331-0.397128]'_vicdemand='(0.540782-inf)'"
"period_vicdemand","0.9938038373128831","0.03975215349251529","0.032238405920602044","0.10352498288843258","period='(-inf-0.202128]'_vicdemand='(0.422876-0.423006]'","6.659706972893193E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'"
"day_vicdemand","0.9938038373128834","0.028394395351796647","0.023326806716493707","0.07118412046543464","day=2_vicdemand='(0.422876-0.423006]'","3.419849526620829E-4","day=1_vicdemand='(0.540782-inf)'"
"vicprice_vicdemand","0.9938398357289525","0.04969199178644765","0.1058291876671481","0.49691991786447637","vicprice='(0.003466-0.003468]'_vicdemand='(0.422876-0.423006]'","1.7999208034846465E-5","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'"
"vicprice_transfer","0.9938398357289527","0.043210427640389265","0.09939946004269509","0.49691991786447637","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415131]'","1.7999208034846465E-5","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'"
"vicdemand_transfer","0.9938398357289528","0.045174537987679654","0.1012733345453787","0.49691991786447637","vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'","1.7999208034846465E-5","vicdemand='(0.422876-0.423006]'_transfer='(0.415131-0.551974]'"
