"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","0.08991564896147138","0.002605745572407881","0.0025958354296998407","0.01477972291312386","day=1_period='(0.202128-0.414894]'_class=UP","9.08942550571605E-5","day=6_period='(0.819149-inf)'_class=DOWN"
"period_nswdemand_class","0.15586472577723726","0.006404756271922467","0.005723253621777468","0.026680935731809567","period='(0.606383-0.819149]'_nswdemand='(0.559134-inf)'_class=UP","3.991673153089931E-4","period='(-inf-0.202128]'_nswdemand='(0.276331-0.397128]'_class=DOWN"
"day_nswdemand_class","0.2637561194445888","0.007703298657099809","0.006034746488862553","0.025915416866632866","day=6_nswdemand='(0.276331-0.397128]'_class=UP","2.449447880725677E-4","day=4_nswdemand='(0.276331-0.397128]'_class=DOWN"
"day_nswprice_class","0.519311274028478","0.014558210492244582","0.009761839949037837","0.0442949822956643","day=1_nswprice='(0.077804-inf)'_class=UP","0.0010319371816062525","day=7_nswprice='(0.077804-inf)'_class=DOWN"
"period_nswprice_class","0.519311274028478","0.020381494689142424","0.014949778484389336","0.07921187594703537","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_class=DOWN","0.0015452743319866388","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_class=UP"
"nswprice_nswdemand_class","0.5530199471689982","0.021875261881889166","0.0185471892323295","0.09732999110827403","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_class=DOWN","2.802795721381507E-5","nswprice='(0.043518-0.056848]'_nswdemand='(0.276331-0.397128]'_class=UP"
"day_transfer_class","0.9918305846242397","0.028326994011358155","0.02269924413871961","0.08593036901812492","day=1_transfer='(0.414693-0.415131]'_class=UP","0.001017827401147369","day=1_transfer='(-inf-0.414693]'_class=DOWN"
"period_transfer_class","0.9918305846242401","0.03965779161590144","0.034986418323321104","0.15664605089729292","period='(-inf-0.202128]'_transfer='(0.414693-0.415131]'_class=DOWN","0.004754495159059474","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'_class=UP"
"nswdemand_transfer_class","0.9918305846242402","0.039657791615901425","0.036812397856306064","0.1655065990023472","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0013831258644536654","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"nswprice_transfer_class","0.9919043967247669","0.03966124943056255","0.055726009645706925","0.29324386908584743","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415131]'_class=UP","8.644536652835408E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415131]'_class=UP"
"nswdemand_vicprice_class","0.9937632756013237","0.03974199604721112","0.040465455699401895","0.16556828551150765","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'_class=DOWN","6.483402489626556E-4","nswdemand='(-inf-0.276331]'_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicprice_class","0.9937632756013237","0.039741996047211105","0.03759168572732453","0.15664605089729292","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0025501383125864454","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'_class=UP"
"day_vicprice_class","0.9937632756013237","0.028387140033722218","0.02432013624245377","0.08593036901812492","day=1_vicprice='(0.003466-0.003468]'_class=UP","0.0022359717807643076","day=1_vicprice='(0.003067-0.003466]'_class=DOWN"
"nswprice_vicprice_class","0.9937632756013242","0.03974199604721109","0.06731345884029089","0.29449732690050856","nswprice='(0.077804-inf)'_vicprice='(0.003466-0.003468]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"nswdemand_vicdemand_class","0.9938355323893919","0.04140099862992177","0.04236530735186782","0.16556828551150765","nswdemand='(-inf-0.276331]'_vicdemand='(0.422876-0.423006]'_class=DOWN","6.168650916044661E-5","nswdemand='(0.276331-0.397128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"period_vicdemand_class","0.9938355323893919","0.03974495868472486","0.036896527146337295","0.15664605089729292","period='(-inf-0.202128]'_vicdemand='(0.422876-0.423006]'_class=DOWN","3.7011905496267967E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"day_vicdemand_class","0.9938355323893919","0.028389256203374864","0.02416926783213905","0.08593036901812492","day=1_vicdemand='(0.422876-0.423006]'_class=UP","6.168650916044661E-5","day=1_vicdemand='(0.540782-inf)'_class=DOWN"
"nswprice_vicdemand_class","0.9938355323893919","0.03974495868472487","0.057382517727406296","0.29449732690050856","nswprice='(0.077804-inf)'_vicdemand='(0.422876-0.423006]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicdemand='(0.422876-0.423006]'_class=UP"
"vicprice_vicdemand_class","0.9938708831271967","0.04968274051863509","0.10710490309882237","0.49756666328703236","vicprice='(0.003466-0.003468]'_vicdemand='(0.422876-0.423006]'_class=DOWN","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"vicprice_transfer_class","0.9938708831271967","0.043202383059682735","0.1002429187699284","0.49756666328703236","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"vicdemand_transfer_class","0.9938708831271968","0.045166127744213684","0.1015590378160818","0.49756666328703236","vicdemand='(0.422876-0.423006]'_transfer='(0.414693-0.415131]'_class=DOWN","0.0","vicdemand='(0.422876-0.423006]'_transfer='(0.415131-0.551974]'_class=UP"
