"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","class=UP","0.42692918944831326","0.09999698810771464","0.00285705680307756","0.0029533193349536723","0.01477972291312386","day=1_period='(0.202128-0.414894]'","1.1399989755959267E-4","day=6_period='(0.819149-inf)'"
"day_period_class","class=DOWN","0.5730708105516867","0.08240520196083669","0.0023544343417381927","0.002155750237338643","0.010936555878767792","day=1_period='(0.202128-0.414894]'","9.08942550571605E-5","day=6_period='(0.819149-inf)'"
"period_nswdemand_class","class=UP","0.42692918944831326","0.1892288960585151","0.0075691558423405985","0.006582451003379175","0.026680935731809567","period='(0.606383-0.819149]'_nswdemand='(0.559134-inf)'","9.463733029474886E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'"
"period_nswdemand_class","class=DOWN","0.5730708105516867","0.13100891753760838","0.005240356701504335","0.00442624091738307","0.01630151845316928","period='(-inf-0.202128]'_nswdemand='(-inf-0.276331]'","3.991673153089931E-4","period='(-inf-0.202128]'_nswdemand='(0.276331-0.397128]'"
"day_nswdemand_class","class=UP","0.42692918944831326","0.30970898357292315","0.008848828102083517","0.006913684956896125","0.025915416866632866","day=6_nswdemand='(0.276331-0.397128]'","2.9285354610638845E-4","day=5_nswdemand='(0.481627-0.559134]'"
"day_nswdemand_class","class=DOWN","0.5730708105516867","0.22952192242406427","0.006557769212116125","0.004744433087783345","0.01899076380400757","day=7_nswdemand='(-inf-0.276331]'","2.449447880725677E-4","day=4_nswdemand='(0.276331-0.397128]'"
"day_nswprice_class","class=UP","0.42692918944831326","0.4426576739137845","0.012647362111822411","0.008524321936139155","0.0442949822956643","day=1_nswprice='(0.077804-inf)'","0.0012390803123783186","day=4_nswprice='(0.043518-0.056848]'"
"day_nswprice_class","class=DOWN","0.5730708105516867","0.5764170605433357","0.016469058872666732","0.010529597028567022","0.04166251040025601","day=1_nswprice='(-inf-0.03223]'","0.0010319371816062525","day=7_nswprice='(0.077804-inf)'"
"period_nswprice_class","class=UP","0.42692918944831326","0.4426576739137845","0.017706306956551395","0.01082757362611179","0.04230470426013227","period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'","0.0015452743319866388","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'"
"period_nswprice_class","class=DOWN","0.5730708105516867","0.5764170605433357","0.023056682421733414","0.017784325538562615","0.07921187594703537","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","0.0027760586521058065","period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'"
"nswprice_nswdemand_class","class=UP","0.42692918944831326","0.5048784539145312","0.020195138156581242","0.01292823826597854","0.044018180151557694","nswprice='(0.077804-inf)'_nswdemand='(0.481627-0.559134]'","2.802795721381507E-5","nswprice='(0.043518-0.056848]'_nswdemand='(0.276331-0.397128]'"
"nswprice_nswdemand_class","class=DOWN","0.5730708105516867","0.5888846401799278","0.023555385607197107","0.02272818352803376","0.09732999110827403","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","6.486965311636363E-4","nswprice='(0.043518-0.056848]'_nswdemand='(0.559134-inf)'"
"day_transfer_class","class=UP","0.42692918944831326","0.9888049248767332","0.0282515692821924","0.022967448342964315","0.08593036901812492","day=1_transfer='(0.414693-0.415131]'","0.0035010373443983404","day=1_transfer='(-inf-0.414693]'"
"day_transfer_class","class=DOWN","0.5730708105516867","0.9940846559183372","0.028402418740523894","0.022460468661415503","0.07638564188990678","day=2_transfer='(0.414693-0.415131]'","0.001017827401147369","day=1_transfer='(-inf-0.414693]'"
"period_transfer_class","class=UP","0.42692918944831326","0.9888049248767334","0.03955219699506936","0.03529062212369701","0.1312675483305009","period='(0.606383-0.819149]'_transfer='(0.414693-0.415131]'","0.004754495159059474","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"period_transfer_class","class=DOWN","0.5730708105516867","0.9940846559183372","0.03976338623673351","0.034750027275053594","0.15664605089729292","period='(-inf-0.202128]'_transfer='(0.414693-0.415131]'","0.007710813645055826","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"nswdemand_transfer_class","class=UP","0.42692918944831326","0.9888049248767332","0.039552196995069344","0.03586939520815721","0.13159280902600995","nswdemand='(0.481627-0.559134]'_transfer='(0.414693-0.415131]'","0.0013831258644536654","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
