"points","all_attributes","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"1461","0.5564681724845977","0.07939767282683093","0.3340177960301163","0.2963723477070499","0.0657084188911704","0.0657084188911704","0.0657084188911704","0.28610540725530464","0.2539356605065024","0.013689253935660506","0.013689253935660506","0.013689253935660506","0.41615331964407937","0.28405201916495554","0.28405201916495554","0.28405201916495554","0.21286789869952089","0.21286789869952083","0.21286789869952083","0.0","0.0","0.0"
"2922","0.4702258726899369","0.07802874743326488","0.34017796030116354","0.0999315537303217","0.07597535934291577","0.07597535934291577","0.07597535934291577","0.33127994524298426","0.08761122518822725","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.3312799452429843","0.33127994524298426","0.33127994524298426","0.33127994524298426","0.06707734428473648","0.06707734428473648","0.06707734428473648","0.0","0.0","0.0"
"4383","0.44079397672826665","0.07665982203969882","0.28062970568104045","0.14510609171800135","0.06981519507186858","0.06981519507186858","0.06981519507186858","0.23134839151266257","0.11567419575633128","0.01095140314852841","0.01095140314852841","0.01095140314852841","0.2662559890485968","0.22929500342231346","0.22929500342231346","0.22929500342231346","0.10266940451745382","0.10266940451745382","0.10266940451745382","0.0","0.0","0.0"
"5844","0.644079397672824","0.07802874743326488","0.35865845311430516","0.3682409308692676","0.07186858316221766","0.07186858316221766","0.07186858316221766","0.3394934976043806","0.3586584531143053","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.47843942505133474","0.3394934976043806","0.3394934976043806","0.3394934976043806","0.3319644079397673","0.3319644079397672","0.3319644079397673","0.0","0.0","0.0"
"7305","0.4373716632443521","0.07939767282683093","0.2648870636550308","0.15195071868583163","0.0739219712525667","0.0739219712525667","0.0739219712525667","0.21697467488021907","0.1368925393566051","0.013004791238877475","0.013004791238877475","0.013004791238877475","0.274469541409993","0.19438740588637918","0.19438740588637918","0.19438740588637918","0.12046543463381246","0.12046543463381246","0.12046543463381246","0.0","0.0","0.0"
"8766","0.34633812457221036","0.07939767282683093","0.1943874058863792","0.11156741957563313","0.0677618069815195","0.0677618069815195","0.0677618069815195","0.12594113620807665","0.134154688569473","0.013004791238877475","0.013004791238877475","0.013004791238877475","0.1252566735112937","0.08145106091718002","0.08145106091718003","0.08145106091718003","0.07802874743326488","0.07802874743326488","0.07802874743326488","0.0","0.0","0.0"
"10227","0.45722108145106033","0.07802874743326488","0.2731006160164271","0.27857631759069135","0.07802874743326485","0.07802874743326485","0.07802874743326485","0.2292950034223135","0.26214921286789866","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.2737850787132101","0.2032854209445585","0.2032854209445585","0.20328542094455848","0.25051334702258726","0.25051334702258726","0.25051334702258726","0.0","0.0","0.0"
"11688","0.4086242299794652","0.07734428473648185","0.20123203285420946","0.21423682409308692","0.06365503080082133","0.06365503080082133","0.06365503080082133","0.2176591375770021","0.17111567419575632","0.011635865845311427","0.011635865845311427","0.011635865845311427","0.21765913757700206","0.16563997262149213","0.16563997262149213","0.16563997262149213","0.15263518138261467","0.15263518138261467","0.15263518138261467","0.0","0.0","0.0"
"13149","0.5325119780971928","0.07802874743326486","0.19233401779603013","0.2758384668035592","0.07802874743326485","0.07802874743326485","0.07802874743326485","0.18480492813141683","0.26420260095824777","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.3963039014373717","0.14921286789869956","0.14921286789869956","0.14921286789869956","0.2197125256673511","0.2197125256673511","0.2197125256673511","0.0","0.0","0.0"
"14610","0.5660506502395608","0.07871321013004791","0.4777549623545517","0.2662559890485969","0.0677618069815195","0.0677618069815195","0.0677618069815195","0.48665297741273106","0.24982888432580427","0.013004791238877489","0.013004791238877489","0.013004791238877489","0.4763860369609855","0.4763860369609857","0.4763860369609857","0.47638603696098564","0.20739219712525667","0.20739219712525664","0.20739219712525667","0.0","0.0","0.0"
