"points","all_attributes","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"1461","0.5564681724845977","0.35728952772073913","0.34154688569472946","0.07939767282683093","0.07939767282683094","0.07939767282683094","0.48596851471594776","0.3340177960301164","0.3340177960301164","0.3340177960301164","0.29637234770704995","0.29637234770705007","0.29637234770704995","0.0657084188911704","0.0657084188911704","0.0657084188911704","0.4640657084188913","0.2861054072553046","0.2861054072553046","0.28610540725530464","0.2539356605065024","0.25393566050650235","0.25393566050650235","0.013689253935660506","0.013689253935660506","0.013689253935660506","0.4161533196440794","0.41615331964407937","0.4161533196440794","0.28405201916495554","0.28405201916495554","0.28405201916495554","0.21286789869952089","0.21286789869952089","0.21286789869952083","0.0"
"2922","0.4702258726899369","0.3702943189596168","0.14031485284052025","0.07802874743326489","0.07802874743326488","0.07802874743326488","0.39630390143737126","0.34017796030116354","0.34017796030116354","0.34017796030116354","0.09993155373032168","0.0999315537303217","0.0999315537303217","0.07597535934291577","0.07597535934291577","0.07597535934291577","0.36344969199178623","0.33127994524298415","0.33127994524298415","0.33127994524298426","0.08761122518822724","0.08761122518822724","0.08761122518822725","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.33127994524298426","0.33127994524298426","0.3312799452429843","0.33127994524298426","0.33127994524298426","0.33127994524298426","0.06707734428473648","0.06707734428473648","0.06707734428473648","0.0"
"4383","0.4407939767282666","0.3312799452429841","0.17932922655715247","0.07665982203969882","0.07665982203969883","0.07665982203969882","0.37234770704996556","0.2806297056810404","0.2806297056810404","0.28062970568104034","0.14510609171800137","0.14510609171800132","0.14510609171800135","0.06981519507186858","0.06981519507186858","0.06981519507186858","0.299794661190965","0.2313483915126626","0.23134839151266257","0.23134839151266257","0.11567419575633131","0.11567419575633131","0.11567419575633131","0.01095140314852841","0.01095140314852841","0.01095140314852841","0.26625598904859693","0.2662559890485969","0.2662559890485969","0.22929500342231346","0.22929500342231346","0.22929500342231346","0.10266940451745382","0.10266940451745382","0.10266940451745382","0.0"
"5844","0.644079397672824","0.39767282683093763","0.42778918548939054","0.07802874743326488","0.07802874743326488","0.07802874743326486","0.5646817248459955","0.3586584531143052","0.35865845311430533","0.35865845311430533","0.36824093086926757","0.3682409308692677","0.36824093086926757","0.07186858316221766","0.07186858316221766","0.07186858316221766","0.5215605749486651","0.3394934976043805","0.33949349760438063","0.3394934976043806","0.3586584531143054","0.35865845311430533","0.3586584531143053","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.4784394250513347","0.4784394250513348","0.47843942505133463","0.3394934976043806","0.3394934976043806","0.3394934976043806","0.3319644079397672","0.3319644079397672","0.3319644079397673","0.0"
"7305","0.4373716632443524","0.28884325804243655","0.19370294318959608","0.07939767282683091","0.07939767282683091","0.07939767282683091","0.3442847364818615","0.2648870636550308","0.2648870636550308","0.2648870636550308","0.15195071868583163","0.15195071868583163","0.15195071868583163","0.0739219712525667","0.0739219712525667","0.0739219712525667","0.3121149897330595","0.21697467488021902","0.216974674880219","0.21697467488021904","0.13689253935660506","0.1368925393566051","0.1368925393566051","0.013004791238877475","0.013004791238877475","0.013004791238877475","0.27446954140999313","0.27446954140999313","0.2744695414099931","0.19438740588637918","0.19438740588637918","0.19438740588637918","0.12046543463381244","0.12046543463381244","0.12046543463381244","0.0"
"8766","0.34633812457221014","0.26009582477754956","0.1745379876796714","0.07939767282683093","0.07939767282683091","0.07939767282683093","0.2553045859000683","0.19438740588637918","0.19438740588637915","0.19438740588637915","0.11156741957563317","0.11156741957563317","0.11156741957563313","0.0677618069815195","0.0677618069815195","0.0677618069815195","0.22792607802874745","0.12594113620807668","0.12594113620807668","0.12594113620807665","0.13415468856947296","0.134154688569473","0.13415468856947296","0.013004791238877475","0.013004791238877475","0.013004791238877475","0.12525667351129366","0.12525667351129366","0.12525667351129363","0.08145106091718002","0.08145106091718002","0.08145106091718003","0.07802874743326488","0.07802874743326488","0.07802874743326488","0.0"
"10227","0.4572210814510605","0.3080082135523613","0.324435318275154","0.07802874743326488","0.07802874743326489","0.07802874743326488","0.37919233401779606","0.2731006160164271","0.27310061601642716","0.2731006160164271","0.2785763175906913","0.2785763175906913","0.27857631759069135","0.07802874743326485","0.07802874743326485","0.07802874743326485","0.3271731690622862","0.22929500342231346","0.22929500342231351","0.22929500342231351","0.2621492128678987","0.26214921286789866","0.2621492128678987","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.2737850787132101","0.2737850787132102","0.2737850787132102","0.2032854209445585","0.20328542094455848","0.2032854209445585","0.25051334702258726","0.25051334702258726","0.25051334702258726","0.0"
"11688","0.40862422997946535","0.2642026009582476","0.24298425735797402","0.07734428473648185","0.07734428473648185","0.07734428473648186","0.3052703627652293","0.20123203285420943","0.2012320328542094","0.20123203285420943","0.21423682409308692","0.21423682409308695","0.21423682409308695","0.06365503080082133","0.06365503080082133","0.06365503080082133","0.2997946611909651","0.2176591375770021","0.21765913757700203","0.217659137577002","0.17111567419575635","0.17111567419575632","0.17111567419575635","0.011635865845311427","0.011635865845311427","0.011635865845311427","0.21765913757700206","0.21765913757700206","0.21765913757700206","0.16563997262149213","0.1656399726214921","0.1656399726214921","0.15263518138261467","0.15263518138261467","0.15263518138261467","0.0"
"13149","0.5325119780971926","0.2833675564681724","0.3477070499657767","0.07802874743326488","0.07802874743326488","0.07802874743326488","0.4585900068446268","0.19233401779603013","0.19233401779603013","0.19233401779603013","0.27583846680355917","0.27583846680355917","0.27583846680355917","0.07802874743326485","0.07802874743326485","0.07802874743326485","0.41478439425051333","0.18480492813141683","0.1848049281314168","0.18480492813141686","0.26420260095824777","0.2642026009582478","0.2642026009582477","0.012320328542094472","0.012320328542094472","0.012320328542094472","0.3963039014373716","0.39630390143737165","0.3963039014373717","0.14921286789869956","0.14921286789869956","0.14921286789869956","0.21971252566735114","0.2197125256673511","0.2197125256673511","0.0"
"14610","0.5660506502395611","0.5085557837097878","0.3162217659137575","0.0787132101300479","0.0787132101300479","0.0787132101300479","0.5201916495550991","0.4777549623545516","0.47775496235455167","0.47775496235455167","0.2662559890485969","0.2662559890485969","0.2662559890485969","0.0677618069815195","0.0677618069815195","0.0677618069815195","0.5195071868583162","0.4866529774127311","0.48665297741273106","0.48665297741273106","0.24982888432580425","0.24982888432580422","0.24982888432580427","0.013004791238877489","0.013004791238877489","0.013004791238877489","0.47638603696098547","0.47638603696098564","0.4763860369609856","0.47638603696098564","0.47638603696098564","0.4763860369609857","0.20739219712525667","0.20739219712525667","0.20739219712525667","0.0"
"16071","0.4161533196440783","0.27994524298425716","0.21629021218343605","0.08008213552361394","0.08008213552361396","0.08008213552361394","0.29500342231348387","0.24229979466119086","0.24229979466119095","0.24229979466119098","0.16837782340862426","0.16837782340862428","0.16837782340862426","0.07392197125256673","0.07392197125256672","0.07392197125256673","0.26830937713894587","0.2128678986995208","0.21286789869952083","0.21286789869952089","0.19301848049281303","0.19301848049281314","0.1930184804928132","0.07392197125256672","0.07392197125256672","0.07392197125256673","0.2361396303901437","0.23613963039014368","0.2361396303901437","0.1854893908281998","0.18548939082819982","0.18548939082819982","0.1519507186858316","0.15195071868583163","0.1519507186858316","0.07392197125256672"
"17532","0.9897330595482481","0.39493497604380556","0.4510609171800135","0.9260780287474324","0.9267624914442159","0.9445585215605742","0.5817932922655709","0.9308692676249137","0.9295003422313478","0.9431895961670083","0.9370294318959609","0.9295003422313478","0.9568788501026688","0.9281314168377817","0.9377138945927443","0.952772073921971","0.544147843942505","0.9308692676249146","0.9281314168377818","0.9281314168377823","0.9301848049281307","0.9260780287474327","0.9329226557152628","0.9267624914442159","0.9315537303216974","0.9260780287474331","0.9308692676249144","0.9308692676249143","0.9315537303216972","0.9308692676249145","0.9336071184120464","0.9315537303216973","0.931553730321697","0.9301848049281312","0.9329226557152634","0.9301848049281313"
"18993","0.8350444900752834","0.413415468856947","0.36071184120465405","0.39630390143737154","0.21834360027378502","0.29568788501026666","0.6269678302532506","0.40177960301163584","0.5215605749486653","0.45859000684462664","0.5598904859685144","0.3627652292950033","0.46201232032854184","0.46269678302532496","0.4264202600958246","0.37166324435318254","0.6105407255304585","0.4106776180698151","0.4969199178644764","0.4517453798767965","0.5331964407939764","0.3709787816563997","0.4325804243668718","0.4668035592060233","0.4209445585215604","0.33264887063655024","0.6235455167693361","0.6214921286789868","0.6310746064339493","0.49349760438056123","0.4476386036960985","0.4852840520191648","0.5407255304585898","0.6002737850787133","0.42436687200547557","0.5092402464065707"
"20454","0.675564681724841","0.3689253935660506","0.14510609171800126","0.3134839151266255","0.1375770020533881","0.2778918548939082","0.35386721423682393","0.3360711841204653","0.35181382614647483","0.37029431895961656","0.29911019849418197","0.1498973305954825","0.2929500342231347","0.3121149897330595","0.33196440793976717","0.3169062286105407","0.3661875427789186","0.3470225872689938","0.36208076659822036","0.3696098562628336","0.3134839151266255","0.11156741957563317","0.2936344969199178","0.3141683778234084","0.32580424366871996","0.33059548254620114","0.3244353182751539","0.3436002737850786","0.35523613963039","0.3244353182751538","0.3559206023271731","0.39288158795345635","0.2970568104038328","0.3134839151266255","0.30458590006844616","0.3668720054757015"
"21915","0.671457905544142","0.331279945242984","0.2648870636550307","0.2238193018480492","0.16358658453114303","0.2067077344284735","0.3716632443531825","0.2970568104038329","0.3319644079397672","0.3716632443531827","0.301163586584531","0.25735797399041743","0.30047912388774806","0.23271731690622866","0.2607802874743326","0.2614647501711156","0.34702258726899377","0.2840520191649555","0.30595482546201225","0.3436002737850785","0.2683093771389458","0.24777549623545508","0.2847364818617384","0.20670773442847362","0.21971252566735106","0.21355236139630385","0.3264887063655029","0.3524982888432579","0.38261464750171104","0.2724161533196441","0.31143052703627655","0.3572895277207392","0.2676249144421629","0.3086926762491442","0.2669404517453797","0.25530458590006844"
"23376","0.8412046543463311","0.39561943874058847","0.33812457221081427","0.29295003422313465","0.35318275154004103","0.3655030800821355","0.43258042436687194","0.38124572210814495","0.4257357973990415","0.5927446954140996","0.36618754277891846","0.3538672142368239","0.5023956194387406","0.3894592744695413","0.5448323066392879","0.5578370978781656","0.41204654346338115","0.3572895277207392","0.4168377823408622","0.564681724845996","0.3333333333333332","0.3887748117727584","0.5297741273100617","0.3682409308692675","0.5338809034907597","0.5633127994524298","0.39767282683093763","0.40451745379876786","0.5927446954141","0.380561259411362","0.5571526351813825","0.59958932238193","0.36002737850787125","0.5605749486652974","0.5509924709103351","0.5941136208076659"
"24837","0.7446954140999257","0.3093771389459274","0.27173169062286096","0.2908966461327856","0.23203285420944553","0.28473648186173833","0.38672142368240886","0.2813141683778234","0.3983572895277205","0.3771389459274468","0.37645448323066344","0.26625598904859676","0.37850787132101293","0.39356605065023953","0.3436002737850786","0.3394934976043804","0.375770020533881","0.27241615331964414","0.37029431895961656","0.31690622861054063","0.3709787816563997","0.2573579739904175","0.2826830937713892","0.39151266255989037","0.3066392881587953","0.2696783025325119","0.34839151266255997","0.379192334017796","0.3771389459274468","0.37850787132101305","0.2813141683778234","0.37508555783709785","0.3997262149212866","0.3648186173853524","0.2888432580424366","0.38261464750171115"
"26298","0.7132101300479067","0.32306639288158767","0.23887748117727578","0.30253251197809716","0.24845995893223805","0.2772073921971251","0.3812457221081446","0.2915811088295687","0.34976043805612583","0.4038329911019848","0.3696098562628337","0.2888432580424365","0.3887748117727582","0.3675564681724845","0.3839835728952772","0.34565366187542784","0.352498288843258","0.2532511978097194","0.3415468856947297","0.3798767967145789","0.3436002737850785","0.28952772073921973","0.3716632443531827","0.34154688569472946","0.35797399041752215","0.32375085557837097","0.3449691991786447","0.3853524982888431","0.45037645448323055","0.34086242299794656","0.34291581108829566","0.40520191649555093","0.3935660506502394","0.44558521560574943","0.3579739904175221","0.39288158795345657"
"27759","0.8117727583846619","0.404517453798768","0.2635181382614647","0.4209445585215604","0.2635181382614646","0.4921286789869949","0.4524298425735797","0.3785078713210128","0.4058863791923338","0.5126625598904859","0.45927446954140966","0.3162217659137575","0.5379876796714577","0.43326488706365496","0.5263518138261462","0.5468856947296374","0.41204654346338104","0.39972621492128685","0.4168377823408623","0.5071868583162217","0.42847364818617384","0.2484599589322381","0.5017111567419574","0.4394250513347022","0.5044490075290896","0.51813826146475","0.3928815879534564","0.3915126625598903","0.5557837097878162","0.3887748117727583","0.4223134839151267","0.5968514715947979","0.4079397672826831","0.5516769336071183","0.5373032169746748","0.5982203969883638"
"29220","0.6940451745379823","0.21834360027378497","0.22381930184804913","0.19028062970568102","0.28062970568104034","0.2525667351129363","0.271047227926078","0.18480492813141683","0.3141683778234084","0.3093771389459273","0.2566735112936344","0.33264887063655024","0.355920602327173","0.29774127310061577","0.27652292950034213","0.3983572895277206","0.20054757015742639","0.13278576317590687","0.2724161533196439","0.24024640657084184","0.2032854209445585","0.27310061601642704","0.2819986310746064","0.2662559890485968","0.21492128678986996","0.36139630390143734","0.15879534565366182","0.2717316906228609","0.28747433264887057","0.2594113620807665","0.1813826146475017","0.3956194387405886","0.25735797399041743","0.2573579739904175","0.37166324435318254","0.353867214236824"
"30681","0.6002737850787091","0.23750855578370972","0.23613963039014355","0.23203285420944553","0.24229979466119086","0.19301848049281303","0.27789185489390805","0.21902806297056804","0.27446954140999297","0.2600958247775494","0.28884325804243666","0.31622176591375767","0.2997946611909651","0.2929500342231347","0.2505133470225872","0.299110198494182","0.24572210814510603","0.13347022587268995","0.2012320328542095","0.1724845995893223","0.22450376454483226","0.20260095824777544","0.23682409308692667","0.2101300479123887","0.19096509240246407","0.19438740588637912","0.23271731690622854","0.20533880903490762","0.27378507871321","0.18891170431211493","0.1670088980150582","0.2053388090349076","0.22450376454483226","0.2683093771389459","0.2121834360027378","0.23819301848049274"
"32142","0.6481861738535201","0.190280629705681","0.21834360027378497","0.21560574948665287","0.193018480492813","0.39425051334702255","0.22518822724161522","0.2251882272416153","0.24640657084188894","0.39356605065023953","0.25804243668720045","0.25393566050650235","0.4325804243668721","0.2813141683778233","0.3976728268309377","0.4510609171800136","0.15263518138261464","0.18206707734428473","0.20191649555099248","0.3682409308692676","0.2026009582477754","0.18685831622176585","0.38877481177275836","0.2409308692676249","0.3442847364818617","0.4017796030116358","0.21149897330595482","0.1971252566735113","0.403832991101985","0.27310061601642704","0.34770704996577667","0.42710472279260764","0.24435318275154005","0.39014373716632433","0.4072553045859001","0.4175222450376454"
"33603","0.7214236824093032","0.2176591375770021","0.23887748117727564","0.21423682409308678","0.22861054072553053","0.31827515400410666","0.23887748117727572","0.18685831622176577","0.2320328542094455","0.33538672142368225","0.24366872005475687","0.3093771389459273","0.383983572895277","0.23956194387405866","0.3429158110882956","0.39151266255989037","0.21355236139630382","0.13689253935660506","0.23682409308692667","0.29295003422313487","0.1902806297056811","0.30458590006844627","0.30184804928131415","0.2272416153319644","0.26899383983572894","0.34839151266255985","0.1533196440793977","0.2614647501711157","0.3627652292950033","0.17316906228610543","0.243668720054757","0.3524982888432579","0.2635181382614647","0.3449691991786448","0.3805612594113621","0.34428473648186164"
"35064","0.7063655030800761","0.3456536618754274","0.3470225872689935","0.3326488706365502","0.27583846680355917","0.30458590006844616","0.4154688569472961","0.34428473648186175","0.39219712525667305","0.43258042436687194","0.4072553045858999","0.3367556468172483","0.35592060232717304","0.3853524982888432","0.4168377823408623","0.3347022587268993","0.4236824093086924","0.3223819301848048","0.37166324435318276","0.4216290212183433","0.4086242299794662","0.35181382614647505","0.35865845311430505","0.36344969199178656","0.40041067761806953","0.2929500342231349","0.3730321697467488","0.40999315537303227","0.41136208076659814","0.3422313483915126","0.38809034907597534","0.40520191649555093","0.40177960301163584","0.4038329911019849","0.3244353182751539","0.38398357289527696"
"36525","0.7275838466803496","0.3497604380561255","0.36413415468856924","0.3278576317590688","0.2484599589322381","0.21286789869952086","0.4195756331279942","0.3333333333333332","0.3730321697467485","0.34496919917864455","0.41409993155373","0.38535249828884294","0.3969883641341547","0.38193018480492796","0.3237508555783709","0.2765229295003422","0.3655030800821352","0.25598904859685134","0.32511978097193683","0.27583846680355906","0.34839151266255974","0.3627652292950032","0.35455167693360695","0.33264887063655024","0.2765229295003422","0.24914442162902112","0.3408624229979465","0.37508555783709785","0.3477070499657769","0.33127994524298415","0.2731006160164271","0.3134839151266256","0.3867214236824092","0.34976043805612583","0.35660506502395606","0.326488706365503"
"37986","0.6967830253251144","0.4394250513347021","0.16290212183436","0.40725530458590004","0.17659137577002043","0.28747433264887057","0.46611909650923977","0.4271047227926075","0.45722108145106066","0.4647501711156737","0.4332648870636546","0.1984941820670773","0.3189596167008895","0.43258042436687166","0.4435318275154002","0.35386721423682393","0.4455852156057492","0.41957563312799434","0.43874058863791926","0.4517453798767966","0.4209445585215606","0.19575633127994527","0.29363449691991783","0.4154688569472963","0.42573579739904155","0.3415468856947294","0.44216290212183423","0.44969199178644753","0.44695414099931535","0.4353182751540042","0.4298425735797399","0.45995893223819295","0.4147843942505133","0.4161533196440793","0.3408624229979465","0.4140999315537303"
"39447","0.7364818617385293","0.25804243668720045","0.32375085557837097","0.1827515400410676","0.22861054072553044","0.27173169062286084","0.4045174537987677","0.22861054072553033","0.3052703627652292","0.3018480492813139","0.3860369609856262","0.3470225872689935","0.3928815879534565","0.27926078028747414","0.22108145106091706","0.3073237508555781","0.3675564681724844","0.19575633127994524","0.2908966461327857","0.24572210814510603","0.37987679671457897","0.34017796030116354","0.351129363449692","0.24777549623545506","0.18206707734428468","0.27720739219712526","0.3661875427789186","0.3730321697467486","0.37371663244353154","0.27857631759069124","0.1943874058863792","0.3381245722108145","0.38672142368240925","0.3785078713210129","0.37919233401779595","0.300479123887748"
"40908","0.7672826830937644","0.3134839151266253","0.3483915126625597","0.22724161533196421","0.32922655715263516","0.28542094455852135","0.3976728268309373","0.29226557152635163","0.33607118412046527","0.37166324435318254","0.35249828884325785","0.3702943189596166","0.4052019164955509","0.2819986310746063","0.3107460643394935","0.40041067761806964","0.3333333333333332","0.23819301848049274","0.3449691991786446","0.2689938398357288","0.2997946611909651","0.3750855578370977","0.3483915126625598","0.3326488706365503","0.2409308692676249","0.3744010951403149","0.3080082135523613","0.3463381245722108","0.36755646817248466","0.271047227926078","0.2464065708418891","0.36208076659822036","0.30732375085557817","0.3299110198494182","0.3976728268309375","0.3511293634496919"
