"points","all_attributes","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"1461","0.5564681724845973","0.5564681724845973","0.3572895277207391","0.3572895277207392","0.35728952772073913","0.34154688569472913","0.3415468856947294","0.3415468856947292","0.07939767282683093","0.07939767282683094","0.07939767282683093","0.48596851471594793","0.4859685147159479","0.4859685147159479","0.3340177960301163","0.33401779603011633","0.33401779603011644","0.29637234770704995","0.2963723477070499","0.2963723477070499","0.0657084188911704","0.46406570841889117","0.46406570841889117","0.4640657084188913","0.28610540725530464","0.2861054072553046","0.28610540725530464","0.25393566050650235","0.25393566050650235","0.25393566050650235","0.013689253935660506","0.41615331964407937","0.4161533196440794","0.4161533196440793","0.28405201916495554","0.21286789869952089"
"2922","0.4702258726899367","0.47022587268993665","0.37029431895961656","0.37029431895961656","0.37029431895961645","0.14031485284052014","0.1403148528405202","0.1403148528405202","0.07802874743326489","0.07802874743326489","0.07802874743326486","0.39630390143737143","0.3963039014373714","0.3963039014373714","0.3401779603011636","0.34017796030116354","0.34017796030116354","0.09993155373032167","0.09993155373032168","0.0999315537303217","0.07597535934291577","0.36344969199178634","0.36344969199178634","0.3634496919917863","0.33127994524298426","0.3312799452429842","0.33127994524298415","0.08761122518822723","0.08761122518822725","0.08761122518822725","0.012320328542094472","0.33127994524298426","0.3312799452429842","0.3312799452429843","0.3312799452429843","0.06707734428473648"
"4383","0.44079397672826653","0.4407939767282667","0.3312799452429841","0.33127994524298426","0.33127994524298404","0.17932922655715255","0.1793292265571525","0.17932922655715253","0.07665982203969884","0.07665982203969884","0.07665982203969883","0.37234770704996545","0.37234770704996545","0.3723477070499655","0.28062970568104045","0.28062970568104034","0.2806297056810404","0.1451060917180014","0.14510609171800137","0.14510609171800137","0.06981519507186858","0.2997946611909651","0.2997946611909651","0.299794661190965","0.2313483915126626","0.23134839151266254","0.23134839151266254","0.11567419575633127","0.11567419575633127","0.1156741957563313","0.01095140314852841","0.2662559890485969","0.2662559890485968","0.2662559890485968","0.22929500342231346","0.10266940451745382"
"5844","0.6440793976728237","0.6440793976728245","0.39767282683093746","0.39767282683093774","0.39767282683093763","0.42778918548939054","0.42778918548939043","0.42778918548939054","0.07802874743326488","0.07802874743326489","0.07802874743326486","0.5646817248459957","0.5646817248459958","0.5646817248459955","0.3586584531143053","0.3586584531143052","0.3586584531143052","0.3682409308692675","0.36824093086926757","0.36824093086926757","0.07186858316221766","0.5215605749486653","0.5215605749486651","0.5215605749486651","0.33949349760438063","0.33949349760438063","0.33949349760438063","0.3586584531143053","0.3586584531143052","0.3586584531143053","0.012320328542094472","0.4784394250513347","0.47843942505133474","0.47843942505133463","0.3394934976043806","0.3319644079397673"
"7305","0.4373716632443522","0.43737166324435234","0.28884325804243666","0.2888432580424366","0.28884325804243655","0.19370294318959613","0.1937029431895961","0.19370294318959613","0.07939767282683093","0.07939767282683093","0.07939767282683093","0.3442847364818616","0.34428473648186153","0.3442847364818616","0.26488706365503073","0.2648870636550308","0.2648870636550308","0.15195071868583163","0.15195071868583163","0.15195071868583157","0.0739219712525667","0.3121149897330595","0.3121149897330595","0.3121149897330595","0.216974674880219","0.216974674880219","0.21697467488021904","0.13689253935660506","0.13689253935660506","0.13689253935660506","0.013004791238877475","0.27446954140999313","0.2744695414099931","0.2744695414099932","0.19438740588637918","0.12046543463381246"
"8766","0.34633812457221014","0.34633812457221","0.26009582477754956","0.26009582477754956","0.2600958247775496","0.17453798767967146","0.17453798767967135","0.1745379876796714","0.07939767282683093","0.07939767282683094","0.07939767282683091","0.25530458590006844","0.2553045859000685","0.2553045859000684","0.1943874058863792","0.19438740588637912","0.19438740588637926","0.11156741957563313","0.11156741957563313","0.11156741957563311","0.0677618069815195","0.22792607802874745","0.22792607802874745","0.2279260780287475","0.12594113620807665","0.12594113620807668","0.12594113620807668","0.13415468856947294","0.13415468856947296","0.13415468856947294","0.013004791238877475","0.12525667351129363","0.12525667351129366","0.1252566735112936","0.08145106091718002","0.07802874743326488"
"10227","0.4572210814510604","0.4572210814510602","0.30800821355236124","0.3080082135523612","0.3080082135523613","0.32443531827515404","0.3244353182751539","0.32443531827515415","0.07802874743326486","0.07802874743326486","0.07802874743326486","0.3791923340177962","0.379192334017796","0.379192334017796","0.2731006160164271","0.2731006160164271","0.2731006160164271","0.2785763175906913","0.27857631759069135","0.2785763175906913","0.07802874743326485","0.32717316906228605","0.3271731690622861","0.327173169062286","0.22929500342231346","0.22929500342231346","0.22929500342231351","0.26214921286789866","0.2621492128678987","0.2621492128678987","0.012320328542094472","0.2737850787132101","0.2737850787132101","0.2737850787132101","0.20328542094455854","0.25051334702258726"
"11688","0.40862422997946535","0.4086242299794655","0.2642026009582476","0.2642026009582477","0.2642026009582476","0.24298425735797397","0.24298425735797388","0.24298425735797394","0.07734428473648186","0.07734428473648186","0.07734428473648185","0.30527036276522934","0.3052703627652293","0.3052703627652293","0.20123203285420943","0.20123203285420943","0.20123203285420943","0.21423682409308697","0.21423682409308697","0.21423682409308695","0.06365503080082133","0.299794661190965","0.29979466119096515","0.29979466119096493","0.21765913757700206","0.21765913757700203","0.21765913757700206","0.17111567419575635","0.17111567419575632","0.17111567419575638","0.011635865845311427","0.21765913757700206","0.21765913757700203","0.21765913757700203","0.1656399726214921","0.15263518138261467"
"13149","0.5325119780971929","0.5325119780971925","0.2833675564681724","0.2833675564681724","0.28336755646817247","0.34770704996577667","0.3477070499657768","0.3477070499657767","0.07802874743326488","0.07802874743326488","0.07802874743326488","0.45859000684462664","0.45859000684462703","0.458590006844627","0.19233401779603013","0.19233401779603018","0.19233401779603015","0.2758384668035592","0.2758384668035591","0.27583846680355917","0.07802874743326485","0.41478439425051333","0.4147843942505136","0.4147843942505135","0.1848049281314168","0.18480492813141683","0.1848049281314168","0.2642026009582478","0.2642026009582478","0.26420260095824777","0.012320328542094472","0.3963039014373717","0.3963039014373716","0.3963039014373717","0.14921286789869956","0.2197125256673511"
"14610","0.5660506502395606","0.5660506502395608","0.5085557837097877","0.5085557837097878","0.5085557837097878","0.3162217659137576","0.3162217659137575","0.3162217659137576","0.0787132101300479","0.07871321013004791","0.0787132101300479","0.5201916495550991","0.520191649555099","0.520191649555099","0.4777549623545517","0.4777549623545517","0.47775496235455167","0.2662559890485968","0.2662559890485969","0.2662559890485969","0.0677618069815195","0.5195071868583162","0.5195071868583162","0.5195071868583161","0.48665297741273106","0.486652977412731","0.486652977412731","0.24982888432580427","0.24982888432580425","0.24982888432580425","0.013004791238877489","0.4763860369609856","0.4763860369609856","0.4763860369609856","0.47638603696098564","0.20739219712525667"
