"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"336","0.7440476190476173","0.6666666666666659","0.23809523809523775","0.0","0.0","0.0","0.6636904761904755","0.6011904761904763","0.601190476190476","0.601190476190476","0.18154761904761904","0.18154761904761904","0.18154761904761907","0.0","0.0","0.0","0.6130952380952377","0.5744047619047619","0.574404761904762","0.5744047619047618","0.16964285714285712","0.16964285714285707","0.1696428571428571","0.0","0.0","0.0","0.5833333333333333","0.5833333333333334","0.5833333333333333","0.5744047619047619","0.5744047619047619","0.5744047619047619","0.1517857142857143","0.1517857142857143","0.1517857142857143","0.0","0.7440476190476174","0.6666666666666661","0.666666666666666","0.6666666666666659","0.23809523809523797","0.23809523809523794","0.23809523809523792","0.0","0.0","0.0","0.6636904761904754","0.6636904761904758","0.6636904761904756","0.6011904761904762","0.601190476190476","0.6011904761904763","0.18154761904761907","0.18154761904761904","0.18154761904761899","0.0","0.6130952380952378","0.6130952380952379","0.6130952380952377","0.574404761904762","0.574404761904762","0.574404761904762","0.1696428571428571","0.16964285714285712","0.16964285714285712","0.0","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5744047619047619","0.1517857142857143"
"672","0.42857142857142794","0.3244047619047618","0.18749999999999983","0.0","0.0","0.0","0.3571428571428568","0.2946428571428571","0.2946428571428571","0.29464285714285715","0.12797619047619047","0.12797619047619047","0.1279761904761905","0.0","0.0","0.0","0.26488095238095233","0.16369047619047622","0.1636904761904762","0.16369047619047622","0.12797619047619047","0.12797619047619047","0.1279761904761905","0.0","0.0","0.0","0.2380952380952381","0.23809523809523814","0.23809523809523808","0.08035714285714285","0.08035714285714285","0.08035714285714285","0.08333333333333334","0.08333333333333334","0.08333333333333334","0.0","0.42857142857142794","0.32440476190476175","0.3244047619047618","0.32440476190476175","0.1874999999999998","0.18749999999999983","0.1874999999999999","0.0","0.0","0.0","0.3571428571428568","0.35714285714285693","0.357142857142857","0.2946428571428571","0.29464285714285715","0.2946428571428571","0.1279761904761905","0.12797619047619047","0.12797619047619047","0.0","0.2648809523809523","0.2648809523809523","0.26488095238095233","0.16369047619047625","0.1636904761904762","0.1636904761904762","0.1279761904761905","0.12797619047619047","0.1279761904761905","0.0","0.23809523809523805","0.23809523809523805","0.2380952380952381","0.08035714285714285","0.08333333333333336"
"1008","0.7142857142857129","0.6428571428571423","0.15476190476190455","0.0","0.0","0.0","0.6785714285714282","0.6011904761904762","0.6011904761904763","0.601190476190476","0.1101190476190476","0.1101190476190476","0.11011904761904762","0.0","0.0","0.0","0.607142857142857","0.6041666666666665","0.6041666666666666","0.6041666666666666","0.0773809523809524","0.07738095238095238","0.0773809523809524","0.0","0.0","0.0","0.5952380952380951","0.5952380952380952","0.5952380952380951","0.5863095238095237","0.5863095238095237","0.5863095238095238","0.02083333333333333","0.02083333333333333","0.02083333333333333","0.0","0.7142857142857127","0.6428571428571422","0.6428571428571423","0.6428571428571423","0.15476190476190466","0.15476190476190463","0.1547619047619046","0.0","0.0","0.0","0.6785714285714283","0.6785714285714284","0.6785714285714283","0.601190476190476","0.601190476190476","0.6011904761904763","0.11011904761904763","0.1101190476190476","0.1101190476190476","0.0","0.6071428571428571","0.607142857142857","0.607142857142857","0.6041666666666666","0.6041666666666666","0.6041666666666667","0.0773809523809524","0.07738095238095238","0.07738095238095238","0.0","0.5952380952380952","0.5952380952380951","0.5952380952380951","0.5863095238095237","0.02083333333333333"
"1344","0.4851190476190466","0.3333333333333331","0.2291666666666665","0.0","0.0","0.0","0.36309523809523786","0.24404761904761904","0.24404761904761904","0.24404761904761904","0.13392857142857142","0.1339285714285714","0.13392857142857142","0.0","0.0","0.0","0.30952380952380926","0.21428571428571425","0.2142857142857143","0.21428571428571427","0.11011904761904763","0.11011904761904762","0.11011904761904762","0.0","0.0","0.0","0.21130952380952378","0.21130952380952378","0.2113095238095238","0.14583333333333331","0.14583333333333331","0.14583333333333334","0.035714285714285726","0.035714285714285726","0.035714285714285726","0.0","0.48511904761904673","0.3333333333333331","0.33333333333333304","0.3333333333333331","0.22916666666666652","0.2291666666666665","0.22916666666666657","0.0","0.0","0.0","0.36309523809523775","0.3630952380952378","0.36309523809523786","0.24404761904761904","0.24404761904761907","0.24404761904761907","0.1339285714285714","0.13392857142857137","0.13392857142857142","0.0","0.3095238095238094","0.30952380952380937","0.3095238095238094","0.2142857142857143","0.21428571428571427","0.21428571428571427","0.1101190476190476","0.1101190476190476","0.1101190476190476","0.0","0.21130952380952384","0.21130952380952384","0.21130952380952378","0.14583333333333331","0.035714285714285726"
"1680","0.7708333333333316","0.666666666666666","0.3749999999999997","0.0","0.0","0.0","0.7142857142857136","0.6011904761904762","0.6011904761904762","0.601190476190476","0.3273809523809523","0.3273809523809523","0.32738095238095244","0.0","0.0","0.0","0.6517857142857141","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.0","0.0","0.0","0.613095238095238","0.6130952380952381","0.6130952380952381","0.5535714285714286","0.5535714285714286","0.5535714285714286","0.2589285714285714","0.2589285714285714","0.2589285714285714","0.0","0.7708333333333317","0.666666666666666","0.6666666666666661","0.666666666666666","0.3749999999999996","0.3749999999999997","0.3749999999999996","0.0","0.0","0.0","0.7142857142857137","0.7142857142857135","0.7142857142857137","0.6011904761904762","0.6011904761904762","0.6011904761904762","0.3273809523809524","0.32738095238095233","0.32738095238095233","0.0","0.6517857142857139","0.651785714285714","0.6517857142857137","0.5714285714285715","0.5714285714285715","0.5714285714285715","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.0","0.6130952380952382","0.6130952380952381","0.6130952380952381","0.5535714285714286","0.2589285714285714"
"2016","0.7559523809523794","0.6607142857142848","0.2678571428571427","0.0","0.0","0.0","0.6874999999999993","0.5952380952380951","0.5952380952380951","0.5952380952380951","0.22321428571428564","0.22321428571428567","0.2232142857142857","0.0","0.0","0.0","0.589285714285714","0.5178571428571429","0.5178571428571428","0.5178571428571428","0.19940476190476192","0.19940476190476186","0.19940476190476192","0.0","0.0","0.0","0.5119047619047619","0.5119047619047619","0.5119047619047619","0.49404761904761907","0.49404761904761907","0.49404761904761907","0.17857142857142855","0.17857142857142855","0.17857142857142855","0.0","0.7559523809523793","0.660714285714285","0.6607142857142848","0.6607142857142849","0.2678571428571426","0.26785714285714274","0.2678571428571427","0.0","0.0","0.0","0.6874999999999992","0.6874999999999994","0.6874999999999994","0.5952380952380952","0.5952380952380951","0.5952380952380952","0.22321428571428567","0.22321428571428567","0.2232142857142857","0.0","0.589285714285714","0.5892857142857141","0.5892857142857142","0.5178571428571429","0.5178571428571429","0.5178571428571428","0.19940476190476186","0.19940476190476192","0.1994047619047619","0.0","0.5119047619047619","0.5119047619047618","0.5119047619047619","0.4940476190476191","0.17857142857142852"
"2352","0.6369047619047604","0.571428571428571","0.16369047619047605","0.0","0.0","0.0","0.5624999999999996","0.5089285714285714","0.5089285714285713","0.5089285714285713","0.12202380952380948","0.12202380952380952","0.12202380952380948","0.0","0.0","0.0","0.4999999999999998","0.4196428571428572","0.4196428571428571","0.4196428571428571","0.125","0.125","0.12499999999999997","0.0","0.0","0.0","0.43749999999999994","0.4375","0.43749999999999994","0.39285714285714285","0.3928571428571428","0.3928571428571428","0.10416666666666664","0.10416666666666664","0.10416666666666664","0.0","0.6369047619047603","0.571428571428571","0.5714285714285707","0.5714285714285708","0.16369047619047605","0.163690476190476","0.163690476190476","0.0","0.0","0.0","0.5624999999999996","0.5624999999999994","0.5624999999999998","0.5089285714285713","0.5089285714285714","0.5089285714285713","0.1220238095238095","0.12202380952380949","0.12202380952380948","0.0","0.49999999999999983","0.49999999999999967","0.4999999999999998","0.41964285714285715","0.41964285714285715","0.4196428571428572","0.125","0.125","0.12499999999999999","0.0","0.4375","0.43750000000000006","0.4374999999999999","0.3928571428571428","0.10416666666666664"
"2688","0.5833333333333319","0.5267857142857139","0.14285714285714277","0.0","0.0","0.0","0.5327380952380951","0.494047619047619","0.494047619047619","0.494047619047619","0.10119047619047615","0.10119047619047616","0.10119047619047618","0.0","0.0","0.0","0.41369047619047605","0.3303571428571428","0.3303571428571428","0.33035714285714285","0.0744047619047619","0.07440476190476189","0.07440476190476189","0.0","0.0","0.0","0.36607142857142855","0.3660714285714285","0.36607142857142855","0.31845238095238093","0.31845238095238093","0.31845238095238093","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.0","0.5833333333333321","0.526785714285714","0.526785714285714","0.5267857142857137","0.14285714285714277","0.14285714285714274","0.14285714285714277","0.0","0.0","0.0","0.5327380952380949","0.5327380952380948","0.5327380952380948","0.49404761904761907","0.49404761904761896","0.494047619047619","0.10119047619047616","0.10119047619047615","0.10119047619047615","0.0","0.41369047619047594","0.413690476190476","0.4136904761904759","0.33035714285714285","0.33035714285714285","0.33035714285714285","0.07440476190476189","0.07440476190476189","0.07440476190476188","0.0","0.3660714285714286","0.36607142857142855","0.36607142857142855","0.31845238095238093","0.041666666666666664"
"3024","0.6547619047619032","0.5892857142857136","0.19642857142857123","0.0","0.0","0.0","0.5952380952380947","0.5148809523809523","0.5148809523809522","0.5148809523809524","0.17261904761904756","0.17261904761904762","0.17261904761904762","0.0","0.0","0.0","0.4672619047619046","0.36904761904761896","0.369047619047619","0.369047619047619","0.1607142857142857","0.1607142857142857","0.1607142857142857","0.0","0.0","0.0","0.4166666666666667","0.41666666666666674","0.41666666666666674","0.36904761904761907","0.36904761904761907","0.36904761904761907","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.0","0.6547619047619032","0.5892857142857136","0.5892857142857136","0.5892857142857135","0.1964285714285713","0.19642857142857129","0.19642857142857126","0.0","0.0","0.0","0.5952380952380946","0.5952380952380948","0.5952380952380946","0.5148809523809524","0.5148809523809523","0.5148809523809523","0.17261904761904762","0.17261904761904762","0.17261904761904762","0.0","0.4672619047619045","0.4672619047619046","0.4672619047619045","0.369047619047619","0.369047619047619","0.369047619047619","0.16071428571428573","0.16071428571428573","0.1607142857142857","0.0","0.4166666666666667","0.41666666666666663","0.41666666666666663","0.36904761904761907","0.14583333333333331"
"3360","0.7083333333333318","0.6369047619047613","0.1994047619047617","0.0","0.0","0.0","0.6428571428571422","0.5654761904761905","0.5654761904761904","0.5654761904761905","0.15476190476190477","0.15476190476190477","0.15476190476190477","0.0","0.0","0.0","0.5386904761904759","0.4613095238095238","0.4613095238095237","0.4613095238095237","0.1101190476190476","0.11011904761904762","0.1101190476190476","0.0","0.0","0.0","0.46726190476190477","0.4672619047619047","0.4672619047619047","0.44345238095238093","0.44345238095238093","0.44345238095238093","0.05654761904761904","0.05654761904761904","0.05654761904761904","0.0","0.7083333333333317","0.6369047619047612","0.6369047619047613","0.6369047619047612","0.19940476190476172","0.19940476190476178","0.1994047619047617","0.0","0.0","0.0","0.6428571428571423","0.6428571428571422","0.6428571428571421","0.5654761904761904","0.5654761904761904","0.5654761904761904","0.15476190476190477","0.1547619047619047","0.1547619047619047","0.0","0.5386904761904758","0.5386904761904758","0.5386904761904758","0.4613095238095238","0.46130952380952384","0.4613095238095238","0.11011904761904762","0.1101190476190476","0.11011904761904764","0.0","0.46726190476190477","0.4672619047619047","0.4672619047619047","0.44345238095238093","0.05654761904761904"
