"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"48","1.0","1.0","0.0","0.18749999999999997","0.12499999999999999","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.1875","0.14583333333333334","0.0","0.0","0.0","0.18749999999999994","0.1875","0.1875","0.1875","0.12499999999999999","0.12499999999999999","0.12499999999999999","0.0","0.0","0.0"
"96","0.9999999999999999","1.0","0.0","0.4166666666666667","0.08333333333333333","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.43750000000000006","0.125","0.0","0.0","0.0","0.45833333333333326","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0"
"144","0.9999999999999999","1.0","0.0","0.8541666666666666","0.10416666666666669","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.8541666666666666","0.14583333333333331","0.0","0.0","0.0","0.8541666666666665","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.10416666666666669","0.10416666666666669","0.10416666666666669","0.0","0.0","0.0"
"192","1.0000000000000002","1.0","0.0","0.375","0.5","0.0","0.0","0.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.49999999999999994","0.5","0.0","0.0","0.0","0.6041666666666666","0.375","0.375","0.375","0.49999999999999994","0.49999999999999994","0.5","0.0","0.0","0.0"
"240","0.9999999999999999","1.0","0.0","0.2708333333333333","0.27083333333333337","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.27083333333333337","0.27083333333333337","0.0","0.0","0.0","0.3958333333333334","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.0","0.0","0.0"
"288","1.0","1.0","0.0","0.6666666666666666","0.6458333333333334","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.7916666666666667","0.6458333333333334","0.0","0.0","0.0","0.6875","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6458333333333333","0.6458333333333334","0.6458333333333334","0.0","0.0","0.0"
"336","0.9999999999999999","1.0","0.0","0.1875","0.1875","0.0","0.0","0.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.22916666666666666","0.2708333333333333","0.0","0.0","0.0","0.3333333333333333","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.0","0.0","0.0"
"384","1.0","1.0","0.0","0.08333333333333336","0.041666666666666685","0.0","0.0","0.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.125","0.16666666666666666","0.0","0.0","0.0","0.14583333333333337","0.08333333333333336","0.08333333333333336","0.08333333333333336","0.041666666666666685","0.041666666666666685","0.041666666666666685","0.0","0.0","0.0"
"432","1.0","1.0","0.0","0.14583333333333334","0.16666666666666669","0.0","0.0","0.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.14583333333333334","0.18749999999999997","0.0","0.0","0.0","0.20833333333333331","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0","0.0","0.0"
"480","0.9999999999999998","1.0","0.0","0.14583333333333334","0.16666666666666666","0.0","0.0","0.0","0.9999999999999999","1.0","0.9999999999999998","1.0","1.0","1.0","0.2916666666666667","0.16666666666666666","0.0","0.0","0.0","0.25","0.14583333333333334","0.14583333333333334","0.14583333333333331","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0","0.0","0.0"
