"points","all_attributes","date_day_period","date_day_nswprice","date_day_nswdemand","date_day_vicprice","date_day_vicdemand","date_day_transfer","date_period_nswprice","date_period_nswdemand","date_period_vicprice","date_period_vicdemand","date_period_transfer","date_nswprice_nswdemand","date_nswprice_vicprice","date_nswprice_vicdemand","date_nswprice_transfer","date_nswdemand_vicprice","date_nswdemand_vicdemand","date_nswdemand_transfer","date_vicprice_vicdemand","date_vicprice_transfer","date_vicdemand_transfer","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"48","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.1875","0.14583333333333334","0.0","0.0","0.0","0.1875","0.1875","0.1875","0.1875","0.12499999999999999","0.12499999999999999","0.12499999999999999","0.0","0.0","0.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.27083333333333326","0.1875","0.1875","0.1875","0.14583333333333334","0.14583333333333331","0.14583333333333331","0.0","0.0","0.0","0.18749999999999994","0.18749999999999994","0.1875","0.1875","0.1875","0.18749999999999997","0.12499999999999999","0.12499999999999999","0.12499999999999999","0.0"
"96","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.4375","0.12500000000000006","0.0","0.0","0.0","0.4583333333333333","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.5416666666666666","0.4375","0.43750000000000006","0.43749999999999994","0.125","0.12500000000000003","0.12500000000000003","0.0","0.0","0.0","0.45833333333333326","0.4583333333333333","0.45833333333333326","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.0"
"144","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.8541666666666667","0.14583333333333331","0.0","0.0","0.0","0.8541666666666665","0.8541666666666666","0.8541666666666667","0.8541666666666666","0.10416666666666669","0.10416666666666669","0.10416666666666669","0.0","0.0","0.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","0.875","0.8541666666666665","0.8541666666666667","0.8541666666666669","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.0","0.0","0.0","0.8541666666666666","0.8541666666666667","0.8541666666666667","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.10416666666666669","0.10416666666666669","0.10416666666666669","0.0"
"192","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","0.5","0.5","0.0","0.0","0.0","0.6041666666666666","0.375","0.375","0.375","0.5","0.5","0.5","0.0","0.0","0.0","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6666666666666667","0.5","0.5","0.5","0.5","0.5","0.5","0.0","0.0","0.0","0.6041666666666667","0.6041666666666667","0.6041666666666666","0.375","0.375","0.375","0.5","0.5","0.5","0.0"
"240","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.27083333333333337","0.27083333333333337","0.0","0.0","0.0","0.3958333333333333","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.0","0.0","0.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.43749999999999994","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.2708333333333333","0.27083333333333337","0.2708333333333333","0.0","0.0","0.0","0.39583333333333337","0.39583333333333337","0.3958333333333334","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.0"
"288","1.0000000000000002","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.7916666666666667","0.6458333333333333","0.0","0.0","0.0","0.6875","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6458333333333334","0.6458333333333333","0.6458333333333334","0.0","0.0","0.0","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.8125","0.7916666666666666","0.7916666666666669","0.7916666666666667","0.6458333333333333","0.6458333333333333","0.6458333333333334","0.0","0.0","0.0","0.6875","0.6875","0.6875","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6458333333333334","0.6458333333333334","0.6458333333333334","0.0"
"336","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.22916666666666669","0.27083333333333337","0.0","0.0","0.0","0.33333333333333337","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999998","1.0","0.9999999999999999","1.0","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0","1.0","0.39583333333333337","0.22916666666666669","0.22916666666666666","0.22916666666666669","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.0","0.0","0.0","0.3333333333333333","0.3333333333333334","0.33333333333333337","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.0"
"384","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.125","0.16666666666666669","0.0","0.0","0.0","0.14583333333333334","0.08333333333333336","0.08333333333333336","0.08333333333333336","0.041666666666666685","0.041666666666666685","0.041666666666666685","0.0","0.0","0.0","1.0","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.2708333333333333","0.125","0.125","0.125","0.16666666666666669","0.16666666666666663","0.16666666666666669","0.0","0.0","0.0","0.14583333333333331","0.14583333333333337","0.14583333333333337","0.08333333333333336","0.08333333333333336","0.08333333333333336","0.041666666666666685","0.041666666666666685","0.041666666666666685","0.0"
"432","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.14583333333333331","0.1875","0.0","0.0","0.0","0.20833333333333331","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0","0.0","0.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.2708333333333333","0.14583333333333331","0.14583333333333331","0.14583333333333334","0.1875","0.1875","0.1875","0.0","0.0","0.0","0.20833333333333331","0.20833333333333334","0.20833333333333331","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0"
"480","0.9999999999999997","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.2916666666666667","0.16666666666666666","0.0","0.0","0.0","0.25","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.16666666666666669","0.16666666666666666","0.16666666666666669","0.0","0.0","0.0","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","0.35416666666666674","0.29166666666666663","0.29166666666666663","0.2916666666666667","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.0","0.0","0.0","0.24999999999999997","0.24999999999999997","0.24999999999999997","0.14583333333333334","0.14583333333333331","0.14583333333333334","0.16666666666666669","0.16666666666666666","0.16666666666666669","0.0"
