"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"500","0.0","0.288","0.039999999999999994","0.342","0.10800000000000001","0.0","0.0","0.0","0.5960000000000004"
"1000","0.0","0.288","0.03799999999999999","0.5820000000000001","0.10999999999999999","0.0","0.0","0.0","0.6960000000000005"
"1500","0.0","0.288","0.036000000000000004","0.53","0.14800000000000002","0.0","0.0","0.0","0.7340000000000005"
"2000","0.0","0.28800000000000003","0.034","0.218","0.11000000000000001","0.0","0.0","0.0","0.6000000000000004"
"2500","0.0","0.288","0.032","0.146","0.092","0.0","0.0","0.0","0.5880000000000004"
"3000","0.0","0.27999999999999997","0.03199999999999999","0.344","0.27199999999999996","0.0","0.0","0.0","0.6460000000000005"
"3500","0.0","0.288","0.03199999999999999","0.5940000000000001","0.258","0.0","0.0","0.0","0.7740000000000006"
"4000","0.0","0.288","0.032","0.23800000000000004","0.1","0.0","0.0","0.0","0.6060000000000004"
"4500","0.0","0.28800000000000003","0.034","0.23800000000000004","0.15599999999999997","0.0","0.0","0.0","0.6560000000000005"
"5000","0.0","0.288","0.036000000000000004","0.126","0.14599999999999996","0.0","0.0","0.0","0.6520000000000005"
"5500","0.0","0.288","0.03799999999999999","0.20600000000000002","0.164","0.0","0.0","0.0","0.7120000000000005"
"6000","0.0","0.288","0.039999999999999994","0.13799999999999998","0.16399999999999998","0.0","0.0","0.0","0.5920000000000004"
"6500","0.0","0.288","0.039999999999999994","0.28200000000000003","0.12399999999999999","0.0","0.0","0.0","0.5660000000000004"
"7000","0.0","0.288","0.03799999999999999","0.19799999999999998","0.09599999999999997","0.0","0.0","0.0","0.5880000000000004"
"7500","0.0","0.28800000000000003","0.036000000000000004","0.28400000000000003","0.12999999999999998","0.0","0.0","0.0","0.6000000000000004"
"8000","0.0","0.288","0.034","0.20600000000000002","0.12599999999999997","0.0","0.0","0.0","0.5420000000000004"
