"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"1000","0.19599999999999998","0.21400000000000002","0.196","0.379","0.30000000000000004","0.19599999999999998","0.19599999999999998","0.19599999999999998","0.6369999999999965"
"2000","0.11299999999999999","0.11300000000000002","0.11300000000000002","0.38","0.129","0.11299999999999999","0.11299999999999999","0.11299999999999999","0.6649999999999952"
"3000","0.01999999999999999","0.047999999999999994","0.093","0.16899999999999998","0.14700000000000002","0.01999999999999999","0.01999999999999999","0.01999999999999999","0.5030000000000003"
"4000","0.03700000000000003","0.05899999999999999","0.18700000000000003","0.179","0.221","0.03700000000000003","0.03700000000000003","0.03700000000000003","0.6029999999999965"
"5000","0.06400000000000003","0.14600000000000007","0.14600000000000002","0.302","0.136","0.06400000000000003","0.06400000000000003","0.06400000000000003","0.5999999999999971"
"6000","0.0030000000000000027","0.07500000000000001","0.06500000000000002","0.24500000000000005","0.295","0.0030000000000000027","0.0030000000000000027","0.0030000000000000027","0.6649999999999973"
"7000","0.10400000000000001","0.13999999999999999","0.11899999999999997","0.16999999999999998","0.13699999999999998","0.10400000000000001","0.10400000000000001","0.10400000000000001","0.513"
"8000","0.0010000000000000009","0.046999999999999986","0.124","0.28400000000000003","0.11400000000000002","0.0010000000000000009","0.0010000000000000009","0.0010000000000000009","0.5299999999999998"
"9000","0.9279999999999999","0.139","0.04499999999999999","0.123","0.101","0.031000000000000028","0.031000000000000028","0.031000000000000028","0.9749999999999928"
"10000","0.07200000000000001","0.12400000000000003","0.040000000000000015","0.12899999999999998","0.07600000000000001","0.014000000000000012","0.014000000000000012","0.014000000000000012","0.5160000000000001"
"11000","0.032","0.14400000000000004","0.054","0.17800000000000005","0.31100000000000005","0.032","0.032","0.032","0.6249999999999989"
"12000","0.048000000000000015","0.19000000000000006","0.061000000000000006","0.22100000000000003","0.29","0.048000000000000015","0.048000000000000015","0.048000000000000015","0.6339999999999986"
"13000","0.0050000000000000044","0.11099999999999999","0.11500000000000002","0.17000000000000004","0.17900000000000002","0.0050000000000000044","0.0050000000000000044","0.0050000000000000044","0.5229999999999999"
"14000","0.07599999999999998","0.136","0.09399999999999999","0.417","0.10799999999999998","0.07599999999999998","0.07599999999999998","0.07599999999999998","0.5899999999999983"
"15000","0.0050000000000000044","0.169","0.027000000000000014","0.30800000000000005","0.147","0.0050000000000000044","0.0050000000000000044","0.0050000000000000044","0.5589999999999992"
"16000","0.061000000000000026","0.16100000000000003","0.11300000000000004","0.202","0.15100000000000002","0.061000000000000026","0.061000000000000026","0.061000000000000026","0.519"
"17000","0.05400000000000002","0.17400000000000004","0.086","0.154","0.13599999999999998","0.576","0.5760000000000001","0.575","0.6729999999999944"
"18000","0.8560000000000001","0.129","0.06499999999999999","0.268","0.237","0.5039999999999999","0.46299999999999997","0.44899999999999995","0.980999999999978"
"19000","0.20500000000000002","0.17100000000000004","0.15900000000000003","0.30400000000000005","0.29500000000000004","0.32400000000000007","0.195","0.24099999999999996","0.8429999999999818"
"20000","0.06400000000000003","0.08399999999999999","0.21900000000000003","0.412","0.094","0.41000000000000003","0.14800000000000002","0.19000000000000003","0.8039999999999868"
"21000","0.16999999999999996","0.17000000000000004","0.186","0.268","0.18000000000000002","0.29800000000000004","0.17099999999999999","0.18100000000000002","0.6899999999999892"
"22000","0.153","0.15500000000000003","0.15300000000000002","0.33","0.187","0.269","0.15300000000000002","0.15300000000000002","0.7089999999999885"
"23000","0.031","0.07300000000000001","0.09300000000000001","0.444","0.273","0.3430000000000001","0.198","0.16200000000000003","0.8519999999999832"
"24000","0.019000000000000017","0.09500000000000003","0.03499999999999999","0.15400000000000003","0.128","0.191","0.187","0.22400000000000003","0.8589999999999836"
"25000","0.33599999999999997","0.10100000000000003","0.09400000000000003","0.25399999999999995","0.17600000000000002","0.18400000000000005","0.076","0.17500000000000002","0.8329999999999854"
"26000","0.33599999999999997","0.11599999999999999","0.11200000000000002","0.20700000000000002","0.13","0.22899999999999998","0.18100000000000002","0.40800000000000003","0.8039999999999877"
"27000","0.44799999999999995","0.094","0.045","0.14500000000000002","0.241","0.14200000000000002","0.221","0.16","0.8539999999999863"
"28000","0.552","0.07500000000000001","0.07400000000000001","0.32200000000000006","0.15500000000000003","0.3430000000000001","0.14599999999999996","0.508","0.9559999999999853"
"29000","0.015000000000000013","0.065","0.06100000000000001","0.20200000000000007","0.125","0.15700000000000006","0.09199999999999998","0.10199999999999998","0.7179999999999891"
"30000","0.017000000000000015","0.087","0.03500000000000002","0.204","0.18300000000000002","0.219","0.18200000000000002","0.22899999999999995","0.7449999999999882"
"31000","0.04000000000000001","0.18600000000000005","0.09700000000000003","0.16299999999999998","0.11399999999999999","0.11099999999999999","0.122","0.05600000000000001","0.6799999999999918"
"32000","0.035999999999999976","0.08800000000000002","0.17500000000000004","0.144","0.14","0.07999999999999999","0.15199999999999997","0.138","0.6629999999999928"
"33000","0.06999999999999998","0.188","0.162","0.44099999999999995","0.126","0.47000000000000003","0.22000000000000003","0.38699999999999996","0.8899999999999821"
"34000","0.036000000000000004","0.17400000000000004","0.09","0.5289999999999999","0.20199999999999996","0.49500000000000005","0.22000000000000003","0.263","0.8599999999999826"
"35000","0.23999999999999994","0.14300000000000002","0.11499999999999999","0.45800000000000013","0.21800000000000003","0.47200000000000003","0.16699999999999998","0.19","0.8269999999999835"
"36000","0.47200000000000003","0.087","0.052","0.14200000000000002","0.12000000000000002","0.167","0.07100000000000001","0.09300000000000001","0.8899999999999779"
"37000","0.28800000000000003","0.07200000000000001","0.033000000000000015","0.42","0.309","0.37700000000000006","0.20299999999999996","0.12599999999999997","0.8349999999999808"
"38000","0.129","0.17100000000000004","0.16900000000000004","0.307","0.181","0.23200000000000004","0.192","0.16800000000000004","0.7449999999999849"
"39000","0.08600000000000002","0.09","0.08599999999999998","0.268","0.118","0.09400000000000003","0.133","0.133","0.7269999999999871"
"40000","0.24000000000000002","0.08700000000000002","0.045","0.133","0.276","0.05600000000000001","0.094","0.179","0.808999999999983"
"41000","0.24","0.10499999999999998","0.03899999999999998","0.146","0.17599999999999996","0.17100000000000004","0.104","0.133","0.8079999999999841"
"42000","0.04100000000000001","0.101","0.056","0.104","0.11999999999999998","0.06200000000000001","0.16499999999999998","0.17800000000000002","0.8039999999999854"
"43000","0.098","0.12200000000000003","0.162","0.335","0.143","0.29200000000000004","0.18800000000000003","0.181","0.8159999999999831"
"44000","0.05700000000000002","0.119","0.08999999999999998","0.12499999999999996","0.10800000000000001","0.10999999999999997","0.14600000000000002","0.12999999999999998","0.7319999999999891"
