"points","all_attributes","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"1461","0.6112251882272381","0.42026009582477697","0.3921971252566731","0.15263518138261467","0.15263518138261473","0.15263518138261464","0.5242984257357972","0.36344969199178634","0.36344969199178656","0.3634496919917864","0.32648870636550315","0.32648870636550303","0.32648870636550315","0.1019849418206708","0.10198494182067078","0.10198494182067078","0.48939082819986285","0.3032169746748803","0.3032169746748803","0.3032169746748803","0.2724161533196441","0.27241615331964414","0.2724161533196441","0.03969883641341547","0.03969883641341547","0.03969883641341547","0.4325804243668719","0.43258042436687194","0.43258042436687194","0.2840520191649556","0.28405201916495554","0.2840520191649556","0.2279260780287474","0.2279260780287474","0.22792607802874743","0.011635865845311455"
"2922","0.5242984257357952","0.42642026009582423","0.24161533196440765","0.16290212183436004","0.16290212183435995","0.16290212183435998","0.45037645448323027","0.3832991101984942","0.3832991101984943","0.38329911019849433","0.163586584531143","0.16358658453114303","0.16358658453114297","0.11704312114989734","0.11704312114989734","0.11704312114989734","0.39288158795345635","0.3477070499657769","0.34770704996577684","0.34770704996577684","0.12251882272416154","0.12251882272416154","0.12251882272416152","0.06228610540725532","0.062286105407255314","0.06228610540725532","0.34565366187542773","0.34565366187542784","0.3456536618754278","0.3436002737850787","0.34360027378507874","0.3436002737850787","0.08624229979466119","0.08624229979466119","0.08624229979466119","0.06228610540725529"
"4383","0.5181382614647472","0.4024640657084178","0.27515400410677576","0.16906228610540727","0.16906228610540722","0.16906228610540724","0.42436687200547524","0.32511978097193706","0.325119780971937","0.32511978097193706","0.20191649555099248","0.20191649555099245","0.20191649555099248","0.11635865845311431","0.11635865845311433","0.11635865845311433","0.32580424366871985","0.2511978097193703","0.2511978097193703","0.25119780971937034","0.13894592744695408","0.13894592744695416","0.13894592744695414","0.059548254620123225","0.059548254620123225","0.059548254620123225","0.27583846680355917","0.2758384668035591","0.27583846680355917","0.23682409308692676","0.23682409308692676","0.23682409308692676","0.10609171800136896","0.10609171800136896","0.10609171800136893","0.056810403832991074"
"5844","0.6988364134154655","0.4517453798767962","0.4900752908966458","0.13757700205338808","0.1375770020533881","0.13757700205338813","0.6098562628336752","0.38329911019849416","0.3832991101984941","0.38329911019849394","0.40999315537303205","0.40999315537303216","0.4099931553730321","0.0971937029431896","0.09719370294318957","0.09719370294318957","0.5728952772073919","0.3559206023271732","0.35592060232717315","0.3559206023271731","0.3990417522245036","0.3990417522245038","0.3990417522245037","0.06707734428473648","0.06707734428473647","0.06707734428473647","0.5140314852840521","0.514031485284052","0.514031485284052","0.3394934976043806","0.3394934976043806","0.3394934976043806","0.3319644079397672","0.3319644079397672","0.3319644079397672","0.01848049281314168"
"7305","0.4818617385352481","0.33059548254620114","0.32306639288158767","0.19507186858316225","0.19507186858316222","0.19507186858316222","0.3874058863791921","0.2676249144421629","0.26762491444216285","0.2676249144421629","0.23956194387405882","0.23956194387405882","0.23956194387405882","0.12046543463381243","0.12046543463381243","0.12046543463381243","0.3483915126625597","0.23956194387405882","0.2395619438740589","0.23956194387405885","0.21492128678986988","0.2149212867898699","0.21492128678986994","0.1403148528405202","0.14031485284052017","0.1403148528405202","0.2819986310746063","0.28199863107460643","0.28199863107460643","0.20944558521560575","0.20944558521560575","0.20944558521560577","0.1546885694729637","0.1546885694729637","0.15468856947296372","0.11293634496919916"
"8766","0.4140999315537292","0.3223819301848048","0.2902121834360025","0.20944558521560577","0.20944558521560572","0.20944558521560577","0.31827515400410644","0.23271731690622857","0.23271731690622863","0.23271731690622857","0.23203285420944555","0.2320328542094456","0.23203285420944558","0.13620807665982199","0.13620807665982199","0.13620807665982199","0.2628336755646816","0.1540041067761807","0.15400410677618073","0.15400410677618073","0.17864476386036965","0.17864476386036965","0.17864476386036962","0.08213552361396305","0.08213552361396306","0.08213552361396306","0.16427104722792607","0.16427104722792607","0.16427104722792607","0.08145106091717999","0.08145106091717999","0.08145106091717999","0.10130047912388773","0.10130047912388773","0.10130047912388773","0.023956194387405844"
"10227","0.5037645448323052","0.3456536618754275","0.37713894592744657","0.1772758384668035","0.17727583846680353","0.1772758384668036","0.40999315537303216","0.2861054072553046","0.2861054072553045","0.2861054072553046","0.3189596167008898","0.3189596167008898","0.31895961670088974","0.11704312114989732","0.11704312114989732","0.11704312114989732","0.35797399041752215","0.23887748117727592","0.23887748117727578","0.2388774811772758","0.28610540725530464","0.2861054072553045","0.28610540725530453","0.09650924024640657","0.09650924024640656","0.09650924024640656","0.30869267624914437","0.3086926762491444","0.3086926762491444","0.20533880903490753","0.2053388090349076","0.2053388090349076","0.25941136208076654","0.25941136208076654","0.2594113620807666","0.07871321013004795"
"11688","0.4859685147159466","0.3196440793976726","0.34702258726899354","0.16837782340862414","0.16837782340862423","0.1683778234086242","0.3655030800821355","0.2368240930869268","0.2368240930869268","0.23682409308692676","0.2676249144421629","0.26762491444216285","0.2676249144421629","0.09650924024640656","0.09650924024640656","0.09650924024640656","0.3483915126625598","0.23956194387405882","0.23956194387405885","0.23956194387405885","0.20123203285420949","0.20123203285420938","0.2012320328542094","0.06160164271047226","0.06160164271047226","0.06160164271047227","0.26557152635181386","0.26557152635181386","0.26557152635181386","0.22518822724161536","0.22518822724161536","0.22518822724161536","0.18275154004106775","0.18275154004106775","0.18275154004106775","0.04380561259411364"
"13149","0.5913757700205323","0.35523613963038997","0.4271047227926073","0.21081451060917186","0.21081451060917178","0.21081451060917183","0.49555099247091006","0.24229979466119095","0.24229979466119095","0.24229979466119095","0.3333333333333332","0.3333333333333333","0.3333333333333332","0.08418891170431211","0.08418891170431214","0.08418891170431214","0.438740588637919","0.2121834360027378","0.21218343600273784","0.21218343600273787","0.27173169062286107","0.27173169062286107","0.271731690622861","0.0862422997946612","0.08624229979466119","0.08624229979466119","0.39767282683093774","0.3976728268309378","0.3976728268309378","0.15811088295687886","0.15811088295687886","0.15811088295687886","0.22313483915126625","0.22313483915126625","0.22313483915126625","0.007529089664613298"
"14610","0.6105407255304567","0.5646817248459954","0.36344969199178623","0.1745379876796715","0.17453798767967146","0.17453798767967146","0.5715263518138255","0.5338809034907598","0.5338809034907595","0.5338809034907596","0.299794661190965","0.29979466119096493","0.299794661190965","0.11772758384668039","0.11772758384668036","0.11772758384668036","0.5427789185489388","0.5290896646132786","0.5290896646132786","0.5290896646132786","0.25872689938398347","0.2587268993839836","0.2587268993839835","0.0999315537303217","0.0999315537303217","0.09993155373032168","0.5229295003422313","0.5229295003422313","0.5229295003422313","0.5112936344969199","0.5112936344969199","0.5112936344969199","0.21423682409308692","0.21423682409308692","0.21423682409308692","0.08761122518822728"
"16071","0.48596851471594577","0.3531827515400407","0.31485284052019125","0.22518822724161533","0.22518822724161533","0.22518822724161514","0.35181382614647505","0.3100616016427104","0.3100616016427105","0.31006160164271046","0.23271731690622846","0.2327173169062286","0.2327173169062285","0.16563997262149213","0.16563997262149208","0.1656399726214921","0.3032169746748801","0.27720739219712504","0.27720739219712526","0.2772073921971252","0.22245037645448312","0.22245037645448315","0.22245037645448323","0.1252566735112936","0.12525667351129363","0.12525667351129363","0.27241615331964397","0.272416153319644","0.272416153319644","0.2108145106091718","0.2108145106091718","0.21081451060917175","0.15195071868583163","0.15195071868583163","0.15195071868583165","0.07392197125256676"
"17532","0.9911019849418133","0.4825462012320324","0.5427789185489383","0.9356605065023942","0.9356605065023941","0.9472963723477058","0.6228610540725522","0.9356605065023954","0.9404517453798767","0.9431895961670086","0.9486652977412723","0.9486652977412717","0.9637234770704983","0.9356605065023946","0.9390828199863105","0.9582477754962342","0.555099247091033","0.9336071184120464","0.9356605065023949","0.9281314168377822","0.9397672826830934","0.943874058863791","0.9397672826830934","0.9342915811088289","0.9370294318959613","0.9322381930184803","0.9383983572895273","0.9411362080766592","0.9418206707734423","0.9370294318959616","0.9356605065023954","0.9411362080766595","0.9418206707734422","0.9377138945927443","0.9418206707734423","0.9342915811088292"
"18993","0.8583162217659057","0.5537303216974664","0.42984257357973943","0.4852840520191641","0.31759069130732365","0.39767282683093735","0.6762491444216283","0.5338809034907596","0.6235455167693352","0.5770020533880897","0.6125941136208071","0.420260095824777","0.5482546201232034","0.5441478439425049","0.5509924709103348","0.442162902121834","0.6618754277891851","0.5023956194387404","0.6030116358658449","0.5414099931553727","0.6016427104722788","0.4284736481861738","0.5222450376454477","0.5400410677618066","0.5249828884325801","0.42162902121834334","0.6721423682409309","0.6577686516084867","0.6639288158795343","0.6146475017111567","0.5660506502395617","0.6173853524982884","0.5906913073237504","0.6632443531827511","0.4914442162902119","0.5934291581108829"
"20454","0.7474332648870572","0.4360027378507866","0.30937713894592717","0.40657084188911646","0.31348391512662543","0.39698836413415417","0.42231348391512635","0.4024640657084183","0.43737166324435267","0.44832306639288116","0.36687200547570104","0.3045859000684459","0.4024640657084182","0.40383299110198456","0.4161533196440792","0.40999315537303166","0.4236824093086925","0.37508555783709774","0.4305270362765227","0.40520191649555054","0.37987679671457875","0.2806297056810401","0.3826146475017111","0.3894592744695412","0.381245722108145","0.41204654346338104","0.3744010951403147","0.40999315537303194","0.41409993155373","0.40657084188911696","0.36413415468856936","0.4579055441478438","0.3668720054757013","0.37919233401779595","0.378507871321013","0.4401095140314852"
"21915","0.7378507871320947","0.43805612594113535","0.3805612594113618","0.3360711841204649","0.2840520191649553","0.3312799452429837","0.48049281314168335","0.395619438740588","0.4038329911019847","0.45995893223819273","0.4031485284052013","0.34702258726899354","0.4154688569472958","0.29226557152635146","0.35660506502395567","0.3319644079397669","0.4010951403148526","0.36208076659822014","0.37166324435318254","0.417522245037645","0.3155373032169743","0.3025325119780969","0.35660506502395584","0.26762491444216274","0.27926078028747414","0.28952772073921945","0.38056125941136176","0.4045174537987678","0.43737166324435295","0.3436002737850785","0.3908281998631073","0.410677618069815","0.30527036276522906","0.34976043805612583","0.3210130047912387","0.2943189596167008"
"23376","0.8733744010951322","0.4715947980835036","0.42505133470225775","0.38261464750171065","0.40041067761806975","0.4722792607802871","0.49418206707734397","0.4305270362765224","0.4804928131416832","0.6516084873374395","0.43258042436687155","0.4250513347022583","0.5653661875427782","0.43258042436687166","0.5995893223819295","0.5879534565366186","0.45242984257357927","0.3648186173853521","0.4360027378507868","0.5776865160848728","0.39630390143737115","0.4325804243668718","0.563312799452429","0.3997262149212866","0.54757015742642","0.5763175906913073","0.41204654346338104","0.44900752908966446","0.6050650239561941","0.39630390143737165","0.5701574264202598","0.6481861738535246","0.3874058863791921","0.572210814510609","0.5893223819301846","0.6208076659822037"
"24837","0.7782340862422934","0.3819301848049273","0.3415468856947289","0.3627652292950029","0.33196440793976717","0.37440109514031433","0.44010951403148435","0.3360711841204652","0.4298425735797395","0.45379876796714524","0.4250513347022584","0.3401779603011634","0.46475017111567385","0.415468856947296","0.4154688569472963","0.4209445585215603","0.4093086926762486","0.302532511978097","0.39767282683093724","0.3463381245722107","0.4045174537987677","0.3278576317590688","0.363449691991786","0.4058863791923337","0.34154688569472946","0.32169746748802175","0.3648186173853525","0.41341546885694697","0.41752224503764535","0.3997262149212868","0.298425735797399","0.3997262149212865","0.4168377823408623","0.4106776180698151","0.36002737850787125","0.4031485284052018"
"26298","0.7494866529774065","0.372347707049965","0.3169062286105405","0.3518138261464746","0.29911019849418186","0.34633812457221075","0.42915811088295636","0.3292265571526349","0.386721423682409","0.45174537987679636","0.4154688569472959","0.3271731690622859","0.43326488706365457","0.4052019164955507","0.4291581108829566","0.36071184120465405","0.3737166324435317","0.27720739219712515","0.3696098562628335","0.40314852840520166","0.3723477070499657","0.3230663928815878","0.41273100616016395","0.3613963039014371","0.3791923340177961","0.350444900752909","0.37371663244353176","0.40177960301163546","0.48117727583846664","0.36755646817248444","0.3634496919917864","0.40862422997946607","0.4188911704312113","0.4750171115674193","0.37440109514031467","0.4079397672826829"
"27759","0.8350444900752843","0.4435318275153998","0.3744010951403145","0.45722108145106066","0.3572895277207387","0.5516769336071181","0.5133470225872685","0.4360027378507868","0.46201232032854167","0.5653661875427787","0.5174537987679667","0.40177960301163546","0.5865845311430522","0.4818617385352493","0.5598904859685143","0.608487337440109","0.4490075290896642","0.41957563312799434","0.4305270362765225","0.5379876796714577","0.4620123203285419","0.30663928815879515","0.5414099931553725","0.4558521560574945","0.5373032169746748","0.5667351129363444","0.4353182751540039","0.43668720054756976","0.5872689938398351","0.43394934976043775","0.46611909650924016","0.6119096509240243","0.45927446954140966","0.5763175906913072","0.5564681724845992","0.6139630390143735"
"29220","0.7221081451060861","0.27241615331964364","0.3121149897330593","0.2436687200547568","0.35044490075290846","0.3244353182751532","0.34565366187542756","0.20260095824777524","0.34633812457221025","0.35455167693360684","0.31895961670088935","0.40314852840520116","0.41615331964407865","0.32511978097193656","0.326488706365503","0.44558521560574943","0.22518822724161527","0.15879534565366174","0.2902121834360027","0.2819986310746064","0.23408624229979452","0.3141683778234085","0.33401779603011617","0.2758384668035591","0.25325119780971933","0.4093086926762489","0.19164955509924703","0.3052703627652291","0.3203285420944557","0.2635181382614646","0.22929500342231343","0.40246406570841886","0.28542094455852135","0.2908966461327856","0.41752224503764523","0.3600273785078712"
"30681","0.6680355920602273","0.3360711841204649","0.33127994524298393","0.3319644079397669","0.3620807665982202","0.3210130047912386","0.39493497604380523","0.3175906913073234","0.38056125941136165","0.36413415468856924","0.3853524982888429","0.3908281998631068","0.4010951403148523","0.37234770704996534","0.3401779603011635","0.36892539356605053","0.28336755646817224","0.21081451060917164","0.26625598904859665","0.24024640657084187","0.2881587953456534","0.26214921286789855","0.2758384668035591","0.28062970568104023","0.23340177960301153","0.24366872005475687","0.27994524298425716","0.2758384668035591","0.3271731690622858","0.2511978097193702","0.22450376454483223","0.2553045859000684","0.29431895961670074","0.33744010951403125","0.2525667351129362","0.27173169062286096"
"32142","0.7118412046543404","0.31827515400410633","0.33812457221081454","0.3244353182751536","0.30595482546201214","0.4490075290896641","0.3456536618754275","0.29705681040383264","0.32648870636550276","0.4510609171800135","0.3545516769336068","0.334702258726899","0.48596851471594715","0.3442847364818617","0.4291581108829567","0.4825462012320328","0.246406570841889","0.25530458590006827","0.2539356605065023","0.40999315537303177","0.2785763175906913","0.272416153319644","0.43052703627652267","0.28884325804243655","0.37919233401779584","0.44284736481861725","0.27583846680355906","0.2573579739904174","0.44969199178644753","0.29568788501026677","0.357289527720739","0.47296372347707033","0.29158110882956867","0.43121149897330563","0.44421629021218323","0.4476386036960984"
"33603","0.7590691307323687","0.31074606433949287","0.32375085557837063","0.3141683778234082","0.33607118412046516","0.4134154688569468","0.311430527036276","0.22724161533196427","0.3203285420944557","0.39425051334702216","0.30869267624914404","0.36892539356605025","0.44490075290896597","0.327857631759069","0.3921971252566733","0.4626967830253249","0.26830937713894565","0.2094455852156056","0.3052703627652292","0.3504449007529089","0.2553045859000681","0.3408624229979464","0.35523613963039014","0.297056810403833","0.32648870636550287","0.4045174537987679","0.17727583846680356","0.300479123887748","0.38193018480492796","0.2224503764544832","0.2696783025325118","0.39151266255989026","0.29842573579739895","0.3648186173853525","0.4168377823408623","0.38124572210814517"
"35064","0.7727583846680286","0.43942505133470094","0.42436687200547507","0.41683778234086155","0.3531827515400408","0.38193018480492746","0.5154004106776175","0.399726214921286","0.48323066392881514","0.5133470225872683","0.48870636550307966","0.39698836413415445","0.416837782340862","0.4579055441478434","0.4928131416837777","0.3778234086242296","0.48870636550307966","0.364134154688569","0.4202600958247767","0.4585900068446264","0.470225872689938","0.4045174537987677","0.3949349760438054","0.4017796030116355","0.43326488706365474","0.3319644079397673","0.43052703627652256","0.4606433949349758","0.46885694729637195","0.3785078713210127","0.4188911704312114","0.45995893223819295","0.44353182751540016","0.4483230663928814","0.3620807665982203","0.4366872005475699"
"36525","0.7645448323066322","0.41683778234086133","0.40451745379876725","0.3908281998631071","0.3114305270362762","0.2765229295003421","0.47980835044489994","0.3737166324435314","0.42368240930869205","0.3997262149212862","0.473648186173853","0.4195756331279941","0.43805612594113535","0.4298425735797392","0.3620807665982202","0.3032169746748799","0.4120465434633806","0.29568788501026655","0.3744010951403144","0.3134839151266252","0.40109514031485255","0.3928815879534562","0.3990417522245034","0.37508555783709785","0.3134839151266254","0.28884325804243666","0.39014373716632406","0.43121149897330546","0.39972621492128635","0.3538672142368239","0.2977412731006157","0.3600273785078711","0.4312114989733056","0.4017796030116357","0.381245722108145","0.3764544832306638"
