"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"336","0.7886904761904743","0.1547619047619048","0.17261904761904767","0.6220238095238096","0.1696428571428572","0.035714285714285754","0.035714285714285754","0.035714285714285754","0.28571428571428564","0.6726190476190476","0.29761904761904745","0.15476190476190477","0.1547619047619047","0.15476190476190474","0.6517857142857143","0.32440476190476186","0.17261904761904764","0.17261904761904764","0.17261904761904762","0.6577380952380952","0.6220238095238096","0.6220238095238096","0.6220238095238096","0.16964285714285715","0.16964285714285715","0.16964285714285718","0.035714285714285754","0.035714285714285754","0.035714285714285754"
"672","0.5624999999999988","0.13690476190476192","0.07142857142857142","0.08035714285714285","0.11607142857142858","0.05357142857142852","0.05357142857142852","0.05357142857142852","0.2678571428571428","0.363095238095238","0.2559523809523809","0.13690476190476192","0.1369047619047619","0.13690476190476192","0.16964285714285715","0.22023809523809523","0.07142857142857142","0.07142857142857142","0.07142857142857142","0.25","0.08035714285714285","0.08035714285714285","0.08035714285714285","0.11607142857142855","0.11607142857142855","0.11607142857142858","0.05357142857142852","0.05357142857142852","0.05357142857142852"
"1008","0.7589285714285698","0.3214285714285713","0.34523809523809523","0.613095238095238","0.4255952380952381","0.30952380952380953","0.30952380952380953","0.30952380952380953","0.44047619047619035","0.6130952380952381","0.488095238095238","0.3214285714285714","0.3214285714285714","0.3214285714285714","0.6249999999999999","0.455357142857143","0.34523809523809523","0.34523809523809523","0.3452380952380953","0.6428571428571428","0.613095238095238","0.613095238095238","0.6130952380952379","0.4255952380952381","0.4255952380952381","0.42559523809523814","0.30952380952380953","0.30952380952380953","0.30952380952380953"
"1344","0.49107142857142755","0.13988095238095233","0.11607142857142856","0.14583333333333334","0.11011904761904764","0.08035714285714289","0.08035714285714289","0.08035714285714289","0.2172619047619047","0.2529761904761905","0.2470238095238095","0.13988095238095238","0.13988095238095238","0.13988095238095236","0.2142857142857143","0.22916666666666663","0.11607142857142858","0.11607142857142858","0.11607142857142858","0.2172619047619047","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.11011904761904764","0.11011904761904764","0.11011904761904762","0.08035714285714289","0.08035714285714289","0.08035714285714289"
"1680","0.851190476190474","0.18154761904761907","0.2708333333333333","0.6517857142857143","0.28869047619047616","0.08035714285714282","0.08035714285714282","0.08035714285714282","0.3303571428571427","0.6934523809523809","0.4226190476190475","0.181547619047619","0.18154761904761907","0.18154761904761907","0.6666666666666667","0.41666666666666663","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.7410714285714285","0.6517857142857143","0.6517857142857143","0.6517857142857144","0.2886904761904762","0.2886904761904762","0.28869047619047616","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"2016","0.8779761904761882","0.2678571428571428","0.21428571428571425","0.6547619047619049","0.2976190476190476","0.005952380952380931","0.005952380952380931","0.005952380952380931","0.41666666666666646","0.7559523809523808","0.41666666666666646","0.2678571428571428","0.26785714285714285","0.2678571428571428","0.681547619047619","0.39583333333333326","0.21428571428571425","0.21428571428571425","0.2142857142857143","0.6815476190476188","0.6547619047619049","0.6547619047619049","0.6547619047619048","0.2976190476190476","0.2976190476190476","0.2976190476190476","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"2352","0.7648809523809506","0.2202380952380952","0.11309523809523811","0.4583333333333333","0.20833333333333337","0.11309523809523811","0.11309523809523811","0.11309523809523811","0.3095238095238093","0.6964285714285713","0.32440476190476175","0.22023809523809523","0.22023809523809523","0.22023809523809526","0.49404761904761896","0.24404761904761907","0.11309523809523808","0.11309523809523808","0.11309523809523811","0.5327380952380952","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.20833333333333337","0.20833333333333337","0.20833333333333334","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2688","0.6904761904761888","0.3035714285714286","0.13095238095238093","0.32440476190476186","0.13988095238095238","0.13095238095238096","0.13095238095238096","0.13095238095238096","0.3630952380952379","0.5863095238095237","0.37797619047619035","0.30357142857142855","0.30357142857142866","0.3035714285714285","0.36011904761904767","0.18452380952380948","0.13095238095238093","0.13095238095238093","0.13095238095238093","0.40476190476190477","0.32440476190476186","0.32440476190476186","0.32440476190476186","0.13988095238095238","0.13988095238095238","0.13988095238095236","0.13095238095238096","0.13095238095238096","0.13095238095238096"
"3024","0.7142857142857126","0.3214285714285714","0.12500000000000003","0.369047619047619","0.18154761904761907","0.07142857142857142","0.07142857142857142","0.07142857142857142","0.345238095238095","0.5922619047619045","0.357142857142857","0.3214285714285714","0.32142857142857145","0.3214285714285714","0.40773809523809523","0.2678571428571428","0.125","0.125","0.12500000000000003","0.419642857142857","0.369047619047619","0.369047619047619","0.36904761904761907","0.18154761904761904","0.18154761904761904","0.18154761904761904","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"3360","0.7708333333333316","0.33928571428571425","0.1547619047619048","0.47023809523809523","0.125","0.09523809523809523","0.09523809523809523","0.09523809523809523","0.4047619047619047","0.6607142857142854","0.4107142857142856","0.3392857142857142","0.33928571428571425","0.3392857142857143","0.5089285714285714","0.23214285714285707","0.15476190476190482","0.15476190476190482","0.1547619047619048","0.48214285714285704","0.47023809523809523","0.47023809523809523","0.47023809523809523","0.125","0.125","0.12499999999999997","0.09523809523809523","0.09523809523809523","0.09523809523809523"
"3696","0.678571428571427","0.2976190476190476","0.059523809523809534","0.22321428571428573","0.22619047619047616","0.005952380952380931","0.005952380952380931","0.005952380952380931","0.3571428571428572","0.5416666666666665","0.43749999999999983","0.2976190476190476","0.29761904761904756","0.2976190476190476","0.25595238095238093","0.2738095238095238","0.059523809523809534","0.059523809523809534","0.059523809523809534","0.30357142857142855","0.22321428571428573","0.22321428571428573","0.22321428571428573","0.22619047619047616","0.22619047619047616","0.22619047619047616","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"4032","0.6458333333333317","0.23511904761904762","0.2410714285714286","0.16071428571428573","0.16666666666666666","0.05059523809523814","0.05059523809523814","0.05059523809523814","0.3839285714285713","0.42857142857142844","0.3988095238095236","0.23511904761904762","0.23511904761904762","0.23511904761904762","0.31845238095238093","0.2738095238095238","0.2410714285714286","0.2410714285714286","0.24107142857142855","0.25595238095238104","0.16071428571428573","0.16071428571428573","0.16071428571428573","0.16666666666666663","0.16666666666666663","0.16666666666666663","0.05059523809523814","0.05059523809523814","0.05059523809523814"
"4368","0.8005952380952361","0.23809523809523814","0.1845238095238095","0.5982142857142857","0.20833333333333334","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.35714285714285715","0.6845238095238094","0.3660714285714284","0.23809523809523814","0.23809523809523814","0.23809523809523814","0.6309523809523809","0.2886904761904762","0.1845238095238095","0.1845238095238095","0.1845238095238095","0.6369047619047619","0.5982142857142857","0.5982142857142857","0.5982142857142857","0.20833333333333331","0.20833333333333331","0.20833333333333334","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4704","0.8392857142857124","0.24702380952380953","0.16964285714285715","0.37202380952380953","0.19345238095238093","0.0625","0.0625","0.0625","0.407738095238095","0.6309523809523807","0.3958333333333332","0.24702380952380948","0.24702380952380953","0.24702380952380953","0.4613095238095238","0.29761904761904756","0.16964285714285712","0.16964285714285712","0.16964285714285715","0.425595238095238","0.37202380952380953","0.37202380952380953","0.37202380952380953","0.19345238095238093","0.19345238095238093","0.19345238095238088","0.0625","0.0625","0.0625"
"5040","0.8244047619047601","0.15476190476190477","0.17261904761904762","0.380952380952381","0.1904761904761905","0.017857142857142877","0.017857142857142877","0.017857142857142877","0.3511904761904761","0.6041666666666664","0.4374999999999999","0.15476190476190477","0.15476190476190474","0.15476190476190477","0.4285714285714286","0.3422619047619047","0.17261904761904762","0.17261904761904762","0.17261904761904762","0.46726190476190477","0.380952380952381","0.380952380952381","0.380952380952381","0.1904761904761905","0.1904761904761905","0.1904761904761905","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"5376","0.8928571428571407","0.3154761904761905","0.1130952380952381","0.30654761904761907","0.17559523809523814","0.029761904761904767","0.029761904761904767","0.029761904761904767","0.3630952380952381","0.770833333333333","0.41964285714285693","0.3154761904761904","0.31547619047619047","0.3154761904761906","0.3452380952380952","0.26190476190476186","0.1130952380952381","0.1130952380952381","0.1130952380952381","0.45238095238095244","0.30654761904761907","0.30654761904761907","0.30654761904761907","0.1755952380952381","0.1755952380952381","0.17559523809523808","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"5712","0.8749999999999979","0.23809523809523808","0.1607142857142857","0.4196428571428571","0.13392857142857142","0.04166666666666666","0.04166666666666666","0.04166666666666666","0.36904761904761885","0.726190476190476","0.3720238095238094","0.23809523809523808","0.2380952380952381","0.23809523809523805","0.5059523809523809","0.2589285714285714","0.1607142857142857","0.1607142857142857","0.16071428571428575","0.550595238095238","0.4196428571428571","0.4196428571428571","0.41964285714285715","0.13392857142857142","0.13392857142857142","0.13392857142857145","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"6048","0.5714285714285703","0.15773809523809523","0.12797619047619047","0.18452380952380953","0.16071428571428573","0.08035714285714282","0.08035714285714282","0.08035714285714282","0.2291666666666666","0.2767857142857143","0.27083333333333315","0.15773809523809523","0.15773809523809523","0.15773809523809523","0.22023809523809523","0.27083333333333326","0.12797619047619047","0.12797619047619047","0.12797619047619047","0.2916666666666667","0.18452380952380953","0.18452380952380953","0.1845238095238095","0.16071428571428575","0.16071428571428575","0.1607142857142857","0.08035714285714282","0.08035714285714282","0.08035714285714282"
