"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"336","0.7886904761904743","0.7053571428571418","0.4791666666666658","0.2857142857142857","0.28571428571428564","0.28571428571428564","0.7261904761904754","0.6726190476190476","0.6726190476190476","0.6726190476190476","0.2976190476190475","0.29761904761904756","0.29761904761904745","0.15476190476190474","0.15476190476190477","0.15476190476190477","0.717261904761904","0.6517857142857141","0.6517857142857141","0.6517857142857143","0.3244047619047619","0.3244047619047619","0.32440476190476186","0.17261904761904764","0.17261904761904764","0.17261904761904764","0.6577380952380951","0.657738095238095","0.6577380952380953","0.6220238095238096","0.6220238095238095","0.6220238095238095","0.16964285714285715","0.16964285714285715","0.16964285714285715","0.035714285714285754","0.7886904761904743","0.7053571428571418","0.7053571428571419","0.7053571428571419","0.47916666666666574","0.4791666666666658","0.47916666666666574","0.2857142857142857","0.28571428571428564","0.2857142857142857","0.726190476190475","0.7261904761904755","0.7261904761904752","0.6726190476190476","0.6726190476190476","0.6726190476190476","0.2976190476190475","0.29761904761904745","0.2976190476190475","0.1547619047619047","0.7172619047619038","0.7172619047619039","0.7172619047619039","0.6517857142857144","0.6517857142857141","0.6517857142857141","0.32440476190476175","0.3244047619047619","0.3244047619047619","0.17261904761904764","0.6577380952380951","0.657738095238095","0.657738095238095","0.6220238095238096","0.16964285714285715"
"672","0.5624999999999988","0.47619047619047594","0.4136904761904755","0.26785714285714274","0.2678571428571428","0.2678571428571428","0.4523809523809523","0.3630952380952381","0.3630952380952381","0.363095238095238","0.2559523809523809","0.2559523809523808","0.2559523809523809","0.13690476190476192","0.13690476190476192","0.13690476190476192","0.3124999999999999","0.16964285714285712","0.16964285714285712","0.16964285714285715","0.22023809523809523","0.22023809523809523","0.22023809523809523","0.07142857142857142","0.07142857142857142","0.07142857142857142","0.24999999999999994","0.24999999999999994","0.25","0.08035714285714285","0.08035714285714285","0.08035714285714285","0.11607142857142856","0.11607142857142856","0.11607142857142858","0.05357142857142852","0.5624999999999989","0.47619047619047583","0.4761904761904759","0.47619047619047583","0.41369047619047544","0.4136904761904755","0.41369047619047544","0.26785714285714285","0.26785714285714274","0.2678571428571428","0.4523809523809521","0.452380952380952","0.452380952380952","0.36309523809523814","0.3630952380952381","0.36309523809523814","0.2559523809523808","0.2559523809523809","0.2559523809523808","0.13690476190476192","0.3124999999999999","0.31249999999999983","0.3124999999999999","0.16964285714285712","0.16964285714285712","0.16964285714285712","0.22023809523809523","0.2202380952380953","0.22023809523809526","0.07142857142857142","0.25","0.25","0.25","0.08035714285714285","0.11607142857142856"
"1008","0.7589285714285698","0.69345238095238","0.5476190476190466","0.4404761904761905","0.4404761904761904","0.44047619047619047","0.7202380952380947","0.6130952380952379","0.6130952380952381","0.6130952380952381","0.488095238095238","0.48809523809523797","0.488095238095238","0.32142857142857145","0.3214285714285714","0.3214285714285714","0.6607142857142855","0.6249999999999999","0.6249999999999999","0.6249999999999999","0.45535714285714296","0.45535714285714296","0.45535714285714307","0.3452380952380953","0.34523809523809523","0.34523809523809523","0.6428571428571427","0.6428571428571427","0.6428571428571428","0.613095238095238","0.613095238095238","0.613095238095238","0.4255952380952381","0.4255952380952381","0.4255952380952381","0.30952380952380953","0.7589285714285698","0.6934523809523802","0.6934523809523802","0.6934523809523802","0.5476190476190465","0.5476190476190467","0.5476190476190465","0.4404761904761904","0.4404761904761906","0.44047619047619035","0.7202380952380946","0.7202380952380949","0.7202380952380946","0.613095238095238","0.6130952380952379","0.6130952380952379","0.48809523809523797","0.488095238095238","0.4880952380952379","0.32142857142857145","0.6607142857142855","0.6607142857142851","0.6607142857142854","0.6249999999999999","0.6249999999999998","0.625","0.45535714285714285","0.45535714285714296","0.45535714285714296","0.3452380952380953","0.6428571428571427","0.6428571428571427","0.6428571428571427","0.613095238095238","0.4255952380952381"
"1344","0.49107142857142755","0.3452380952380949","0.372023809523809","0.2172619047619047","0.2172619047619047","0.2172619047619047","0.3660714285714283","0.25297619047619047","0.25297619047619047","0.2529761904761905","0.24702380952380948","0.2470238095238095","0.2470238095238095","0.13988095238095236","0.13988095238095238","0.13988095238095238","0.3184523809523807","0.21428571428571433","0.21428571428571433","0.2142857142857143","0.22916666666666663","0.22916666666666663","0.22916666666666663","0.11607142857142858","0.11607142857142858","0.11607142857142858","0.21726190476190474","0.21726190476190474","0.2172619047619047","0.14583333333333334","0.14583333333333331","0.14583333333333334","0.11011904761904763","0.11011904761904762","0.11011904761904763","0.08035714285714289","0.4910714285714277","0.345238095238095","0.34523809523809507","0.34523809523809496","0.3720238095238089","0.3720238095238089","0.372023809523809","0.2172619047619047","0.2172619047619047","0.2172619047619047","0.3660714285714282","0.36607142857142827","0.3660714285714282","0.25297619047619047","0.25297619047619047","0.25297619047619047","0.24702380952380953","0.24702380952380948","0.2470238095238095","0.13988095238095236","0.3184523809523808","0.31845238095238076","0.31845238095238076","0.2142857142857143","0.21428571428571433","0.2142857142857143","0.22916666666666669","0.2291666666666666","0.22916666666666663","0.11607142857142858","0.21726190476190477","0.21726190476190474","0.21726190476190474","0.14583333333333334","0.11011904761904763"
"1680","0.851190476190474","0.7619047619047609","0.5357142857142848","0.3303571428571428","0.3303571428571428","0.3303571428571427","0.8095238095238088","0.6934523809523809","0.6934523809523808","0.6934523809523809","0.42261904761904767","0.4226190476190472","0.4226190476190475","0.18154761904761907","0.181547619047619","0.181547619047619","0.7648809523809518","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.4166666666666666","0.4166666666666666","0.41666666666666663","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.7410714285714285","0.7410714285714285","0.7410714285714285","0.6517857142857143","0.6517857142857143","0.6517857142857143","0.2886904761904762","0.2886904761904762","0.2886904761904762","0.08035714285714282","0.8511904761904743","0.7619047619047606","0.7619047619047609","0.7619047619047606","0.5357142857142847","0.5357142857142849","0.5357142857142847","0.3303571428571428","0.3303571428571428","0.3303571428571428","0.809523809523809","0.8095238095238085","0.809523809523809","0.6934523809523809","0.6934523809523809","0.6934523809523808","0.42261904761904734","0.42261904761904756","0.4226190476190473","0.18154761904761907","0.7648809523809519","0.7648809523809517","0.764880952380952","0.6666666666666665","0.6666666666666666","0.6666666666666666","0.4166666666666665","0.4166666666666666","0.41666666666666663","0.2708333333333333","0.7410714285714286","0.7410714285714285","0.7410714285714286","0.6517857142857143","0.28869047619047616"
"2016","0.8779761904761882","0.8244047619047605","0.5654761904761895","0.4166666666666665","0.4166666666666665","0.4166666666666664","0.8303571428571417","0.7559523809523809","0.7559523809523807","0.7559523809523808","0.41666666666666646","0.4166666666666666","0.4166666666666664","0.26785714285714285","0.2678571428571428","0.2678571428571428","0.7232142857142849","0.6815476190476191","0.6815476190476191","0.681547619047619","0.39583333333333326","0.39583333333333326","0.3958333333333333","0.2142857142857143","0.21428571428571425","0.21428571428571425","0.6815476190476192","0.6815476190476193","0.6815476190476188","0.6547619047619049","0.6547619047619048","0.6547619047619048","0.29761904761904767","0.2976190476190476","0.2976190476190476","0.005952380952380931","0.8779761904761886","0.8244047619047605","0.8244047619047603","0.8244047619047605","0.5654761904761896","0.5654761904761894","0.5654761904761896","0.4166666666666665","0.4166666666666665","0.4166666666666665","0.830357142857142","0.8303571428571417","0.8303571428571419","0.7559523809523807","0.7559523809523809","0.7559523809523808","0.41666666666666646","0.41666666666666646","0.4166666666666665","0.2678571428571429","0.7232142857142853","0.723214285714285","0.7232142857142854","0.6815476190476192","0.6815476190476191","0.6815476190476192","0.3958333333333334","0.39583333333333326","0.3958333333333332","0.2142857142857143","0.681547619047619","0.6815476190476192","0.6815476190476191","0.6547619047619049","0.29761904761904767"
"2352","0.7648809523809506","0.7410714285714272","0.4285714285714278","0.3095238095238094","0.3095238095238096","0.3095238095238093","0.7440476190476181","0.6964285714285716","0.6964285714285715","0.6964285714285713","0.32440476190476175","0.32440476190476186","0.32440476190476175","0.22023809523809523","0.22023809523809523","0.22023809523809523","0.5684523809523805","0.49404761904761896","0.49404761904761896","0.49404761904761896","0.24404761904761907","0.24404761904761907","0.24404761904761907","0.11309523809523811","0.11309523809523808","0.11309523809523808","0.5327380952380952","0.5327380952380952","0.5327380952380952","0.4583333333333333","0.45833333333333326","0.4583333333333333","0.20833333333333337","0.20833333333333334","0.20833333333333337","0.11309523809523811","0.7648809523809504","0.7410714285714273","0.741071428571427","0.7410714285714274","0.4285714285714279","0.4285714285714279","0.42857142857142794","0.3095238095238095","0.30952380952380937","0.3095238095238096","0.744047619047618","0.7440476190476183","0.744047619047618","0.6964285714285715","0.6964285714285716","0.6964285714285714","0.32440476190476175","0.32440476190476175","0.32440476190476186","0.22023809523809523","0.5684523809523805","0.5684523809523804","0.5684523809523804","0.4940476190476189","0.4940476190476189","0.49404761904761896","0.244047619047619","0.24404761904761907","0.24404761904761907","0.11309523809523811","0.5327380952380952","0.5327380952380952","0.5327380952380952","0.4583333333333333","0.20833333333333337"
"2688","0.6904761904761888","0.6458333333333324","0.41369047619047544","0.36309523809523786","0.363095238095238","0.3630952380952379","0.6398809523809516","0.5863095238095238","0.5863095238095237","0.5863095238095237","0.37797619047619047","0.37797619047619024","0.3779761904761903","0.3035714285714285","0.30357142857142855","0.30357142857142855","0.4583333333333329","0.3601190476190476","0.3601190476190476","0.3601190476190476","0.18452380952380953","0.18452380952380953","0.18452380952380948","0.13095238095238093","0.13095238095238093","0.13095238095238093","0.40476190476190477","0.40476190476190466","0.40476190476190477","0.32440476190476186","0.32440476190476186","0.32440476190476186","0.13988095238095236","0.13988095238095236","0.13988095238095236","0.13095238095238096","0.6904761904761888","0.6458333333333324","0.6458333333333323","0.6458333333333325","0.41369047619047544","0.41369047619047544","0.4136904761904755","0.363095238095238","0.36309523809523786","0.36309523809523797","0.6398809523809519","0.6398809523809519","0.6398809523809518","0.5863095238095238","0.5863095238095238","0.5863095238095237","0.37797619047619024","0.37797619047619035","0.37797619047619035","0.3035714285714286","0.4583333333333329","0.45833333333333304","0.45833333333333287","0.3601190476190475","0.36011904761904756","0.36011904761904767","0.18452380952380953","0.1845238095238096","0.18452380952380953","0.13095238095238093","0.4047619047619046","0.40476190476190477","0.40476190476190477","0.32440476190476186","0.13988095238095236"
"3024","0.7142857142857126","0.648809523809523","0.4494047619047611","0.34523809523809496","0.345238095238095","0.345238095238095","0.648809523809523","0.5922619047619047","0.5922619047619047","0.5922619047619045","0.3571428571428571","0.35714285714285704","0.35714285714285704","0.3214285714285715","0.3214285714285714","0.3214285714285714","0.4999999999999996","0.4077380952380952","0.4077380952380952","0.4077380952380952","0.26785714285714285","0.26785714285714285","0.26785714285714285","0.125","0.125","0.125","0.4196428571428571","0.41964285714285715","0.41964285714285704","0.369047619047619","0.36904761904761907","0.36904761904761907","0.18154761904761907","0.18154761904761907","0.18154761904761907","0.07142857142857142","0.7142857142857126","0.648809523809523","0.648809523809523","0.648809523809523","0.44940476190476103","0.449404761904761","0.4494047619047611","0.345238095238095","0.345238095238095","0.34523809523809496","0.6488095238095231","0.6488095238095232","0.6488095238095232","0.5922619047619045","0.5922619047619047","0.5922619047619047","0.357142857142857","0.357142857142857","0.3571428571428571","0.32142857142857145","0.49999999999999944","0.4999999999999996","0.49999999999999944","0.4077380952380952","0.4077380952380952","0.4077380952380952","0.26785714285714285","0.26785714285714285","0.2678571428571429","0.125","0.4196428571428572","0.41964285714285704","0.41964285714285704","0.369047619047619","0.18154761904761904"
"3360","0.7708333333333316","0.7202380952380941","0.4999999999999991","0.40476190476190466","0.4047619047619046","0.4047619047619047","0.7232142857142848","0.6607142857142855","0.6607142857142857","0.6607142857142854","0.41071428571428564","0.4107142857142856","0.4107142857142857","0.3392857142857143","0.3392857142857142","0.3392857142857142","0.5803571428571427","0.5089285714285714","0.5089285714285714","0.5089285714285714","0.2321428571428571","0.2321428571428571","0.2321428571428571","0.15476190476190477","0.15476190476190482","0.15476190476190482","0.48214285714285704","0.48214285714285704","0.48214285714285704","0.47023809523809523","0.47023809523809523","0.47023809523809523","0.125","0.125","0.125","0.09523809523809523","0.7708333333333317","0.7202380952380943","0.7202380952380941","0.7202380952380943","0.49999999999999917","0.49999999999999917","0.49999999999999917","0.40476190476190455","0.40476190476190466","0.4047619047619046","0.7232142857142851","0.7232142857142848","0.7232142857142851","0.6607142857142857","0.6607142857142855","0.6607142857142858","0.4107142857142856","0.4107142857142856","0.4107142857142856","0.3392857142857143","0.5803571428571423","0.5803571428571422","0.5803571428571423","0.5089285714285715","0.5089285714285714","0.5089285714285714","0.23214285714285712","0.23214285714285707","0.23214285714285707","0.15476190476190477","0.48214285714285715","0.48214285714285704","0.48214285714285704","0.47023809523809523","0.125"
