"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"48","0.9999999999999998","1.0","0.22916666666666669","0.24999999999999997","0.22916666666666663","0.22916666666666663","0.22916666666666663","0.22916666666666663"
"96","0.9999999999999999","1.0","0.4791666666666667","0.4791666666666667","0.5","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"144","1.0","0.9999999999999999","0.29166666666666674","0.9583333333333334","0.20833333333333334","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"192","1.0","1.0","0.6666666666666669","0.5416666666666666","0.6875000000000001","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"240","1.0000000000000002","1.0","0.39583333333333337","0.3958333333333333","0.27083333333333337","0.0625","0.0625","0.0625"
"288","0.9999999999999999","1.0","0.6041666666666667","0.6875000000000001","0.6458333333333334","0.39583333333333337","0.39583333333333337","0.39583333333333337"
"336","0.9999999999999999","1.0","0.10416666666666669","0.25","0.2708333333333333","0.0625","0.0625","0.0625"
"384","0.9999999999999998","1.0","0.3958333333333333","0.22916666666666669","0.14583333333333331","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"432","0.9999999999999999","1.0","0.125","0.14583333333333334","0.1875","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"480","1.0","0.9999999999999999","0.3333333333333333","0.2916666666666667","0.2916666666666667","0.20833333333333331","0.20833333333333331","0.20833333333333331"
"528","1.0000000000000002","1.0","0.39583333333333337","0.3958333333333333","0.47916666666666663","0.39583333333333326","0.39583333333333326","0.39583333333333326"
"576","1.0","1.0","0.3125","0.4166666666666667","0.45833333333333337","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"624","0.9999999999999998","1.0","0.20833333333333334","0.25","0.6041666666666666","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"672","0.9999999999999998","1.0","0.18750000000000003","0.375","0.18750000000000003","0.10416666666666666","0.10416666666666666","0.10416666666666666"
