"points","all_attributes","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"48","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999996","0.9999999999999996","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.31249999999999994","0.3125","0.3125000000000001","0.25","0.25","0.25","0.2916666666666667","0.2916666666666668","0.29166666666666663","0.22916666666666669","0.24999999999999992","0.24999999999999992","0.24999999999999992","0.24999999999999997","0.22916666666666663"
"96","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","1.0000000000000002","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.5833333333333334","0.5833333333333331","0.5833333333333334","0.5000000000000001","0.5","0.5","0.5416666666666666","0.5416666666666667","0.5416666666666666","0.4791666666666667","0.5","0.5","0.5","0.4791666666666667","0.4999999999999999"
"144","1.0","0.9999999999999999","0.9999999999999999","1.0000000000000002","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0000000000000004","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0000000000000002","1.0","1.0","0.9999999999999999","0.3541666666666667","0.35416666666666674","0.3541666666666667","0.2916666666666667","0.9583333333333334","0.9583333333333333","0.9583333333333336","0.9583333333333334","0.20833333333333337"
"192","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9374999999999999","0.9375000000000002","0.9375000000000003","0.8333333333333335","0.8333333333333333","0.8333333333333334","0.8541666666666669","0.8541666666666667","0.8541666666666666","0.6666666666666665","0.7083333333333333","0.7083333333333333","0.7083333333333333","0.5416666666666666","0.6875"
"240","1.0000000000000002","0.9999999999999999","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5833333333333333","0.5833333333333335","0.5833333333333334","0.5","0.5","0.5","0.45833333333333337","0.45833333333333326","0.4583333333333333","0.39583333333333337","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.3958333333333333","0.27083333333333337"
"288","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.8124999999999999","0.8125000000000001","0.8125","0.7916666666666667","0.7916666666666667","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.7916666666666667","0.6041666666666667","0.7083333333333334","0.7083333333333334","0.7083333333333334","0.6875000000000001","0.6458333333333333"
"336","0.9999999999999999","0.9999999999999997","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","0.47916666666666685","0.4791666666666667","0.47916666666666663","0.2916666666666667","0.2916666666666667","0.2916666666666667","0.3125","0.31250000000000006","0.3125","0.10416666666666667","0.4166666666666667","0.41666666666666663","0.4166666666666667","0.25","0.2708333333333333"
"384","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0000000000000002","1.0","1.0000000000000002","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.5416666666666666","0.5416666666666666","0.5416666666666666","0.5","0.5","0.5","0.43750000000000006","0.43749999999999994","0.4375","0.3958333333333333","0.25","0.25","0.25","0.22916666666666669","0.14583333333333331"
"432","0.9999999999999999","1.0","1.0000000000000002","1.0000000000000002","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.3958333333333334","0.3958333333333335","0.39583333333333337","0.27083333333333337","0.2708333333333333","0.27083333333333337","0.3125","0.3125","0.3125","0.125","0.20833333333333337","0.20833333333333331","0.20833333333333337","0.14583333333333334","0.1875"
"480","1.0","0.9999999999999998","1.0","1.0000000000000002","1.0000000000000002","0.9999999999999996","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.5833333333333333","0.5833333333333336","0.5833333333333335","0.4375","0.43750000000000006","0.4375","0.5000000000000001","0.5000000000000001","0.5","0.3333333333333333","0.39583333333333337","0.39583333333333337","0.39583333333333337","0.2916666666666667","0.29166666666666663"
