"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"336","0.7883558063818357","0.14604464838979814","0.1651215419480005","0.6134808082454792","0.16802638678888515","0.0","0.0","0.0"
"672","0.5727373643458888","0.1602920087820472","0.054182177142667806","0.07257265389840442","0.11727097920105377","0.0","0.0","0.0"
"1008","0.7708716275845253","0.20285364572224568","0.20234863790156965","0.43468105875939983","0.328480782934089","0.0","0.0","0.0"
"1344","0.5020538738211149","0.14368015322448818","0.08459695950074646","0.13044270850998066","0.10893987446866141","0.0","0.0","0.0"
"1680","0.8498701245901356","0.1977185541545386","0.25545892077932364","0.6286827668474205","0.2956459637739993","0.0","0.0","0.0"
"2016","0.8781337817789672","0.26871377248990314","0.21528058825632454","0.6541778350091598","0.2974893190958139","0.0","0.0","0.0"
"2352","0.7702454614471379","0.20863305477246297","0.07889466287149416","0.4532000729744078","0.19768492776032182","0.0","0.0","0.0"
"2688","0.7113262278227057","0.33091520453837675","0.03322384379189392","0.30227416216924796","0.14346904002410854","0.0","0.0","0.0"
"3024","0.7106073868315442","0.3354645784854213","0.13679020735032765","0.3288501449120214","0.15554137510571237","0.0","0.0","0.0"
"3360","0.7730667792235899","0.333299827867655","0.15083377611454057","0.43541395730488763","0.13340346968537375","0.0","0.0","0.0"
"3696","0.6790215807246684","0.2980356863567682","0.058458377506554526","0.21992712960568672","0.22398536317894746","0.0","0.0","0.0"
"4032","0.6505569790213948","0.2170432538540834","0.23369370928441355","0.16529679714256265","0.1585605925542995","0.0","0.0","0.0"
"4368","0.8101849960045031","0.19318745232646833","0.22620914832370784","0.5937651533725617","0.16073982510624385","0.0","0.0","0.0"
"4704","0.8439000750020279","0.2567477680590742","0.17081222233848226","0.3463555240917686","0.17626662291865353","0.0","0.0","0.0"
"5040","0.8255042160308368","0.1529616799128411","0.17613537612833624","0.3794336611940827","0.19322395758390254","0.0","0.0","0.0"
"5376","0.8932114840464498","0.3114728088457154","0.1116267511769776","0.30433258848477224","0.17967809919908034","0.0","0.0","0.0"
"5712","0.8761732830525513","0.24378246290786257","0.16898133858638564","0.40564373897707223","0.12834940388738675","0.0","0.0","0.0"
"6048","0.5793729885355605","0.1298960295737665","0.12431639539890368","0.1735871885722198","0.15900944037489606","0.0","0.0","0.0"
"6384","0.7795041549397483","0.24751786221066138","0.08270498458427933","0.49189841325550465","0.14041315453840159","0.0","0.0","0.0"
"6720","0.564776141368689","0.2665174071608342","0.03342410660486016","0.12588391415042027","0.0769791094295195","0.0","0.0","0.0"
"7056","0.6236353618225603","0.27205152428302043","0.12971932683434587","0.12568316218467268","0.18774518791653894","0.0","0.0","0.0"
"7392","0.6327602395304526","0.22816294476506793","0.06080509359440027","0.15650562986512806","0.10605793269691421","0.0","0.0","0.0"
"7728","0.7660067890366042","0.167795013749661","0.09518692909125442","0.5195854730901623","0.12868862742357984","0.0","0.0","0.0"
"8064","0.5259699239432085","0.08955689170295758","0.09228489510220952","0.16030144425833612","0.11915401972225723","0.0","0.0","0.0"
"8400","0.46982476358182046","0.056883030902050755","0.06649504502131266","0.12501310775489588","0.05745508322274605","0.0","0.0","0.0"
"8736","0.6070245885127116","0.26598676408231264","0.08018690528013271","0.08370020970775643","0.1207309469990385","0.0","0.0","0.0"
"9072","0.7240428871385866","0.23567100620876458","0.0726091157056359","0.2520717608898203","0.15281920982960476","0.0","0.0","0.0"
"9408","0.6282121081722063","0.17413586122091088","0.11156051877991555","0.15692778896826534","0.12646714497634526","0.0","0.0","0.0"
"9744","0.6951706552252055","0.27539925327011433","0.15054460327964297","0.17758071910816697","0.19800553433188675","0.0","0.0","0.0"
"10080","0.6866766760365481","0.16521184142157108","0.07883967078497074","0.2733772323307144","0.1316900672066585","0.0","0.0","0.0"
"10416","0.647017524211364","0.22642279118050376","0.08420482532229187","0.18944138707063754","0.10493500999456397","0.0","0.0","0.0"
