"points","all_attributes","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"1461","0.29050738392154674","0.22607809878169924","0.21240612633354597","0.13950529664082023","0.13950529664082026","0.1395052966408203","0.20540627835801675","0.14310527334003603","0.14310527334003603","0.14310527334003606","0.13807394607080462","0.1380739460708046","0.13807394607080464","0.09527848729743295","0.09527848729743295","0.09527848729743295","0.16263351268325643","0.07777397876115213","0.07777397876115213","0.07777397876115213","0.12392442839624052","0.12392442839624049","0.1239244283962405","0.040184589466438644","0.040184589466438644","0.040184589466438644","0.1166068819026133","0.11660688190261331","0.11660688190261331","0.05248033899602875","0.05248033899602875","0.05248033899602875","0.07293401636818336","0.07293401636818336","0.07293401636818336","0.011635865845311455"
"2922","0.24384270788931647","0.17377611564532836","0.1945809709010857","0.14140731882004987","0.14140731882004984","0.14140731882004987","0.2003585823952274","0.1418389227726855","0.1418389227726855","0.14183892277268553","0.13249399020030078","0.13249399020030078","0.13249399020030078","0.10141740476183844","0.10141740476183844","0.10141740476183844","0.11743062737885226","0.10288513226833274","0.10288513226833276","0.10288513226833275","0.10018602145674672","0.10018602145674672","0.1001860214567467","0.05989231437099962","0.05989231437099962","0.05989231437099962","0.10966933147123778","0.10966933147123777","0.10966933147123778","0.10548656768598669","0.10548656768598669","0.10548656768598669","0.07594373850650979","0.07594373850650979","0.07594373850650979","0.06228610540725529"
"4383","0.24256789250372363","0.18497657863224276","0.2031529874346826","0.14402670202017054","0.14402670202017054","0.14402670202017048","0.17836113076361212","0.13857136132495176","0.1385713613249518","0.13857136132495182","0.14306420376510334","0.14306420376510334","0.14306420376510334","0.08631527334414824","0.08631527334414824","0.08631527334414824","0.11565033135651956","0.091429282096022","0.091429282096022","0.09142928209602201","0.10242987484825429","0.10242987484825429","0.10242987484825429","0.05486548053420259","0.054865480534202586","0.05486548053420259","0.08135713484477544","0.08135713484477543","0.08135713484477543","0.05796249503112776","0.05796249503112777","0.05796249503112776","0.08838364357878892","0.08838364357878892","0.0883836435787889","0.056810403832991074"
"5844","0.3526916779732632","0.21711757487965777","0.2790026963135708","0.12117734475235409","0.12117734475235409","0.12117734475235407","0.24715280158418937","0.14807190384032168","0.14807190384032168","0.14807190384032165","0.19235562991681204","0.19235562991681204","0.19235562991681207","0.06789787041452665","0.06789787041452665","0.06789787041452665","0.24201945072465422","0.11685833591970676","0.11685833591970674","0.11685833591970674","0.1903817681802945","0.1903817681802945","0.19038176818029448","0.06823428478646916","0.06823428478646917","0.06823428478646917","0.16946680902955388","0.1694668090295539","0.1694668090295539","0.09806298568312799","0.09806298568312799","0.09806298568312799","0.14989766471979626","0.14989766471979626","0.14989766471979626","0.01848049281314168"
"7305","0.20666878743171382","0.135145007007272","0.25247949528947566","0.17598672648106997","0.17598672648106997","0.17598672648106994","0.14030106445449694","0.09034844197831063","0.09034844197831061","0.09034844197831061","0.20140090218140186","0.20140090218140183","0.20140090218140183","0.11147246174638017","0.11147246174638017","0.11147246174638017","0.13354893082367222","0.08685940665657929","0.08685940665657929","0.08685940665657926","0.16763785484222554","0.1676378548422256","0.16763785484222551","0.14034902155044177","0.14034902155044177","0.14034902155044174","0.09571275742899879","0.09571275742899879","0.09571275742899879","0.06214442995689126","0.06214442995689126","0.06214442995689126","0.14578141481270335","0.14578141481270335","0.14578141481270332","0.11293634496919916"
"8766","0.20003956292792108","0.14278889696941832","0.2260586319745213","0.18197452053600832","0.1819745205360083","0.18197452053600827","0.14199838920484179","0.09635392803794057","0.0963539280379406","0.09635392803794057","0.18261481099735977","0.18261481099735974","0.1826148109973597","0.123637504265071","0.12363750426507099","0.12363750426507099","0.09442801811179863","0.06465448622548164","0.06465448622548164","0.06465448622548166","0.1270705858704242","0.12707058587042425","0.12707058587042425","0.07954265654592824","0.07954265654592824","0.07954265654592824","0.06735076680993013","0.06735076680993013","0.06735076680993013","0.038294021757071445","0.038294021757071445","0.038294021757071445","0.07388567908184766","0.07388567908184766","0.07388567908184766","0.023956194387405844"
"10227","0.2282243566556916","0.12928303272606037","0.22949012090609605","0.15173993623840018","0.15173993623840015","0.15173993623840015","0.14297716483811435","0.06974190027200831","0.06974190027200831","0.06974190027200831","0.1741517637077595","0.17415176370775948","0.17415176370775948","0.09551840456305927","0.09551840456305927","0.09551840456305927","0.09515436603159116","0.05255111459227371","0.05255111459227371","0.05255111459227371","0.10975844796190584","0.10975844796190586","0.10975844796190586","0.09780391063071107","0.09780391063071106","0.09780391063071106","0.09588677893507065","0.09588677893507065","0.09588677893507065","0.0338763768116962","0.0338763768116962","0.0338763768116962","0.10504813079625822","0.10504813079625822","0.10504813079625822","0.07871321013004795"
"11688","0.2604872963325105","0.14428758276305445","0.23727875808821208","0.1350382151573399","0.1350382151573399","0.13503821515733994","0.17296628056050573","0.10909553253184938","0.10909553253184938","0.10909553253184938","0.14690325795913836","0.1469032579591384","0.14690325795913833","0.0828880535267157","0.0828880535267157","0.0828880535267157","0.14835402367673134","0.10029677552264471","0.10029677552264471","0.10029677552264471","0.10349544329283146","0.10349544329283149","0.10349544329283147","0.06166264063260994","0.061662640632609934","0.06166264063260994","0.13295147473968472","0.13295147473968474","0.13295147473968474","0.10161195199913502","0.10161195199913503","0.10161195199913502","0.0785859146009191","0.0785859146009191","0.0785859146009191","0.04380561259411364"
"13149","0.2899905178586681","0.19897400014893143","0.2564229437963031","0.18077785407379238","0.18077785407379235","0.18077785407379238","0.19723776311310784","0.11367443544965217","0.11367443544965215","0.11367443544965217","0.17237209165525452","0.1723720916552545","0.17237209165525452","0.07150963933382772","0.07150963933382772","0.07150963933382772","0.15757088663095656","0.08667183863922713","0.08667183863922714","0.08667183863922714","0.1044496249253561","0.10444962492535609","0.10444962492535609","0.08447199573302945","0.08447199573302945","0.08447199573302945","0.08711358012941432","0.08711358012941434","0.08711358012941434","0.08133720896164179","0.08133720896164179","0.08133720896164179","0.08678412994138171","0.08678412994138171","0.08678412994138172","0.007529089664613298"
"14610","0.32013651892324974","0.28006580683672905","0.21319340167120596","0.16324015364056427","0.16324015364056432","0.16324015364056432","0.2915742988089582","0.27329498665068314","0.27329498665068314","0.2732949866506831","0.13175395772957096","0.1317539577295709","0.13175395772957094","0.09551674972940373","0.09551674972940372","0.09551674972940372","0.22341223042325917","0.22269101534810257","0.22269101534810262","0.22269101534810262","0.066696586476505","0.06669658647650499","0.06669658647650499","0.09878106174578831","0.09878106174578831","0.09878106174578831","0.23555368624821363","0.23555368624821363","0.23555368624821363","0.24744049101999907","0.2474404910199991","0.24744049101999907","0.05669154996720279","0.05669154996720279","0.05669154996720279","0.08761122518822728"
