"points","all_attributes","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"336","0.40252976190476103","0.2857142857142856","0.3843914821211579","0.2434575323555587","0.1547619047619047","0.15476190476190477","0.1547619047619047","0.36977645095696204","0.26297978692987595","0.17261904761904767","0.17261904761904764","0.17261904761904767","0.3828168513778498","0.3907073428174333","0.3907073428174333","0.3907073428174333","0.1108533098838212","0.11085330988382121","0.1108533098838212","0.035714285714285754","0.035714285714285754","0.035714285714285754"
"672","0.35733241213151873","0.26785714285714285","0.2733586134417728","0.21110089844990051","0.1369047619047619","0.1369047619047619","0.1369047619047619","0.06323194360901284","0.17211323208716703","0.07142857142857144","0.07142857142857145","0.07142857142857144","0.09456266455628701","0.012794781186759922","0.012794781186759922","0.012794781186759922","0.0610256149737913","0.061025614973791296","0.0610256149737913","0.05357142857142852","0.05357142857142852","0.05357142857142852"
"1008","0.3746031746031739","0.44047619047619047","0.300179463707739","0.46580762031993506","0.3214285714285714","0.3214285714285714","0.3214285714285714","0.16112317126923326","0.43737279696388537","0.34523809523809523","0.34523809523809523","0.34523809523809523","0.1646423792386495","0.14026604788279895","0.14026604788279895","0.14026604788279895","0.4184312440253879","0.4184312440253879","0.4184312440253879","0.30952380952380953","0.30952380952380953","0.30952380952380953"
"1344","0.18303571428571402","0.21726190476190477","0.05952187693259122","0.19556935189986105","0.13988095238095238","0.13988095238095236","0.13988095238095238","0.04502535273368606","0.18627366517787863","0.11607142857142858","0.11607142857142859","0.11607142857142858","0.0490514533558869","0.04178841506983292","0.04178841506983292","0.04178841506983292","0.0927642291447137","0.09276422914471369","0.0927642291447137","0.08035714285714289","0.08035714285714289","0.08035714285714289"
"1680","0.45496031746031645","0.3303571428571428","0.3946428910479662","0.3239949723980354","0.181547619047619","0.181547619047619","0.181547619047619","0.32576638626182547","0.3208260334560927","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.33027183509733027","0.28981412430532855","0.28981412430532855","0.28981412430532855","0.26954415238000384","0.26954415238000384","0.26954415238000384","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"2016","0.5090525793650791","0.4166666666666667","0.4116937209203536","0.35836042185267664","0.2678571428571428","0.26785714285714285","0.2678571428571428","0.37711638288173505","0.3110314546683651","0.21428571428571433","0.2142857142857143","0.2142857142857143","0.3967077454608597","0.265496610278572","0.265496610278572","0.265496610278572","0.2890908742100979","0.28909087421009794","0.2890908742100979","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"2352","0.4443452380952371","0.30952380952380953","0.3810232226275965","0.3039618790406605","0.2202380952380952","0.2202380952380952","0.2202380952380952","0.2080746126905311","0.22256646857946757","0.11309523809523808","0.11309523809523808","0.11309523809523808","0.22760871343818184","0.20068682144575","0.20068682144575","0.20068682144575","0.20176489956237983","0.2017648995623798","0.2017648995623798","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2688","0.40077239229024886","0.36309523809523814","0.3459763508407382","0.3486264991418403","0.30357142857142855","0.3035714285714285","0.30357142857142855","0.11150450406356287","0.16899928592746352","0.13095238095238096","0.13095238095238096","0.130952380952381","0.15841381244025396","0.08830776759502129","0.08830776759502129","0.08830776759502129","0.13875888879870682","0.13875888879870682","0.13875888879870682","0.13095238095238096","0.13095238095238096","0.13095238095238096"
"3024","0.36271967120181337","0.34523809523809534","0.2929285421064978","0.335860668865887","0.3214285714285714","0.3214285714285714","0.3214285714285714","0.11379962073571098","0.19043335744359902","0.125","0.125","0.125","0.12064006187618091","0.07647940114073119","0.07647940114073119","0.07647940114073119","0.11438627212153984","0.11438627212153984","0.11438627212153984","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"3360","0.3954034391534385","0.40476190476190477","0.24651054368170172","0.37082677966763805","0.33928571428571425","0.3392857142857143","0.33928571428571425","0.16262152670973384","0.21045580949163595","0.15476190476190477","0.15476190476190477","0.15476190476190477","0.1290066120206314","0.09502342895200039","0.09502342895200039","0.09502342895200039","0.08453139481857676","0.08453139481857674","0.08453139481857674","0.09523809523809523","0.09523809523809523","0.09523809523809523"
"3696","0.2968749999999996","0.3571428571428571","0.15887151043401043","0.3636042183998559","0.2976190476190476","0.29761904761904756","0.2976190476190476","0.09381226334674836","0.20009986083773826","0.05952380952380953","0.05952380952380953","0.05952380952380953","0.1239570165187287","0.11761372645112933","0.11761372645112933","0.11761372645112933","0.1921184164468387","0.1921184164468387","0.19211841644683866","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"4032","0.3180272108843531","0.38392857142857134","0.16828703703703704","0.3118159648320565","0.23511904761904762","0.23511904761904762","0.23511904761904762","0.09384208273857883","0.24814031927595004","0.2410714285714286","0.24107142857142858","0.2410714285714286","0.07879751059455481","0.06113136324573766","0.06113136324573766","0.06113136324573766","0.10440992373628753","0.10440992373628752","0.10440992373628752","0.05059523809523814","0.05059523809523814","0.05059523809523814"
"4368","0.4132121598639446","0.3571428571428572","0.3350738464577751","0.3317186617552394","0.2380952380952381","0.23809523809523808","0.2380952380952381","0.2532173855664621","0.2434741223743965","0.18452380952380953","0.18452380952380953","0.18452380952380953","0.2521574266252933","0.254761262398946","0.254761262398946","0.254761262398946","0.21569862899545406","0.21569862899545406","0.21569862899545406","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4704","0.4145089285714276","0.4077380952380952","0.3055098175633889","0.35935009740824625","0.24702380952380953","0.24702380952380953","0.24702380952380953","0.19818364320750403","0.24295629963811483","0.16964285714285715","0.16964285714285715","0.16964285714285715","0.15496757070177414","0.1727871628574422","0.1727871628574422","0.1727871628574422","0.11297216927488357","0.11297216927488356","0.11297216927488357","0.0625","0.0625","0.0625"
"5040","0.42663690476190386","0.3511904761904762","0.24960317981359212","0.2802311423306696","0.15476190476190477","0.15476190476190474","0.15476190476190477","0.24182641911436553","0.26455301941545134","0.17261904761904764","0.17261904761904764","0.17261904761904764","0.2124497708198859","0.17629353019933805","0.17629353019933805","0.17629353019933805","0.08644333029881962","0.08644333029881962","0.08644333029881963","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"5376","0.4993551587301577","0.36309523809523797","0.44033529447132386","0.33127203147255574","0.31547619047619047","0.3154761904761904","0.31547619047619047","0.15621150434658498","0.19900724771730632","0.1130952380952381","0.1130952380952381","0.11309523809523808","0.2547928539898354","0.07979796128629868","0.07979796128629868","0.07979796128629868","0.09870992449187643","0.09870992449187642","0.09870992449187642","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"5712","0.482142857142856","0.369047619047619","0.4308303185145509","0.2686401319897975","0.2380952380952381","0.23809523809523808","0.2380952380952381","0.24986566299057608","0.1712930690170971","0.1607142857142857","0.16071428571428573","0.16071428571428573","0.2704749685678263","0.24280611430395918","0.24280611430395918","0.24280611430395918","0.042796362161002605","0.042796362161002605","0.042796362161002605","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"6048","0.30045705782312887","0.22916666666666663","0.18433365180773012","0.22868597199450857","0.15773809523809523","0.15773809523809526","0.15773809523809523","0.11427601021779792","0.17953064346857397","0.12797619047619047","0.12797619047619047","0.12797619047619047","0.10329326033344172","0.07493993214458858","0.07493993214458858","0.07493993214458858","0.12374919501732826","0.12374919501732827","0.12374919501732827","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"6384","0.41386054421768625","0.3154761904761904","0.30914735408670074","0.26563936164357355","0.25595238095238093","0.25595238095238093","0.25595238095238093","0.22432961740702745","0.2632241650276838","0.10119047619047622","0.10119047619047622","0.10119047619047622","0.22507961138048346","0.21711396981271405","0.21711396981271405","0.21711396981271405","0.15110014252154552","0.15110014252154552","0.15110014252154552","0.07738095238095233","0.07738095238095233","0.07738095238095233"
"6720","0.26423374905517727","0.3333333333333332","0.14111426086619308","0.28551914980436827","0.2738095238095238","0.2738095238095238","0.2738095238095238","0.0642352883749039","0.11772308870609502","0.07142857142857142","0.07142857142857142","0.07142857142857142","0.055344535046458206","0.024817754150660384","0.024817754150660384","0.024817754150660384","0.07413289405476907","0.07413289405476907","0.07413289405476906","0.07142857142857148","0.07142857142857148","0.07142857142857148"
"7056","0.3551339285714281","0.36607142857142855","0.2382804197777809","0.4171740634190862","0.324404761904762","0.3244047619047619","0.324404761904762","0.15854386778994228","0.3115495740822341","0.2648809523809524","0.2648809523809524","0.26488095238095233","0.14277717243007018","0.10797138956173613","0.10797138956173613","0.10797138956173613","0.28674415144050985","0.2867441514405098","0.2867441514405098","0.26488095238095244","0.26488095238095244","0.26488095238095244"
"7392","0.354023171768707","0.3273809523809523","0.23159230345372622","0.3312089529036289","0.23809523809523808","0.23809523809523805","0.23809523809523808","0.14293769493376884","0.15767537783315963","0.09523809523809523","0.09523809523809523","0.09523809523809526","0.15855071143499902","0.14553040237002504","0.14553040237002504","0.14553040237002504","0.11116995243865875","0.11116995243865875","0.11116995243865875","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"7728","0.42417977607709684","0.30654761904761896","0.35610512145938916","0.22185605395544306","0.1577380952380952","0.15773809523809523","0.1577380952380952","0.2747594593408995","0.16383876129387132","0.11607142857142856","0.11607142857142858","0.11607142857142858","0.29868795479546256","0.27387322721903806","0.27387322721903806","0.27387322721903806","0.11713774438721383","0.11713774438721385","0.11713774438721385","0.05059523809523811","0.05059523809523811","0.05059523809523811"
"8064","0.22440889550264523","0.25297619047619047","0.13545758418460624","0.18035660007019969","0.10416666666666666","0.10416666666666667","0.10416666666666666","0.07696912256121959","0.12284217829270257","0.08630952380952378","0.0863095238095238","0.08630952380952378","0.06515896622090306","0.06484934817856335","0.06484934817856335","0.06484934817856335","0.08600779343005041","0.08600779343005041","0.08600779343005041","0.0625","0.0625","0.0625"
"8400","0.21145124716553265","0.17857142857142855","0.11844297541168693","0.12594408166050106","0.07738095238095238","0.07738095238095238","0.07738095238095238","0.14478206286837947","0.11042966244948467","0.07738095238095237","0.07738095238095237","0.07738095238095238","0.11535330034980912","0.12866426763942293","0.12866426763942293","0.12866426763942293","0.06644624171870886","0.06644624171870886","0.06644624171870886","0.059523809523809534","0.059523809523809534","0.059523809523809534"
"8736","0.3168048469387751","0.3363095238095237","0.20429154672072378","0.3495846242029098","0.31845238095238093","0.318452380952381","0.31845238095238093","0.10958721677265679","0.2022487314993609","0.13392857142857142","0.13392857142857142","0.13392857142857142","0.07191499583031742","0.04323745308400041","0.04323745308400041","0.04323745308400041","0.14981299936802867","0.14981299936802867","0.14981299936802867","0.13392857142857142","0.13392857142857142","0.13392857142857142"
"9072","0.38407738095238053","0.3779761904761904","0.1780688982592178","0.33629590861431086","0.2767857142857143","0.27678571428571425","0.2767857142857143","0.1132309438593866","0.14210284510498108","0.1220238095238095","0.12202380952380952","0.1220238095238095","0.12049609456702469","0.06953467884545478","0.06953467884545478","0.06953467884545478","0.09967736677269723","0.09967736677269724","0.09967736677269723","0.12202380952380948","0.12202380952380948","0.12202380952380948"
"9408","0.3504771352985635","0.27083333333333337","0.2387652756761643","0.2220835975705866","0.18154761904761904","0.181547619047619","0.18154761904761904","0.1099101440678343","0.1665602963153117","0.11011904761904763","0.11011904761904764","0.11011904761904764","0.11584951285472012","0.08356004056041111","0.08356004056041111","0.08356004056041111","0.04096509549114981","0.04096509549114981","0.04096509549114981","0.05654761904761901","0.05654761904761901","0.05654761904761901"
"9744","0.36838506235827617","0.32142857142857145","0.2529437438719992","0.2819148055659217","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.14778033734357487","0.2741990579638446","0.13095238095238093","0.13095238095238093","0.13095238095238096","0.18249809134204759","0.15480052935531227","0.15480052935531227","0.15480052935531227","0.17916400483831493","0.17916400483831493","0.1791640048383149","0.08333333333333331","0.08333333333333331","0.08333333333333331"
"10080","0.371345899470899","0.20535714285714285","0.24204581519614388","0.2670197769336114","0.16964285714285712","0.16964285714285712","0.16964285714285712","0.1354142236014162","0.15193061775894473","0.0744047619047619","0.0744047619047619","0.07440476190476192","0.15243865305966708","0.15535945099432813","0.15535945099432813","0.15535945099432813","0.11137075555978913","0.11137075555978913","0.11137075555978913","0.03273809523809526","0.03273809523809526","0.03273809523809526"
"10416","0.2934854497354493","0.3273809523809524","0.14986356529415287","0.28069296928984167","0.25595238095238093","0.25595238095238093","0.25595238095238093","0.08573514492658892","0.1687420557452934","0.10714285714285715","0.10714285714285714","0.10714285714285715","0.11269213558448204","0.07047655328015859","0.07047655328015859","0.07047655328015859","0.048024414289367115","0.048024414289367115","0.048024414289367115","0.0714285714285714","0.0714285714285714","0.0714285714285714"
"10752","0.2636160714285712","0.34523809523809523","0.14831015500658357","0.3063497785317541","0.27976190476190477","0.27976190476190477","0.27976190476190477","0.10089618027711744","0.24066648041773064","0.125","0.125","0.125","0.09840299422161812","0.07147893699199855","0.07147893699199855","0.07147893699199855","0.18454102535858022","0.18454102535858022","0.18454102535858022","0.125","0.125","0.125"
"11088","0.4218395691609971","0.4017857142857142","0.28292015986029734","0.3757369559857742","0.3482142857142857","0.34821428571428564","0.3482142857142857","0.14575713918191327","0.2811803489954082","0.1339285714285714","0.1339285714285714","0.13392857142857142","0.17884690547746776","0.10580277616190559","0.10580277616190559","0.10580277616190559","0.21600540414606342","0.2160054041460634","0.2160054041460634","0.0625","0.0625","0.0625"
"11424","0.38900581065759593","0.3720238095238094","0.264092007583993","0.28813271050968653","0.31845238095238093","0.31845238095238093","0.31845238095238093","0.06964236249839785","0.15046343351517366","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.040821762288296176","0.053540445469745714","0.05354044546974572","0.053540445469745714","0.11271549652084858","0.11271549652084858","0.11271549652084858","0.14583333333333334","0.14583333333333334","0.14583333333333334"
