"points","all_attributes","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"336","0.40252976190476103","0.40252976190476103","0.37092663454270547","0.37092663454270547","0.3709266345427057","0.39363071617535855","0.39363071617535866","0.39363071617535855","0.28571428571428564","0.2857142857142857","0.2857142857142856","0.3681972789115645","0.36819727891156434","0.3681972789115644","0.3843914821211579","0.3843914821211578","0.3843914821211579","0.24345753235555867","0.24345753235555867","0.24345753235555867","0.1547619047619047","0.4043101378681249","0.4043101378681251","0.40431013786812503","0.3697764509569619","0.369776450956962","0.369776450956962","0.26297978692987595","0.2629797869298759","0.26297978692987595","0.17261904761904767","0.3828168513778498","0.3828168513778498","0.38281685137784977","0.3907073428174333","0.1108533098838212"
"672","0.35733241213151873","0.3573324121315189","0.32289658919123204","0.32289658919123193","0.32289658919123176","0.3381466128117912","0.3381466128117912","0.3381466128117912","0.2678571428571428","0.26785714285714285","0.26785714285714285","0.29808420162936955","0.2980842016293696","0.29808420162936955","0.2733586134417728","0.2733586134417728","0.2733586134417728","0.21110089844990057","0.2111008984499006","0.21110089844990057","0.1369047619047619","0.16071651245672758","0.1607165124567275","0.1607165124567275","0.06323194360901285","0.06323194360901285","0.06323194360901284","0.17211323208716703","0.17211323208716706","0.17211323208716703","0.07142857142857144","0.094562664556287","0.094562664556287","0.09456266455628701","0.012794781186759922","0.0610256149737913"
"1008","0.3746031746031739","0.3746031746031739","0.33134920634920617","0.3313492063492061","0.3313492063492061","0.5004499716553285","0.5004499716553286","0.5004499716553285","0.44047619047619047","0.44047619047619035","0.4404761904761906","0.35125106132196465","0.35125106132196476","0.35125106132196454","0.30017946370773907","0.30017946370773896","0.300179463707739","0.46580762031993506","0.465807620319935","0.46580762031993506","0.3214285714285714","0.23131650871557705","0.23131650871557702","0.23131650871557696","0.16112317126923326","0.16112317126923323","0.16112317126923326","0.4373727969638854","0.4373727969638855","0.43737279696388537","0.34523809523809523","0.1646423792386495","0.1646423792386495","0.1646423792386495","0.14026604788279895","0.4184312440253879"
"1344","0.18303571428571402","0.18303571428571402","0.0989583333333333","0.09895833333333331","0.0989583333333333","0.2449227607709749","0.24492276077097494","0.2449227607709749","0.21726190476190474","0.21726190476190477","0.2172619047619047","0.10789141414141405","0.10789141414141408","0.10789141414141412","0.05952187693259122","0.059521876932591214","0.05952187693259122","0.19556935189986102","0.19556935189986105","0.19556935189986102","0.13988095238095238","0.06997000188964474","0.06997000188964474","0.06997000188964475","0.04502535273368606","0.04502535273368606","0.04502535273368606","0.1862736651778786","0.18627366517787855","0.18627366517787863","0.11607142857142858","0.04905145335588689","0.049051453355886884","0.0490514533558869","0.04178841506983292","0.0927642291447137"
"1680","0.45496031746031645","0.4549603174603164","0.42748960695389226","0.42748960695389226","0.42748960695389254","0.37788879440665113","0.3778887944066512","0.37788879440665113","0.33035714285714285","0.33035714285714285","0.3303571428571428","0.4344250863224075","0.43442508632240745","0.43442508632240756","0.39464289104796624","0.3946428910479662","0.39464289104796624","0.32399497239803543","0.3239949723980354","0.3239949723980354","0.181547619047619","0.39867671401652205","0.398676714016522","0.39867671401652194","0.3257663862618254","0.3257663862618254","0.32576638626182547","0.3208260334560926","0.3208260334560927","0.3208260334560927","0.2708333333333333","0.33027183509733027","0.3302718350973303","0.33027183509733027","0.28981412430532855","0.2695441523800038"
"2016","0.5090525793650791","0.509052579365079","0.493686815003779","0.493686815003779","0.49368681500377887","0.4735166288737711","0.4735166288737714","0.4735166288737712","0.41666666666666663","0.4166666666666667","0.41666666666666663","0.5071344825809109","0.5071344825809109","0.5071344825809108","0.41169372092035356","0.41169372092035356","0.41169372092035356","0.3583604218526767","0.3583604218526767","0.35836042185267664","0.2678571428571428","0.41261148812630566","0.41261148812630566","0.4126114881263056","0.37711638288173505","0.377116382881735","0.377116382881735","0.311031454668365","0.31103145466836507","0.3110314546683651","0.2142857142857143","0.3967077454608597","0.39670774546085963","0.3967077454608597","0.265496610278572","0.2890908742100979"
"2352","0.4443452380952371","0.4443452380952371","0.44200798374905487","0.44200798374905487","0.4420079837490551","0.3803642290249429","0.3803642290249432","0.38036422902494293","0.3095238095238094","0.3095238095238094","0.3095238095238096","0.45072150072150047","0.4507215007215005","0.4507215007215006","0.3810232226275965","0.3810232226275966","0.3810232226275965","0.3039618790406605","0.3039618790406605","0.3039618790406605","0.2202380952380952","0.2752792503219236","0.2752792503219237","0.2752792503219235","0.20807461269053112","0.20807461269053112","0.2080746126905311","0.22256646857946755","0.2225664685794675","0.22256646857946757","0.11309523809523808","0.22760871343818181","0.22760871343818181","0.22760871343818184","0.20068682144575","0.20176489956237983"
"2688","0.40077239229024886","0.40077239229024886","0.3891924130763414","0.3891924130763414","0.3891924130763414","0.3678270266439906","0.3678270266439907","0.3678270266439907","0.36309523809523797","0.363095238095238","0.36309523809523814","0.37691647158265207","0.37691647158265207","0.37691647158265196","0.3459763508407382","0.3459763508407382","0.3459763508407382","0.3486264991418403","0.34862649914184035","0.34862649914184035","0.30357142857142855","0.23357244935172972","0.23357244935172974","0.23357244935172983","0.11150450406356285","0.11150450406356287","0.11150450406356287","0.16899928592746347","0.16899928592746344","0.16899928592746352","0.130952380952381","0.158413812440254","0.158413812440254","0.15841381244025396","0.08830776759502129","0.1387588887987068"
"3024","0.36271967120181337","0.36271967120181337","0.3220119992441418","0.3220119992441418","0.3220119992441419","0.3815098261526829","0.38150982615268314","0.38150982615268286","0.34523809523809523","0.3452380952380951","0.3452380952380953","0.3122719413971726","0.3122719413971726","0.3122719413971727","0.29292854210649777","0.2929285421064977","0.29292854210649777","0.3358606688658871","0.335860668865887","0.3358606688658871","0.3214285714285714","0.20536266306683443","0.20536266306683437","0.2053626630668344","0.11379962073571097","0.11379962073571097","0.11379962073571098","0.19043335744359904","0.19043335744359902","0.19043335744359902","0.125","0.12064006187618091","0.12064006187618091","0.12064006187618091","0.07647940114073119","0.11438627212153984"
"3360","0.3954034391534385","0.3954034391534385","0.34480111489040033","0.34480111489040033","0.3448011148904004","0.42774470899470857","0.42774470899470873","0.4277447089947086","0.4047619047619047","0.4047619047619047","0.40476190476190466","0.31549453937846766","0.31549453937846766","0.31549453937846783","0.24651054368170175","0.24651054368170175","0.24651054368170172","0.370826779667638","0.37082677966763805","0.37082677966763794","0.33928571428571425","0.24278349412660474","0.24278349412660474","0.24278349412660474","0.16262152670973384","0.16262152670973387","0.16262152670973384","0.21045580949163595","0.21045580949163595","0.21045580949163595","0.15476190476190477","0.12900661202063138","0.12900661202063138","0.1290066120206314","0.09502342895200039","0.08453139481857676"
