"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"48","0.4999999999999999","0.5","0.22916666666666669","0.08806818181818182","0.25156641604010027","0.22916666666666663","0.22916666666666663","0.22916666666666663","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.13888888888888887","0.23842592592592593","0.22916666666666669","0.22916666666666669","0.22916666666666669","0.140625","0.08806818181818182","0.08806818181818182","0.08806818181818182","0.25156641604010027","0.25156641604010027","0.25156641604010027","0.22916666666666663","0.22916666666666663","0.22916666666666663"
"96","0.49999999999999994","0.5","0.4791666666666667","0.11931818181818181","0.48437518256597206","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.2152777777777778","0.5284722222222222","0.4791666666666667","0.4791666666666667","0.4791666666666667","0.171875","0.11931818181818181","0.11931818181818181","0.11931818181818181","0.484375182565972","0.484375182565972","0.48437518256597206","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"144","0.5","0.5","0.2916666666666667","0.6589781746031746","0.16169347830532038","0.04166666666666666","0.04166666666666666","0.04166666666666666","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.65625","0.31688988095238096","0.29166666666666663","0.29166666666666663","0.2916666666666667","0.6629464285714285","0.6589781746031746","0.6589781746031746","0.6589781746031745","0.1616934783053204","0.1616934783053204","0.1616934783053204","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"192","0.5","0.5","0.6666666666666667","0.2721908939014202","0.4720220690615427","0.5416666666666667","0.5416666666666667","0.5416666666666667","0.49999999999999994","0.5","0.49999999999999994","0.5","0.5","0.5","0.59375","0.6510416666666667","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.35148809523809527","0.2721908939014202","0.2721908939014202","0.2721908939014202","0.4720220690615427","0.4720220690615427","0.4720220690615427","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"240","0.5","0.5","0.3958333333333333","0.2521929824561403","0.23660143097643097","0.0625","0.0625","0.0625","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.28645833333333337","0.3836805555555556","0.39583333333333337","0.39583333333333337","0.39583333333333337","0.28541666666666665","0.2521929824561403","0.2521929824561403","0.2521929824561403","0.236601430976431","0.236601430976431","0.236601430976431","0.0625","0.0625","0.0625"
"288","0.4999999999999999","0.5","0.6041666666666666","0.23958333333333331","0.3106841856060606","0.39583333333333337","0.39583333333333337","0.39583333333333337","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.34374999999999994","0.5089285714285714","0.6041666666666667","0.6041666666666667","0.6041666666666666","0.25","0.23958333333333331","0.23958333333333331","0.23958333333333331","0.3106841856060606","0.3106841856060606","0.3106841856060606","0.39583333333333337","0.39583333333333337","0.39583333333333337"
"336","0.4999999999999999","0.5","0.10416666666666667","0.2144150152439024","0.19143629807692308","0.0625","0.0625","0.0625","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.20075231481481481","0.13116319444444446","0.10416666666666669","0.10416666666666669","0.10416666666666667","0.20505050505050504","0.2144150152439024","0.2144150152439024","0.2144150152439024","0.19143629807692308","0.19143629807692308","0.19143629807692308","0.0625","0.0625","0.0625"
"384","0.5","0.5","0.39583333333333337","0.19373306233062332","0.13470219017094018","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.49999999999999994","0.5","0.49999999999999994","0.5","0.5","0.5","0.4097222222222222","0.3883680555555556","0.39583333333333337","0.39583333333333337","0.39583333333333337","0.17323345057720058","0.19373306233062332","0.19373306233062332","0.19373306233062332","0.13470219017094018","0.13470219017094018","0.13470219017094018","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"432","0.5","0.5","0.125","0.02315705128205129","0.13708457341269842","0.04166666666666666","0.04166666666666666","0.04166666666666666","0.49999999999999994","0.5","0.49999999999999994","0.5","0.5","0.5","0.16443452380952378","0.2366319444444445","0.12499999999999999","0.12499999999999999","0.125","0.10495411706349207","0.02315705128205129","0.02315705128205129","0.02315705128205129","0.13708457341269842","0.13708457341269842","0.13708457341269842","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"480","0.4999999999999999","0.5","0.3333333333333333","0.19236492673992672","0.2332155257936508","0.20833333333333331","0.20833333333333331","0.20833333333333331","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.2967427248677249","0.42708333333333326","0.3333333333333333","0.3333333333333333","0.33333333333333337","0.2877976190476191","0.19236492673992672","0.19236492673992672","0.19236492673992672","0.2332155257936508","0.2332155257936508","0.2332155257936508","0.20833333333333331","0.20833333333333331","0.20833333333333331"
"528","0.5","0.5","0.3958333333333333","0.2678571428571428","0.1930121527777778","0.39583333333333326","0.39583333333333326","0.39583333333333326","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.4426587301587302","0.44375","0.39583333333333337","0.39583333333333337","0.3958333333333333","0.24255952380952384","0.2678571428571428","0.2678571428571428","0.2678571428571428","0.19301215277777778","0.19301215277777778","0.19301215277777778","0.39583333333333326","0.39583333333333326","0.39583333333333326"
"576","0.5","0.5","0.31250000000000006","0.36805555555555564","0.36731150793650796","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.3840773809523809","0.40550595238095233","0.3125","0.3125","0.31250000000000006","0.4149305555555555","0.36805555555555564","0.36805555555555564","0.36805555555555564","0.36731150793650796","0.36731150793650796","0.36731150793650796","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"624","0.49999999999999994","0.5","0.20833333333333331","0.0625","0.26256200396825397","0.20833333333333334","0.20833333333333334","0.20833333333333334","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.08333333333333334","0.34474206349206343","0.20833333333333331","0.20833333333333331","0.20833333333333331","0.10416666666666666","0.0625","0.0625","0.0625","0.26256200396825397","0.26256200396825397","0.26256200396825397","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"672","0.49999999999999994","0.5","0.1875","0.2917877906976744","0.15492918284738139","0.10416666666666666","0.10416666666666666","0.10416666666666666","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.27025462962962965","0.2115575396825397","0.18749999999999997","0.18749999999999997","0.1875","0.33332404931669635","0.2917877906976744","0.2917877906976744","0.2917877906976744","0.15492918284738139","0.15492918284738139","0.15492918284738139","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"720","0.49999999999999994","0.5","0.14583333333333331","0.16129683462532302","0.13271780303030303","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.1534722222222222","0.14236111111111113","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.14888661430481284","0.16129683462532302","0.16129683462532302","0.16129683462532302","0.13271780303030303","0.13271780303030303","0.13271780303030303","0.14583333333333331","0.14583333333333331","0.14583333333333331"
"768","0.49999999999999994","0.5","0.47916666666666663","0.2213919082125604","0.45280403828197946","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.269675925925926","0.4871031746031746","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.2879774305555556","0.2213919082125604","0.2213919082125604","0.2213919082125604","0.45280403828197946","0.45280403828197946","0.45280403828197946","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"816","0.49999999999999994","0.5","0.33333333333333337","0.25407608695652173","0.3540426587301587","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.49999999999999994","0.5","0.49999999999999994","0.5","0.5","0.5","0.20833333333333331","0.3626736111111111","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.27922453703703703","0.25407608695652173","0.25407608695652173","0.25407608695652173","0.3540426587301587","0.3540426587301587","0.3540426587301587","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"864","0.5","0.5","0.33333333333333337","0.4070601851851852","0.3247767857142857","0.0","0.0","0.0","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.40885416666666674","0.5102430555555556","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33829365079365076","0.4070601851851852","0.4070601851851852","0.4070601851851852","0.3247767857142857","0.3247767857142857","0.32477678571428575","0.0","0.0","0.0"
"912","0.49999999999999994","0.5","0.4166666666666667","0.16666666666666669","0.09909060846560845","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.49999999999999994","0.5","0.5000000000000001","0.5","0.5","0.5","0.42659143518518516","0.3375000000000001","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.10545634920634916","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.09909060846560844","0.09909060846560844","0.09909060846560845","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"960","0.5","0.5","0.45833333333333337","0.19053819444444448","0.295343660968661","0.20833333333333334","0.20833333333333334","0.20833333333333334","0.49999999999999994","0.5","0.5","0.5","0.5","0.5","0.47395833333333337","0.3619791666666667","0.45833333333333337","0.45833333333333337","0.45833333333333337","0.3074964387464387","0.19053819444444448","0.19053819444444448","0.19053819444444448","0.29534366096866094","0.29534366096866094","0.295343660968661","0.20833333333333334","0.20833333333333334","0.20833333333333334"
