"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"feature97_class","0.22131147540983614","0.007377049180327873","0.007823319182051461","0.02955133735979293","feature97='(7000.07935-inf)'_class=5","0.0","feature97='(7000.07935-inf)'_class=6"
"feature25_class","0.22720736266896752","0.007573578755632243","0.007836430189617107","0.038107563991947084","feature25='(6080.78715-11755.20045]'_class=6","0.0","feature25='(25220.46905-inf)'_class=6"
"feature96_class","0.229939603106126","0.007664653436870858","0.005090548876558912","0.026747195858498704","feature96='(-10.015124--7.04959]'_class=6","0.0010785159620362382","feature96='(-inf--14.484735]'_class=6"
"feature88_class","0.2328156456715559","0.007760521522385201","0.005493001494424967","0.026531492666091457","feature88='(-7.797799--5.259112]'_class=6","0.0","feature88='(-18.020934--12.08345]'_class=6"
"feature112_class","0.23641069887834343","0.007880356629278116","0.006674377272903058","0.029479436295657174","feature112='(-inf--5.212014]'_class=3","1.438021282714995E-4","feature112='(-3.049458-inf)'_class=5"
"feature128_class","0.23899913718723034","0.007966637906241006","0.005815502643514748","0.031061259706643654","feature128='(-14.138803--9.641548]'_class=6","0.0015099223468507334","feature128='(-inf--21.294891]'_class=6"
"feature49_class","0.23914293931550187","0.007971431310516738","0.007822504356033579","0.025596778832326722","feature49='(8176.6708-13921.7207]'_class=6","0.0","feature49='(13921.7207-20234.3553]'_class=5"
"feature99_class","0.24216278400920332","0.008072092800306775","0.007958607251882284","0.027681909692263446","feature99='(-inf-0.927702]'_class=5","7.190106413574801E-5","feature99='(1.370894-1.925321]'_class=2"
"feature17_class","0.2436008052919183","0.008120026843063953","0.008062492285900303","0.03925798101811907","feature17='(5961.96385-11608.6724]'_class=6","0.0","feature17='(16959.49315-24960.4747]'_class=6"
"feature85_class","0.24360080529191835","0.008120026843063944","0.006035500672206372","0.023080241587575497","feature85='(5.747467-8.458312]'_class=6","7.19010641357492E-5","feature85='(19.713619-inf)'_class=4"
"feature120_class","0.24417601380500426","0.008139200460166808","0.006148361134567023","0.03329019269485188","feature120='(-16.219751--10.907716]'_class=6","0.0015818234109864827","feature120='(-inf--25.031491]'_class=6"
"feature104_class","0.24561403508771923","0.008187134502923972","0.006772794715741902","0.02696289905090595","feature104='(-inf--5.415691]'_class=3","7.190106413574975E-5","feature104='(-3.68028--3.152034]'_class=1"
"feature118_class","0.24647684785734825","0.008215894928578276","0.007823348649756697","0.027034800115041703","feature118='(-inf--8.892737]'_class=2","0.0","feature118='(-inf--8.892737]'_class=6"
"feature57_class","0.24662064998561978","0.008220688332853988","0.007978794709077662","0.02804141501294219","feature57='(8515.0539-14872.17085]'_class=6","0.0","feature57='(31768.41195-inf)'_class=6"
"feature101_class","0.24676445211389128","0.008225481737129704","0.007132537855607213","0.038107563991947084","feature101='(10.418292-inf)'_class=1","1.438021282714984E-4","feature101='(10.418292-inf)'_class=6"
"feature2_class","0.24705205637043431","0.008235068545681144","0.006211516603367407","0.027466206499856198","feature2='(2.095541-3.049625]'_class=5","3.5950532067874526E-4","feature2='(9.614866-inf)'_class=6"
"feature15_class","0.24762726488352022","0.00825424216278401","0.008975999157432506","0.03738855335058959","feature15='(-24.005857--13.441213]'_class=6","0.0010066148979004888","feature15='(-24.005857--13.441213]'_class=3"
"feature12_class","0.2477710670117918","0.00825903556705973","0.010551400441064595","0.04371584699453552","feature12='(20.152012-37.181757]'_class=6","1.4380212827149602E-4","feature12='(20.152012-37.181757]'_class=4"
"feature69_class","0.2502157031924072","0.008340523439746913","0.009940560683224292","0.0407679033649698","feature69='(41.32629-inf)'_class=5","0.0","feature69='(-inf-5.293932]'_class=4"
"feature14_class","0.2510785159620363","0.008369283865401218","0.009169453737162174","0.03961748633879781","feature14='(-16.225121--8.773273]'_class=6","2.157031924072475E-4","feature14='(-8.773273--4.744554]'_class=4"
"feature11_class","0.25165372447512224","0.008388457482504079","0.011114053246955873","0.042709232096635026","feature11='(13.186497-24.472221]'_class=6","2.157031924072475E-4","feature11='(3.01861-7.461111]'_class=5"
"feature66_class","0.2532355478861087","0.008441184929536955","0.007556590206515516","0.02645959160195571","feature66='(2.937285-4.540596]'_class=6","3.595053206787459E-4","feature66='(-inf-1.984223]'_class=5"
"feature111_class","0.25438596491228077","0.008479532163742677","0.009360630782093298","0.035159620362381364","feature111='(-inf--2.577761]'_class=5","1.438021282714984E-4","feature111='(-inf--2.577761]'_class=6"
"feature125_class","0.25452976704055214","0.008484325568018406","0.007767768241977497","0.028185217141213692","feature125='(29.029163-inf)'_class=1","7.19010641357492E-5","feature125='(29.029163-inf)'_class=4"
"feature89_class","0.2549611734253667","0.008498705780845555","0.007363732414748866","0.029695139488064425","feature89='(11069.061-15393.69335]'_class=6","7.19010641357492E-5","feature89='(23671.642-inf)'_class=6"
"feature110_class","0.2599942479148691","0.008666474930495638","0.009102403307861925","0.03336209375898763","feature110='(-inf--1.589565]'_class=5","0.0","feature110='(-inf--1.589565]'_class=6"
"feature123_class","0.26056945642795515","0.008685648547598518","0.007830096777971265","0.030773655450100662","feature123='(2.502502-4.535604]'_class=6","7.19010641357492E-5","feature123='(11.145691-inf)'_class=6"
