"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"feature112_class","class=1","0.18435432844406097","0.14884810573330576","0.02976962114666115","0.010519340502536358","0.046619771446652636","feature112='(-5.212014--4.221397]'","0.015421265927539583","feature112='(-3.549518--3.049458]'"
"feature112_class","class=2","0.21045441472533793","0.16819593787335724","0.03363918757467143","0.01796619880099687","0.050678660950640705","feature112='(-3.049458-inf)'","3.429615573828093E-4","feature112='(-5.212014--4.221397]'"
"feature112_class","class=3","0.11798964624676447","0.5273825227096254","0.10547650454192511","0.05362316622893039","0.20297867961419364","feature112='(-inf--5.212014]'","0.06071258174061913","feature112='(-3.049458-inf)'"
"feature112_class","class=4","0.13920046016681045","0.10092400173763985","0.020184800347527967","0.016660190984644642","0.05046200086881994","feature112='(-5.212014--4.221397]'","0.0030937034036607886","feature112='(-3.049458-inf)'"
"feature112_class","class=5","0.2163503019844693","0.20343173216473304","0.04068634643294664","0.03532064473787858","0.09702823626326033","feature112='(-inf--5.212014]'","0.004687629819106198","feature112='(-3.049458-inf)'"
"feature112_class","class=6","0.13165084843255678","0.27505343847160857","0.055010687694321714","0.029652640164196796","0.08689248895434462","feature112='(-inf--5.212014]'","0.006706656030109628","feature112='(-4.221397--3.549518]'"
"feature104_class","class=1","0.18435432844406097","0.16000316421034697","0.03200063284206939","0.024003823378432494","0.06801774391802261","feature104='(-5.415691--4.378537]'","5.336562450559204E-4","feature104='(-3.68028--3.152034]'"
"feature104_class","class=2","0.21045441472533793","0.1970824841286574","0.0394164968257315","0.01552783145567909","0.059594021599081684","feature104='(-3.68028--3.152034]'","0.012122894558062161","feature104='(-5.415691--4.378537]'"
"feature104_class","class=3","0.11798964624676447","0.5597513401251719","0.11195026802503442","0.0643662278547313","0.18629610919330544","feature104='(-inf--5.415691]'","0.0033047065757346034","feature104='(-5.415691--4.378537]'"
"feature104_class","class=4","0.13920046016681045","0.05971375905509964","0.011942751811019921","0.01074127077148804","0.029856879527549812","feature104='(-5.415691--4.378537]'","0.0024714404799643097","feature104='(-4.378537--3.68028]'"
"feature104_class","class=5","0.2163503019844693","0.18539449982410888","0.037078899964821777","0.03495733516359293","0.09181845742640415","feature104='(-inf--5.415691]'","8.787924856502871E-4","feature104='(-3.152034-inf)'"
"feature104_class","class=6","0.13165084843255678","0.28012497954508264","0.05602499590901656","0.037616088746214284","0.10627927610047455","feature104='(-3.68028--3.152034]'","0.006277741981672413","feature104='(-4.378537--3.68028]'"
