"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"feature68_class","feature68='(-inf-2.406191]'","0.20010066148979005","0.05581412344441662","0.00930235390740277","0.01029006169610082","0.027907061722208304","class=2","6.514657980456026E-4","class=4"
"feature68_class","feature68='(28.834816-inf)'","0.19995685936151858","0.08872637414011887","0.01478772902335315","0.01409819381823881","0.04021683474698903","class=1","0.001986909770920975","class=5"
"feature68_class","feature68='(14.887282-28.834816]'","0.20002876042565426","0.27300492809474847","0.045500821349124726","0.0488098274817224","0.11384273300440964","class=4","9.971399192956077E-4","class=3"
"feature68_class","feature68='(7.403649-14.887282]'","0.20002876042565432","0.18657993503268724","0.031096655838781215","0.030635461741434746","0.09328996751634358","class=5","0.005146095041154125","class=6"
"feature68_class","feature68='(2.406191-7.403649]'","0.19988495829738276","0.1610857937460237","0.02684763229100394","0.02350992728843152","0.06325265625097143","class=3","0.0025598861029425476","class=1"
"feature69_class","feature69='(-inf-5.293932]'","0.20010066148979005","0.03431992557439425","0.005719987595732375","0.0059677278233114224","0.017159962787197114","class=3","0.0","class=4"
"feature69_class","feature69='(41.32629-inf)'","0.19995685936151855","0.04810500237204151","0.008017500395340254","0.004547258045487364","0.015167887828791304","class=5","0.0016498866691265616","class=3"
"feature69_class","feature69='(5.293932-12.562785]'","0.19988495829738276","0.22887711617424195","0.03814618602904034","0.029019608823695368","0.0984793337046488","class=3","0.015959224382472187","class=6"
"feature69_class","feature69='(12.562785-21.938478]'","0.20002876042565432","0.2550009347541597","0.042500155792359925","0.023428778689955236","0.0748780187927692","class=5","0.0061053762680234915","class=3"
"feature69_class","feature69='(21.938478-41.32629]'","0.20002876042565432","0.20759759997543742","0.03459959999590622","0.029241117364364175","0.08564375288516284","class=4","0.0025397512821300084","class=3"
"feature122_class","feature122='(4.198978-5.751156]'","0.20002876042565432","0.22635388966274111","0.03772564827712353","0.016401155500085546","0.06900616267781014","class=3","0.017876514288126297","class=5"
"feature122_class","feature122='(-inf-2.764123]'","0.19988495829738276","0.1728356657064449","0.028805944284407477","0.02045382269417735","0.06694670768916086","class=5","0.0116654166737689","class=2"
"feature122_class","feature122='(2.764123-4.198978]'","0.20002876042565432","0.11582636508621828","0.01930439418103638","0.014025099762517543","0.042871240891348215","class=2","0.0010325708646500564","class=1"
"feature122_class","feature122='(5.751156-8.191863]'","0.20010066148979005","0.2844928474849735","0.04741547458082895","0.03078991059892786","0.0719313494904046","class=3","0.003865994023474338","class=4"
"feature122_class","feature122='(8.191863-inf)'","0.1999568593615186","0.049006010171058705","0.008167668361843114","0.008610312781272693","0.024503005085529356","class=3","8.090614886731295E-4","class=2"
"feature67_class","feature67='(-inf-1.617179]'","0.20010066148979005","0.0692015002673082","0.011533583377884701","0.011450893249330634","0.0346007501336541","class=2","2.3754928495054893E-5","class=5"
"feature67_class","feature67='(1.617179-5.073733]'","0.19988495829738276","0.23292954392504012","0.03882159065417336","0.024964000114917523","0.08576642335766423","class=3","0.006665113630480918","class=1"
"feature67_class","feature67='(5.073733-10.144642]'","0.20002876042565432","0.18232191114474114","0.030386985190790174","0.02063982890353881","0.07310236731164199","class=5","0.009737325694519511","class=3"
"feature67_class","feature67='(10.144642-20.848281]'","0.20002876042565426","0.2665767490428124","0.04442945817380206","0.04006132363678071","0.11308591483930851","class=4","5.07599489499942E-4","class=3"
"feature67_class","feature67='(20.848281-inf)'","0.19995685936151858","0.09932250695623823","0.016553751159373038","0.015190072549940932","0.047558509930419296","class=1","0.0021027435476998323","class=3"
"feature12_class","feature12='(37.181757-inf)'","0.19995685936151858","0.09238857866055414","0.015398096443425695","0.008661727160710602","0.026800530473622727","class=1","0.003843072707872619","class=2"
"feature12_class","feature12='(-inf-4.502921]'","0.20010066148979005","0.0998320977588001","0.01663868295980002","0.016085973687590797","0.04951024042742652","class=2","4.058084519735221E-4","class=5"
"feature12_class","feature12='(4.502921-11.613397]'","0.19988495829738276","0.14585535674923128","0.024309226124871873","0.014494529615351805","0.041910069590067336","class=4","0.00816797118591088","class=1"
"feature12_class","feature12='(11.613397-20.152012]'","0.20002876042565426","0.20812778094189627","0.03468796349031604","0.03447404611011912","0.10406389047094813","class=5","0.005730006414950431","class=1"
"feature12_class","feature12='(20.152012-37.181757]'","0.20002876042565432","0.30839758571356907","0.05139959761892818","0.05639842134196707","0.15419879285678453","class=6","0.001482259308017579","class=3"
"feature114_class","feature114='(-inf-2.734705]'","0.19988495829738276","0.1928152925610443","0.03213588209350741","0.02216217672905657","0.07570389097171348","class=5","0.011378393634164492","class=2"
"feature114_class","feature114='(4.23562-5.955632]'","0.20002876042565426","0.2015846036907225","0.03359743394845375","0.023180621048788947","0.06937418183353743","class=3","9.68603521810732E-4","class=6"
"feature114_class","feature114='(2.734705-4.23562]'","0.20002876042565432","0.15495353070805787","0.02582558845134298","0.010780466475093455","0.0435121551821753","class=2","0.007409173656658566","class=1"
"feature114_class","feature114='(5.955632-8.462104]'","0.20010066148979005","0.2893725899734632","0.04822876499557722","0.03423684772252044","0.09504478401307315","class=2","0.0039725087827487265","class=4"
"feature114_class","feature114='(8.462104-inf)'","0.19995685936151858","0.05085961876313787","0.00847660312718964","0.008746115920879592","0.02169855342977135","class=3","1.7626829057793003E-4","class=2"
"feature88_class","feature88='(-inf--18.020934]'","0.20002876042565432","0.12229693383539539","0.020382822305899235","0.01112655237581047","0.031239913932221614","class=1","0.005291823561054343","class=2"
"feature88_class","feature88='(-5.259112-inf)'","0.1999568593615186","0.08725499612965926","0.014542499354943209","0.011116597525889785","0.0310486080898597","class=3","0.001184267771079231","class=1"
"feature88_class","feature88='(-7.797799--5.259112]'","0.19988495829738276","0.3238932463020477","0.05398220771700797","0.02737414507202724","0.10207137969153023","class=6","0.014760225298731375","class=3"
"feature88_class","feature88='(-18.020934--12.08345]'","0.20010066148979005","0.15121750059318248","0.02520291676553042","0.01643211477859052","0.05153046264090027","class=3","9.635977632098374E-4","class=6"
"feature88_class","feature88='(-12.08345--7.797799]'","0.20002876042565432","0.20615562362437517","0.0343592706040625","0.02400194740069177","0.07840118925737449","class=6","0.007565708913762723","class=1"
"feature25_class","feature25='(-inf-6080.78715]'","0.19988495829738276","0.08862803532714703","0.014771339221191178","0.008129724767091794","0.028979899850991586","class=4","0.0024850725110370647","class=5"
"feature25_class","feature25='(25220.46905-inf)'","0.19995685936151858","0.1046673286991063","0.017444554783184373","0.013533409106727992","0.03793445878848064","class=3","0.0","class=6"
"feature25_class","feature25='(17508.3883-25220.46905]'","0.20010066148979005","0.10774917867397885","0.017958196445663144","0.016512894730188587","0.04492614532943581","class=3","0.0","class=6"
"feature25_class","feature25='(6080.78715-11755.20045]'","0.20002876042565432","0.4602419011082694","0.0767069835180449","0.04039297903368726","0.15184782608695652","class=6","0.032544224211423695","class=4"
"feature25_class","feature25='(11755.20045-17508.3883]'","0.20002876042565432","0.14785607427229905","0.024642679045383187","0.01587407857262427","0.055233723999338916","class=5","0.00467243433317345","class=2"
"feature112_class","feature112='(-inf--5.212014]'","0.20002876042565426","0.27240098772994387","0.04540016462165734","0.044573657831535676","0.108612009724163","class=1","0.006946172546467334","class=4"
"feature112_class","feature112='(-3.549518--3.049458]'","0.19995685936151858","0.20895513492250123","0.03482585582041687","0.01998866840068785","0.06603595188065743","class=6","0.003694777462670225","class=3"
"feature112_class","feature112='(-4.221397--3.549518]'","0.20010066148979005","0.10636469780073712","0.017727449633456186","0.014269433200877256","0.046498267769452775","class=4","0.002889443495681654","class=1"
"feature112_class","feature112='(-3.049458-inf)'","0.19988495829738276","0.22534079494906006","0.037556799158176675","0.02410663307714309","0.08141379355326837","class=6","0.0103927784082756","class=4"
"feature112_class","feature112='(-5.212014--4.221397]'","0.20002876042565432","0.11525723301336785","0.019209538835561313","0.010017629154299604","0.030986486591860776","class=2","0.005433694886530532","class=5"
"feature15_class","feature15='(-inf--24.005857]'","0.20002876042565426","0.11204117063492067","0.01867352843915344","0.017031953375585232","0.05602058531746035","class=5","0.006880185786435787","class=3"
"feature15_class","feature15='(-6.860849--2.648862]'","0.19988495829738276","0.14981238631153007","0.024968731051921655","0.017065653804417033","0.055010743511508524","class=1","0.005812816156321614","class=6"
"feature15_class","feature15='(-24.005857--13.441213]'","0.20002876042565426","0.4172443239374485","0.06954072065624141","0.0535650264930628","0.14682435242742287","class=1","0.0027827270219897924","class=3"
"feature15_class","feature15='(-13.441213--6.860849]'","0.20002876042565432","0.13234443575000854","0.022057405958334757","0.01561412412190704","0.041690198346545096","class=5","0.0025142040621916745","class=2"
