"points","all_attributes","class","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40","feature41","feature42","feature43","feature44","feature45","feature46","feature47","feature48","feature49","feature50","feature51","feature52","feature53","feature54","feature55","feature56","feature57","feature58","feature59","feature60","feature61","feature62","feature63","feature64","feature65","feature66","feature67","feature68","feature69","feature70","feature71","feature72","feature73","feature74","feature75","feature76","feature77","feature78","feature79","feature80","feature81","feature82","feature83","feature84","feature85","feature86","feature87","feature88","feature89","feature90","feature91","feature92","feature93","feature94","feature95","feature96","feature97","feature98","feature99","feature100","feature101","feature102","feature103","feature104","feature105","feature106","feature107","feature108","feature109","feature110","feature111","feature112","feature113","feature114","feature115","feature116","feature117","feature118","feature119","feature120","feature121","feature122","feature123","feature124","feature125","feature126","feature127"
"1000","0.998999999999946","0.5289999999999999","0.34500000000000003","0.35600000000000004","0.28500000000000003","0.28","0.246","0.339","0.31900000000000006","0.26500000000000007","0.364","0.33300000000000013","0.318","0.292","0.3150000000000001","0.32300000000000006","0.31100000000000005","0.319","0.31500000000000006","0.32100000000000006","0.23900000000000005","0.24100000000000005","0.27","0.23200000000000004","0.232","0.2750000000000001","0.30000000000000004","0.331","0.24600000000000005","0.26500000000000007","0.29400000000000004","0.24500000000000005","0.229","0.253","0.2840000000000001","0.296","0.3560000000000001","0.30100000000000005","0.4050000000000001","0.3080000000000001","0.2840000000000001","0.42100000000000004","0.384","0.31500000000000006","0.2840000000000001","0.275","0.29300000000000004","0.358","0.34900000000000003","0.35500000000000004","0.32400000000000007","0.3370000000000001","0.29000000000000004","0.27299999999999996","0.31","0.337","0.31800000000000006","0.23","0.33199999999999996","0.33300000000000013","0.28800000000000003","0.281","0.306","0.337","0.31699999999999995","0.219","0.397","0.34900000000000003","0.33","0.31700000000000006","0.3020000000000001","0.3700000000000001","0.35100000000000015","0.2750000000000001","0.39200000000000007","0.358","0.3370000000000001","0.3670000000000001","0.3580000000000001","0.3810000000000001","0.36200000000000004","0.32200000000000006","0.26700000000000007","0.31100000000000005","0.2260000000000001","0.23200000000000004","0.23800000000000002","0.253","0.251","0.22400000000000003","0.3070000000000001","0.3400000000000001","0.23000000000000007","0.2730000000000001","0.301","0.28500000000000003","0.252","0.198","0.3330000000000001","0.283","0.24900000000000003","0.31600000000000006","0.4020000000000001","0.396","0.3900000000000001","0.501","0.36100000000000015","0.332","0.26300000000000007","0.3000000000000001","0.3280000000000001","0.43900000000000006","0.42200000000000004","0.4890000000000001","0.35100000000000015","0.37000000000000005","0.23000000000000004","0.32000000000000006","0.316","0.342","0.32","0.217","0.33000000000000007","0.364","0.23199999999999998","0.32000000000000006","0.3460000000000001","0.35400000000000004","0.30700000000000005"
"2000","0.9969999999999475","0.548","0.3770000000000001","0.3020000000000001","0.3510000000000001","0.3670000000000001","0.392","0.336","0.374","0.4400000000000001","0.3610000000000001","0.46100000000000013","0.35200000000000015","0.3780000000000001","0.3830000000000001","0.31","0.3450000000000001","0.48000000000000004","0.37600000000000006","0.37100000000000005","0.4540000000000002","0.44800000000000006","0.4170000000000002","0.2690000000000001","0.25300000000000006","0.25600000000000006","0.39300000000000007","0.378","0.4590000000000001","0.45600000000000007","0.4380000000000001","0.2800000000000001","0.257","0.2870000000000001","0.376","0.45399999999999996","0.41700000000000004","0.3140000000000001","0.29400000000000004","0.31400000000000006","0.28600000000000003","0.36000000000000004","0.45400000000000007","0.45899999999999996","0.4070000000000001","0.36100000000000004","0.28500000000000003","0.31600000000000006","0.31500000000000006","0.341","0.38800000000000007","0.39200000000000007","0.43900000000000006","0.43000000000000005","0.42400000000000004","0.29700000000000004","0.28700000000000003","0.22800000000000004","0.39400000000000013","0.4010000000000001","0.45200000000000007","0.42800000000000005","0.43","0.29300000000000004","0.28","0.224","0.37800000000000006","0.3170000000000001","0.3590000000000001","0.37100000000000005","0.459","0.3990000000000001","0.4470000000000001","0.4360000000000001","0.38700000000000007","0.31000000000000005","0.3460000000000001","0.3850000000000001","0.48800000000000016","0.40800000000000003","0.4470000000000001","0.47900000000000015","0.37200000000000005","0.3970000000000001","0.42","0.41400000000000003","0.439","0.29300000000000004","0.30100000000000005","0.267","0.37000000000000005","0.3840000000000001","0.44300000000000006","0.43900000000000006","0.46","0.2820000000000001","0.2780000000000001","0.232","0.37800000000000006","0.4490000000000002","0.3600000000000001","0.3720000000000001","0.29900000000000004","0.32799999999999996","0.3350000000000001","0.31800000000000006","0.397","0.48000000000000004","0.3850000000000001","0.36600000000000005","0.3130000000000001","0.36600000000000005","0.3590000000000001","0.322","0.40100000000000013","0.4080000000000001","0.42000000000000004","0.4440000000000001","0.419","0.2960000000000001","0.28400000000000003","0.22500000000000006","0.3790000000000001","0.4300000000000001","0.4070000000000001","0.4060000000000001","0.4090000000000001","0.2720000000000001","0.279"
"3000","0.9709999999999498","0.531","0.3920000000000001","0.33600000000000013","0.40200000000000014","0.4090000000000001","0.44700000000000006","0.3480000000000001","0.35400000000000004","0.3840000000000001","0.3470000000000001","0.35300000000000004","0.3610000000000001","0.37900000000000006","0.4350000000000001","0.33900000000000013","0.32900000000000007","0.3640000000000001","0.3980000000000001","0.36900000000000016","0.3980000000000001","0.39200000000000007","0.385","0.302","0.30100000000000005","0.2890000000000001","0.3780000000000001","0.3770000000000001","0.4010000000000001","0.3990000000000001","0.41600000000000015","0.31300000000000006","0.30400000000000005","0.3","0.39000000000000007","0.319","0.372","0.3720000000000001","0.35900000000000004","0.309","0.29500000000000004","0.25900000000000006","0.38800000000000007","0.31800000000000006","0.3690000000000001","0.402","0.3540000000000001","0.3110000000000001","0.2970000000000001","0.268","0.39200000000000007","0.33000000000000007","0.3930000000000001","0.3870000000000001","0.3750000000000001","0.2700000000000001","0.268","0.24400000000000005","0.392","0.356","0.39300000000000007","0.3880000000000001","0.38800000000000007","0.273","0.27","0.253","0.3630000000000001","0.34000000000000014","0.4000000000000002","0.4140000000000001","0.43800000000000006","0.3450000000000001","0.3520000000000001","0.3540000000000001","0.4150000000000001","0.32000000000000006","0.39800000000000013","0.4000000000000001","0.44000000000000017","0.3500000000000001","0.3550000000000001","0.38600000000000007","0.368","0.3640000000000001","0.387","0.38000000000000006","0.3540000000000001","0.2820000000000001","0.28800000000000003","0.24400000000000005","0.38600000000000007","0.3480000000000001","0.392","0.3730000000000001","0.36600000000000005","0.28800000000000003","0.2820000000000001","0.25799999999999995","0.394","0.34000000000000014","0.38100000000000017","0.39200000000000007","0.3360000000000001","0.2930000000000001","0.3020000000000001","0.22100000000000003","0.398","0.35400000000000004","0.359","0.36800000000000005","0.34900000000000003","0.333","0.2970000000000001","0.251","0.29600000000000004","0.30200000000000005","0.37300000000000005","0.38600000000000007","0.385","0.24300000000000005","0.24400000000000005","0.21400000000000002","0.29300000000000004","0.29100000000000004","0.36200000000000015","0.3860000000000002","0.3820000000000001","0.2290000000000001","0.22900000000000004"
"4000","0.992999999999948","0.6519999999999999","0.4570000000000001","0.3940000000000002","0.42700000000000005","0.43100000000000005","0.4930000000000001","0.4400000000000001","0.4440000000000001","0.36600000000000005","0.44300000000000006","0.3500000000000001","0.4640000000000001","0.48200000000000004","0.5379999999999999","0.47600000000000015","0.4550000000000001","0.43300000000000005","0.505","0.4740000000000001","0.538","0.45400000000000007","0.3610000000000001","0.541","0.4870000000000001","0.33000000000000007","0.5010000000000001","0.4940000000000001","0.5320000000000001","0.4670000000000001","0.36900000000000016","0.49400000000000005","0.47000000000000014","0.33","0.41000000000000014","0.36900000000000005","0.4260000000000001","0.41300000000000014","0.2780000000000001","0.36000000000000004","0.32100000000000006","0.6329999999999999","0.4670000000000002","0.373","0.4670000000000001","0.502","0.3080000000000001","0.4660000000000001","0.4160000000000001","0.5630000000000001","0.5999999999999999","0.48500000000000004","0.46300000000000013","0.4550000000000001","0.3920000000000001","0.633","0.5640000000000001","0.266","0.581","0.47000000000000003","0.46200000000000013","0.45400000000000007","0.39100000000000007","0.597","0.56","0.265","0.522","0.533","0.43600000000000005","0.4130000000000001","0.5210000000000001","0.5150000000000001","0.46300000000000013","0.402","0.48400000000000015","0.4670000000000001","0.393","0.39600000000000013","0.5850000000000001","0.5030000000000001","0.4720000000000001","0.46700000000000014","0.6199999999999999","0.5070000000000001","0.4750000000000001","0.4490000000000001","0.33300000000000013","0.68","0.638","0.22100000000000006","0.562","0.491","0.4760000000000002","0.43000000000000005","0.31500000000000006","0.632","0.536","0.304","0.4490000000000001","0.34600000000000003","0.46700000000000014","0.46199999999999997","0.33800000000000013","0.41700000000000004","0.35700000000000004","0.749","0.5310000000000001","0.373","0.4910000000000001","0.46200000000000013","0.3350000000000001","0.51","0.4060000000000001","0.706","0.723","0.553","0.515","0.45400000000000007","0.3670000000000001","0.7130000000000001","0.645","0.24100000000000005","0.723","0.539","0.536","0.44800000000000006","0.34900000000000003","0.6839999999999999","0.6090000000000001"
"5000","0.9959999999999529","0.4740000000000001","0.433","0.3000000000000001","0.4300000000000001","0.4210000000000001","0.36000000000000004","0.426","0.4160000000000001","0.39600000000000013","0.492","0.4470000000000001","0.40400000000000014","0.40900000000000014","0.41900000000000004","0.43500000000000005","0.41300000000000003","0.5030000000000001","0.335","0.534","0.43500000000000005","0.44900000000000007","0.512","0.3450000000000001","0.3440000000000001","0.32000000000000006","0.331","0.549","0.49300000000000005","0.434","0.49400000000000016","0.32900000000000007","0.335","0.36600000000000005","0.3940000000000001","0.584","0.442","0.474","0.4670000000000001","0.46199999999999997","0.4570000000000001","0.38200000000000006","0.4440000000000002","0.614","0.4570000000000001","0.5299999999999999","0.44100000000000006","0.5130000000000001","0.49999999999999994","0.4080000000000001","0.268","0.5569999999999999","0.3950000000000001","0.577","0.645","0.20900000000000005","0.30800000000000005","0.27","0.29000000000000004","0.577","0.38999999999999996","0.582","0.668","0.23800000000000004","0.31099999999999994","0.2910000000000001","0.48600000000000015","0.46800000000000014","0.4550000000000001","0.401","0.33000000000000007","0.4590000000000001","0.44600000000000006","0.4490000000000001","0.461","0.446","0.4100000000000001","0.38100000000000006","0.30000000000000004","0.4710000000000001","0.458","0.3430000000000001","0.28400000000000003","0.533","0.319","0.504","0.4910000000000001","0.297","0.333","0.21900000000000003","0.339","0.547","0.3300000000000001","0.45500000000000007","0.47500000000000014","0.354","0.34199999999999997","0.278","0.29000000000000004","0.603","0.3200000000000001","0.549","0.538","0.3350000000000001","0.37799999999999995","0.2960000000000001","0.315","0.6000000000000001","0.322","0.4350000000000001","0.49500000000000005","0.36000000000000004","0.41800000000000004","0.29100000000000004","0.24400000000000002","0.49000000000000016","0.373","0.551","0.5179999999999999","0.301","0.263","0.20299999999999996","0.24700000000000003","0.527","0.388","0.5760000000000001","0.5789999999999998","0.2730000000000001","0.281"
"6000","0.9939999999999551","0.543","0.41400000000000015","0.4390000000000001","0.424","0.44400000000000006","0.37500000000000006","0.4280000000000001","0.40300000000000014","0.326","0.4450000000000001","0.485","0.42900000000000005","0.4400000000000001","0.38800000000000007","0.49000000000000005","0.45599999999999996","0.329","0.2890000000000001","0.28900000000000003","0.4020000000000001","0.493","0.49400000000000005","0.258","0.22599999999999998","0.26100000000000007","0.29700000000000004","0.28700000000000003","0.378","0.49600000000000005","0.529","0.281","0.22100000000000003","0.265","0.3420000000000001","0.328","0.4110000000000001","0.3390000000000002","0.4010000000000001","0.31300000000000006","0.327","0.158","0.29000000000000004","0.35500000000000004","0.4","0.38800000000000007","0.39600000000000013","0.34400000000000003","0.43700000000000006","0.22200000000000003","0.28400000000000003","0.3750000000000001","0.437","0.5519999999999999","0.533","0.26800000000000007","0.23899999999999996","0.249","0.29400000000000004","0.3710000000000001","0.4140000000000001","0.54","0.546","0.26100000000000007","0.24200000000000002","0.20700000000000002","0.4460000000000001","0.47700000000000004","0.407","0.41700000000000004","0.3570000000000001","0.4990000000000001","0.4360000000000002","0.38600000000000007","0.5100000000000001","0.453","0.491","0.49100000000000005","0.40900000000000014","0.547","0.46500000000000014","0.35000000000000003","0.254","0.35000000000000003","0.4160000000000001","0.5250000000000001","0.561","0.2390000000000001","0.22000000000000006","0.17600000000000002","0.269","0.37000000000000016","0.4160000000000001","0.502","0.534","0.274","0.215","0.20500000000000002","0.393","0.32600000000000007","0.37000000000000005","0.5439999999999999","0.4050000000000002","0.406","0.2800000000000001","0.269","0.3770000000000001","0.36700000000000005","0.3690000000000001","0.4620000000000002","0.40900000000000014","0.3580000000000001","0.314","0.287","0.21200000000000002","0.3400000000000001","0.36600000000000005","0.545","0.546","0.26699999999999996","0.256","0.13599999999999998","0.235","0.41700000000000015","0.336","0.5560000000000002","0.544","0.266","0.262"
"7000","0.9999999999999499","0.48500000000000015","0.517","0.49700000000000016","0.4690000000000001","0.41500000000000004","0.4280000000000001","0.47600000000000003","0.4360000000000001","0.44600000000000006","0.48100000000000004","0.5270000000000001","0.5110000000000001","0.5159999999999999","0.45200000000000007","0.49100000000000005","0.47200000000000003","0.4050000000000001","0.352","0.4060000000000001","0.378","0.53","0.6070000000000001","0.337","0.36300000000000004","0.5920000000000001","0.34600000000000003","0.395","0.44100000000000006","0.5039999999999999","0.584","0.359","0.36700000000000005","0.565","0.4680000000000001","0.4170000000000001","0.4140000000000001","0.3900000000000001","0.48600000000000015","0.4490000000000001","0.327","0.647","0.4860000000000001","0.4080000000000001","0.398","0.4260000000000001","0.5729999999999998","0.467","0.3360000000000001","0.6839999999999999","0.5119999999999999","0.42400000000000004","0.38300000000000006","0.5379999999999999","0.5870000000000002","0.445","0.36400000000000005","0.547","0.5069999999999999","0.4200000000000001","0.36100000000000004","0.5259999999999999","0.5770000000000001","0.431","0.36800000000000005","0.4640000000000001","0.45000000000000007","0.5640000000000001","0.4550000000000001","0.46900000000000014","0.4280000000000001","0.4490000000000001","0.4360000000000001","0.41100000000000014","0.4970000000000002","0.5510000000000002","0.48300000000000004","0.4680000000000001","0.4340000000000001","0.4650000000000001","0.44000000000000006","0.42000000000000004","0.419","0.4080000000000001","0.3610000000000001","0.484","0.5579999999999999","0.365","0.347","0.331","0.322","0.43100000000000016","0.39300000000000007","0.5199999999999999","0.5539999999999999","0.32900000000000007","0.3050000000000001","0.334","0.38699999999999996","0.4940000000000001","0.4880000000000001","0.5249999999999999","0.586","0.31200000000000006","0.29200000000000004","0.5570000000000002","0.33000000000000007","0.5","0.408","0.5599999999999999","0.6249999999999999","0.3650000000000001","0.2770000000000001","0.48","0.521","0.4240000000000001","0.32","0.515","0.574","0.43399999999999994","0.37499999999999994","0.259","0.552","0.45600000000000007","0.31300000000000006","0.5160000000000001","0.546","0.48100000000000004","0.36100000000000004"
"8000","0.999999999999946","0.6819999999999999","0.6589999999999998","0.5990000000000001","0.6370000000000001","0.613","0.6289999999999998","0.658","0.6989999999999998","0.7010000000000001","0.618","0.5960000000000001","0.6029999999999998","0.592","0.618","0.612","0.612","0.6649999999999999","0.6439999999999999","0.6979999999999998","0.666","0.6349999999999999","0.6340000000000001","0.6629999999999999","0.671","0.657","0.646","0.7049999999999998","0.6809999999999997","0.618","0.622","0.6649999999999999","0.6729999999999999","0.6629999999999999","0.7319999999999999","0.6549999999999999","0.7189999999999998","0.6889999999999998","0.5930000000000001","0.67","0.6669999999999999","0.647","0.706","0.654","0.7419999999999999","0.775","0.63","0.719","0.6890000000000002","0.638","0.672","0.7149999999999999","0.6269999999999998","0.6699999999999999","0.6230000000000001","0.632","0.604","0.6119999999999999","0.682","0.7139999999999997","0.639","0.6759999999999999","0.639","0.6519999999999999","0.614","0.61","0.6130000000000001","0.618","0.647","0.6599999999999999","0.654","0.627","0.635","0.656","0.612","0.6219999999999999","0.6210000000000001","0.6430000000000001","0.654","0.643","0.6500000000000001","0.6200000000000001","0.638","0.698","0.6799999999999998","0.6469999999999999","0.6169999999999999","0.5960000000000001","0.5879999999999999","0.578","0.629","0.7039999999999998","0.6639999999999999","0.6479999999999999","0.639","0.617","0.6090000000000001","0.6309999999999999","0.723","0.6569999999999999","0.718","0.6949999999999997","0.7029999999999998","0.741","0.716","0.5850000000000001","0.7249999999999998","0.6579999999999997","0.7200000000000001","0.6799999999999997","0.7049999999999997","0.658","0.6500000000000001","0.6160000000000001","0.587","0.611","0.6549999999999999","0.6809999999999999","0.659","0.5970000000000001","0.5900000000000001","0.518","0.593","0.612","0.6359999999999997","0.705","0.6420000000000001","0.5940000000000001","0.587"
"9000","0.9999999999999464","0.7190000000000001","0.6210000000000001","0.6270000000000001","0.6239999999999999","0.6669999999999999","0.644","0.5960000000000001","0.577","0.5810000000000001","0.65","0.688","0.7080000000000001","0.7240000000000001","0.687","0.619","0.6429999999999999","0.655","0.5960000000000001","0.6519999999999998","0.6400000000000001","0.6489999999999998","0.5930000000000001","0.576","0.583","0.646","0.586","0.6479999999999999","0.628","0.651","0.603","0.577","0.5830000000000001","0.655","0.633","0.44700000000000006","0.461","0.461","0.4830000000000001","0.5670000000000001","0.4080000000000001","0.38200000000000006","0.42800000000000005","0.42900000000000005","0.3330000000000001","0.6699999999999999","0.44400000000000006","0.3580000000000001","0.32300000000000006","0.387","0.5549999999999999","0.7099999999999999","0.6839999999999998","0.659","0.5960000000000001","0.5579999999999999","0.549","0.467","0.5630000000000001","0.6970000000000002","0.6909999999999998","0.65","0.5950000000000001","0.5589999999999999","0.538","0.482","0.6240000000000001","0.689","0.6360000000000001","0.645","0.627","0.601","0.6159999999999999","0.638","0.6189999999999999","0.6689999999999999","0.636","0.6400000000000001","0.6330000000000001","0.626","0.6240000000000001","0.6339999999999999","0.5660000000000001","0.66","0.6759999999999998","0.65","0.625","0.564","0.564","0.5269999999999999","0.35700000000000004","0.6519999999999999","0.6679999999999999","0.6540000000000001","0.6529999999999997","0.5329999999999999","0.5509999999999999","0.492","0.48500000000000004","0.49300000000000005","0.42800000000000005","0.566","0.5870000000000001","0.3400000000000001","0.336","0.32100000000000006","0.392","0.57","0.6010000000000001","0.6179999999999998","0.6220000000000001","0.41400000000000003","0.49600000000000005","0.3440000000000001","0.31500000000000006","0.599","0.6709999999999999","0.659","0.658","0.5129999999999999","0.499","0.32800000000000007","0.31600000000000006","0.536","0.6020000000000001","0.6739999999999998","0.6569999999999998","0.4420000000000001","0.43500000000000005"
"10000","0.9929999999999469","0.6669999999999998","0.4590000000000002","0.4500000000000002","0.4920000000000002","0.5110000000000001","0.46100000000000013","0.44200000000000006","0.446","0.42800000000000005","0.48300000000000004","0.465","0.4750000000000001","0.49","0.437","0.444","0.49200000000000005","0.47400000000000003","0.3240000000000001","0.406","0.3690000000000001","0.5229999999999999","0.578","0.38","0.37500000000000006","0.31900000000000006","0.3350000000000001","0.407","0.36200000000000004","0.524","0.559","0.3840000000000001","0.38299999999999995","0.333","0.32800000000000007","0.32600000000000007","0.35600000000000004","0.412","0.34500000000000003","0.43100000000000005","0.46699999999999997","0.32100000000000006","0.272","0.369","0.338","0.423","0.37800000000000006","0.3580000000000001","0.40599999999999997","0.267","0.283","0.532","0.37200000000000005","0.535","0.5579999999999999","0.3540000000000001","0.3499999999999999","0.278","0.28600000000000003","0.53","0.38299999999999995","0.5389999999999999","0.553","0.359","0.3509999999999999","0.26","0.35200000000000004","0.391","0.32100000000000006","0.4110000000000001","0.34400000000000014","0.343","0.36200000000000004","0.36200000000000004","0.3410000000000001","0.418","0.319","0.3550000000000001","0.37400000000000005","0.37100000000000005","0.35500000000000004","0.37900000000000006","0.30900000000000005","0.35500000000000004","0.4129999999999999","0.509","0.493","0.366","0.36500000000000005","0.31400000000000006","0.322","0.431","0.37100000000000005","0.5059999999999999","0.49300000000000005","0.305","0.3","0.26100000000000007","0.2710000000000001","0.4350000000000001","0.38100000000000006","0.501","0.4850000000000001","0.32400000000000007","0.35500000000000004","0.25700000000000006","0.2880000000000001","0.46900000000000003","0.3990000000000001","0.48100000000000004","0.4770000000000001","0.3330000000000001","0.34800000000000003","0.2880000000000001","0.297","0.36100000000000004","0.399","0.5320000000000001","0.5290000000000001","0.265","0.25700000000000006","0.24","0.29000000000000004","0.38699999999999996","0.404","0.531","0.54","0.253","0.24900000000000003"
