"points","all_attributes","class","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40","feature41","feature42","feature43","feature44","feature45","feature46","feature47","feature48","feature49","feature50","feature51","feature52","feature53","feature54","feature55","feature56","feature57","feature58","feature59","feature60","feature61","feature62","feature63","feature64","feature65","feature66","feature67","feature68","feature69","feature70","feature71","feature72","feature73","feature74","feature75","feature76","feature77","feature78","feature79","feature80","feature81","feature82","feature83","feature84","feature85","feature86","feature87","feature88","feature89","feature90","feature91","feature92","feature93","feature94","feature95","feature96","feature97","feature98","feature99","feature100","feature101","feature102","feature103","feature104","feature105","feature106","feature107","feature108","feature109","feature110","feature111","feature112","feature113","feature114","feature115","feature116","feature117","feature118","feature119","feature120","feature121","feature122","feature123","feature124","feature125","feature126","feature127"
"500","1.0000000000000022","0.3997531449976843","0.6330742993873237","0.25401344872487597","0.5703353561191","0.5479650382025326","0.5040757647067433","0.631265465480525","0.6018344222743535","0.30149387887888696","0.5430012255153736","0.2656672451110885","0.45756378146354404","0.44843950310483427","0.47325162183087355","0.4780002458412643","0.4652778519923172","0.3510593979678274","0.4732210877028651","0.46450265187675677","0.29823351647751395","0.2555567062006233","0.19528685216661357","0.48965232584274937","0.47687642342530717","0.13379213780325602","0.4112229817981604","0.46705597431621715","0.32823217818964034","0.24238433834240283","0.21493129534076624","0.4476648950910035","0.3797421826964903","0.16969990089464462","0.26540292691121886","0.3145812888731236","0.22881372559731855","0.35144817022346697","0.5859947107229936","0.2666583606694898","0.21829188858619475","0.5478159298025025","0.4246773931338535","0.3138394092874154","0.27181284860393223","0.2315032247174559","0.4397861703965314","0.4213126112447379","0.3538316777948233","0.49252454574565574","0.5218777613885943","0.4651892459675306","0.29396613255306087","0.27767667502754073","0.21143697331410277","0.5444913218230147","0.4930406919904176","0.09413659512729497","0.44490428663750947","0.4706682453362254","0.2622338604071248","0.2530538782000994","0.22550977302443373","0.5389676999061985","0.48395020287751933","0.09739812721023067","0.561512595986373","0.26912018597022647","0.5196563818915856","0.5307923208618522","0.4399314187065003","0.5556330661955942","0.5086211586584268","0.3450808214352848","0.5808325746675534","0.2856224155097743","0.5525703736485252","0.5590879720598042","0.5835087184016388","0.6275699691105119","0.5586327818668295","0.3588548080360164","0.5677901926070192","0.4921514503582203","0.3642468980833742","0.32949412100982495","0.39913927996809695","0.6221410009306321","0.597764077853709","0.1492134769908851","0.4184069303500334","0.516986054970318","0.3033132160455374","0.24877887996448936","0.49557448493069367","0.599568280038594","0.534587974343419","0.3044455406244464","0.35857990303797355","0.2467492184542998","0.20323211693725912","0.20537772979767285","0.6442405614206782","0.36176768766224865","0.26368663955087396","0.6434508861617646","0.41816868422331255","0.3018181300412256","0.3029287209402779","0.2045900924148488","0.5894561107699966","0.4460135687162398","0.3472556191007159","0.6453920207638355","0.5965559545253838","0.5982696893231942","0.3199979960427714","0.2327194660506454","0.29558849450247326","0.6056176625987442","0.5979556900707128","0.05759267142730397","0.6078072941651969","0.6079532609621832","0.32468720220567876","0.20975759887874176","0.3244970270787749","0.606170952134201","0.5740025036661274"
"1000","0.998109677419355","0.6326955261307399","0.2888431160024838","0.41613021997652494","0.23207425158281614","0.17423194044423304","0.1923073017176987","0.2515107622649671","0.1918961484198655","0.2010163574695661","0.24052173784889389","0.3610597135278045","0.1743097365918534","0.13961421175453576","0.11550875174000057","0.15190430204635466","0.1570291673356177","0.18737506837156814","0.18794063183501422","0.17169938112104763","0.20529138734599203","0.1629310549122384","0.2118101694333459","0.127681832850395","0.13120340480433137","0.2539242893345723","0.21063019838062225","0.17914272027638717","0.2310113859614081","0.18965923949251465","0.2281641073009315","0.1458101856135995","0.1135634768964862","0.25299727858983834","0.22079603179343388","0.17165675473703562","0.2825302005902296","0.20068562325818465","0.2521718210525501","0.2523067556596971","0.20443330062503534","0.45562583453737693","0.31124183363316427","0.1386210318065726","0.3148225743746353","0.1921623572124294","0.23470925417163271","0.23429544860665372","0.2078973765700101","0.413272116602581","0.19415834632156748","0.24208889786791377","0.2880435282947815","0.1947349202166049","0.1731166981772893","0.2490794367365195","0.18944499418273425","0.1813827512155009","0.22472367800851634","0.24280826539024386","0.28797254855883414","0.187864068436504","0.18807054605503898","0.24537066430370583","0.20360461041061081","0.15057571035387307","0.32118602262162504","0.4308137423349383","0.30435388348085657","0.2944476270901884","0.19694529791215165","0.2569923478337979","0.239471129744494","0.23492099309732511","0.36005575699819137","0.36247035916128933","0.31578613933608507","0.3296888818583595","0.263236137774067","0.3030588121594673","0.26148870891674486","0.25726522262302903","0.18116554689968617","0.2006730257815465","0.1917207406583124","0.18396766016263158","0.24268480999297193","0.21235409026827062","0.18359080840511777","0.15746864382584114","0.19616617963549746","0.22516173544111778","0.2272655949377008","0.17163776877282289","0.22992684265227298","0.1797478893396","0.0954234351556137","0.24209223385347545","0.2768562379137272","0.19126185216526434","0.2289583339449781","0.2991625657688985","0.3629700450147774","0.27657164437802184","0.25627368971640196","0.43258862192780173","0.34543859671690313","0.2564658680037165","0.26972570493898657","0.21562290770326567","0.32794726417004855","0.2888399212432146","0.2943488310616879","0.47025344971144245","0.306058145975733","0.32010401882836215","0.21395955879696754","0.20772818411736962","0.19313812312223033","0.29007747911281484","0.23491629859322163","0.07736709159584756","0.2563951219467778","0.3024238777089217","0.22494283505493803","0.1985025127988026","0.1872130142127646","0.2749965780583882","0.19176763172830558"
"1500","0.994890322580643","0.24616637859643026","0.2644781853000245","0.3145903251636966","0.2524997639310927","0.3388004622350276","0.38688560131393457","0.24042706585734713","0.2976837840244393","0.356062413730628","0.28518668066007274","0.3193205104209358","0.3623843024381138","0.3410503539528459","0.3734005764048805","0.3157248699363786","0.32731718086440786","0.3977364382316138","0.16761687993182886","0.2142586470257416","0.1494191082659496","0.18133984201428266","0.17880978847794166","0.12844008520105316","0.13870455128858145","0.13080357476154159","0.16694441143734026","0.2071534221515556","0.14989151158876143","0.1759544827018802","0.16844733733570472","0.12687839056196562","0.13572660366024009","0.09771545090574568","0.1840720740349572","0.19075385205532502","0.16767219525475954","0.18651654867259715","0.1490167418968339","0.13340955127481144","0.1532780945573654","0.12366667076860091","0.21326831785997252","0.17697276577190924","0.14394848850476602","0.14652654248367553","0.14054196505783167","0.18272374996095636","0.1219183798778823","0.11994853042466014","0.20200251055172377","0.2212609398313302","0.19118513102030846","0.21411567495198197","0.2088891940349197","0.17612680987064855","0.14746195301695483","0.06923607093874537","0.20465224580254512","0.2261398459163454","0.18512998526154317","0.20312877728564668","0.19410300721605467","0.16992612494353665","0.1541190722005538","0.09987568982038164","0.2976993013750118","0.29211542110969907","0.33792477393427117","0.3495060085663469","0.3620907237248294","0.3088605988181897","0.30861188504646075","0.3683533936396435","0.25300975687881666","0.2660096901401499","0.29346672802152035","0.3432770346344738","0.3542293914460734","0.2834450691205269","0.3306485461432823","0.339602343848921","0.17745939192232837","0.1726104703376636","0.1403955726985194","0.18847521106613857","0.19361148596993172","0.1717968190663159","0.1564491947889129","0.13200764006773377","0.22123154807753703","0.2201620595160578","0.1895375766784819","0.21488298699235736","0.1477587505897084","0.17156061330203873","0.13641357007533547","0.12143233297478373","0.11838327261452845","0.20433345518907903","0.12556612592451835","0.17948464066141673","0.18690033945959433","0.10865454189431459","0.09542511219134135","0.1326084357410958","0.21561391559542764","0.18730656942706228","0.1556513214450539","0.14087254872290145","0.1586802090779459","0.17006380238004745","0.15696055667548442","0.1190389846973435","0.2114756609708082","0.19425819672029543","0.21532059070091433","0.20901630135798402","0.19286577446866743","0.1483139275834059","0.1267281049143562","0.05462083344235682","0.16663208799189771","0.1892291444752676","0.1906815314103927","0.19690578311148627","0.17198072979421195","0.13809783779034607","0.12505889207226126"
"2000","0.9916706730769232","0.474809090463493","0.28538893841326973","0.34946894214421353","0.3491604921611893","0.3610323292658706","0.4201988728852596","0.3247259438604261","0.3712335358140391","0.3802897318961084","0.2493794328054369","0.5413991236784707","0.2579277747401655","0.3017454816458581","0.3345016248490871","0.29619255379315684","0.31691740754434067","0.4916706327183491","0.31458574735547085","0.3379559742032667","0.37749924770361987","0.4102814043159674","0.38439015586640474","0.3191133446201667","0.2743656213720421","0.211114648908407","0.28083574735547084","0.3354063109036034","0.3783327708583348","0.4030207747017827","0.37805255647228","0.31881746031843383","0.2645008065572273","0.23789274531724927","0.23178514839893902","0.4489412089593934","0.28820867486947443","0.3080137475489145","0.30218219588296835","0.15775184313208634","0.11971970046682273","0.18687600986639621","0.2390840652343431","0.4392663914295635","0.26354360470142657","0.33496188846422953","0.2816251956175454","0.1586182669585766","0.0961512201273779","0.22876708192260659","0.3334321099760307","0.38352669522765515","0.2941782249144462","0.36437881255755905","0.41503651299504113","0.25340772475325035","0.21798023283818033","0.18096800656736542","0.3102392859019566","0.3989186372806551","0.3177347371041267","0.4114019493659248","0.43252097450062615","0.25986885743650606","0.23333101856250726","0.17167940944288837","0.2898851256433455","0.3318124683654147","0.3065177140156926","0.3078213282554326","0.43517738081572777","0.354288566053897","0.34983587982549996","0.3769504761132718","0.2883455610891378","0.2994530216493359","0.29600318923228164","0.34077058708679026","0.48699252305391805","0.36629941925880555","0.397885460726213","0.43115693595913607","0.31760599063156275","0.37963854690860827","0.403518072999758","0.3923010842516451","0.4126744684626656","0.29838711172425325","0.3085334486821924","0.190021743520436","0.31263622322389395","0.36418491357509136","0.34388395513194164","0.3996036173155173","0.4172012471470692","0.28803622850376315","0.27717840711246167","0.15050496705206248","0.27658095181365555","0.43086355105128316","0.17706668177903417","0.3186071633783248","0.30073780067234857","0.10882062299869236","0.08596233878225401","0.18757003708316647","0.23893027065527062","0.47609417373246443","0.3238842423916831","0.3056285168553602","0.2682841315732286","0.21194287915182858","0.15439234174659702","0.18802174855593373","0.31456340828214335","0.4170095720914312","0.278785298850986","0.4240702603041983","0.4111676817996721","0.2614605436897783","0.20352003813281236","0.07244516827759669","0.2960970674726514","0.4236372449886903","0.26763924948114076","0.3659893869326007","0.3720866491623642","0.21372518432050802","0.15009604780108685"
"2500","0.9537114898989907","0.647366255840831","0.475809919666613","0.4681806321295546","0.5969082825273051","0.6270078553063316","0.6688423219385403","0.2696749642755623","0.2761958395471699","0.3045977040492519","0.4776643457973338","0.3961537650983479","0.43039175278443725","0.49902917518348755","0.6204983428854808","0.30671800174778485","0.29555398847928527","0.289572984662968","0.3704972773944546","0.2254526804044631","0.3515189597966709","0.33359199822986885","0.3634772756958113","0.2781470153657644","0.2583181554084608","0.18825958848530228","0.3153370491220629","0.24035776247410742","0.3281495629955503","0.33318544875499884","0.35566887038873846","0.28657060850553473","0.23498536009989046","0.18859443957132227","0.4254496546456489","0.2970758545606449","0.3864451376719518","0.3558915207553357","0.3898976713485014","0.3134601966003365","0.2872813419144143","0.15439948469978848","0.4333424491361921","0.2974104254284459","0.39271731531463866","0.3708523329861626","0.3777066146467763","0.295975940523794","0.25004407717042004","0.15095331749449625","0.44566703270840063","0.32128014842542874","0.37320864644302054","0.36722383728583186","0.4069026156035621","0.19413031254409213","0.15613066102088446","0.15575153963424276","0.43037750643434464","0.3270111838505628","0.39456560729508683","0.41412583609741893","0.3790410976418114","0.20003822264737758","0.17250378933195912","0.1887146112012598","0.5121580482241749","0.47659428122625963","0.5971639880032468","0.6068931796338495","0.6822387043412433","0.2619187289414209","0.24457883163887634","0.33479112120837784","0.4901773792384441","0.4835141490530837","0.6159215134964136","0.6484790231655035","0.6996926886204355","0.2933293947693848","0.2934188172767844","0.38768773349201213","0.41624449607320396","0.27534409867442283","0.36454106472467146","0.35904725015351224","0.4180699405911861","0.24255178612869713","0.20747637738312585","0.17252287723573362","0.37654882505793175","0.2797684586606397","0.3611276266241712","0.37022121019176985","0.3780792461013713","0.2445768642113546","0.19847907331817521","0.1486053682621913","0.43378798329283186","0.34666311738546435","0.40934752632571936","0.4237815093110454","0.370120185075586","0.29040958199465366","0.26833917704396376","0.15245032735615005","0.3964725676532642","0.3736449538360479","0.3577509894058022","0.31922642987809335","0.3077731812241621","0.300202054145712","0.26522836504154385","0.15448519906547836","0.46390042304163026","0.3423647697439856","0.37879848353131673","0.4471546401583541","0.4543107438717948","0.15361612472934105","0.1371305253671543","0.044359340317048704","0.4737524767006861","0.3551360817032744","0.3916872273906424","0.45243115107096993","0.44566318891351314","0.16626842862176547","0.12616475835273513"
"3000","0.9999999999999997","0.5834605956268726","0.4059106371443265","0.23107748570865838","0.401041221486413","0.38874989456112485","0.4062153527883427","0.16346684125239697","0.17968783446647793","0.21667744580642145","0.3450905682079187","0.35841233967638586","0.31396777255617414","0.326002035836848","0.4174245147523641","0.17469490338910273","0.21486173941100425","0.24452710930018","0.2980099086275664","0.2142673307932817","0.3189088750618137","0.30303966360340906","0.28139261297385304","0.18724470214724684","0.1839638816271962","0.1123069861825052","0.2842501296146688","0.21750331218423355","0.3116035731822599","0.3337008349914223","0.331253615979289","0.18650057860579872","0.16691635297133764","0.11621249276518464","0.25981896923415626","0.14696427831899883","0.2910622231788791","0.33058647767997806","0.2892974585355188","0.11802275584424805","0.13516580288454424","0.10148083222148747","0.26586758975444974","0.13481266225694508","0.2888085214363062","0.36739665766125257","0.25660445929609693","0.14288362204632268","0.11681805455409812","0.10415653615399478","0.2972373288748771","0.19767633301830348","0.32340436136355954","0.3253468956070316","0.35398537814503056","0.15912523349356567","0.14483814136203146","0.081591713075871","0.2878114823612687","0.1994501919289156","0.33602807184139183","0.33122034455532123","0.3073101189514321","0.1783541068879109","0.14942029139935634","0.050820683739963325","0.37023937856155503","0.2878292881778571","0.4172705212882896","0.4554369840968705","0.4327938403897733","0.19697675334425663","0.2485754212889944","0.27862075854596563","0.45658392582033736","0.2990578947056973","0.42882047191238043","0.41380990414868046","0.44144854995001975","0.2822126382871097","0.2678206121990935","0.305346615008929","0.34157496902770906","0.23322816179587677","0.3042499153571069","0.3163474172431359","0.32582566351241204","0.19436951240767306","0.18794149847416394","0.12890112838619433","0.28661228394887245","0.22301157820445966","0.314810548520914","0.30193431979287355","0.3091738577266527","0.17559013674459656","0.17249955928312405","0.09983465147030655","0.27985071936317873","0.21961393231556137","0.30268236843208934","0.3880157182505161","0.2833081160734453","0.16009117157174357","0.14721853311283625","0.074892645766254","0.2952872835896317","0.23413659292234462","0.2595474269742116","0.28504366437487305","0.2690886228862035","0.17913764561238624","0.16370875327252724","0.15387472930593024","0.3014546371553417","0.1945749373910006","0.32295548499263493","0.38967257154476653","0.42246499349271543","0.17478633351401718","0.1426377356776462","0.04621935028192003","0.2682531706044755","0.16822886826121872","0.3374957212535747","0.3994063235276498","0.4114564951871283","0.15668856538770773","0.17740686451557183"
"3500","1.0000000000000004","0.4479120542154016","0.3651422002584132","0.28492596849694124","0.30108022164879583","0.286971064285913","0.275472658892217","0.1549729342549076","0.12395613560461546","0.15878913345519685","0.28256820947896966","0.3624811455634185","0.26197823210157756","0.2943627454840929","0.35117313981163484","0.1716830506345544","0.16398837981843012","0.21290322352352253","0.19872497056309055","0.20716577087941862","0.22931515120074777","0.27101701823164565","0.29498577043470026","0.09889787849306861","0.08586517893061892","0.06553714784277219","0.17055448262007708","0.20302981343742957","0.2243943137891624","0.2818539358796126","0.3118981569586672","0.09899643203909685","0.08949233089127227","0.09249101724008166","0.22624109376972515","0.19683975432198791","0.2684259013223126","0.3471943456080815","0.33856872004028143","0.08428538650176229","0.10241538924392066","0.10001150590376516","0.2313710604945874","0.16719818882707654","0.27393971762651326","0.35090810385645926","0.29539085675205135","0.11913735889067036","0.10289883033910416","0.082845220228682","0.24286366928582434","0.18487295185661587","0.21489855986179285","0.3026581468988142","0.2985885297832201","0.08361307603756768","0.07645885125120079","0.027782885847326924","0.2557858908745055","0.18723108221352602","0.21753018413607095","0.27058157659649873","0.29191055838115854","0.08384671169309499","0.08706104331095342","0.06716212914214807","0.3703363482091405","0.3085348683046183","0.33834743089868513","0.38671564009443005","0.41489593546364706","0.13403785138201926","0.18808450714114888","0.17220399949200244","0.41346371367339163","0.3690898846601075","0.36127409503245045","0.3796788400465888","0.3935895199423932","0.22005684458268066","0.24017137955685874","0.25150392644534336","0.24241398229281702","0.21108665751638495","0.28647539534409505","0.33137412778490066","0.37451289744183075","0.10704763046405058","0.11248629334525757","0.05663167211540451","0.23925948360094398","0.20991263020427564","0.23650330053714363","0.295108356663338","0.33195502252713743","0.05383234272715924","0.06680875971274039","0.04602296596156717","0.24737654435917722","0.22059634116273974","0.30392049455559883","0.3699336926484833","0.3009096480370434","0.13289776992972688","0.1536806474785674","0.09338631011716567","0.23011011991507743","0.19770966468020112","0.2678463630320749","0.38895639670921967","0.31856110883298705","0.12742514012091805","0.1190078176594391","0.034907561516585854","0.23982343379135387","0.1863282341837042","0.2776996959372074","0.3734802905027575","0.38700494798161383","0.09981001644726338","0.08647813845595427","0.040471494994210024","0.2506913192816315","0.19872539310977824","0.2636716766824874","0.39982540610177997","0.40944071339845894","0.10179714321899747","0.09670245487882835"
"4000","0.9731225296442685","0.8611137397177555","0.3399617084045548","0.20126003941345305","0.3488336793618865","0.3881540145094671","0.3957005415741963","0.44879068582055504","0.42690191736289074","0.39581723421786874","0.32267928807192764","0.2762766696133627","0.36986288910549375","0.43970344159480884","0.5340058909733002","0.39328848502502545","0.47240500864107715","0.47144218975684477","0.503986004583343","0.46227108931074057","0.43018734482494236","0.4800026883209195","0.32977007187510093","0.6315723686373982","0.5569023691226145","0.11045401283330201","0.4507174427484537","0.46946587860778083","0.42176299428095787","0.4712585302448333","0.31061525043601107","0.5691851445259837","0.49443397756719565","0.1616332309774485","0.22516680417588686","0.35733129857891943","0.25234121574030366","0.29369599139030556","0.22047718850935907","0.22992476652112795","0.1400471049609895","0.6221409179060005","0.3106933068513739","0.35355987000749084","0.3352811423891573","0.410063776648214","0.17252587454047721","0.3319013082365694","0.2710109226217982","0.5780947874014338","0.5043681027347722","0.5261599480374001","0.41497484810508545","0.4694728043334185","0.3372750631538285","0.6560587813344163","0.6046305619705887","0.11464770478446479","0.4937897250908169","0.5135025418491183","0.3975568517290927","0.4838535430473454","0.344992499241246","0.6272310177046225","0.5959920054128095","0.12186070147767467","0.4849363269912651","0.3555088985782047","0.41155450029266416","0.3883063703043051","0.47825331493445755","0.5770532468793911","0.5273348892659904","0.40977583204238566","0.41746418795926804","0.3354321764260264","0.32738160483616496","0.3813873199650133","0.585605951623031","0.49283757444851967","0.48022838225890463","0.5379479303522825","0.5705645626342967","0.496380567941462","0.5483293106107637","0.5805513256552202","0.37963795294320396","0.7357933106418997","0.7116993549580392","0.11433610431775988","0.5169194682608337","0.4965693689738035","0.4506696632010558","0.47505600163040806","0.24432650013896096","0.6714634394556701","0.5830176430662716","0.27136781104649843","0.28983680611292617","0.34260784674261424","0.365886765654932","0.32492624037257717","0.33096085475962134","0.2689976057538238","0.19365671345918228","0.7726471493981782","0.3539924794819701","0.3440299496162821","0.4125293203250444","0.38614372241294814","0.27961392058478146","0.315402614936212","0.2551555469771554","0.7390996972464555","0.6379731848809613","0.5928739471293597","0.5676101849902091","0.5796460104327144","0.4319180356102702","0.7298902459934494","0.701458411905622","0.09244680434007961","0.6288241893030945","0.5907956777006989","0.5797997081245572","0.5715461759706179","0.43737935574676173","0.7090713007781053","0.6820344391693001"
"4500","0.999999999999998","0.7021567920643468","0.4953763167337738","0.6698784125225948","0.5303460914051166","0.48409517395818735","0.4273615353124235","0.4565704895082276","0.505873772609176","0.40472531424956487","0.49334839761381244","0.649142506338131","0.42743198567971563","0.43917399098623694","0.40490367580673947","0.4615329822222451","0.40177261981451884","0.3614560587929804","0.3800169954306004","0.7057165644071945","0.535744764826959","0.4199228581748841","0.4976190862432809","0.29959745102492014","0.36390079319863033","0.4396349273794005","0.42825458229072877","0.7522560000790333","0.5483208793766344","0.5198237536964732","0.5203037264998899","0.33516527644740607","0.3582831680721106","0.4794247173953306","0.31057939782432675","0.6886336969200683","0.3012257386660594","0.3597252589290018","0.4219276748275446","0.24055762588443086","0.22544251724580983","0.3601414660391075","0.24275434662522516","0.6705806927613058","0.25467583361514107","0.38056547287985165","0.35327161699563586","0.2591063209962451","0.2441031640085577","0.3500482278223257","0.17980155298133663","0.6749563713444813","0.3827222724324048","0.39757426787350275","0.4986114806831553","0.21358105537597677","0.2752338017109655","0.20340694922077973","0.262843708371571","0.6878449502459634","0.4079273739745192","0.43199915664677174","0.4890387013865761","0.22368025416106263","0.26767929640444404","0.23970901203339137","0.4816848689980956","0.5764450829080454","0.499364692760162","0.450760668280883","0.37794448264577785","0.4833013399657811","0.45806934940439137","0.40021846628953434","0.4603078747180613","0.6184095137149355","0.4571969234470699","0.45641432966029094","0.42689654402681126","0.47666846750116715","0.5006138408679839","0.3967635985622239","0.2577137823545649","0.7046305429018181","0.4106056106756616","0.5702037290563952","0.45394610744843766","0.31400321578810453","0.3283511938461671","0.16066408838747695","0.3671276561712319","0.6806267241689673","0.40842007362568944","0.4589285267170992","0.4547620140332969","0.29664947501732675","0.3480205656412621","0.19598732716875214","0.3149136360558207","0.6440198606989016","0.3702406771147956","0.30702226330926585","0.4000002802028039","0.32856425227427444","0.31812713083349486","0.37739390583864746","0.3689731778183719","0.6159883831308298","0.3794485422422151","0.3439585385425245","0.39205362086501155","0.3495028785465855","0.40507010952121636","0.4083895942432205","0.15296197634468436","0.659290206531929","0.39778243724573287","0.5500743533336523","0.5277623630717663","0.21972888716236555","0.20218202390956966","0.0927691495422254","0.1219881461635158","0.6534370935941309","0.3220633184088437","0.5486375808032952","0.4919659763864999","0.20876856449535813","0.189473921206727"
"5000","0.9924593301435385","0.6744666570257328","0.3229538105442045","0.374772394507222","0.3140871438775379","0.3105385483719199","0.33483436816245804","0.3108371438775379","0.3058302150385866","0.4502101091172205","0.40304770725781963","0.6168920058949375","0.3576933425214324","0.376260009188099","0.48154981188418416","0.3257989893091017","0.4264211142801901","0.6342115210238215","0.36390542289920336","0.5982061124319833","0.6205270146364882","0.6053177452982852","0.6428953279632151","0.38632267712318474","0.3360679874894131","0.3166093957913316","0.34531263715363775","0.639901447525071","0.7180164594733015","0.6104388101982975","0.6250901811896473","0.32690839252439313","0.32563027896749397","0.29141003194946336","0.29601254022260903","0.6866189125584108","0.5004525173436021","0.6079659656893905","0.5533902765302604","0.2723030832937701","0.30730304529346764","0.2976197692414255","0.27021371393152926","0.699470774875766","0.46508983791776476","0.6098511331535053","0.5441020472537434","0.3094134621471265","0.2910498283972547","0.24844828621571843","0.19999374748651533","0.6151015582883317","0.43990165458458996","0.6016849640444514","0.7095809880529041","0.17905085304393342","0.2968388973554773","0.1449095206759523","0.23636386335329207","0.6619334937211534","0.44148067630966426","0.5976367787790126","0.7224618879270769","0.20548110276819725","0.32818775042975656","0.13229259340105137","0.33353773976052814","0.38156406117388864","0.36465024255024253","0.2907854584842795","0.3481456400953878","0.3165355729132909","0.3333731186138845","0.5479483365723864","0.2945871438775379","0.3989676647774923","0.2945871438775379","0.31509276185506596","0.3211834342675298","0.32058714387753795","0.32326110559657006","0.3855661689025056","0.21803272513328004","0.5612407023348702","0.3540916000757586","0.6448115905246409","0.5988209557201885","0.2387475293975977","0.2623151700937972","0.1867293148560856","0.3435315066957109","0.620379229916221","0.4019797472950227","0.6297930966894261","0.5710343347935871","0.29979798632247595","0.3830370314770424","0.22639613864714792","0.30442820076610627","0.5618153809880704","0.39807039304138137","0.6297777256921425","0.6538090329239613","0.3322795128045729","0.4366227454009414","0.3833794179139716","0.2903534789259904","0.5768015738536543","0.41806891163039284","0.5523926407352265","0.6219842886568151","0.3762269429457317","0.44306053631519515","0.3871767100901951","0.12751894337792818","0.48345871241716865","0.38921761540186656","0.5907103625198498","0.586716404034967","0.1851047967870606","0.12043678710117228","0.07255729504988612","0.12062276133029813","0.5272524948153245","0.3792940197253427","0.5863455246884824","0.5767982594256055","0.22940284540721717","0.12726592379108997"
