"points","all_attributes","class","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40","feature41","feature42","feature43","feature44","feature45","feature46","feature47","feature48","feature49","feature50","feature51","feature52","feature53","feature54","feature55","feature56","feature57","feature58","feature59","feature60","feature61","feature62","feature63","feature64","feature65","feature66","feature67","feature68","feature69","feature70","feature71","feature72","feature73","feature74","feature75","feature76","feature77","feature78","feature79","feature80","feature81","feature82","feature83","feature84","feature85","feature86","feature87","feature88","feature89","feature90","feature91","feature92","feature93","feature94","feature95","feature96","feature97","feature98","feature99","feature100","feature101","feature102","feature103","feature104","feature105","feature106","feature107","feature108","feature109","feature110","feature111","feature112","feature113","feature114","feature115","feature116","feature117","feature118","feature119","feature120","feature121","feature122","feature123","feature124","feature125","feature126","feature127"
"500","0.5000000000000003","0.3072124870574119","0.5834106959366266","0.2790837651557036","0.5576875339969256","0.5400453916336527","0.4108908852526716","0.5537466737287045","0.5600478465044041","0.3041829339468735","0.4641689382176416","0.28723482853435894","0.42828818229757326","0.4465333467178228","0.4364030333623111","0.42054090287992013","0.42250319592113456","0.3569660661273076","0.41827120665661327","0.3483564715817361","0.3096465498754224","0.3020570323601714","0.241409618148867","0.47473909762914773","0.478819426079561","0.23414602667513595","0.35356205367987403","0.34723833053904696","0.32733346722785056","0.27457202484106374","0.24171933646193838","0.43336161393406897","0.3953649814331075","0.23453561402092266","0.2614034825843268","0.3044988956740285","0.22242729391017974","0.2259515020551879","0.2899441738009754","0.2745776302866984","0.19772790248256192","0.23594216178670616","0.3631419277356343","0.30556887913464004","0.3129733582632364","0.2013251592881443","0.26683199889846476","0.3587160517678315","0.3120840591471955","0.3294703018771561","0.5100414343696894","0.3939704957649989","0.29535756923145573","0.273405934700493","0.21475998512452857","0.5385780585369764","0.5122167040801411","0.18063534976613072","0.43956408579030376","0.3749945579151778","0.29313794608004623","0.2628520002933361","0.21311960930478774","0.533385928303193","0.4922910835164949","0.19818706525230873","0.44597217416502355","0.3405809983808852","0.485094230915954","0.5002380288277513","0.34122730468758483","0.5130775481105299","0.4694289021571697","0.30246222712173243","0.48286365259619235","0.3365201976019182","0.5061817715242807","0.5331425157758258","0.35680901286846844","0.5843397821185126","0.5208815839543229","0.34319679162438377","0.5422423063168408","0.4002856636340507","0.37453580916891505","0.3688370518948296","0.2948260905311202","0.5883198965936834","0.5814852947945535","0.1584393074733798","0.40607969488002477","0.4002563521623733","0.31827608743118324","0.28621673134623365","0.35569873504534666","0.5665066073821905","0.5126337876944801","0.22109048358410943","0.37534282433855265","0.26562543305803826","0.2773169112940638","0.21534659233656847","0.33357304513311337","0.38046244102231086","0.2736662068584961","0.28859100870584864","0.40322547853471613","0.2871411705179245","0.3309727732833204","0.22540866724719205","0.3036299903776838","0.43987746240693765","0.34076643341205143","0.31982183285593513","0.5621872868683445","0.5261056173292695","0.3416413643953983","0.29052079531817204","0.2314784619023728","0.5816872844542196","0.5752930746408436","0.09633048675972236","0.5586783184395496","0.5394466510911253","0.32804966253165674","0.27526788892976545","0.22981687739931592","0.5822269285243766","0.5674696323376737"
"1000","0.4990000000000004","0.33423138603046854","0.28961941850914336","0.3847816442337195","0.22645406456123995","0.20335185757010554","0.2012617726877749","0.27064660651413724","0.21321937845376038","0.2139348916826307","0.3117832002279265","0.41882172316613586","0.225106957950082","0.1766873495710447","0.14804656765251575","0.2065293067796127","0.17524129537952154","0.22027357075206574","0.2816864199497826","0.26193519836318274","0.2653639193887181","0.21826599365134652","0.17208874241173716","0.17980841474990453","0.17274716920885483","0.22351396819183805","0.29288856565178834","0.26966395547281885","0.2864222430105614","0.20994170452883346","0.17638760118509536","0.20711910550086493","0.1886983096024809","0.2337083706255477","0.2716697030946724","0.23898670638535519","0.29756294253251253","0.21950608797851504","0.2829106985034797","0.2570883397108359","0.21626009265097765","0.3528245713180371","0.34554793368666364","0.23607365583514583","0.304013248733123","0.203942444723108","0.25350180691769325","0.2741182698804188","0.22717366384386323","0.36029739290260193","0.2457465859368525","0.2954291142105574","0.29148454441340993","0.17871943406333848","0.12273904087188275","0.2403066621195562","0.20123555189406808","0.15491102395400355","0.28756206512572174","0.29183595880790053","0.30721227310402294","0.1746992031669945","0.14465386950507572","0.23619146047157324","0.20406076034822196","0.1715446471398303","0.3126941784840295","0.4631975109032971","0.2839614443756675","0.27252475072806903","0.21723887634351835","0.24978157659943326","0.23728797420655096","0.23963763017848538","0.34300072137581195","0.4270352007584825","0.3043780390855295","0.2928934525042322","0.23677734694067426","0.24756853644750831","0.2478925469845184","0.2682657077012569","0.23361735076517684","0.27840565637429937","0.23289849618462877","0.18640696102892546","0.18382510791803086","0.20649497281165224","0.16850976040835167","0.16570247820543765","0.27577617507226276","0.2839355888000018","0.2740160466847117","0.19900180952093632","0.18695900057928744","0.2012174767341588","0.15568758192524468","0.22632175341268587","0.3163501299594305","0.2495032068198214","0.26133630917261397","0.29882874781933055","0.3307821852534181","0.2778852052873099","0.2360695756414632","0.3659537661228688","0.3498027233802995","0.2854285051033953","0.25719012433875016","0.29142009888615283","0.30134918993058707","0.2710450537198035","0.23638058069104262","0.3725241469454642","0.3098215647186912","0.28649471718371344","0.19589108940717465","0.19507937653754304","0.13433398474881408","0.2680846453265875","0.2174603819426188","0.08555119388416632","0.2642590677200081","0.2860489407111264","0.18864596071658116","0.15438309171476988","0.1301959920076286","0.2565508024252901","0.18482032097846238"
"1500","0.4965000000000004","0.09180387715179969","0.22628693501582442","0.32068511432807567","0.19336884314549851","0.22736951106492248","0.34501193546782544","0.1658501456381647","0.22686403203629424","0.33597726929838523","0.26557223583746997","0.3683754585358095","0.3257381903872575","0.314808154701497","0.2921690055313397","0.2741661333117608","0.24621858168141972","0.3211665452906156","0.24235225188542647","0.266816721350735","0.206034290365066","0.228773625713385","0.16955671166399316","0.19024372361928543","0.2084862672767926","0.11649512198115033","0.23726303511579194","0.2683224197004997","0.21465037541054888","0.22058383515807795","0.18216011204241392","0.18598501469296902","0.2068904853337802","0.12748909847637788","0.2409597157621381","0.22007638080383735","0.22645980210076047","0.2497811332059954","0.22644176199408472","0.16144141987261773","0.1764730965228374","0.09652830472857475","0.26460402238382574","0.22351188947173606","0.1861726316768284","0.21359686138412237","0.18362376473737874","0.2231647502219503","0.19662820400347839","0.09699745304924988","0.22190436546993314","0.24915249361926015","0.17864017295775889","0.1766552608185703","0.16082209484709703","0.19113668744534085","0.15316538020212717","0.044722029624359685","0.2244929042894857","0.2454935057199695","0.20208098301567493","0.179266160238772","0.18054659624299865","0.1931013579671167","0.17036984444603281","0.07533232990379796","0.2924655360503021","0.3297421329083258","0.35708516412015257","0.31389546610142943","0.3042889456835425","0.3039522181200821","0.27782568362714044","0.32371833532501726","0.2861386402791621","0.3061451357469429","0.2552665634640324","0.28462954411255337","0.31466806967417343","0.26146653905046024","0.28965103852037094","0.29789081242924664","0.22139287138250405","0.22452785506141026","0.20054966905006505","0.22258215859166022","0.19726628601853102","0.17493919729526836","0.16917394233271368","0.1593868556733936","0.2643082073360708","0.2395566520467836","0.23210354903335106","0.2109586208282969","0.1433739580805917","0.2059469171193088","0.1742560062872246","0.15531393441863675","0.146664870657548","0.24586820791536737","0.16245465965373493","0.18746092226304295","0.17182661993199524","0.09058187150579286","0.10339646131123806","0.1447392801220215","0.23640430610813234","0.22644167568553414","0.19631832480067124","0.18866132834783889","0.17105211073721246","0.20581443602635624","0.15994729858601472","0.1488754853005943","0.22355691810114012","0.23688515812276575","0.21403182536091062","0.1769766041568177","0.15792818031115638","0.1489001163067834","0.10001273902577303","0.08283469640904548","0.17705364605174564","0.22863523552718468","0.17306590988356513","0.13453565146929722","0.13705078065290835","0.13731956657702668","0.06470872235929623"
"2000","0.4850000000000004","0.1336840895341803","0.21428173228579261","0.3531611520639286","0.25459257316479256","0.3111972558827037","0.28812744600136675","0.19497481040913614","0.21437466703868527","0.27495835865386825","0.1606964014269036","0.5076271857982192","0.16868785041032586","0.20181652651855486","0.22468075835854345","0.12511303366963603","0.18526517796735797","0.34584667268732217","0.30525234892822034","0.4372853048693161","0.43406414900803597","0.46907769973854047","0.44172655099663116","0.34606164749476687","0.30197370625133413","0.18719517972339395","0.320626838041978","0.4360761648260654","0.4361159991807235","0.4658212496059607","0.44394032596539823","0.3587819658500561","0.30594873704598113","0.22467822944419166","0.28110203475514517","0.5551151584097329","0.33649693706825257","0.37689893135816094","0.363954164901623","0.2441352997884537","0.18434844972246966","0.09324373784417044","0.31249532948859343","0.5487643947013435","0.2792099785603258","0.3734144443001575","0.3338894772041878","0.19098008055314836","0.11016809124219697","0.10399715317925651","0.2784914523552463","0.5054532899717793","0.33663111411449487","0.4078351116395641","0.4009004389706537","0.23547487198061925","0.1981212144317763","0.11165104601340034","0.27133832109451017","0.5153458726317175","0.3387639982942747","0.39892170400071775","0.3914894141521232","0.23579219534365276","0.2145381080302301","0.13332365676709987","0.20321058429409558","0.3372281664296598","0.26754909853961983","0.2688611681614914","0.3102928470326334","0.23173840973790077","0.23189615780872228","0.2612533006046255","0.22782356618989774","0.34686057003882953","0.2285164982767179","0.2745137190658447","0.3363199482936856","0.24163229140164266","0.2506101530875583","0.29945590672449995","0.25521415642566814","0.4826142651841957","0.42548521248020654","0.44447434612852627","0.45707911897351206","0.2898318451479197","0.2776370527842382","0.19929366480461147","0.2575280682703124","0.47365007192934844","0.3507816100672758","0.4509231312358336","0.4622866703355635","0.275800266143699","0.24575343036630382","0.13913123915301984","0.26587883177274485","0.5555668500797448","0.21019836670772374","0.376422750918885","0.34487494636245636","0.08971417128168559","0.06154267099235103","0.1492324422083021","0.23185654970380426","0.6061643713632735","0.2958801466917804","0.34789406387713884","0.3431457310491031","0.21037349095704888","0.1213791464550699","0.1326019258816366","0.2574517859693016","0.5081386680923133","0.31696335602372927","0.40069674218527784","0.40400178244339857","0.2188675777121979","0.18235668195467708","0.08338534768769236","0.23987073824164282","0.5193981198075727","0.2985506550629523","0.36997722691665036","0.372340337380765","0.15503471201127467","0.11474366676538508"
"2500","0.46900000000000036","0.4789308533137425","0.47305661622259415","0.5675649035567535","0.5236242962980671","0.542318627813364","0.6056350808513562","0.17676902466395192","0.1869301752647089","0.22068406974286853","0.49947894227185674","0.5260962143835209","0.47143078890641715","0.45491347134126214","0.5337356927330881","0.22283753659130145","0.14833378011432477","0.16550753584900857","0.41552016150590004","0.3676023287404187","0.4147781273593967","0.35861349343067905","0.3927084806306267","0.3696732254579217","0.3502091270477883","0.26889682460648767","0.41071828623760726","0.3743255903114877","0.4052785371368234","0.3813884307492091","0.37372053830137064","0.3672196676450735","0.3356005546588248","0.2788284077896681","0.4922130934360711","0.4722376685182893","0.48112454770961954","0.4159600695230368","0.4328121129722735","0.3705287817539823","0.3411264585289235","0.254197764183185","0.501294370462891","0.47725678072946487","0.45867184802710526","0.40658975685111476","0.4032839136248244","0.4028812638399263","0.35045146740723254","0.27181054551232886","0.4620800595944813","0.41801740193976183","0.4014517966609863","0.42010968439317947","0.4362250708889661","0.2681959550576887","0.21718936677101228","0.2286323941461612","0.4643779434680807","0.42400635567387746","0.413222659170969","0.4218488803300162","0.38372349182311516","0.2746875302865271","0.24571366867968578","0.25066008134298284","0.4891701563434527","0.5438499784533487","0.5358784362319852","0.5487659378051359","0.5446957426022188","0.15648268013134958","0.17098137377558753","0.24062658385335695","0.49907685176048966","0.558794861095185","0.558455648506673","0.5882489281321657","0.5546581099649216","0.18935535996641212","0.22558613594757315","0.29959654303141414","0.4304890181171057","0.37753848203562773","0.4143587868749522","0.39656760728539164","0.41073770841641594","0.29713585982625845","0.2929462879314877","0.18638740754284955","0.4363323066110053","0.3618302600588908","0.3942172663028901","0.4158998744289377","0.3983152041330323","0.33692916235477866","0.2976754730888036","0.1760966874895315","0.4893898349728538","0.49298957231126955","0.4378007872000601","0.43472848953954346","0.36444819746549323","0.34604555733591125","0.3447883396191722","0.21745425541207253","0.47891235835529794","0.4949899455908211","0.45219915510237896","0.3803823195015209","0.3544688243844118","0.3745216060356258","0.31894381419465284","0.2282619315569298","0.4908590477676426","0.39035058297435876","0.39345840467021936","0.48546841753986864","0.47329732470183483","0.17095383267913775","0.11755822038071","0.08051823144073077","0.5157003377041834","0.40679380279582145","0.420352001124459","0.49371342546120334","0.46785783467181247","0.14370373235390022","0.11227308071376699"
"3000","0.5000000000000003","0.3509326591283113","0.3225940612952844","0.2268426007311564","0.31169560500270704","0.297338253612726","0.27434337066226305","0.1626695498479502","0.17959725792938538","0.20607631066006238","0.25601806889204043","0.2699384185349785","0.25777688721741954","0.25626114280955187","0.36252416435938045","0.16187206010957278","0.1844090371385156","0.2286082801524397","0.3118858567994117","0.2400864719484147","0.32783356965327265","0.3178755192068444","0.2915808165124718","0.12476425486049394","0.12365266738098316","0.11443971309683565","0.2922729689121075","0.24181800653787094","0.31757941350373614","0.35634580996106774","0.3301258944531082","0.14708735469367493","0.13506994972023678","0.14917255455873987","0.2697622505311259","0.16968532815268506","0.28381922569832607","0.31041177297727907","0.2631740589734761","0.14443018860384624","0.13836388818904802","0.13281952513670076","0.2700231719401009","0.18066849718280997","0.27544982713971883","0.3683386506069115","0.21861099768191877","0.1220913179114443","0.11331335075318177","0.12931332541512527","0.24902905553569066","0.21855597226683787","0.3038298258945129","0.3242632674989553","0.32943233973214836","0.10393975862089853","0.08285056102442717","0.06564507692801884","0.25695659536771254","0.2133788859494707","0.3240931299422438","0.3316671141699133","0.3082662748097856","0.11003012757337817","0.08705852110852111","0.06041144382808483","0.30148387382685116","0.30178888907681023","0.34116380658950823","0.3909995906331013","0.27014485124605603","0.17361352242333453","0.21490975025210854","0.22543918902583873","0.39840653152593025","0.3078511368210927","0.35936662498148736","0.33186742271855535","0.25097974351282737","0.2441521161601205","0.22048347737971027","0.25168130204115563","0.337243460435725","0.25175976242489523","0.2967380465782868","0.3212700724830468","0.3188369131262728","0.07665931940253279","0.07109404664482873","0.1130534005581868","0.2583386773330527","0.22523938561510312","0.31982721517806817","0.3211171773126622","0.30929010414864094","0.1260666972835952","0.125648882231018","0.12508473041034274","0.2692475734718113","0.22728357105863317","0.28850939676252585","0.3630613290330029","0.2403286414638334","0.15154466509914552","0.15400504458689435","0.12030623299283702","0.29181603186923105","0.2386038967052444","0.24079335084043363","0.2857768570398773","0.2693105471429501","0.18457289573540112","0.1656334478847159","0.1435260678597493","0.2569142456696744","0.22087548602932944","0.29271525924586567","0.40079166387009274","0.4126831071488142","0.09619937728115281","0.06709279220014888","0.05153279986223751","0.23550427226384","0.20781673857122374","0.29046688040888174","0.4153982881192915","0.4104392051074752","0.08508390457490245","0.10094776659151657"
"3500","0.5000000000000003","0.24476445008241926","0.24648405778264493","0.27479268621030434","0.24230008060121602","0.24578358612908952","0.23038877880393838","0.13780212739305137","0.11310846131303928","0.15210390919018166","0.1784688274077033","0.29047816514026337","0.2022657597186164","0.2188409773205326","0.3113899545070364","0.10376221190471897","0.10522351821649115","0.18976312480102775","0.2063814544437766","0.21558220852132742","0.22503481487441152","0.236936453552088","0.22879489899736094","0.10070237092172044","0.08745213475179939","0.07736139168829528","0.20136144092556912","0.20620639215904174","0.22410326385878598","0.24985630460577546","0.23663025810891725","0.1052769832299445","0.08845679793088147","0.09396288071739126","0.2563278184077658","0.15443109409821343","0.26416994821363804","0.34214042967115843","0.31523707473853085","0.08346520129034428","0.116282559683211","0.10724433243763809","0.24642616404092677","0.1480543419181849","0.26577405692345724","0.3468937841651879","0.265066346387112","0.0945125073331029","0.08316119594706722","0.09470994058167423","0.17940425647466351","0.20868383044312566","0.21846107556897176","0.24635131432192148","0.24930514935782547","0.06822558445393181","0.06434609177427977","0.06223054069512153","0.2188570146411698","0.21670887275782305","0.22539646579575986","0.22514359208663376","0.2302800087923581","0.05213162853299386","0.06887042960708184","0.06825500371763331","0.2674778073279127","0.29560919086371573","0.26919491953268176","0.26798281647813726","0.23882559493122973","0.12445227623337632","0.17773558285884408","0.18537979977285793","0.2929644622121105","0.3246287082222705","0.28600667281737036","0.3015351952636692","0.24766732782766854","0.20338431297044976","0.2193413908538574","0.20964378656079835","0.2211141373906677","0.20177523313459356","0.23097841114050666","0.24906143825751365","0.3028879412969687","0.08529655535020156","0.09907580311225919","0.06604492783207871","0.21009016391154373","0.216842357432445","0.22130295844982098","0.24456448303033726","0.2810078452991229","0.044111059076888275","0.05294209156585255","0.06055856946978162","0.257558830724745","0.19429333492377415","0.28327567846950263","0.3168877386727112","0.279275790757102","0.12020130519316251","0.12735475639108498","0.1128144208102701","0.23840145421907502","0.20320113788578936","0.25665910539178166","0.32107978900191014","0.2984805016581885","0.11579386059263129","0.11054140285539867","0.07411302030415377","0.19161792839070246","0.16369026592742486","0.2197005260706097","0.27710911331212834","0.30574579001225577","0.05601257765392554","0.06485203653422494","0.04098536257679115","0.18975555349513684","0.1901287004842877","0.22488074167308555","0.3107010257654968","0.33443259774517703","0.07824301807680795","0.06046861208048709"
"4000","0.4835000000000004","0.39353791516209674","0.42590227959857496","0.3413912976836596","0.40624676072636334","0.45621640543364683","0.36117027232571347","0.48929731203160276","0.47643680390624066","0.39470878180929553","0.3078769288458921","0.3591271148925964","0.4056397098898773","0.4058913029422172","0.41465561068942763","0.45200734720461616","0.49408054259651185","0.3532455677444895","0.44909475894979384","0.4008625130647826","0.38673838777770564","0.39556125867679354","0.35971348372626216","0.5877072783260531","0.5304405324594305","0.16568053549577444","0.4048889338808369","0.3777451833435238","0.37967846132566707","0.3963055620745381","0.34744032699892824","0.5236781180759277","0.4860687448180274","0.25402051889766575","0.26003383505874733","0.32767005099622926","0.29247364239391116","0.32089953970538654","0.2605524219962939","0.26348611595276017","0.2072262504002268","0.516361849410862","0.3227130429981344","0.32324478165676795","0.33843474650564165","0.3950485338764869","0.2424720668831892","0.3661869017258716","0.31530133047204767","0.5104065560447919","0.4952230852354898","0.4014611513545454","0.4057371368747547","0.39457522975804593","0.3475470683470001","0.6253368431793556","0.5904676314388024","0.17553687133878362","0.496251569613678","0.4081439085402305","0.38154967963189823","0.39060737710653576","0.3542123810372424","0.5955740584470303","0.5809358242214164","0.1705133538021444","0.4931775258271692","0.3936557021282267","0.42636313310738816","0.42023456196950465","0.25000307700439584","0.5859825811191977","0.5574971552638246","0.24039246771441977","0.44348807229305587","0.38183588539977903","0.3658145568862382","0.38651265289703685","0.3951323281424222","0.5592482609303573","0.5588906364935924","0.39577462687878345","0.5246750640102013","0.4246573569985611","0.4639101525024837","0.46438751587538535","0.38363977865014837","0.685595619158605","0.671350415067296","0.17452865819864222","0.48775573980303344","0.41232527259786966","0.3776803345052859","0.3863743609176683","0.2836506153886311","0.6314895055608712","0.5622984239354647","0.25204795035347954","0.3048578143591711","0.32787264773708685","0.32264130746355757","0.3578939744265577","0.31929058283272677","0.3490353668502844","0.2813763610082536","0.5957063336667545","0.3495236240398285","0.3491149467995798","0.3505565836201527","0.3537207319418625","0.2685905223912709","0.3924969066628218","0.34737276333575984","0.5816372314918489","0.6031581273870703","0.4637285719311648","0.5160253126658686","0.4915639680991035","0.428431734820543","0.6838968501216582","0.6672852836261636","0.07573295846192071","0.6019881252071796","0.45880425935588864","0.5368044659823958","0.499454660589733","0.4465708467203421","0.6688548017178602","0.6557375518024068"
"4500","0.5000000000000003","0.3746665033894177","0.5071057745956701","0.532704086337639","0.5146904232824486","0.45709749880566725","0.4468287674942035","0.43137360449386214","0.4934232116005152","0.4026817673325992","0.4949860271294285","0.5071601046525156","0.3981542002527557","0.3974543539742044","0.4167814877308983","0.47203784028204343","0.43218579126934115","0.31314781554083715","0.4505162194696357","0.4944880999412089","0.4371921008392744","0.4445557675095625","0.510422111827126","0.46353015311850765","0.4360461687104928","0.37901464489712405","0.4513183552921023","0.5083617544432615","0.4685777243826934","0.4769242383342824","0.5455143599247713","0.44646012285987496","0.44535532910477826","0.45588142295019757","0.38493596168977495","0.4896618550648979","0.4176050072043126","0.396600344317072","0.44224053628217413","0.3760530813700497","0.4015103645211863","0.35226200784424505","0.37213874510025297","0.5116471666759476","0.44811351690754153","0.4428712056490864","0.4104158931081213","0.44972002622679547","0.4221986884365436","0.42665222019750326","0.29107403940748977","0.4545863797290771","0.42376358541021997","0.45083123264320646","0.4826283562112344","0.3902031882453249","0.4228342291651195","0.22309495982103766","0.3808831511597173","0.45854842767124354","0.43205638629105747","0.46658213444320384","0.4592379079445748","0.403242297973568","0.41033641353428674","0.24697819472757765","0.5661067173418285","0.5549470553112742","0.5641892774894187","0.5097408881496068","0.4766228789772257","0.5603075321370719","0.5527350937494125","0.33569475824778616","0.5236675486431502","0.5812984882584912","0.5003094547871646","0.48807566762923305","0.45395886041867145","0.5235978263337765","0.575217875794686","0.46417551448317057","0.4283765953958868","0.49066432820530387","0.4637503936347373","0.479257063365887","0.45100502468802584","0.48574817496175104","0.48710198875157656","0.22652268626040853","0.4527901752123149","0.46090920930109525","0.42715762154727477","0.4621335076916705","0.5454519919282287","0.44032231242375747","0.45758823327633075","0.25389416031380646","0.45046969598349623","0.5336595889785947","0.4186088509599027","0.39153672278944185","0.47570408193560143","0.42227634207353393","0.43102869414122336","0.34010681412654836","0.43497688961028513","0.5790647620161826","0.423491509764546","0.42391728349541025","0.47850151505814464","0.485887364191567","0.4997095215556936","0.3265153171515814","0.33148960365581226","0.45380397504268594","0.49784777022943194","0.4986692706614144","0.5676523908869726","0.41252265107908787","0.4389653958418447","0.079028852518022","0.29484256903324496","0.45219644716589447","0.45692696458753757","0.5018071780954698","0.5605479698450535","0.40778263463300396","0.423507621931967"
"5000","0.4955000000000004","0.45399792512538806","0.2889832173713587","0.2662626621745473","0.2675548851286232","0.27079842436974794","0.3141256540423116","0.26627784358763223","0.2698425924599907","0.3898870003983209","0.33363513589398025","0.46497942889968","0.3096546669927448","0.32810958889924413","0.4314178882554269","0.30902142919068887","0.3862123391029889","0.5965047296530552","0.34383998746497824","0.5450807714361418","0.49064333825310513","0.550475855970109","0.5150135197256311","0.35473778403770667","0.347401567714012","0.33420521141304477","0.34604520615132134","0.5987497670764083","0.6579269520996662","0.5162885450485717","0.5125599635824651","0.3288166229613365","0.3406165390188576","0.3021744450215531","0.25183493471298346","0.614110030805932","0.4113762531775166","0.49050908502672835","0.41586105815792535","0.29811337476909466","0.3428187856945921","0.257501707541309","0.21271883878487652","0.6115016605613306","0.39977240259740265","0.4866740244762787","0.43112564445313545","0.3392827654610907","0.3169475086851238","0.236288510066835","0.17178913882548555","0.5686226542531488","0.3515812855603184","0.598393446258886","0.506478383621367","0.17102010513924842","0.27188125003590935","0.17663612398656392","0.22028532402556794","0.6196418626964482","0.31461692051793116","0.5513372502720371","0.5198349075385533","0.18661587945259633","0.3036258075565127","0.152264577319526","0.29735774456494013","0.27585393247071377","0.33499483459679047","0.2316608244160305","0.270925414237614","0.29477563025210085","0.30406284597850863","0.5059965991097738","0.2883062948391576","0.27788432063547264","0.2699048149370291","0.3051464567564396","0.29950398815190943","0.30003281435390233","0.2945569454098721","0.3418885208026149","0.1837577831120185","0.5077151542059921","0.3391939541890757","0.5943854942572067","0.6144411930508842","0.2320034073587888","0.263969493882629","0.1414916488635057","0.3110317453610648","0.5768202184643313","0.297496616263372","0.593904091484962","0.5747178254275664","0.30747306021466336","0.36354517536217557","0.23216317323148905","0.3394031611180174","0.5585251303296379","0.37030940154216563","0.5049764858531185","0.43714193883810337","0.3477350426426606","0.3794317022714898","0.324723216930493","0.3230127836974548","0.5862397891659109","0.3871838058002904","0.4830961563037621","0.4140155210275902","0.29856443866215127","0.4161950975471985","0.38216650961777676","0.11864220033311147","0.3997524897312366","0.3941505475611523","0.5549040272951442","0.5973838921091811","0.15179912252231728","0.10162692610505891","0.0851154434279193","0.11658632473993873","0.49584528985555165","0.41393673577042783","0.5035032990645166","0.5622296372797553","0.1672446530119501","0.08428369577520883"
