"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"1.2048331883350058E-5","3.0120829708375144E-7","6.100910002978947E-7","0.0","_band7=*_id_class=*","1.5060414854187573E-6","_band7=*_id_class=*","_band7"
"1.2048331883350058E-5","3.0120829708375144E-7","6.100910002978947E-7","0.0","_band5=*_id_class=*","1.5060414854187573E-6","_band5=*_id_class=*","_band5"
"1.2048331883350058E-5","1.5060414854187573E-6","0.0","1.5060414854187573E-6","_band2='All'_id_class=*","1.5060414854187573E-6","_band2='All'_id_class=*","_band2"
"1.2048331883350058E-5","3.0120829708375144E-7","6.100910002978947E-7","0.0","_band6=*_id_class=*","1.5060414854187573E-6","_band6=*_id_class=*","_band6"
"1.2048331883350058E-5","3.0120829708375144E-7","6.100910002978947E-7","0.0","_NDWI=*_id_class=*","1.5060414854187573E-6","_NDWI=*_id_class=*","_NDWI"
"2.2088608452808444E-5","5.522152113202111E-7","6.896397472925499E-7","0.0","_brightness=*_id_class=*","1.5060414854187573E-6","_brightness=*_id_class=*","_brightness"
"2.4096663766700117E-5","6.024165941675029E-7","7.472058236970112E-7","0.0","_NDVI=*_id_class=*","1.5060414854187573E-6","_NDVI=*_id_class=*","_NDVI"
"3.212888502226683E-5","8.032221255566708E-7","1.0091633817931935E-6","0.0","_band1=*_id_class=*","2.259062228128136E-6","_band1=*_id_class=*","_band1"
"7.630610192788373E-5","1.9076525481970933E-6","1.1208087355455167E-6","7.530207427093787E-7","_id_polygon='(120426.5-152159]'_id_class=*","3.765103713546893E-6","_id_polygon='(152159-359191.5]'_id_class=*","_id_polygon"
"1.42571927286309E-4","3.5642981821577246E-6","5.323507692600958E-6","5.020138284729191E-7","_band3='(46.999871-inf)'_id_class=*","1.4056387197241735E-5","_band3='(-255.000007--140.999939]'_id_class=*","_band3"
"0.0679365273795832","0.0016984131844895798","0.0033215053348285405","2.1084580795862603E-5","_band4='(-inf-279.999985]'_id_class=*","0.008257123450722574","_band4='(518.000214-653.414307]'_id_class=*","_band4"
