"Distance","mean","sd","max_val","max_att","min_val","min_att","attributes"
"0.0","0.0","0.0","0.0","_AirportFrom=*_AirportTo=*_Delay=1","0.0","_AirportFrom=*_AirportTo=*_Delay=1","_AirportFrom_AirportTo"
"0.0","0.0","0.0","0.0","_AirportTo=*_Length=*_Delay=1","0.0","_AirportTo=*_Length=*_Delay=1","_AirportTo_Length"
"0.0","0.0","0.0","0.0","_AirportFrom=*_Time=*_Delay=1","0.0","_AirportFrom=*_Time=*_Delay=1","_AirportFrom_Time"
"0.0","0.0","0.0","0.0","_Flight=*_AirportFrom=SFO_Delay=1","0.0","_Flight=*_AirportFrom=SFO_Delay=1","_Flight_AirportFrom"
"0.0","0.0","0.0","0.0","_Airline=CO_AirportTo=*_Delay=1","0.0","_Airline=CO_AirportTo=*_Delay=1","_Airline_AirportTo"
"0.0","0.0","0.0","0.0","_AirportTo=*_DayOfWeek=*_Delay=1","0.0","_AirportTo=*_DayOfWeek=*_Delay=1","_AirportTo_DayOfWeek"
"0.0","0.0","0.0","0.0","_Flight=*_Time='(-inf-519.5]'_Delay=1","0.0","_Flight=*_Time='(-inf-519.5]'_Delay=1","_Flight_Time"
"0.0","0.0","0.0","0.0","_Flight=*_Length='(174.5-inf)'_Delay=1","0.0","_Flight=*_Length='(174.5-inf)'_Delay=1","_Flight_Length"
"0.0","0.0","0.0","0.0","_AirportFrom=*_DayOfWeek=*_Delay=1","0.0","_AirportFrom=*_DayOfWeek=*_Delay=1","_AirportFrom_DayOfWeek"
"0.0","0.0","0.0","0.0","_DayOfWeek=*_Length=*_Delay=1","0.0","_DayOfWeek=*_Length=*_Delay=1","_DayOfWeek_Length"
"0.0","0.0","0.0","0.0","_Airline=CO_Time=*_Delay=1","0.0","_Airline=CO_Time=*_Delay=1","_Airline_Time"
"0.0","0.0","0.0","0.0","_DayOfWeek=*_Time=*_Delay=1","0.0","_DayOfWeek=*_Time=*_Delay=1","_DayOfWeek_Time"
"0.0","0.0","0.0","0.0","_Airline=CO_DayOfWeek=*_Delay=1","0.0","_Airline=CO_DayOfWeek=*_Delay=1","_Airline_DayOfWeek"
"0.0","0.0","0.0","0.0","_Flight=*_AirportTo=IAH_Delay=1","0.0","_Flight=*_AirportTo=IAH_Delay=1","_Flight_AirportTo"
"0.0","0.0","0.0","0.0","_AirportFrom=SFO_Length='(174.5-inf)'_Delay=1","0.0","_AirportFrom=SFO_Length='(174.5-inf)'_Delay=1","_AirportFrom_Length"
"0.0","0.0","0.0","0.0","_AirportTo=*_Time=*_Delay=1","0.0","_AirportTo=*_Time=*_Delay=1","_AirportTo_Time"
"0.0","0.0","0.0","0.0","_Time=*_Length=*_Delay=1","0.0","_Time=*_Length=*_Delay=1","_Time_Length"
"0.0","0.0","0.0","0.0","_Airline=CO_Length=*_Delay=1","0.0","_Airline=CO_Length=*_Delay=1","_Airline_Length"
"0.0","0.0","0.0","0.0","_Airline=CO_AirportFrom=*_Delay=1","0.0","_Airline=CO_AirportFrom=*_Delay=1","_Airline_AirportFrom"
"0.0","0.0","0.0","0.0","_Flight=*_DayOfWeek=3_Delay=1","0.0","_Flight=*_DayOfWeek=3_Delay=1","_Flight_DayOfWeek"
"0.0","0.0","0.0","0.0","_Airline=CO_Flight='(-inf-566.5]'_Delay=1","0.0","_Airline=CO_Flight='(-inf-566.5]'_Delay=1","_Airline_Flight"
