"Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class"
"0.0","0.0","0.0","0.0","_Airline=AS_Flight='(-inf-566.5]'_DayOfWeek=*_Time=*_Delay=0","0.0","_Airline=AS_Flight='(-inf-566.5]'_DayOfWeek=*_Time=*_Delay=0","_Airline_Flight_DayOfWeek_Time","0"
"2.1151348323979077E-4","1.4369122502703177E-7","1.5172724098493812E-6","0.0","_Airline=US_Flight='(1306.5-2431.5]'_DayOfWeek=*_Length=*_Delay=0","2.383250515377924E-5","_Airline=AS_Flight='(-inf-566.5]'_DayOfWeek=*_Length=*_Delay=0","_Airline_Flight_DayOfWeek_Length","0"
"2.765986675110615E-4","3.372743171699323E-8","6.624648433049427E-7","0.0","_Airline=DL_Flight='(1306.5-2431.5]'_AirportFrom=ATL_Time=*_Delay=0","3.2769694586446455E-5","_Airline=AS_Flight='(-inf-566.5]'_AirportFrom=ANC_Time=*_Delay=0","_Airline_Flight_AirportFrom_Time","0"
"3.219264831719637E-4","3.1623426637717454E-7","4.695279038962742E-6","0.0","_Airline=US_Flight='(-inf-566.5]'_Time=*_Length=*_Delay=0","1.1022533633622898E-4","_Airline=AS_Flight='(-inf-566.5]'_Time=*_Length=*_Delay=0","_Airline_Flight_Time_Length","0"
"4.5564525943215395E-4","1.3626977881752369E-8","5.313810003535982E-7","0.0","_Airline=FL_AirportFrom=*_DayOfWeek=3_Time=*_Delay=0","4.4685947163336074E-5","_Airline=AS_AirportFrom=*_DayOfWeek=3_Time=*_Delay=0","_Airline_AirportFrom_DayOfWeek_Time","0"
"5.187323142865861E-4","2.5416841309549025E-8","5.372358874862292E-7","0.0","_Airline=US_AirportFrom=*_DayOfWeek=3_Length=*_Delay=0","2.383250515377924E-5","_Airline=AS_AirportFrom=*_DayOfWeek=3_Length=*_Delay=0","_Airline_AirportFrom_DayOfWeek_Length","0"
"5.930937532203419E-4","3.576732319505138E-8","5.462010495595342E-7","0.0","_Airline=WN_Flight='(566.5-1306.5]'_AirportTo=*_DayOfWeek=1_Delay=0","2.0853442009556833E-5","_Airline=AS_Flight='(-inf-566.5]'_AirportTo=*_DayOfWeek=3_Delay=0","_Airline_Flight_AirportTo_DayOfWeek","0"
"5.958126288444811E-4","2.0034049389525254E-7","3.980798676257255E-6","0.0","_Airline=US_DayOfWeek=*_Time=*_Length=*_Delay=0","1.0426721004778418E-4","_Airline=AS_DayOfWeek=*_Time=*_Length=*_Delay=0","_Airline_DayOfWeek_Time_Length","0"
"6.438529663439266E-4","3.775378013040499E-8","5.604353485231994E-7","0.0","_Airline=DL_Flight='(566.5-1306.5]'_AirportFrom=ATL_DayOfWeek=*_Delay=0","1.787437886533443E-5","_Airline=AS_Flight='(-inf-566.5]'_AirportFrom=ANC_DayOfWeek=*_Delay=0","_Airline_Flight_AirportFrom_DayOfWeek","0"
"6.547882851934327E-4","8.065881808246276E-8","9.81068876076607E-7","0.0","_Airline=WN_Flight='(566.5-1306.5]'_AirportTo=*_Time='(-inf-519.5]'_Delay=0","2.6811568298001646E-5","_Airline=AS_Flight='(-inf-566.5]'_AirportTo=*_Time='(-inf-519.5]'_Delay=0","_Airline_Flight_AirportTo_Time","0"
