"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_1.742488=*_class=*","0.0","_1.742488=*_class=*","_1.742488"
"0.0","0.0","0.0","0.0","_-2.344130=*_class=*","0.0","_-2.344130=*_class=*","_-2.344130"
"0.0","0.0","0.0","0.0","_0.152483=*_class=*","0.0","_0.152483=*_class=*","_0.152483"
"0.0","0.0","0.0","0.0","_0.649457=*_class=*","0.0","_0.649457=*_class=*","_0.649457"
"0.0","0.0","0.0","0.0","_6.261430=*_class=*","0.0","_6.261430=*_class=*","_6.261430"
"0.0","0.0","0.0","0.0","_-0.584313=*_class=*","0.0","_-0.584313=*_class=*","_-0.584313"
"0.0","0.0","0.0","0.0","_-8.129869=*_class=*","0.0","_-8.129869=*_class=*","_-8.129869"
"0.0","0.0","0.0","0.0","_1.682904=*_class=*","0.0","_1.682904=*_class=*","_1.682904"
"0.0","0.0","0.0","0.0","_2.713374=*_class=*","0.0","_2.713374=*_class=*","_2.713374"
"0.0","0.0","0.0","0.0","_-0.467900=*_class=*","0.0","_-0.467900=*_class=*","_-0.467900"
"0.0","0.0","0.0","0.0","_0.430440=*_class=*","0.0","_0.430440=*_class=*","_0.430440"
"0.0","0.0","0.0","0.0","_1.445783=*_class=*","0.0","_1.445783=*_class=*","_1.445783"
"0.0","0.0","0.0","0.0","_0.584691=*_class=*","0.0","_0.584691=*_class=*","_0.584691"
"0.0","0.0","0.0","0.0","_0.474520=*_class=*","0.0","_0.474520=*_class=*","_0.474520"
"0.0","0.0","0.0","0.0","_0.535883=*_class=*","0.0","_0.535883=*_class=*","_0.535883"
"0.0","0.0","0.0","0.0","_-1.058061=*_class=*","0.0","_-1.058061=*_class=*","_-1.058061"
"0.0","0.0","0.0","0.0","_-0.791447=*_class=*","0.0","_-0.791447=*_class=*","_-0.791447"
"0.0","0.0","0.0","0.0","_2.371604=*_class=*","0.0","_2.371604=*_class=*","_2.371604"
