"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.059097678472428326","0.0","_NDVI='(-inf-27.562242]'_id_class=*","0.0","_NDVI='(-inf-27.562242]'_id_class=*","_NDVI_id_class"
"0.0","0.0","0.0","0.0","_id_polygon='(-inf-120426.5]'_id_class=*","0.0","_id_polygon='(-inf-120426.5]'_id_class=*","_id_polygon_id_class"
"0.0","0.0","0.07673841660015714","0.0","_band7='(-inf-256.994797]'_id_class=*","0.0","_band7='(-inf-256.994797]'_id_class=*","_band7_id_class"
"0.0","0.0","0.0","0.0","_band2='All'_id_class=*","0.0","_band2='All'_id_class=*","_band2_id_class"
"0.0","0.0","0.05168700643591919","0.0","_band6='(-inf-385.812393]'_id_class=*","0.0","_band6='(-inf-385.812393]'_id_class=*","_band6_id_class"
"0.0","0.0","0.090343288323067","0.0","_NDWI='(-inf-44.030188]'_id_class=*","0.0","_NDWI='(-inf-44.030188]'_id_class=*","_NDWI_id_class"
"0.0","0.0","0.05967345205893252","0.0","_band5='(-inf-152.995148]'_id_class=*","0.0","_band5='(-inf-152.995148]'_id_class=*","_band5_id_class"
"0.0","0.0","0.0806925184405474","0.0","_band3='(-inf--401.896851]'_id_class=*","0.0","_band3='(-inf--401.896851]'_id_class=*","_band3_id_class"
"0.0","0.0","0.06610199602286357","0.0","_band1='(-inf-30.995536]'_id_class=*","0.0","_band1='(-inf-30.995536]'_id_class=*","_band1_id_class"
"0.0","0.0","0.0760460289991535","0.0","_brightness='(-inf-56.995535]'_id_class=*","0.0","_brightness='(-inf-56.995535]'_id_class=*","_brightness_id_class"
"0.0","0.0","0.08530797870424525","0.0","_band4='(-inf-272.20607]'_id_class=*","0.0","_band4='(-inf-272.20607]'_id_class=*","_band4_id_class"
