"Distance","mean","sd","max","min","Attributes"
"0.04222239525976025","3.37779162078082E-4","3.1052622759564723E-4","0.002276679607402546_Flight=0.0_Time=4.0_Length=4.0","0.0_Flight=1.0_Time=4.0_Length=0.0","_Flight_Time_Length"
"0.04492178085290202","9.982617967311561E-5","2.0287919823858377E-4","0.0015165504225205882_Airline=17.0_Flight=1.0_Time=0.0","0.0_Airline=14.0_Flight=0.0_Time=0.0","_Airline_Flight_Time"
"0.04504414311193183","1.0009809580429295E-4","2.1890024420587843E-4","0.001729757389011869_Airline=17.0_Flight=1.0_Length=0.0","0.0_Airline=14.0_Flight=0.0_Length=0.0","_Airline_Flight_Length"
"0.053665120452666235","1.1925582322814719E-4","1.4935415250824494E-4","0.0011735653025128758_Airline=3.0_Time=4.0_Length=4.0","0.0_Airline=16.0_Time=3.0_Length=0.0","_Airline_Time_Length"
"0.07113325991597841","2.6975070123617144E-6","1.7628827319444626E-5","6.970940817454052E-4_Airline=4.0_Flight=1.0_AirportTo=7.0","0.0_Airline=16.0_Flight=0.0_AirportTo=212.0","_Airline_Flight_AirportTo"
"0.07420714818069615","2.814074637113999E-6","1.7692549871046925E-5","6.804083191504348E-4_Airline=11.0_Flight=3.0_AirportFrom=102.0","0.0_Airline=16.0_Flight=0.0_AirportFrom=212.0","_Airline_Flight_AirportFrom"
"0.0749728392864434","2.8528477658464E-6","1.5750111313080406E-5","5.469222183906767E-4_Airline=0.0_AirportTo=12.0_Length=4.0","0.0_Airline=16.0_AirportTo=212.0_Length=0.0","_Airline_AirportTo_Length"
"0.07530099261747755","2.8555552755964182E-6","1.708870725993394E-5","6.711384510421187E-4_Airline=7.0_AirportFrom=5.0_Length=2.0","0.0_Airline=16.0_AirportFrom=212.0_Length=0.0","_Airline_AirportFrom_Length"
"0.07709193113600402","1.0524495718225804E-5","2.6046586838623178E-5","5.524841392556666E-4_AirportTo=12.0_Time=4.0_Length=4.0","0.0_AirportTo=212.0_Time=0.0_Length=0.0","_AirportTo_Time_Length"
"0.07784464442639911","4.448265395794235E-4","4.86614608435513E-4","0.0022970733172408423_Flight=0.0_DayOfWeek=4.0_Length=4.0","1.8539736216631204E-6_Flight=0.0_DayOfWeek=5.0_Length=2.0","_Flight_DayOfWeek_Length"
"0.07902377164977896","1.847299351296904E-7","2.743324258662343E-6","3.3556922552105926E-4_AirportFrom=83.0_AirportTo=35.0_Length=0.0","0.0_AirportFrom=212.0_AirportTo=212.0_Length=0.0","_AirportFrom_AirportTo_Length"
"0.07907568291118426","1.0795315073199216E-5","2.6466726381177555E-5","4.6720135265915425E-4_AirportFrom=82.0_Time=4.0_Length=4.0","0.0_AirportFrom=212.0_Time=0.0_Length=0.0","_AirportFrom_Time_Length"
"0.08187703705351718","1.1371810701877386E-5","3.0620053178490564E-5","6.41474873095506E-4_Flight=4.0_AirportTo=7.0_Length=1.0","0.0_Flight=0.0_AirportTo=212.0_Length=0.0","_Flight_AirportTo_Length"
"0.08188630692162518","1.299782649549606E-4","3.137908507075321E-4","0.0028365796411448656_Airline=17.0_Flight=2.0_DayOfWeek=4.0","0.0_Airline=14.0_Flight=0.0_DayOfWeek=0.0","_Airline_Flight_DayOfWeek"
"0.08215698707038799","1.3040791598474284E-4","1.99575395584898E-4","0.0016797001012269597_Airline=17.0_DayOfWeek=2.0_Length=0.0","0.0_Airline=16.0_DayOfWeek=0.0_Length=0.0","_Airline_DayOfWeek_Length"
