"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"2.954205926649124E-4","3.839947168211432E-6","8.548398675622415E-22","1.1141609117484726E-4","_Rcdminutes=0.0_Humidity=3.0_Voltage=4.0_Class=50.0","1.5358635963381252E-9","_Rcdminutes=0.0_Humidity=1.0_Voltage=4.0_Class=5.0","_Rcdminutes_Humidity_Voltage_Class"
"3.8142284810910825E-4","3.1098510287959275E-6","2.991939536467845E-21","8.321207291114591E-5","_Rcdminutes=0.0_Light=0.0_Voltage=2.0_Class=10.0","1.2931451950140768E-9","_Rcdminutes=0.0_Light=4.0_Voltage=4.0_Class=10.0","_Rcdminutes_Light_Voltage_Class"
"3.9885162050159E-4","1.9750053139443835E-6","2.991939536467845E-21","9.469852642967169E-5","_Rcdminutes=0.0_Humidity=2.0_Light=2.0_Class=50.0","1.4124749776048297E-10","_Rcdminutes=0.0_Humidity=1.0_Light=3.0_Class=42.0","_Rcdminutes_Humidity_Light_Class"
"6.079419047588581E-4","1.2913714836197853E-7","2.671374586132005E-23","2.4007945971157914E-4","_Temperature=0.0_Humidity=3.0_Light=2.0_Class=50.0","0.0","_Temperature=0.0_Humidity=1.0_Light=3.0_Class=42.0","_Temperature_Humidity_Light_Class"
"8.185468825186768E-4","3.652840910294432E-6","1.2822598013433622E-21","3.554337734365064E-4","_Humidity=2.0_Light=2.0_Voltage=4.0_Class=50.0","5.835307545410665E-8","_Humidity=3.0_Light=0.0_Voltage=2.0_Class=14.0","_Humidity_Light_Voltage_Class"
"8.230597496347427E-4","2.0808516428696083E-5","1.0258078410746898E-20","2.2080289416117978E-4","_Rcdminutes=0.0_Temperature=0.0_Light=2.0_Class=50.0","6.699514936880839E-9","_Rcdminutes=0.0_Temperature=0.0_Light=3.0_Class=36.0","_Rcdminutes_Temperature_Light_Class"
"8.448418043433683E-4","6.139955668597626E-7","3.2056495033584056E-22","3.245137638620747E-4","_Temperature=0.0_Light=2.0_Voltage=4.0_Class=50.0","3.4856473024927465E-8","_Temperature=0.0_Light=2.0_Voltage=4.0_Class=5.0","_Temperature_Light_Voltage_Class"
"0.0011778302067031203","1.2632801975005238E-5","1.709679735124483E-20","6.777283860906413E-4","_Rcdminutes=0.0_Temperature=0.0_Voltage=4.0_Class=50.0","1.2696039453873297E-9","_Rcdminutes=0.0_Temperature=1.0_Voltage=4.0_Class=5.0","_Rcdminutes_Temperature_Voltage_Class"
"0.001298889928332139","1.4253673835512776E-5","1.709679735124483E-20","9.103249608780188E-4","_Temperature=0.0_Humidity=3.0_Voltage=4.0_Class=50.0","4.857452741949299E-8","_Temperature=0.0_Humidity=2.0_Voltage=4.0_Class=5.0","_Temperature_Humidity_Voltage_Class"
"0.0013121725042548355","1.7239094748221236E-6","8.548398675622415E-22","8.173860312399525E-4","_Rcdminutes=0.0_Temperature=0.0_Humidity=3.0_Class=50.0","4.388819520931329E-8","_Rcdminutes=0.0_Temperature=1.0_Humidity=1.0_Class=19.0","_Rcdminutes_Temperature_Humidity_Class"
