"points","all_attributes","Rcdminutes_Temperature","Rcdminutes_Humidity","Rcdminutes_Light","Rcdminutes_Voltage","Temperature_Humidity","Temperature_Light","Temperature_Voltage","Humidity_Light","Humidity_Voltage","Light_Voltage"
"10000","0.6937000000000001","0.6841","0.6840999999999999","0.6841","0.6841","0.1654","0.026400000000000007","0.11400000000000002","0.1963","0.23169999999999996","0.12259999999999997"
"20000","0.7866999999999997","0.31589999999999996","0.41119999999999995","0.7717999999999999","0.31810000000000005","0.3192","0.7453000000000001","0.2661","0.7522","0.3147","0.7469000000000001"
"30000","0.9504999999999999","0.9502","0.9501999999999999","0.9501999999999999","0.9502","0.6646000000000001","0.6435","0.6481","0.5068999999999999","0.5055","0.27380000000000004"
"40000","0.4453999999999999","0.3412","0.32689999999999997","0.3269","0.32689999999999997","0.3614","0.2536","0.25589999999999996","0.20699999999999996","0.20709999999999995","0.02599999999999999"
"50000","0.7491999999999999","0.7295","0.6731","0.6822","0.6731","0.5063","0.5852999999999999","0.5063","0.4617","0.10909999999999997","0.4634"
"60000","0.8849999999999999","0.8155000000000001","0.7372000000000001","0.7677999999999999","0.509","0.8157","0.8789","0.8156999999999999","0.8135000000000001","0.7255999999999999","0.6738999999999999"
"70000","0.6138999999999999","0.5883","0.5067999999999999","0.4952","0.49520000000000003","0.5656","0.5583","0.5579999999999999","0.241","0.30579999999999996","0.12549999999999997"
"80000","0.6948","0.6823","0.6823","0.6822999999999998","0.6823","0.31139999999999995","0.29139999999999994","0.28680000000000005","0.3050999999999999","0.3031","0.24309999999999998"
"90000","0.5302999999999999","0.31770000000000004","0.4623","0.3177","0.3176999999999999","0.327","0.020800000000000044","0.11489999999999996","0.4536","0.3687","0.1147"
"100000","0.8757999999999999","0.8747","0.8747","0.8746999999999999","0.8747","0.38980000000000004","0.08560000000000005","0.242","0.3898","0.38980000000000004","0.2666"
"110000","0.7881999999999998","0.238","0.3632","0.7377999999999999","0.21689999999999995","0.30870000000000003","0.7406","0.21610000000000007","0.7558","0.3321","0.7531000000000001"
"120000","0.9511999999999999","0.9512","0.9512","0.9512","0.9512000000000002","0.45360000000000006","0.4372","0.4372","0.4255999999999999","0.43019999999999997","0.3334999999999999"
"130000","0.3862999999999999","0.2273","0.16140000000000004","0.15189999999999998","0.15270000000000003","0.3152","0.22739999999999994","0.22929999999999998","0.1518","0.1631","0.0537"
"140000","0.8934999999999996","0.8724000000000001","0.8546000000000001","0.8481","0.8481","0.44430000000000003","0.5681","0.2932","0.6422999999999999","0.44430000000000003","0.54"
"150000","0.7232","0.5834","0.398","0.6049","0.35050000000000003","0.5781999999999999","0.6871999999999999","0.5781999999999999","0.5108999999999999","0.2138","0.5432"
"160000","0.6715000000000002","0.6672","0.6672","0.6672","0.6678","0.1676","0.09990000000000002","0.09060000000000004","0.1783","0.1748","0.1265"
"170000","0.5366","0.5174000000000001","0.5174000000000001","0.5174","0.5234","0.21350000000000002","0.12490000000000001","0.16049999999999995","0.21930000000000005","0.22949999999999998","0.16860000000000003"
"180000","0.5635","0.48260000000000003","0.5634999999999999","0.4826","0.48260000000000003","0.2905","0.02939999999999998","0.20360000000000003","0.2904999999999999","0.30550000000000005","0.21459999999999996"
"190000","0.7328999999999999","0.7317","0.7317","0.7317","0.7316999999999999","0.05120000000000001","0.0076000000000000095","0.14589999999999997","0.05299999999999999","0.1634","0.14589999999999997"
"200000","0.8173999999999999","0.7365999999999999","0.7986","0.5119","0.5851","0.7930000000000001","0.7626","0.7365999999999999","0.81","0.793","0.6141999999999999"
"210000","0.9096999999999998","0.9086","0.9086000000000001","0.9086","0.9086","0.6126000000000001","0.5650000000000001","0.5261","0.4580000000000001","0.28119999999999995","0.41640000000000005"
"220000","0.5335","0.23310000000000003","0.27190000000000003","0.2997","0.09429999999999997","0.3738","0.35489999999999994","0.2735999999999999","0.3759","0.2614","0.26839999999999997"
"230000","0.9835999999999998","0.9835999999999999","0.9836","0.9836","0.9836","0.10210000000000002","0.32620000000000005","0.08980000000000002","0.2918","0.06620000000000001","0.2946"
"240000","0.6562999999999997","0.4237","0.3717","0.4837000000000001","0.21230000000000004","0.5048","0.5989","0.44420000000000004","0.5815999999999999","0.3802","0.4864"
"250000","0.8273999999999998","0.8196","0.8037","0.8037","0.8036999999999999","0.5664","0.5319999999999999","0.5171000000000001","0.3014","0.28990000000000005","0.1836"
"260000","0.6662999999999999","0.5775999999999999","0.43979999999999997","0.3706","0.3951","0.5771","0.5775999999999999","0.5771000000000001","0.19770000000000004","0.22910000000000003","0.20550000000000002"
