"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x5_class","x5=v1","0.25800249999999997","0.22905254253622465","0.04581050850724491","0.039740986789061974","0.11041353827819173","class=class3","0.004112732989920598","class=class2"
"x5_class","x5=v2","0.194466","0.2075774378429554","0.04151548756859109","0.03448216508944203","0.10378871892147773","class=class3","0.0030089461604574375","class=class2"
"x5_class","x5=v3","0.2312265","0.2449775392945362","0.04899550785890723","0.029907730459573807","0.08501441245698302","class=class4","0.013769928836403211","class=class1"
"x5_class","x5=v4","0.21337250000000002","0.26831161027372874","0.05366232205474579","0.01918599488127","0.09124318148949395","class=class3","0.0422051672839961","class=class5"
"x5_class","x5=v5","0.10293250000000001","0.24676485754817407","0.04935297150963478","0.036152745052163246","0.09632197267880303","class=class4","0.005924607109616453","class=class1"
"x4_class","x4=v1","0.17884650000000005","0.24624899204936485","0.04924979840987298","0.023252346723762283","0.09132407831185364","class=class2","0.02747366126604981","class=class1"
"x4_class","x4=v5","0.19996600000000003","0.24735242915686156","0.0494704858313723","0.035292079283199385","0.10971763967846695","class=class3","0.013958574899963827","class=class2"
"x4_class","x4=v4","0.19222549999999997","0.134428071468353","0.026885614293670586","0.020458442289065293","0.06721403573417649","class=class3","0.013671078807650283","class=class4"
"x4_class","x4=v3","0.213266","0.3517787659116808","0.07035575318233611","0.050671644589617246","0.15007312869918296","class=class3","0.016701080537404774","class=class5"
"x4_class","x4=v2","0.21569599999999994","0.23012104950755768","0.04602420990151155","0.037388437184151545","0.1122524792947787","class=class3","0.0028080454590001525","class=class2"
"x3_class","x3=v1","0.2499535","0.4103284296937121","0.08206568593874244","0.06276784564895138","0.20516421484685604","class=class3","0.042297959515024214","class=class1"
"x3_class","x3=v3","0.19768849999999996","0.18416964266080438","0.03683392853216087","0.03173932869495432","0.09208482133040219","class=class3","0.007084842678940814","class=class5"
"x3_class","x3=v5","0.1182075","0.2670167086796516","0.0534033417359303","0.03555257553625114","0.11147261589839288","class=class4","0.022035738441432876","class=class1"
"x3_class","x3=v2","0.319992","0.16457357219128266","0.03291471443825651","0.016519126293126244","0.05736625601248467","class=class2","0.01309350544700081","class=class1"
"x3_class","x3=v4","0.11415850000000002","0.406864830524034","0.08137296610480681","0.05832417707373905","0.16259211119533354","class=class4","0.0011932600359350065","class=class5"
"x2_class","x2=v1","0.06710249999999998","0.7210784231111845","0.1442156846222369","0.11755560257163455","0.3576459606245757","class=class2","0.0028932509310165","class=class5"
"x2_class","x2=v5","0.12931249999999997","0.17775416431848676","0.035550832863697375","0.026666327561368962","0.07116303533779385","class=class3","0.0012360755683799018","class=class5"
"x2_class","x2=v2","0.25336049999999993","0.23430941647357853","0.046861883294715724","0.022015877703624957","0.0716022288974797","class=class2","0.006782893511413063","class=class1"
"x2_class","x2=v3","0.35742250000000003","0.3266803393367585","0.06533606786735172","0.06803658210575782","0.16334016966837928","class=class3","0.006062700394576619","class=class1"
"x2_class","x2=v4","0.19280199999999997","0.31764510125618894","0.0635290202512378","0.021351515176445894","0.08295058093043114","class=class4","0.03395625480108269","class=class5"
"x1_class","x1=v1","0.17639249999999998","0.9999953287835688","0.1999990657567138","0.24743467382638348","0.4999976643917843","class=class3","0.0","class=class1"
"x1_class","x1=v2","0.4174825000000001","0.22995934067706214","0.045991868135412436","0.023363667030337987","0.07428241014832108","class=class5","0.005521007844564885","class=class3"
"x1_class","x1=v3","0.15072550000000004","0.11870206980621953","0.023740413961243902","0.011626871694422891","0.03945539761625305","class=class1","0.005079443442729814","class=class3"
"x1_class","x1=v4","0.14585350000000002","0.24667039198977495","0.04933407839795497","0.041148694411784946","0.11780675189614653","class=class1","0.0055284440987409394","class=class4"
"x1_class","x1=v5","0.109546","0.14200415048292084","0.028400830096584166","0.01745511935027055","0.050047972093834076","class=class5","0.0069579499330691685","class=class3"
