"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"x4_x5","0.195413","0.007816519999999997","0.0060426972611873795","0.017437","x4=v1_x5=v5","3.1950000000000034E-4","x4=v5_x5=v3"
"x3_x4","0.30415400000000004","0.012166159999999997","0.007455706312676458","0.028196500000000003","x3=v1_x4=v3","2.439999999999977E-4","x3=v1_x4=v5"
"x2_x4","0.309473","0.012378920000000014","0.010518493392429657","0.044577","x2=v3_x4=v3","0.0018320000000000003","x2=v2_x4=v1"
"x3_x5","0.35254399999999997","0.014101760000000015","0.008460064198774705","0.036366","x3=v2_x5=v2","7.640000000000008E-4","x3=v4_x5=v2"
"x2_x5","0.37573999999999996","0.015029600000000011","0.011930630416223362","0.0456125","x2=v3_x5=v2","7.404999999999981E-4","x2=v4_x5=v1"
"x2_x3","0.465402","0.018616080000000004","0.01646631960027235","0.0681815","x2=v3_x3=v2","0.0014259999999999984","x2=v1_x3=v4"
"x1_x4","0.5054169999999999","0.02021667999999999","0.016908748898569026","0.06633499999999999","x1=v2_x4=v3","7.329999999999975E-4","x1=v1_x4=v2"
"x1_x3","0.5156359999999999","0.020625439999999995","0.025356194426403165","0.118646","x1=v2_x3=v2","0.0011415000000000019","x1=v5_x3=v2"
"x1_x5","0.5293270000000001","0.02117307999999999","0.020601763786093474","0.0732985","x1=v2_x5=v2","2.50499999999999E-4","x1=v5_x5=v2"
"x1_x2","0.5431920000000001","0.021727680000000006","0.02852895969928969","0.143237","x1=v2_x2=v3","0.0015384999999999982","x1=v5_x2=v3"
